entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason
2000-01-31,2000-01-31,long,DM_basket,100.0,97.9741,-0.020259,monthly_rebalance
2000-01-31,2000-02-29,long,DM_basket,100.0,102.7202,0.027202,monthly_rebalance
2000-02-29,2000-03-31,long,DM_basket,100.0,102.5852,0.025852,monthly_rebalance
2000-03-31,2000-04-30,long,DM_basket,100.0,96.652,-0.03348,monthly_rebalance
2000-04-30,2000-05-31,long,DM_basket,100.0,98.1852,-0.018148,monthly_rebalance
2000-05-31,2000-06-30,long,DM_basket,100.0,102.4669,0.024669,monthly_rebalance
2000-06-30,2000-07-31,long,DM_basket,100.0,101.2847,0.012847,monthly_rebalance
2000-07-31,2000-08-31,long,DM_basket,100.0,103.0344,0.030344,monthly_rebalance
2000-08-31,2000-09-30,long,DM_basket,100.0,94.2138,-0.057862,monthly_rebalance
2000-09-30,2000-10-31,long,DM_basket,100.0,97.6416,-0.023584,monthly_rebalance
2000-10-31,2000-11-30,long,DM_basket,100.0,96.2546,-0.037454,monthly_rebalance
2000-11-30,2000-12-31,long,DM_basket,100.0,101.3467,0.013467,monthly_rebalance
2000-12-31,2001-01-31,long,DM_basket,100.0,107.2099,0.072099,monthly_rebalance
2001-01-31,2001-02-28,long,DM_basket,100.0,95.8769,-0.041231,monthly_rebalance
2001-02-28,2001-03-31,long,DM_basket,100.0,94.4431,-0.055569,monthly_rebalance
2001-03-31,2001-04-30,long,DM_basket,100.0,103.811,0.03811,monthly_rebalance
2001-04-30,2001-05-31,long,DM_basket,100.0,100.1851,0.001851,monthly_rebalance
2001-05-31,2001-06-30,long,DM_basket,100.0,99.2882,-0.007118,monthly_rebalance
2001-06-30,2001-07-31,long,DM_basket,100.0,95.9373,-0.040627,monthly_rebalance
2001-07-31,2001-08-31,long,EM_basket,100.0,99.1782,-0.008218,monthly_rebalance
2001-08-31,2001-09-30,long,EM_basket,100.0,87.6747,-0.123253,monthly_rebalance
2001-09-30,2001-10-31,long,EM_basket,100.0,101.5637,0.015637,monthly_rebalance
2001-10-31,2001-11-30,long,EM_basket,100.0,107.5626,0.075626,monthly_rebalance
2001-11-30,2001-12-31,long,EM_basket,100.0,103.0082,0.030082,monthly_rebalance
2001-12-31,2002-01-31,long,EM_basket,100.0,107.4214,0.074214,monthly_rebalance
2002-01-31,2002-02-28,long,EM_basket,100.0,104.5934,0.045934,monthly_rebalance
2002-02-28,2002-03-31,long,EM_basket,100.0,103.7447,0.037447,monthly_rebalance
2002-03-31,2002-04-30,long,EM_basket,100.0,101.5133,0.015133,monthly_rebalance
2002-04-30,2002-05-31,long,EM_basket,100.0,97.9161,-0.020839,monthly_rebalance
2002-05-31,2002-06-30,long,EM_basket,100.0,95.9053,-0.040947,monthly_rebalance
2002-06-30,2002-07-31,long,EM_basket,100.0,94.6785,-0.053215,monthly_rebalance
2002-07-31,2002-08-31,long,EM_basket,100.0,101.0262,0.010262,monthly_rebalance
2002-08-31,2002-09-30,long,EM_basket,100.0,93.361,-0.06639,monthly_rebalance
2002-09-30,2002-10-31,long,EM_basket,100.0,102.3433,0.023433,monthly_rebalance
2002-10-31,2002-11-30,long,EM_basket,100.0,102.7351,0.027351,monthly_rebalance
2002-11-30,2002-12-31,long,EM_basket,100.0,99.37,-0.0063,monthly_rebalance
2002-12-31,2003-01-31,long,EM_basket,100.0,98.8252,-0.011748,monthly_rebalance
2003-01-31,2003-02-28,long,EM_basket,100.0,99.113,-0.00887,monthly_rebalance
2003-02-28,2003-03-31,long,EM_basket,100.0,99.3285,-0.006715,monthly_rebalance
2003-03-31,2003-04-30,long,EM_basket,100.0,106.461,0.06461,monthly_rebalance
2003-04-30,2003-05-31,long,EM_basket,100.0,109.3505,0.093505,monthly_rebalance
2003-05-31,2003-06-30,long,EM_basket,100.0,106.0062,0.060062,monthly_rebalance
2003-06-30,2003-07-31,long,EM_basket,100.0,103.7587,0.037587,monthly_rebalance
2003-07-31,2003-08-31,long,EM_basket,100.0,106.1031,0.061031,monthly_rebalance
2003-08-31,2003-09-30,long,EM_basket,100.0,101.7712,0.017712,monthly_rebalance
2003-09-30,2003-10-31,long,EM_basket,100.0,106.8575,0.068575,monthly_rebalance
2003-10-31,2003-11-30,long,EM_basket,100.0,101.5487,0.015487,monthly_rebalance
2003-11-30,2003-12-31,long,EM_basket,100.0,110.4335,0.104335,monthly_rebalance
2003-12-31,2004-01-31,long,EM_basket,100.0,101.8974,0.018974,monthly_rebalance
2004-01-31,2004-02-29,long,EM_basket,100.0,102.8475,0.028475,monthly_rebalance
2004-02-29,2004-03-31,long,EM_basket,100.0,100.5739,0.005739,monthly_rebalance
2004-03-31,2004-04-30,long,EM_basket,100.0,98.1783,-0.018217,monthly_rebalance
2004-04-30,2004-05-31,long,EM_basket,100.0,95.7315,-0.042685,monthly_rebalance
2004-05-31,2004-06-30,long,EM_basket,100.0,100.4278,0.004278,monthly_rebalance
2004-06-30,2004-07-31,long,EM_basket,100.0,100.2153,0.002153,monthly_rebalance
2004-07-31,2004-08-31,long,EM_basket,100.0,101.3368,0.013368,monthly_rebalance
2004-08-31,2004-09-30,long,EM_basket,100.0,106.4951,0.064951,monthly_rebalance
2004-09-30,2004-10-31,long,EM_basket,100.0,101.6509,0.016509,monthly_rebalance
2004-10-31,2004-11-30,long,EM_basket,100.0,105.7097,0.057097,monthly_rebalance
2004-11-30,2004-12-31,long,EM_basket,100.0,103.305,0.03305,monthly_rebalance
2004-12-31,2005-01-31,long,DM_basket,100.0,101.1155,0.011155,monthly_rebalance
2005-01-31,2005-02-28,long,EM_basket,100.0,106.9696,0.069696,monthly_rebalance
2005-02-28,2005-03-31,long,EM_basket,100.0,95.006,-0.04994,monthly_rebalance
2005-03-31,2005-04-30,long,DM_basket,100.0,98.5281,-0.014719,monthly_rebalance
2005-04-30,2005-05-31,long,DM_basket,100.0,103.9198,0.039198,monthly_rebalance
2005-05-31,2005-06-30,long,EM_basket,100.0,103.2738,0.032738,monthly_rebalance
2005-06-30,2005-07-31,long,EM_basket,100.0,105.1043,0.051043,monthly_rebalance
2005-07-31,2005-08-31,long,EM_basket,100.0,100.7226,0.007226,monthly_rebalance
2005-08-31,2005-09-30,long,EM_basket,100.0,106.9124,0.069124,monthly_rebalance
2005-09-30,2005-10-31,long,EM_basket,100.0,95.669,-0.04331,monthly_rebalance
2005-10-31,2005-11-30,long,DM_basket,100.0,104.4466,0.044466,monthly_rebalance
2005-11-30,2005-12-31,long,DM_basket,100.0,104.9366,0.049366,monthly_rebalance
2005-12-31,2006-01-31,long,DM_basket,100.0,103.5877,0.035877,monthly_rebalance
2006-01-31,2006-02-28,long,DM_basket,100.0,101.4761,0.014761,monthly_rebalance
2006-02-28,2006-03-31,long,DM_basket,100.0,104.343,0.04343,monthly_rebalance
2006-03-31,2006-04-30,long,DM_basket,100.0,103.3575,0.033575,monthly_rebalance
2006-04-30,2006-05-31,long,EM_basket,100.0,96.1442,-0.038558,monthly_rebalance
2006-05-31,2006-06-30,long,EM_basket,100.0,98.9952,-0.010048,monthly_rebalance
2006-06-30,2006-07-31,long,EM_basket,100.0,102.8177,0.028177,monthly_rebalance
2006-07-31,2006-08-31,long,EM_basket,100.0,102.4158,0.024158,monthly_rebalance
2006-08-31,2006-09-30,long,EM_basket,100.0,103.4201,0.034201,monthly_rebalance
