,equity
2016-01-04,76037.89105324412
2016-01-05,72650.49979678994
2016-01-06,72179.05874563394
2016-01-07,72860.02915285926
2016-01-08,71707.61769447794
2016-01-11,70764.73559216593
2016-01-12,70432.98077838951
2016-01-13,72213.98030497882
2016-01-14,72406.0488813757
2016-01-15,73855.29359418858
2016-01-18,73767.98969582637
2016-01-19,74763.25413715567
2016-01-20,74361.65620468947
2016-01-21,74658.48945912102
2016-01-22,72877.48993253171
2016-01-25,73017.17616991127
2016-01-26,73733.06813648148
2016-01-27,73000.64958098433
2016-01-28,74301.11335821271
2016-01-29,75595.14969493572
2016-02-01,74618.68430549868
2016-02-02,74309.93165401842
2016-02-03,75873.94795707667
2016-02-04,76489.29279689751
2016-02-05,74808.94333143355
2016-02-08,74946.92779124012
2016-02-09,74062.3270228738
2016-02-10,72900.23118373241
2016-02-11,73804.73241017117
2016-02-12,75177.4820472862
2016-02-15,76347.90517555327
2016-02-16,77446.7391972231
2016-02-17,78009.61589341839
2016-02-18,78009.61589341839
2016-02-19,78215.19519556948
2016-02-22,77481.38265576088
2016-02-23,77653.40391605561
2016-02-24,76129.75889141111
2016-02-25,76129.75889141111
2016-02-26,76944.47472650484
2016-02-29,76117.9382155036
2016-03-01,76974.66931042052
2016-03-02,76940.20095935425
2016-03-03,77469.89668795961
2016-03-04,77469.89668795961
2016-03-07,75671.02284262446
2016-03-08,74141.2823606524
2016-03-09,75270.55912870444
2016-03-10,76720.00306785895
2016-03-11,77322.97965720642
2016-03-14,77179.42800858592
2016-03-15,77371.8849613061
2016-03-16,78418.46852496201
2016-03-17,78465.29895700977
2016-03-18,79866.99402317592
2016-03-21,79591.70643511598
2016-03-22,77936.40435024672
2016-03-23,80257.27779134193
2016-03-24,79991.34221139975
2016-03-25,78601.52989389937
2016-03-28,78978.20443994935
2016-03-29,79898.88669057857
2016-03-30,80246.64009904287
2016-03-31,81036.84525259002
2016-04-01,81683.22584278924
2016-04-04,83581.61569309539
2016-04-05,83581.61569309539
2016-04-06,82631.71612847716
2016-04-07,82893.7834251682
2016-04-08,84160.44202584156
2016-04-11,84684.57661922363
2016-04-12,84924.80497452375
2016-04-13,85317.90591956032
2016-04-14,85820.20157155147
2016-04-15,85929.39627850607
2016-04-18,85339.74486095124
2016-04-19,84706.41556061457
2016-04-20,84073.0862602779
2016-04-21,84116.76414305973
2016-04-22,84356.99249835985
2016-04-25,83189.6592124149
2016-04-26,82487.14960043736
2016-04-27,82979.85250770385
2016-04-28,83684.83475750986
2016-04-29,85385.47121253551
2016-05-02,85797.93750583549
2016-05-03,85424.35320060454
2016-05-04,84835.0497815655
2016-05-05,84713.24899612284
2016-05-06,86452.39025717591
2016-05-09,86389.51368845871
2016-05-10,86389.51368845871
2016-05-11,85334.56130825012
2016-05-12,84008.70195636488
2016-05-13,84516.76616643785
2016-05-16,82857.61328843501
2016-05-17,83870.14719596204
2016-05-18,84344.59062387997
2016-05-19,84817.36735850286
2016-05-20,81858.22272435855
2016-05-23,82674.54378142195
2016-05-24,83026.67901143777
2016-05-25,82729.53195312063
2016-05-26,82420.63760767138
2016-05-27,83270.42718534791
2016-05-30,83498.01078832992
2016-05-31,83622.56533684774
2016-06-01,82261.58325469129
2016-06-02,82696.79088202154
2016-06-03,83135.05146012352
2016-06-06,83323.58358658358
2016-06-07,83171.0762792297
2016-06-08,82800.68177426343
2016-06-09,83112.88031810772
2016-06-10,81982.0527448463
2016-06-13,81768.60328141789
2016-06-14,82686.83154309259
2016-06-15,82823.6095806332
2016-06-16,82823.6095806332
2016-06-17,77927.45950051994
2016-06-20,78627.6094058403
2016-06-21,78385.59636934251
2016-06-22,79199.6436552403
2016-06-23,77942.04312229637
2016-06-24,77611.94128121564
2016-06-27,76422.63281541558
2016-06-28,76967.64150725272
2016-06-29,76568.76382995745
2016-06-30,77219.2870914442
2016-07-01,77055.51362360611
2016-07-04,76514.46075177401
2016-07-05,74348.6467793989
2016-07-06,74467.31634028815
2016-07-07,74631.44507603753
2016-07-08,76310.3328806236
2016-07-11,76972.96296703015
2016-07-12,78744.66136389945
2016-07-13,78683.34615382174
2016-07-14,78629.78888628892
2016-07-15,77070.71959413489
2016-07-18,78218.89619619219
2016-07-19,78218.89619619219
2016-07-20,78040.91668095172
2016-07-21,77069.02955094393
2016-07-22,77894.9413058715
2016-07-25,77570.46705011842
2016-07-26,77183.81492627143
2016-07-27,77898.16137155253
2016-07-28,77317.6989126086
2016-07-29,78105.20850672458
2016-08-01,79061.19463235798
2016-08-02,80595.72858328714
2016-08-03,80595.72858328714
2016-08-04,81890.00408517616
2016-08-05,80873.29992942113
2016-08-08,80236.56071664799
2016-08-09,82019.32888523089
2016-08-10,82267.50695527028
2016-08-11,83342.39969112199
2016-08-12,82615.9337832907
2016-08-15,78199.25982019384
2016-08-16,79210.77271057312
2016-08-17,78668.37232176165
2016-08-18,81763.91103549399
2016-08-19,82583.6985377428
2016-08-22,82526.6941177148
2016-08-23,85311.90409798815
2016-08-24,85916.13375160235
2016-08-25,88035.75777723678
2016-08-26,88622.34035378184
2016-08-29,90470.7073679333
2016-08-30,90217.6963162255
2016-08-31,91274.99455727432
2016-09-01,90091.9309479723
2016-09-02,92791.3563552042
2016-09-05,92230.53801978924
2016-09-06,92675.79042011267
2016-09-07,91813.4023947127
2016-09-08,91947.80702989866
2016-09-09,93035.29817290834
2016-09-12,93601.96720029373
2016-09-13,93601.96720029373
2016-09-14,92635.19883184458
2016-09-15,90735.81241682719
2016-09-16,90825.79141186396
2016-09-19,92884.84119022945
2016-09-20,92922.9274397177
2016-09-21,94491.56063820385
2016-09-22,93994.40993218377
2016-09-23,93932.94796263978
2016-09-26,93876.66419785429
2016-09-27,94511.4616721686
2016-09-28,95638.52684231513
2016-09-29,97372.11230687171
2016-09-30,96964.74994939499
2016-10-03,97264.8890290051
2016-10-04,98319.25638626596
2016-10-05,98941.50194144492
2016-10-06,98856.58430331573
2016-10-07,99292.90647814117
2016-10-10,99298.93738425618
2016-10-11,99293.042879895
2016-10-12,99293.042879895
2016-10-13,99309.36237544041
2016-10-14,99814.86727506941
2016-10-17,100070.6887643447
2016-10-18,100058.37363457191
2016-10-19,99649.34374681796
2016-10-20,99556.96078755725
2016-10-21,99924.8363175895
2016-10-24,100207.83098482073
2016-10-25,100294.96247655964
2016-10-26,100294.96247655964
2016-10-27,100135.57702722977
2016-10-28,99935.69
2016-10-31,99935.69
2016-11-01,99805.55000000002
2016-11-02,99305.28000000001
2016-11-03,99141.25
2016-11-04,98795.15000000001
2016-11-07,99575.33000000002
2016-11-08,99685.37000000001
2016-11-09,100016.56000000001
2016-11-10,99854.04000000001
2016-11-11,99296.30000000002
2016-11-14,99174.66
2016-11-15,99851.54000000001
2016-11-16,99371.89000000001
2016-11-17,99648.44
2016-11-18,99551.14000000001
2016-11-21,100413.35
2016-11-22,100490.13
2016-11-23,100510.09000000001
2016-11-24,100510.09000000001
2016-11-25,100494.94
2016-11-28,100372.61000000002
2016-11-29,100128.70000000001
2016-11-30,100623.56000000001
2016-12-01,100914.17000000001
2016-12-02,101078.53000000001
2016-12-05,101299.88
2016-12-06,101271.46
2016-12-07,101382.87000000001
2016-12-08,101485.37000000001
2016-12-09,101729.26000000001
2016-12-12,101827.83000000002
2016-12-13,102014.26000000001
2016-12-14,101652.22
2016-12-15,101704.15000000001
2016-12-16,101763.09000000001
2016-12-19,101677.6
2016-12-20,101840.44
2016-12-21,101688.85
2016-12-22,101623.06000000001
2016-12-23,101696.13
2016-12-26,101696.13
2016-12-27,102068.45000000001
2016-12-28,101912.23000000001
2016-12-29,101918.42000000001
2016-12-30,101912.37000000001
2017-01-02,101912.37000000001
2017-01-03,101929.12000000001
2017-01-04,102447.96
2017-01-05,102710.53000000001
2017-01-06,102697.89000000001
2017-01-09,102278.07
2017-01-10,102183.25
2017-01-11,102560.83000000002
2017-01-12,102851.29000000001
2017-01-13,102940.72
2017-01-16,102940.72
2017-01-17,102777.13
2017-01-18,102571.97
2017-01-19,102389.26000000001
2017-01-20,102813.63
2017-01-23,102809.17000000001
2017-01-24,103057.28
2017-01-25,103311.09000000001
2017-01-26,103306.28000000001
2017-01-27,103061.98000000001
2017-01-30,102672.33
2017-01-31,102806.76000000001
2017-02-01,103128.39000000001
2017-02-02,103148.19
2017-02-03,103373.17000000001
2017-02-06,103051.89000000001
2017-02-07,102937.00000000001
2017-02-08,103074.31000000001
2017-02-09,103400.66
2017-02-10,103756.36000000002
2017-02-13,103713.18000000001
2017-02-14,103812.13
2017-02-15,104030.96
2017-02-16,103921.74
2017-02-17,103855.78000000001
2017-02-20,103855.78000000001
2017-02-21,104031.32
2017-02-22,103905.15000000001
2017-02-23,104039.37000000001
2017-02-24,103876.13
2017-02-27,103872.00000000001
2017-02-28,103869.71
2017-03-01,104230.43000000001
2017-03-02,103190.47
2017-03-03,103114.17
2017-03-06,102621.20000000001
2017-03-07,101976.98000000001
2017-03-08,99974.51000000001
2017-03-09,98759.95000000001
2017-03-10,98578.24
2017-03-13,98867.57
2017-03-14,98519.85
2017-03-15,100694.70999999999
2017-03-16,100596.27
2017-03-17,101042.49000000002
2017-03-20,100881.04999999999
2017-03-21,100056.44999999998
2017-03-22,100047.03000000001
2017-03-23,100598.61000000002
2017-03-24,100621.0
2017-03-27,99914.61000000002
2017-03-28,100667.8
2017-03-29,101264.18
2017-03-30,101510.70000000001
2017-03-31,101987.62000000001
2017-04-03,101855.94
2017-04-04,102069.21
2017-04-05,101913.57
2017-04-06,102028.24
2017-04-07,102060.36
2017-04-10,102204.56000000001
2017-04-11,102310.48000000001
2017-04-12,102212.11
2017-04-13,101988.83
2017-04-14,101988.83
2017-04-17,102205.53000000001
2017-04-18,101946.7
2017-04-19,101468.17
2017-04-20,101728.40000000001
2017-04-21,101482.17
2017-04-24,102191.88
2017-04-25,102573.34000000001
2017-04-26,102391.41
2017-04-27,102312.47000000002
2017-04-28,102138.16000000002
2017-05-01,102708.42000000001
2017-05-02,102708.95
2017-05-03,101675.92000000001
2017-05-04,101559.14
2017-05-05,102548.44
2017-05-08,101879.57
2017-05-09,101425.04000000001
2017-05-10,102056.98
2017-05-11,101611.95000000001
2017-05-12,101403.67
2017-05-15,101837.65
2017-05-16,101483.06
2017-05-17,101127.5
2017-05-18,101629.81
2017-05-19,102415.57
2017-05-22,102850.27
2017-05-23,102960.13
2017-05-24,103609.93
2017-05-25,103722.20000000001
2017-05-26,103097.26000000001
2017-05-29,103097.26000000001
2017-05-30,102643.49000000002
2017-05-31,102700.88
2017-06-01,103352.14000000001
2017-06-02,104742.20000000001
2017-06-05,104188.41000000002
2017-06-06,103968.09
2017-06-07,104363.81000000001
2017-06-08,104027.79000000001
2017-06-09,104336.72000000002
2017-06-12,104882.56
2017-06-13,105343.26000000001
2017-06-14,105846.22000000002
2017-06-15,105797.65000000002
2017-06-16,105842.12000000001
2017-06-19,105911.04000000001
2017-06-20,105595.07
2017-06-21,105367.07000000002
2017-06-22,105549.94
2017-06-23,105900.85
2017-06-26,106547.1
2017-06-27,105304.19000000002
2017-06-28,105796.22000000003
2017-06-29,104231.55
2017-06-30,104100.05000000002
2017-07-03,104755.83
2017-07-04,104755.83
2017-07-05,103819.20000000001
2017-07-06,101976.66
2017-07-07,102458.48000000001
2017-07-10,101946.45999999999
2017-07-11,101997.5
2017-07-12,103455.79
2017-07-13,103601.84
2017-07-14,104682.14000000001
2017-07-17,105299.71
2017-07-18,105475.92000000001
2017-07-19,106258.54000000002
2017-07-20,106040.43000000002
2017-07-21,106018.45
2017-07-24,105783.33
2017-07-25,105508.38
2017-07-26,106405.32
2017-07-27,106321.16
2017-07-28,106213.83000000002
2017-07-31,106379.46000000002
2017-08-01,107082.88
2017-08-02,106362.05000000002
2017-08-03,106421.69
2017-08-04,106529.23000000003
2017-08-07,106582.41000000002
2017-08-08,105983.47000000002
2017-08-09,105796.47000000002
2017-08-10,104893.00000000001
2017-08-11,104531.47
2017-08-14,105932.64000000001
2017-08-15,105457.37
2017-08-16,106075.81000000003
2017-08-17,105278.15000000002
2017-08-18,104575.62000000001
2017-08-21,105421.18000000002
2017-08-22,105391.62000000001
2017-08-23,106346.22000000002
2017-08-24,105891.74
2017-08-25,106558.27000000002
2017-08-28,106057.24000000002
2017-08-29,106109.96000000002
2017-08-30,106541.32
2017-08-31,107390.42000000001
2017-09-01,107484.77000000002
2017-09-04,107484.77000000002
2017-09-05,107528.86
2017-09-06,107750.22
2017-09-07,108753.08000000002
2017-09-08,108732.92000000001
2017-09-11,109378.14000000003
2017-09-12,108460.75000000001
2017-09-13,107984.48000000003
2017-09-14,108648.41000000002
2017-09-15,108944.55000000002
2017-09-18,108292.94
2017-09-19,107862.75000000003
2017-09-20,107454.24000000002
2017-09-21,107095.00000000001
2017-09-22,106797.0
2017-09-25,107301.30000000002
2017-09-26,107297.15000000001
2017-09-27,106326.11
2017-09-28,106901.71
2017-09-29,107105.74000000002
2017-10-02,106317.53000000003
2017-10-03,106533.44000000002
2017-10-04,106985.12000000001
2017-10-05,108148.43
2017-10-06,106549.41
2017-10-09,106798.75000000001
2017-10-10,108300.55
2017-10-11,108883.08000000002
2017-10-12,109235.63
2017-10-13,110648.02000000002
2017-10-16,110346.10000000003
2017-10-17,110305.98
2017-10-18,110040.51000000001
2017-10-19,109503.56000000001
2017-10-20,109271.79000000001
2017-10-23,108924.10000000003
2017-10-24,109111.38000000002
2017-10-25,108684.45000000001
2017-10-26,108347.24
2017-10-27,109576.5
2017-10-30,110011.14000000001
2017-10-31,110271.17000000001
2017-11-01,110795.56000000001
2017-11-02,112094.05000000002
2017-11-03,112567.17000000001
2017-11-06,114841.19
2017-11-07,114872.87000000002
2017-11-08,115083.46000000002
2017-11-09,115079.10000000002
2017-11-10,114507.94
2017-11-13,114530.06000000003
2017-11-14,113299.24
2017-11-15,112462.90000000001
2017-11-16,112988.34000000003
2017-11-17,114010.89
2017-11-20,113072.73999999999
2017-11-21,114536.79000000001
2017-11-22,115154.30000000002
2017-11-23,115154.30000000002
2017-11-24,115686.28000000001
2017-11-27,115050.41
2017-11-28,114793.98000000001
2017-11-29,113915.83000000002
2017-11-30,113625.37000000002
2017-12-01,114695.6
2017-12-04,113121.01000000001
2017-12-05,112429.91000000003
2017-12-06,111119.40000000002
2017-12-07,111548.44000000002
2017-12-08,112574.60000000003
2017-12-11,112849.04000000004
2017-12-12,112481.96
2017-12-13,112707.01000000002
2017-12-14,112677.91000000002
2017-12-15,113341.51000000002
2017-12-18,114465.96
2017-12-19,112914.14000000001
2017-12-20,112193.15
2017-12-21,112159.58000000002
2017-12-22,113117.72000000002
2017-12-25,113117.72000000002
2017-12-26,114702.97000000002
2017-12-27,115537.44000000002
2017-12-28,116329.60000000003
2017-12-29,116665.63
2018-01-01,116665.63
2018-01-02,117177.65000000002
2018-01-03,117729.66
2018-01-04,116709.99000000002
2018-01-05,116758.02000000002
2018-01-08,117109.26000000001
2018-01-09,116872.39000000001
2018-01-10,116270.85
2018-01-11,116340.71000000004
2018-01-12,116743.86000000002
2018-01-15,116743.86000000002
2018-01-16,116338.52000000002
2018-01-17,117340.81000000003
2018-01-18,116346.58000000002
2018-01-19,116792.81000000001
2018-01-22,118048.23000000001
2018-01-23,119791.68000000002
2018-01-24,120362.50000000001
2018-01-25,119614.54000000002
2018-01-26,120574.31000000003
2018-01-29,118974.61000000002
2018-01-30,117295.52000000002
2018-01-31,118751.46000000002
2018-02-01,119660.46
2018-02-02,117128.02000000002
2018-02-05,114110.6
2018-02-06,114572.97000000003
2018-02-07,113193.95000000001
2018-02-08,110744.25000000001
2018-02-09,109996.74000000002
2018-02-12,111201.73000000001
2018-02-13,111381.13000000002
2018-02-14,113459.88000000002
2018-02-15,114052.35000000002
2018-02-16,114356.25000000001
2018-02-19,114356.25000000001
2018-02-20,114204.77
2018-02-21,113820.12000000002
2018-02-22,114757.91000000002
2018-02-23,115947.03000000003
2018-02-26,116926.60000000002
2018-02-27,115353.12000000002
2018-02-28,113910.69000000002
2018-03-01,113329.06000000003
2018-03-02,113576.65000000002
2018-03-05,114484.57
2018-03-06,115007.09000000001
2018-03-07,114077.19000000002
2018-03-08,113754.93000000002
2018-03-09,115164.50000000001
2018-03-12,114990.74000000002
2018-03-13,114405.0
2018-03-14,114321.15000000002
2018-03-15,114225.69000000002
2018-03-16,114542.14000000001
2018-03-19,113440.49
2018-03-20,114023.61000000002
2018-03-21,115542.98000000001
2018-03-22,113823.17000000001
2018-03-23,113746.97000000002
2018-03-26,114924.45000000001
2018-03-27,113949.59000000001
2018-03-28,113640.84000000001
2018-03-29,115002.62000000002
2018-03-30,115002.62000000002
2018-04-02,112931.11000000002
2018-04-03,113822.86000000002
2018-04-04,113833.31000000003
2018-04-05,114598.80000000002
2018-04-06,113254.53000000003
2018-04-09,114608.67000000001
2018-04-10,116818.24000000002
2018-04-11,117261.67000000001
2018-04-12,117203.72000000002
2018-04-13,117209.98000000001
2018-04-16,117162.12000000002
2018-04-17,117540.42000000001
2018-04-18,119350.16000000002
2018-04-19,118743.34000000003
2018-04-20,118313.45000000001
2018-04-23,118212.18000000002
2018-04-24,117277.46000000002
2018-04-25,117473.84000000003
2018-04-26,118281.12000000002
2018-04-27,118336.07
2018-04-30,118425.99000000002
2018-05-01,117891.66000000002
2018-05-02,117705.00000000003
2018-05-03,118282.11000000002
2018-05-04,119302.21
2018-05-07,119342.27000000002
2018-05-08,119589.05
2018-05-09,120765.01000000001
2018-05-10,121591.36000000002
2018-05-11,121167.64000000001
2018-05-14,121916.97
2018-05-15,121663.12000000001
2018-05-16,122306.73000000001
2018-05-17,122456.50000000003
2018-05-18,122302.1
2018-05-21,123390.85
2018-05-22,123406.20000000001
2018-05-23,123698.89000000001
2018-05-24,122953.56000000001
2018-05-25,121381.52
2018-05-28,121381.52
2018-05-29,119671.27000000002
2018-05-30,121595.44
2018-05-31,120901.16000000002
2018-06-01,121069.23000000001
2018-06-04,120855.06000000003
2018-06-05,120760.28000000001
2018-06-06,121671.78000000004
2018-06-07,121908.89000000001
2018-06-08,122210.25000000003
2018-06-11,122296.34000000001
2018-06-12,122536.74000000002
2018-06-13,121454.35
2018-06-14,121088.60000000002
2018-06-15,118544.93000000001
2018-06-18,119151.29000000001
2018-06-19,117828.31000000001
2018-06-20,118585.91000000002
2018-06-21,117880.69
2018-06-22,120472.85
2018-06-25,118605.42000000001
2018-06-26,119801.86
2018-06-27,119553.96000000002
2018-06-28,120391.61000000002
2018-06-29,121717.23000000003
2018-07-02,119402.70000000001
2018-07-03,119854.15000000002
2018-07-04,119854.15000000002
2018-07-05,121400.15000000002
2018-07-06,122467.32000000004
2018-07-09,122562.18000000002
2018-07-10,122622.61000000002
2018-07-11,119053.78000000003
2018-07-12,119943.66000000003
2018-07-13,119923.93000000002
2018-07-16,117641.73000000003
2018-07-17,117368.30000000002
2018-07-18,117887.61000000002
2018-07-19,118506.78000000003
2018-07-20,118406.53000000003
2018-07-23,118594.13000000003
2018-07-24,118837.45000000001
2018-07-25,120836.03000000001
2018-07-26,120996.48000000001
2018-07-27,119687.48000000004
2018-07-30,120112.79000000002
2018-07-31,121026.37000000002
2018-08-01,119734.72000000003
2018-08-02,119518.13000000002
2018-08-03,120795.16000000003
2018-08-06,120524.09000000005
2018-08-07,121833.57
2018-08-08,120266.24000000002
2018-08-09,119659.59000000004
2018-08-10,116972.92000000003
2018-08-13,115945.91000000003
2018-08-14,116643.95000000003
2018-08-15,113758.20000000003
2018-08-16,115874.45000000003
2018-08-17,117585.82000000002
2018-08-20,118346.78000000003
2018-08-21,118739.98000000001
2018-08-22,119861.46000000002
2018-08-23,118797.12000000002
2018-08-24,120630.58000000002
2018-08-27,122149.16000000003
2018-08-28,122657.14000000004
2018-08-29,124327.12000000001
2018-08-30,122727.60000000003
2018-08-31,122246.86000000002
2018-09-03,122246.86000000002
2018-09-04,120654.89000000001
2018-09-05,120614.94
2018-09-06,120418.49000000002
2018-09-07,119372.65000000001
2018-09-10,120155.41
