,equity
2016-01-04,99490.36997688808
2016-01-05,99474.04673864937
2016-01-06,99544.94898512508
2016-01-07,99521.53164037476
2016-01-08,99567.79375493125
2016-01-11,99520.90083747017
2016-01-12,99499.29826415304
2016-01-13,99614.03646016758
2016-01-14,99552.8971017229
2016-01-15,99369.2461145471
2016-01-18,99358.095460126
2016-01-19,99346.28488882011
2016-01-20,99429.1335718427
2016-01-21,99264.54253704555
2016-01-22,99342.43213877208
2016-01-25,99417.88587082092
2016-01-26,99487.09950644433
2016-01-27,99433.80151333667
2016-01-28,99333.00891384356
2016-01-29,99418.75929022726
2016-02-01,99328.44437839641
2016-02-02,99377.62467851468
2016-02-03,99487.2895167275
2016-02-04,99310.00977492756
2016-02-05,99443.97643648188
2016-02-08,99464.66273431685
2016-02-09,99464.66273431685
2016-02-10,99561.1835354982
2016-02-11,99590.12604600894
2016-02-12,99575.34358096313
2016-02-15,99506.3648462355
2016-02-16,99506.3648462355
2016-02-17,99460.6902328742
2016-02-18,99320.17901249157
2016-02-19,99289.13125928082
2016-02-22,99275.31903652288
2016-02-23,99432.08639184132
2016-02-24,99365.98177106072
2016-02-25,99411.1987229655
2016-02-26,99393.55129720186
2016-02-29,99276.98643717958
2016-03-01,99294.95026073494
2016-03-02,99206.87330496548
2016-03-03,99182.72302856769
2016-03-04,99209.23766768973
2016-03-07,99284.6572831609
2016-03-08,99384.98270447181
2016-03-09,99472.24191072764
2016-03-10,99522.72905461403
2016-03-11,99522.72905461403
2016-03-14,99549.2970252261
2016-03-15,99495.81442931683
2016-03-16,99527.72443751265
2016-03-17,99387.69372188122
2016-03-18,99387.69372188122
2016-03-21,99447.40721354124
2016-03-22,99620.05902390213
2016-03-23,99673.78161151649
2016-03-24,99578.34491012414
2016-03-25,99648.98246865676
2016-03-28,99635.12018659222
2016-03-29,99792.4557100645
2016-03-30,99726.11150789738
2016-03-31,99771.49233851297
2016-04-01,99753.78095360876
2016-04-04,99803.93871376281
2016-04-05,99803.93871376281
2016-04-06,99669.30279200128
2016-04-07,99534.07894045042
2016-04-08,99574.71958713936
2016-04-11,99673.97867110724
2016-04-12,99726.54326883647
2016-04-13,99692.95777961976
2016-04-14,99664.99436901373
2016-04-15,99757.35446435967
2016-04-18,99753.36756547561
2016-04-19,99851.01902892574
2016-04-20,99814.20911227056
2016-04-21,99725.20205400449
2016-04-22,99899.65184618867
2016-04-25,99949.42583955695
2016-04-26,99943.70555888538
2016-04-27,99982.79414347444
2016-04-28,100085.74975615567
2016-04-29,100085.74975615567
2016-05-02,100137.41163093373
2016-05-03,100121.27968428734
2016-05-04,100044.85824482031
2016-05-05,100067.59777640084
2016-05-06,100146.4451434794
2016-05-09,100199.79667211918
2016-05-10,100360.40818305442
2016-05-11,100059.5837198164
2016-05-12,99819.05818880606
2016-05-13,100002.4564283571
2016-05-16,99944.979878837
2016-05-17,99856.1644979149
2016-05-18,99780.87578729373
2016-05-19,100023.06265394465
2016-05-20,99956.69418298457
2016-05-23,99959.60881723702
2016-05-24,99960.85794620236
2016-05-25,99937.5408721827
2016-05-26,99956.69418298456
2016-05-27,99954.19592505386
2016-05-30,99943.78651700937
2016-05-31,99950.03216183606
2016-06-01,99950.86491447959
2016-06-02,99947.53390390538
2016-06-03,99931.29522735598
2016-06-06,99957.94331194987
2016-06-07,99943.3701406876
2016-06-08,99931.29522735598
2016-06-09,99945.86839861824
2016-06-10,99954.6123013756
2016-06-13,99961.69069884586
2016-06-14,99958.7760645934
2016-06-15,99931.71160367772
2016-06-16,99943.78651700933
2016-06-17,99945.03564597467
2016-06-20,100063.79002770335
2016-06-21,100039.48603872214
2016-06-22,100122.98406868841
2016-06-23,100288.77133941757
2016-06-24,100208.39601489315
2016-06-27,100274.65964121862
2016-06-28,100337.07712007909
2016-06-29,100372.26021188985
2016-06-30,100191.89421076955
2016-07-01,100378.23089795456
2016-07-04,100285.78599638524
2016-07-05,100402.47078447799
2016-07-06,100450.2454304896
2016-07-07,100402.26931961077
