,equity
2016-01-04,90723.63271875036
2016-01-05,91019.16570379824
2016-01-06,91169.95358916704
2016-01-07,91102.55974321165
2016-01-08,91320.57361937777
2016-01-11,91559.0538351713
2016-01-12,92018.77913892335
2016-01-13,92079.93236989569
2016-01-14,92219.66579414172
2016-01-15,92219.66579414172
2016-01-18,92571.60410712006
2016-01-19,92427.65631944165
2016-01-20,92342.39189398146
2016-01-21,92505.43920071467
2016-01-22,92433.17755517596
2016-01-25,92497.16633935385
2016-01-26,92365.77171956644
2016-01-27,92087.6956709553
2016-01-28,92214.07262048258
2016-01-29,92024.48021946984
2016-02-01,92031.84051394819
2016-02-02,92002.6434585714
2016-02-03,91854.22916244828
2016-02-04,91946.83704670571
2016-02-05,91965.61006976989
2016-02-08,91977.97487624844
2016-02-09,91852.08088412623
2016-02-10,92115.86749104431
2016-02-11,92159.45556995338
2016-02-12,92321.24778108193
2016-02-15,92393.76438057756
2016-02-16,92209.02465100907
2016-02-17,92240.44322146887
2016-02-18,92297.68995630047
2016-02-19,92297.68995630047
2016-02-22,92603.63652528852
2016-02-23,92362.8706735714
2016-02-24,92489.49703330339
2016-02-25,92546.80479876912
2016-02-26,92829.85267382454
2016-02-29,92889.2871859515
2016-03-01,92156.35582405895
2016-03-02,92439.01917568623
2016-03-03,92444.9592990987
2016-03-04,92024.28375238826
2016-03-07,92019.23381553763
2016-03-08,92138.04460328748
2016-03-09,92208.02824214693
2016-03-10,92164.77515864358
2016-03-11,92221.15641405851
2016-03-14,92324.19342871309
2016-03-15,92820.64298668504
2016-03-16,92810.6595859918
2016-03-17,92471.28219892646
2016-03-18,92467.49682616361
2016-03-21,92718.56271459688
2016-03-22,92484.9844163779
2016-03-23,92520.21750132441
2016-03-24,92823.46329738088
2016-03-25,92828.72954124653
2016-03-28,93223.3439451675
2016-03-29,93274.63359691329
2016-03-30,93432.53859245448
2016-03-31,93694.34694499697
2016-04-01,93604.00932921827
2016-04-04,93828.04731321971
2016-04-05,93959.85451721362
2016-04-06,93749.88169812705
2016-04-07,93912.81577410435
2016-04-08,93485.80851721263
2016-04-11,92088.04355484288
2016-04-12,92860.07128156262
2016-04-13,92900.9833735632
2016-04-14,93305.87661394135
2016-04-15,93217.62960896749
2016-04-18,93434.75115555622
2016-04-19,94113.9731842971
2016-04-20,93821.16571932037
2016-04-21,93940.376993215
2016-04-22,94370.34014149471
2016-04-25,94368.67174984296
2016-04-26,93926.99468995156
2016-04-27,94099.03048486034
2016-04-28,94490.70137967097
2016-04-29,94666.07395788323
2016-05-02,94715.97072023276
2016-05-03,94890.49542727772
2016-05-04,94976.88711739726
2016-05-05,94807.29465015333
2016-05-06,94807.29465015333
2016-05-09,94686.55961931193
2016-05-10,94710.15414168732
2016-05-11,95030.84089769774
2016-05-12,95500.02362760718
2016-05-13,95306.17110470598
2016-05-16,95182.56425216896
2016-05-17,95292.67810118369
2016-05-18,95204.63625320095
2016-05-19,95206.76048956628
2016-05-20,95269.61235867605
2016-05-23,95695.23475877446
2016-05-24,95355.4839128227
2016-05-25,95349.75074845496
2016-05-26,94866.6540051266
2016-05-27,94511.23139069078
2016-05-30,94847.44832419917
2016-05-31,95077.50518485387
2016-06-01,95318.32327057367
2016-06-02,95729.05455268027
2016-06-03,96202.86743101488
