date,equity
2017-01-31,100000.0
2017-02-01,100060.59
2017-02-02,100095.70000000001
2017-02-03,100120.81
2017-02-06,100191.08000000002
2017-02-07,100116.07
2017-02-08,100242.19
2017-02-09,100221.4
2017-02-10,100277.67000000001
2017-02-13,100278.83000000002
2017-02-14,100208.56
2017-02-15,100281.20000000001
2017-02-16,100243.30000000002
2017-02-17,100384.58000000002
2017-02-20,100384.58000000002
2017-02-21,100523.81
2017-02-22,100620.4
2017-02-23,100758.89000000001
2017-02-24,100916.54000000001
2017-02-27,100854.64000000001
2017-02-28,100816.74000000002
2017-03-01,100722.05000000002
2017-03-02,100451.49000000002
2017-03-03,100570.03
2017-03-06,100382.90000000002
2017-03-07,100033.38
2017-03-08,99563.32
2017-03-09,99347.03
2017-03-10,99423.67000000001
2017-03-13,99343.03
2017-03-14,99193.01000000001
2017-03-15,100139.92000000001
2017-03-16,99997.48000000001
2017-03-17,100103.65
2017-03-20,100082.54000000001
2017-03-21,99812.87000000002
2017-03-22,99978.47
2017-03-23,99945.73000000001
2017-03-24,100221.87
2017-03-27,100257.82
2017-03-28,100349.1
2017-03-29,100555.02000000002
2017-03-30,100646.72
2017-03-31,100756.1
2017-04-03,100846.32
2017-04-04,100801.20999999999
2017-04-05,100849.53
2017-04-06,100886.22
2017-04-07,100695.83000000002
2017-04-10,100785.21000000002
2017-04-11,100778.47
2017-04-12,100966.86000000002
2017-04-13,100942.95999999999
2017-04-14,100942.95999999999
2017-04-17,100966.44
2017-04-18,101054.66
2017-04-19,100932.54000000001
2017-04-20,101028.66
2017-04-21,100940.86000000002
2017-04-24,101123.57
2017-04-25,101139.89000000001
2017-04-26,101180.63
2017-04-27,101249.27000000002
2017-04-28,101311.54000000001
2017-05-01,101175.42000000001
2017-05-02,101185.79000000001
2017-05-03,101145.05000000002
2017-05-04,100747.20999999999
2017-05-05,100856.54000000001
2017-05-08,100739.16
2017-05-09,100670.51999999999
2017-05-10,100874.39000000001
2017-05-11,101011.30000000002
2017-05-12,101063.20000000001
2017-05-15,101051.57
2017-05-16,101140.95000000001
2017-05-17,101200.53
2017-05-18,101308.28
2017-05-19,101483.46000000002
2017-05-22,101530.1
2017-05-23,101467.82999999999
2017-05-24,101567.58000000002
2017-05-25,101462.62
2017-05-26,101585.95000000001
2017-05-29,101585.95000000001
2017-05-30,101722.44
2017-05-31,101729.23000000001
2017-06-01,101838.93
2017-06-02,102034.11000000002
2017-06-05,101881.25
2017-06-06,101860.93000000002
2017-06-07,101676.96000000002
2017-06-08,101664.17000000001
2017-06-09,101656.17000000001
2017-06-12,101640.95999999999
2017-06-13,101796.19
2017-06-14,101805.77000000002
2017-06-15,101428.25
2017-06-16,101390.77000000002
2017-06-19,101479.31
2017-06-20,101370.82
2017-06-21,101180.16
2017-06-22,101435.56
2017-06-23,101655.79999999999
2017-06-26,101775.92000000001
2017-06-27,101438.30000000002
2017-06-28,101653.75
2017-06-29,101372.4
2017-06-30,101401.09
2017-07-03,101326.45000000001
2017-07-04,101326.45000000001
2017-07-05,101348.82
2017-07-06,101129.74000000002
2017-07-07,100957.72
2017-07-10,100984.04000000001
2017-07-11,101100.20999999999
2017-07-12,101500.42000000001
2017-07-13,101531.53
2017-07-14,101637.65
2017-07-17,101746.61000000002
2017-07-18,101889.1
2017-07-19,101998.43
2017-07-20,101923.37
2017-07-21,101940.16
2017-07-24,101978.06
2017-07-25,101830.36000000002
2017-07-26,102018.33000000002
2017-07-27,101951.69
2017-07-28,102059.86000000002
2017-07-31,102032.497124686
2017-08-01,102232.38712468599
2017-08-02,102169.14712468599
2017-08-03,102156.27712468598
2017-08-04,101991.427124686
2017-08-07,101981.31712468599
2017-08-08,101593.53712468599
2017-08-09,101465.497124686
2017-08-10,101177.19712468599
2017-08-11,101326.65712468598
2017-08-14,101520.69712468599
2017-08-15,101488.41712468599
2017-08-16,101618.28712468599
2017-08-17,101430.96712468598
2017-08-18,101454.577124686
2017-08-21,101560.267124686
2017-08-22,101691.00712468599
2017-08-23,101867.97712468599
2017-08-24,101842.47712468599
2017-08-25,102022.89712468599
2017-08-28,102022.89712468599
2017-08-29,102003.997124686
2017-08-30,102160.237124686
2017-08-31,102354.15712468598
2017-09-01,102224.34712468598
2017-09-04,102224.34712468598
2017-09-05,102401.19712468599
2017-09-06,102216.12712468598
2017-09-07,102393.09712468598
2017-09-08,102120.427124686
2017-09-11,102121.927124686
2017-09-12,102124.68712468598
2017-09-13,102106.53712468599
2017-09-14,102274.14712468599
2017-09-15,102344.16712468599
2017-09-18,102279.547124686
2017-09-19,102347.55712468598
2017-09-20,102288.33712468599
2017-09-21,102236.46712468598
2017-09-22,102330.03712468599
2017-09-25,102524.52712468599
2017-09-26,102574.38712468599
2017-09-27,102419.64712468599
2017-09-28,102485.58712468599
2017-09-29,102589.957124686
2017-10-02,102610.11712468599
2017-10-03,102790.53712468599
2017-10-04,102717.81712468599
2017-10-05,102708.45712468599
2017-10-06,102608.797124686
2017-10-09,102649.17712468599
2017-10-10,102714.487124686
2017-10-11,102651.18712468598
2017-10-12,102608.737124686
2017-10-13,102805.237124686
2017-10-16,102766.237124686
2017-10-17,102823.50712468599
2017-10-18,102802.02712468599
2017-10-19,102867.967124686
2017-10-20,102794.677124686
2017-10-23,102785.19712468599
2017-10-24,102676.86712468599
2017-10-25,102437.857124686
2017-10-26,102381.27712468599
2017-10-27,102631.71712468598
2017-10-30,102765.607124686
2017-10-31,102711.78712468599
2017-11-01,102737.97712468599
2017-11-02,102706.327124686
2017-11-03,102765.547124686
2017-11-06,102774.96712468598
2017-11-07,102623.437124686
2017-11-08,102374.25712468599
2017-11-09,102041.61712468599
2017-11-10,101888.31712468599
2017-11-13,101863.38712468599
2017-11-14,101692.267124686
2017-11-15,101875.957124686
2017-11-16,102246.517124686
2017-11-17,102273.39712468599
2017-11-20,102280.80712468599
2017-11-21,102511.02712468599
2017-11-22,102739.86712468599
2017-11-23,102739.86712468599
2017-11-24,102729.81712468599
2017-11-27,102568.177124686
2017-11-28,102762.78712468599
2017-11-29,102536.647124686
2017-11-30,102496.957124686
2017-12-01,102621.427124686
2017-12-04,102669.84712468598
2017-12-05,102732.39712468599
2017-12-06,102775.41712468599
2017-12-07,102705.457124686
2017-12-08,102693.39712468599
2017-12-11,102741.187124686
2017-12-12,102685.98712468598
2017-12-13,102871.05712468599
2017-12-14,102854.797124686
2017-12-15,102923.43712468598
2017-12-18,102836.017124686
2017-12-19,102521.017124686
2017-12-20,102445.02712468599
2017-12-21,102602.52712468599
2017-12-22,102672.54712468598
2017-12-25,102672.54712468598
2017-12-26,102800.467124686
2017-12-27,103062.90712468598
2017-12-28,103012.41712468599
2017-12-29,103140.33712468599
2018-01-01,103140.33712468599
2018-01-02,102880.65712468598
2018-01-03,103168.20712468599
2018-01-04,103235.58712468599
2018-01-05,103251.09712468598
2018-01-08,103216.74712468598
2018-01-09,102915.81712468599
2018-01-10,102847.747124686
2018-01-11,103096.867124686
2018-01-12,103027.47712468599
2018-01-15,103027.47712468599
2018-01-16,103047.63712468599
2018-01-17,102932.58712468599
2018-01-18,102718.567124686
2018-01-19,102631.14712468599
2018-01-22,102625.80712468599
2018-01-23,102932.76712468598
2018-01-24,102852.63712468599
2018-01-25,103044.367124686
2018-01-26,103017.487124686
2018-01-29,102751.53712468599
2018-01-30,102445.207124686
2018-01-31,102586.64013776799
2018-02-01,102312.540137768
2018-02-02,101817.84013776798
2018-02-05,101604.54013776798
2018-02-06,101778.94013776799
2018-02-07,101493.94013776799
2018-02-08,100933.24013776798
2018-02-09,100673.84013776798
2018-02-12,100962.44013776799
2018-02-13,100815.14013776799
2018-02-14,100734.040137768
2018-02-15,101279.24013776798
2018-02-16,101583.74013776798
2018-02-19,101583.74013776798
2018-02-20,101249.74013776798
2018-02-21,100822.34013776798
2018-02-22,100913.040137768
2018-02-23,101394.34013776798
2018-02-26,101524.74013776798
2018-02-27,101223.040137768
2018-02-28,101236.34013776798
2018-03-01,101004.34013776798
2018-03-02,101020.74013776799
2018-03-05,101006.64013776799
2018-03-06,101098.74013776798
2018-03-07,100973.64013776797
2018-03-08,101110.040137768
2018-03-09,101115.040137768
2018-03-12,101104.84013776798
2018-03-13,100968.94013776799
2018-03-14,101018.54013776798
2018-03-15,101090.44013776799
2018-03-16,101226.24013776798
2018-03-19,100907.64013776799
2018-03-20,100846.04013776798
2018-03-21,100837.34013776798
2018-03-22,100648.84013776798
2018-03-23,100406.24013776798
2018-03-26,100825.74013776798
2018-03-27,100943.84013776798
2018-03-28,101034.44013776799
2018-03-29,101375.14013776799
2018-03-30,101375.14013776799
2018-04-02,101188.84013776798
2018-04-03,101194.44013776799
2018-04-04,101290.64013776799
2018-04-05,101341.74013776798
2018-04-06,101372.44013776798
2018-04-09,101558.74013776798
2018-04-10,101723.54013776798
2018-04-11,101771.24013776798
2018-04-12,101809.14013776797
2018-04-13,101845.44013776799
2018-04-16,101916.74013776798
2018-04-17,101938.94013776799
2018-04-18,101678.34013776798
2018-04-19,101373.24013776798
2018-04-20,101100.44013776799
2018-04-23,100963.24013776798
2018-04-24,100759.64013776799
2018-04-25,100628.040137768
2018-04-26,100905.640137768
2018-04-27,100977.44013776799
2018-04-30,100910.24013776798
2018-05-01,100827.040137768
2018-05-02,100779.34013776798
2018-05-03,100788.74013776798
2018-05-04,100874.74013776798
2018-05-07,100864.74013776798
2018-05-08,100784.04013776798
2018-05-09,100853.34013776798
2018-05-10,101190.64013776799
2018-05-11,101246.34013776798
2018-05-14,101178.540137768
2018-05-15,100651.74013776798
2018-05-16,100647.14013776799
2018-05-17,100596.84013776798
2018-05-18,100718.94013776799
2018-05-21,100809.04013776798
2018-05-22,100796.34013776798
2018-05-23,101011.94013776799
2018-05-24,101151.64013776799
2018-05-25,101204.540137768
2018-05-28,101204.540137768
2018-05-29,101247.84013776798
2018-05-30,101209.14013776799
2018-05-31,101160.74013776798
2018-06-01,101174.34013776798
2018-06-04,101171.84013776798
2018-06-05,101251.84013776798
2018-06-06,101200.34013776798
2018-06-07,101356.14013776799
2018-06-08,101263.44013776799
2018-06-11,101302.54013776798
2018-06-12,101344.24013776798
2018-06-13,101321.44013776799
2018-06-14,101635.24013776798
2018-06-15,101549.24013776798
2018-06-18,101502.24013776798
2018-06-19,101459.14013776799
2018-06-20,101275.94013776799
2018-06-21,101146.84013776798
2018-06-22,101205.94013776799
2018-06-25,101060.04013776798
2018-06-26,101193.640137768
2018-06-27,101245.84013776798
2018-06-28,101075.74013776798
2018-06-29,100990.94013776799
2018-07-02,101037.34013776798
2018-07-03,101199.84013776798
2018-07-04,101199.84013776798
2018-07-05,101494.24013776798
2018-07-06,101661.64013776797
2018-07-09,101761.14013776799
2018-07-10,101721.54013776798
2018-07-11,101739.540137768
2018-07-12,101969.44013776799
2018-07-13,102002.34013776798
2018-07-16,101902.24013776798
2018-07-17,101888.84013776798
2018-07-18,101894.24013776798
2018-07-19,101949.94013776798
2018-07-20,101837.84013776798
2018-07-23,101653.84013776798
2018-07-24,101881.64013776799
2018-07-25,102019.44013776799
2018-07-26,102064.44013776799
2018-07-27,102106.04013776798
2018-07-30,102064.44013776799
2018-07-31,102258.026084868
2018-08-01,101940.50608486799
2018-08-02,102030.84608486798
2018-08-03,102281.426084868
2018-08-06,102387.836084868
2018-08-07,102186.836084868
2018-08-08,102201.37608486798
2018-08-09,102534.926084868
2018-08-10,102776.66608486799
2018-08-13,102648.44608486799
2018-08-14,102632.496084868
2018-08-15,102805.766084868
2018-08-16,102859.71608486798
2018-08-17,102967.556084868
2018-08-20,103282.21608486798
2018-08-21,103199.246084868
2018-08-22,103388.62608486798
2018-08-23,103451.25608486799
2018-08-24,103618.84608486798
2018-08-27,103379.96608486798
2018-08-28,103091.526084868
2018-08-29,103119.176084868
2018-08-30,103186.15608486798
2018-08-31,103132.306084868
2018-09-03,103132.306084868
2018-09-04,102795.736084868
2018-09-05,102634.00608486799
2018-09-06,102824.85608486799
2018-09-07,102405.296084868
2018-09-10,102654.466084868
2018-09-11,102329.63608486799
2018-09-12,102536.576084868
2018-09-13,102689.60608486799
2018-09-14,102516.296084868
2018-09-17,102487.13608486799
2018-09-18,102029.736084868
2018-09-19,101691.716084868
2018-09-20,101800.88608486799
2018-09-21,101943.78608486798
2018-09-24,101812.66608486799
2018-09-25,101732.516084868
2018-09-26,102077.78608486798
2018-09-27,102191.486084868
2018-09-28,102107.026084868
2018-10-01,101920.68608486798
2018-10-02,102142.06608486798
2018-10-03,101282.52608486798
2018-10-04,100829.35608486799
2018-10-05,100274.18608486798
2018-10-08,100039.576084868
2018-10-09,100520.336084868
2018-10-10,100093.246084868
2018-10-11,100636.616084868
2018-10-12,100721.31608486798
2018-10-15,100667.38608486799
2018-10-16,100916.616084868
2018-10-17,100580.046084868
2018-10-18,100384.68608486798
2018-10-19,100314.78608486798
2018-10-22,100279.84608486798
2018-10-23,100367.206084868
2018-10-24,100470.43608486801
2018-10-25,100383.116084868
2018-10-26,100439.74608486798
2018-10-29,100314.44608486799
2018-10-30,100192.16608486799
2018-10-31,99982.40608486801
2018-11-01,100218.56608486798
2018-11-02,99676.66608486799
2018-11-05,99874.806084868
2018-11-06,99957.93608486798
2018-11-07,100255.31608486798
2018-11-08,100156.176084868
2018-11-09,100218.586084868
2018-11-12,100227.086084868
2018-11-13,100127.96608486798
2018-11-14,100066.706084868
2018-11-15,100037.56608486798
2018-11-16,100151.06608486798
2018-11-19,100133.46608486798
2018-11-20,100019.72608486799
2018-11-21,100213.65608486798
2018-11-22,100213.65608486798
2018-11-23,100028.44608486799
2018-11-26,100129.13608486799
2018-11-27,100162.62608486798
2018-11-28,100307.15608486798
2018-11-29,100483.426084868
2018-11-30,100553.266084868
2018-12-03,101137.65608486798
2018-12-04,101596.266084868
2018-12-05,101596.266084868
2018-12-06,101578.646084868
2018-12-07,101577.116084868
2018-12-10,101789.81608486798
2018-12-11,101861.266084868
2018-12-12,101803.12608486801
2018-12-13,101804.676084868
2018-12-14,101771.00608486799
2018-12-17,101747.44608486799
2018-12-18,101929.456084868
2018-12-19,102131.586084868
2018-12-20,101598.10608486799
2018-12-21,101385.24608486798
2018-12-24,101294.646084868
2018-12-25,101294.646084868
2018-12-26,101506.496084868
2018-12-27,101493.366084868
2018-12-28,101923.13608486799
2018-12-31,102130.016084868
2019-01-01,102130.016084868
2019-01-02,102307.676084868
2019-01-03,102840.836084868
2019-01-04,103011.90608486798
2019-01-07,103289.046084868
2019-01-08,103462.65608486798
2019-01-09,103443.766084868
2019-01-10,103323.016084868
2019-01-11,103359.306084868
2019-01-14,103054.736084868
2019-01-15,103038.84608486798
2019-01-16,103148.15608486798
2019-01-17,103277.90608486798
2019-01-18,103170.22608486799
2019-01-21,103170.22608486799
2019-01-22,103183.076084868
2019-01-23,103253.076084868
2019-01-24,103585.236084868
2019-01-25,103480.456084868
2019-01-28,103371.146084868
2019-01-29,103569.22608486799
2019-01-30,103884.18608486798
2019-01-31,104352.10847871
2019-02-01,103846.25847870999
2019-02-04,103550.59847870999
2019-02-05,103831.08847871001
2019-02-06,103886.72847870999
2019-02-07,104321.59847870999
2019-02-08,104569.67847871
2019-02-11,104324.78847870999
2019-02-12,104154.28847870999
2019-02-13,103874.18847871001
2019-02-14,104337.88847871
2019-02-15,104363.01847871
2019-02-18,104363.01847871
2019-02-19,104552.99847871001
2019-02-20,104413.95847871
2019-02-21,103885.94847871
2019-02-22,104280.34847870999
2019-02-25,104082.86847871
2019-02-26,104429.85847871
2019-02-27,103774.05847871001
2019-02-28,103506.32847871
2019-03-01,102964.26847871
2019-03-04,103436.24847870998
2019-03-05,103555.97847870999
2019-03-06,103837.19847871
2019-03-07,104267.75847870999
2019-03-08,104516.39847871
2019-03-11,104357.87847870999
2019-03-12,104785.63847871
2019-03-13,104684.26847871
2019-03-14,104302.01847871
2019-03-15,104732.01847871
2019-03-18,104647.71847871001
2019-03-19,104523.67847871
2019-03-20,105291.65847870999
2019-03-21,105371.30847871001
2019-03-22,106396.37847870999
2019-03-25,106581.65847870999
2019-03-26,106512.52847871001
2019-03-27,107062.08847871001
2019-03-28,107226.42847871
2019-03-29,107115.14847871
2019-04-01,106148.34847870999
2019-04-02,106307.59847870999
2019-04-03,105774.71847871001
2019-04-04,105947.84847870999
2019-04-05,106032.53847870999
2019-04-08,105795.70847871
2019-04-09,106015.85847871
