date,equity
2017-01-31,100000.0
2017-02-01,100873.18
2017-02-02,100923.23000000001
2017-02-03,100848.155
2017-02-06,100281.82
2017-02-07,99942.63500000001
2017-02-08,100249.48000000001
2017-02-09,100626.01000000001
2017-02-10,101584.275
2017-02-13,100543.62
2017-02-14,100783.475
2017-02-15,100798.10500000001
2017-02-16,100281.82
2017-02-17,100122.04500000001
2017-02-20,100122.04500000001
2017-02-21,100082.38999999998
2017-02-22,99705.86000000002
2017-02-23,99892.58500000002
2017-02-24,99820.59
2017-02-27,99598.445
2017-02-28,99860.245
2017-03-01,100204.435
2017-03-02,98879.65
2017-03-03,99298.91500000001
2017-03-06,99266.57500000001
2017-03-07,98847.31
2017-03-08,96948.48999999999
2017-03-09,96197.35500000001
2017-03-10,95488.95499999999
2017-03-13,95324.17499999999
2017-03-14,95037.35
2017-03-15,95763.45999999999
2017-03-16,95706.095
2017-03-17,95885.505
2017-03-20,95878.19
2017-03-21,95431.59
2017-03-22,95374.225
2017-03-23,95184.41999999998
2017-03-24,95534.0
2017-03-27,95424.275
2017-03-28,95818.13
2017-03-29,96601.60499999998
2017-03-30,96873.41500000001
2017-03-31,97133.29000000001
2017-04-03,96801.42000000001
2017-04-04,97592.20999999999
2017-04-05,97782.01499999998
2017-04-06,97974.13
2017-04-07,98228.61499999999
2017-04-10,98772.23499999999
2017-04-11,98962.04000000001
2017-04-12,98911.98999999999
2017-04-13,99191.5
2017-04-14,99191.5
2017-04-17,98789.945
2017-04-18,98408.025
2017-04-19,96998.54000000001
2017-04-20,96661.66500000001
2017-04-21,95878.19
2017-04-24,95598.68
2017-04-25,96067.995
2017-04-26,95496.26999999999
2017-04-27,95044.66500000001
2017-04-28,94997.695
2017-05-01,95037.35
2017-05-02,94171.48500000002
2017-05-03,93934.70999999999
2017-05-04,91960.815
2017-05-05,93081.16500000001
2017-05-08,92744.29000000001
2017-05-09,92380.07999999999
2017-05-10,93585.13
2017-05-11,93967.04999999999
2017-05-12,93967.04999999999
2017-05-15,94493.73000000001
2017-05-16,94501.04500000001
2017-05-17,95037.35
2017-05-18,94807.89000000001
2017-05-19,96374.84
2017-05-22,96966.20000000001
2017-05-23,96686.69
2017-05-24,96514.595
2017-05-25,94705.48000000001
2017-05-26,95366.91
2017-05-29,95366.91
2017-05-30,94673.14000000001
2017-05-31,93724.88500000001
2017-06-01,93230.93
2017-06-02,92901.755
2017-06-05,92432.44
2017-06-06,93016.48500000002
2017-06-07,91796.035
2017-06-08,91911.15
2017-06-09,92272.66500000001
