date,equity
2017-01-31,100000.00000000001
2017-02-01,100305.96
2017-02-02,100064.07000000002
2017-02-03,100513.83000000002
2017-02-06,100496.32
2017-02-07,100428.26000000001
2017-02-08,100513.59000000001
2017-02-09,100810.07
2017-02-10,101383.05000000002
2017-02-13,102035.68000000001
2017-02-14,102132.43000000001
2017-02-15,102353.29000000001
2017-02-16,102426.56000000001
2017-02-17,102493.42000000001
2017-02-20,102493.42000000001
2017-02-21,102890.11000000002
2017-02-22,102920.88
2017-02-23,102561.53000000001
2017-02-24,102812.08000000002
2017-02-27,102832.24000000002
2017-02-28,102544.89000000001
2017-03-01,104012.46000000002
2017-03-02,103183.14000000001
2017-03-03,103262.93000000001
2017-03-06,102959.74000000002
2017-03-07,102721.82
2017-03-08,102655.36000000002
2017-03-09,102424.05000000002
2017-03-10,102884.12000000002
2017-03-13,102983.51000000001
2017-03-14,102405.76000000001
2017-03-15,103378.21
2017-03-16,103062.11000000002
2017-03-17,103413.52000000002
2017-03-20,103541.52
2017-03-21,102173.33000000002
2017-03-22,102540.15000000001
2017-03-23,102540.98000000001
2017-03-24,102241.28
2017-03-27,102195.82
2017-03-28,103047.55000000002
2017-03-29,103117.73000000003
2017-03-30,103334.02000000002
2017-03-31,103159.17000000001
2017-04-03,102957.25
2017-04-04,103156.88000000002
2017-04-05,102914.00000000001
2017-04-06,103158.11000000002
2017-04-07,103144.78000000001
2017-04-10,103162.87000000001
2017-04-11,103015.37000000001
2017-04-12,102150.80000000002
2017-04-13,101548.21
2017-04-14,101548.21
2017-04-17,102343.27
2017-04-18,102211.54000000001
2017-04-19,102251.44
2017-04-20,103186.12000000001
2017-04-21,103117.82000000002
2017-04-24,104220.70000000001
2017-04-25,104985.34000000001
2017-04-26,104946.92000000001
2017-04-27,104985.40000000001
2017-04-28,104723.19000000002
2017-05-01,104857.43000000001
2017-05-02,105127.42000000001
2017-05-03,104803.01000000001
2017-05-04,104841.63
2017-05-05,105515.43000000001
2017-05-08,105336.17000000001
2017-05-09,105201.30000000002
2017-05-10,105342.01000000001
2017-05-11,105248.28000000001
2017-05-12,105091.93000000001
2017-05-15,105663.24
2017-05-16,105787.18000000001
2017-05-17,103704.99000000002
2017-05-18,103946.33000000002
2017-05-19,104759.82
2017-05-22,105254.72000000002
2017-05-23,105411.35
2017-05-24,105771.13000000002
2017-05-25,106158.51000000001
2017-05-26,106234.34000000001
2017-05-29,106234.34000000001
2017-05-30,106343.34000000001
2017-05-31,106450.32
2017-06-01,107053.19
2017-06-02,107558.61000000002
2017-06-05,107384.15000000001
2017-06-06,107144.79000000002
2017-06-07,107230.52
2017-06-08,107511.76000000001
2017-06-09,107176.59000000001
2017-06-12,106984.67000000001
2017-06-13,107669.1
2017-06-14,107214.23000000001
2017-06-15,106993.48000000001
2017-06-16,107157.65000000001
2017-06-19,108066.51000000001
2017-06-20,107301.87000000001
2017-06-21,106951.18000000002
2017-06-22,106946.62000000002
2017-06-23,107368.75000000001
2017-06-26,107295.96
2017-06-27,106362.02000000002
2017-06-28,107297.85
2017-06-29,106130.89000000001
2017-06-30,106522.93000000002
2017-07-03,106713.75000000001
2017-07-04,106713.75000000001
2017-07-05,107013.67000000001
2017-07-06,106353.11000000002
2017-07-07,107083.45000000001
2017-07-10,107599.52000000002
2017-07-11,107603.96000000002
2017-07-12,108529.72000000002
2017-07-13,108542.17000000001
2017-07-14,109118.51000000001
2017-07-17,109145.30000000002
2017-07-18,109092.14000000001
2017-07-19,109582.33000000002
2017-07-20,109254.39000000001
2017-07-21,109165.72
2017-07-24,109140.36000000002
2017-07-25,109360.02
2017-07-26,109350.57
2017-07-27,108934.64000000001
2017-07-28,108866.39000000001
2017-07-31,108405.27843663603
2017-08-01,108382.848436636
2017-08-02,108523.89843663602
2017-08-03,108648.98843663602
2017-08-04,108734.04843663602
2017-08-07,108991.61843663602
2017-08-08,108691.748436636
2017-08-09,108730.688436636
2017-08-10,107344.44843663601
2017-08-11,107668.598436636
2017-08-14,108669.28843663601
2017-08-15,108645.128436636
2017-08-16,108907.32843663602
2017-08-17,107370.678436636
2017-08-18,107092.688436636
2017-08-21,107263.558436636
2017-08-22,108433.54843663602
2017-08-23,107855.998436636
2017-08-24,107807.72843663601
2017-08-25,107949.998436636
2017-08-28,108150.85843663602
2017-08-29,108568.28843663601
2017-08-30,109094.42843663602
2017-08-31,109888.938436636
2017-09-01,109873.188436636
2017-09-04,109873.188436636
2017-09-05,109138.878436636
2017-09-06,109348.248436636
2017-09-07,109847.20843663602
2017-09-08,109854.23843663602
2017-09-11,110806.31843663601
2017-09-12,111096.158436636
2017-09-13,110895.53843663601
2017-09-14,110978.97843663601
2017-09-15,111145.588436636
2017-09-18,111338.41843663601
2017-09-19,111251.05843663603
2017-09-20,111375.408436636
2017-09-21,111141.94843663601
2017-09-22,111231.00843663601
2017-09-25,110771.528436636
2017-09-26,110829.618436636
2017-09-27,111171.778436636
2017-09-28,111223.44843663601
2017-09-29,111711.25843663601
2017-10-02,112305.408436636
2017-10-03,112511.73843663602
2017-10-04,112642.06843663601
2017-10-05,113050.408436636
2017-10-06,113042.058436636
2017-10-09,112834.01843663599
2017-10-10,112990.06843663601
2017-10-11,113136.598436636
2017-10-12,113194.528436636
2017-10-13,113211.76843663602
2017-10-16,113214.45843663599
2017-10-17,113562.118436636
2017-10-18,113707.50843663601
2017-10-19,113899.498436636
2017-10-20,114496.71843663603
2017-10-23,114059.81843663601
2017-10-24,114117.91843663601
2017-10-25,113569.648436636
2017-10-26,113434.098436636
2017-10-27,114321.128436636
2017-10-30,113831.848436636
2017-10-31,113791.528436636
2017-11-01,113851.348436636
2017-11-02,113908.95843663599
2017-11-03,114405.95843663602
2017-11-06,114395.48843663602
2017-11-07,114535.588436636
2017-11-08,114740.01843663602
2017-11-09,114067.91843663601
2017-11-10,113908.028436636
2017-11-13,113827.51843663602
2017-11-14,113518.26843663599
2017-11-15,113014.658436636
2017-11-16,114111.028436636
2017-11-17,113586.73843663599
2017-11-20,113732.16843663601
2017-11-21,114587.688436636
2017-11-22,114550.89843663602
2017-11-23,114550.89843663602
2017-11-24,114818.688436636
2017-11-27,114906.178436636
2017-11-28,115741.25843663601
2017-11-29,115399.598436636
2017-11-30,116519.91843663601
2017-12-01,115876.688436636
2017-12-04,115201.88843663601
2017-12-05,114877.06843663601
2017-12-06,115112.878436636
2017-12-07,115636.748436636
2017-12-08,116294.22843663601
2017-12-11,116660.56843663604
2017-12-12,116812.33843663603
2017-12-13,117062.74843663603
2017-12-14,116475.19843663601
2017-12-15,117434.498436636
2017-12-18,118014.658436636
2017-12-19,117750.658436636
2017-12-20,117760.32843663602
2017-12-21,117651.08843663603
2017-12-22,117523.17843663602
2017-12-25,117523.17843663602
2017-12-26,117334.878436636
2017-12-27,117505.76843663602
2017-12-28,117680.20843663599
2017-12-29,117212.76843663602
2018-01-01,117212.76843663602
2018-01-02,118231.20843663602
2018-01-03,119009.93843663603
2018-01-04,119491.79843663602
2018-01-05,120384.00843663601
2018-01-08,120544.04843663602
2018-01-09,121069.95843663602
2018-01-10,120880.13843663601
2018-01-11,121624.16843663601
2018-01-12,122418.908436636
2018-01-15,122418.908436636
2018-01-16,122103.938436636
2018-01-17,123163.21843663603
2018-01-18,123061.45843663602
2018-01-19,123385.41843663601
2018-01-22,123979.54843663599
2018-01-23,123962.898436636
2018-01-24,123747.23843663602
2018-01-25,124008.968436636
2018-01-26,125756.22843663601
2018-01-29,125073.82843663602
2018-01-30,123683.70843663602
2018-01-31,123582.15222999004
2018-02-01,123607.50222999003
2018-02-02,121438.69222999003
2018-02-05,117066.50222999002
2018-02-06,119463.39222999002
2018-02-07,118989.01222999002
2018-02-08,114785.93222999002
2018-02-09,116387.56222999003
2018-02-12,117882.14222999003
2018-02-13,118272.05222999002
2018-02-14,120199.11222999003
2018-02-15,121339.12222999003
2018-02-16,121067.48222999001
2018-02-19,121067.48222999001
2018-02-20,120935.94222999002
2018-02-21,120669.77222999003
2018-02-22,120470.00222999002
2018-02-23,122148.71222999004
2018-02-26,123529.26222999002
2018-02-27,122083.70222999001
2018-02-28,121213.48222999003
2018-03-01,119663.99222999004
2018-03-02,120160.67222999003
2018-03-05,121347.33222999002
2018-03-06,121808.15222999002
2018-03-07,121702.96222999004
2018-03-08,122071.10222999004
2018-03-09,124109.83222999003
2018-03-12,124187.72222999002
2018-03-13,123165.44222999002
2018-03-14,122695.75222999002
2018-03-15,122693.05222999002
2018-03-16,122646.73222999003
2018-03-19,121255.80222999003
2018-03-20,121536.93222999002
2018-03-21,121285.64222999003
2018-03-22,118414.82222999004
2018-03-23,115851.80222999002
2018-03-26,119110.53222999001
2018-03-27,116702.65222999002
2018-03-28,116140.46222999002
2018-03-29,117725.36222999003
2018-03-30,117725.36222999003
2018-04-02,115244.58222999002
2018-04-03,116394.98222999003
2018-04-04,117805.82222999002
2018-04-05,118659.25222999003
2018-04-06,116316.30222999002
2018-04-09,116662.28222999001
2018-04-10,118378.64222999003
2018-04-11,117677.04222999002
2018-04-12,118800.23222999003
2018-04-13,118009.38222999002
2018-04-16,118658.23222999003
2018-04-17,119883.54222999002
2018-04-18,119841.36222999003
2018-04-19,119823.12222999003
2018-04-20,119043.72222999002
