entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-10-31,2016-11-30,long,EFA,43.69,42.9,-0.018082,signal_flip,
2017-02-28,2017-03-31,long,VNQ,59.55,58.11,-0.024181,signal_flip,
2016-10-31,2017-04-28,long,DBC,12.5,12.36,-0.0112,signal_flip,
2017-05-31,2017-12-29,long,IEF,87.35,86.98,-0.004236,signal_flip,
2017-04-28,2018-01-31,long,VNQ,58.25,57.9,-0.006009,signal_flip,
2016-12-30,2018-06-29,long,EFA,44.08,53.59,0.215744,signal_flip,
2018-07-31,2018-08-31,long,EFA,55.08,53.87,-0.021968,signal_flip,
2018-08-31,2018-09-28,long,IEF,85.61,84.58,-0.012031,signal_flip,
2016-10-31,2018-10-31,long,SPY,183.14,241.19,0.316971,signal_flip,
2017-09-29,2018-10-31,long,DBC,12.86,14.17,0.101866,signal_flip,
2018-05-31,2018-12-31,long,VNQ,58.05,56.84,-0.020844,signal_flip,
2019-11-29,2020-01-31,long,DBC,13.12,12.7,-0.032012,signal_flip,
2019-03-29,2020-02-28,long,EFA,52.42,51.98,-0.008394,signal_flip,
2019-02-28,2020-02-28,long,SPY,249.77,270.56,0.083237,signal_flip,
2019-01-31,2020-02-28,long,VNQ,63.57,68.94,0.084474,signal_flip,
2020-08-31,2020-09-30,long,DBC,11.79,11.37,-0.035623,signal_flip,
2020-08-31,2020-09-30,long,VNQ,65.65,63.89,-0.026809,signal_flip,
2018-11-30,2020-11-30,long,IEF,85.44,104.64,0.224719,signal_flip,
2021-07-30,2021-09-30,long,IEF,102.83,100.79,-0.019839,signal_flip,
2020-07-31,2021-11-30,long,EFA,52.57,66.61,0.267072,signal_flip,
2021-11-30,2022-01-31,long,IEF,101.44,98.78,-0.026222,signal_flip,
2021-12-31,2022-01-31,long,EFA,69.55,67.02,-0.036377,signal_flip,
2020-05-29,2022-02-28,long,SPY,279.8,411.83,0.471873,signal_flip,
2020-11-30,2022-02-28,long,VNQ,68.04,86.72,0.274544,signal_flip,
2022-03-31,2022-04-29,long,SPY,427.3,389.79,-0.087784,signal_flip,
2022-03-31,2022-05-31,long,VNQ,92.15,84.25,-0.08573,signal_flip,
2020-11-30,2022-09-30,long,DBC,12.14,20.82,0.714992,signal_flip,
2023-01-31,2023-02-28,long,VNQ,79.89,75.21,-0.058581,signal_flip,
2023-03-31,2023-06-30,long,IEF,88.97,87.3,-0.01877,signal_flip,
2022-11-30,2023-09-29,long,EFA,60.67,63.7,0.049942,signal_flip,
2023-06-30,2023-09-29,long,VNQ,74.85,68.43,-0.085772,signal_flip,
2023-01-31,2023-10-31,long,SPY,389.63,405.36,0.040372,signal_flip,
2023-07-31,2023-12-29,long,DBC,21.62,20.25,-0.063367,signal_flip,
2023-12-29,2024-04-30,long,IEF,88.73,84.84,-0.043841,signal_flip,
2024-04-30,2024-07-31,long,DBC,21.45,20.75,-0.032634,signal_flip,
2023-11-30,2024-11-29,long,EFA,66.93,75.22,0.123861,signal_flip,
2024-05-31,2024-12-31,long,IEF,86.37,88.17,0.020841,signal_flip,
2023-11-30,2025-03-31,long,VNQ,73.92,87.07,0.177895,signal_flip,
2023-11-30,2025-03-31,long,SPY,442.38,553.05,0.25017,signal_flip,
2025-01-31,2025-04-30,long,DBC,21.26,19.91,-0.0635,signal_flip,
2025-02-28,2026-03-31,long,IEF,91.2,95.12,0.042982,end_of_data,
2025-01-31,2026-03-31,long,EFA,76.5,97.13,0.269673,end_of_data,
2025-05-30,2026-03-31,long,SPY,582.71,650.34,0.116061,signal_flip,
2025-06-30,2026-03-31,long,DBC,21.11,28.95,0.371388,end_of_data,
2025-07-31,2026-03-31,long,VNQ,86.56,88.7,0.024723,signal_flip,
