date,equity
2017-07-31,25000.0
2017-08-01,24994.76
2017-08-02,25027.26
2017-08-03,25056.14
2017-08-04,25075.73
2017-08-07,25134.95
2017-08-08,25065.91
2017-08-09,25074.88
2017-08-10,24755.87
2017-08-11,24830.41
2017-08-14,25060.71
2017-08-15,25055.1
2017-08-16,25115.450000000004
2017-08-17,24761.75
2017-08-18,24697.739999999998
2017-08-21,24737.08
2017-08-22,25006.35
2017-08-23,24873.34
2017-08-24,24862.18
2017-08-25,24894.989999999998
2017-08-28,24941.18
2017-08-29,25037.309999999998
2017-08-30,25158.379999999997
2017-08-31,25341.18
2017-09-01,25337.58
2017-09-04,25337.58
2017-09-05,25168.53
2017-09-06,25216.71
2017-09-07,25331.510000000002
2017-09-08,25333.25
2017-09-11,25552.34
2017-09-12,25619.089999999997
2017-09-13,25572.92
2017-09-14,25592.22
2017-09-15,25630.6
2017-09-18,25675.050000000003
2017-09-19,25654.94
2017-09-20,25683.699999999997
2017-09-21,25630.08
2017-09-22,25650.61
2017-09-25,25544.98
2017-09-26,25558.32
2017-09-27,25636.989999999998
2017-09-28,25648.86
2017-09-29,25761.09
2017-10-02,25897.9
2017-10-03,25945.43
2017-10-04,25975.42
2017-10-05,26069.34
2017-10-06,26067.4
2017-10-09,26019.469999999998
2017-10-10,26055.39
2017-10-11,26089.07
2017-10-12,26102.510000000002
2017-10-13,26106.41
2017-10-16,26107.019999999997
2017-10-17,26186.96
2017-10-18,26220.4
2017-10-19,26264.64
2017-10-20,26402.18
2017-10-23,26301.59
2017-10-24,26315.04
2017-10-25,26188.76
2017-10-26,26157.57
2017-10-27,26361.46
2017-10-30,26248.75
2017-10-31,26239.37
2017-11-01,26253.12
2017-11-02,26266.469999999998
2017-11-03,26380.74
2017-11-06,26378.32
2017-11-07,26410.58
2017-11-08,26457.54
2017-11-09,26302.75
2017-11-10,26265.989999999998
2017-11-13,26247.41
2017-11-14,26176.219999999998
2017-11-15,26060.32
2017-11-16,26312.62
2017-11-17,26191.949999999997
2017-11-20,26225.46
2017-11-21,26422.33
2017-11-22,26413.9
2017-11-23,26413.9
2017-11-24,26475.47
2017-11-27,26495.629999999997
2017-11-28,26688.0
2017-11-29,26609.72
2017-11-30,26867.72
2017-12-01,26719.55
2017-12-04,26564.57
2017-12-05,26489.68
2017-12-06,26543.91
2017-12-07,26664.559999999998
2017-12-08,26815.870000000003
2017-12-11,26900.050000000003
2017-12-12,26934.989999999998
2017-12-13,26992.67
2017-12-14,26857.379999999997
2017-12-15,27078.120000000003
2017-12-18,27211.670000000002
2017-12-19,27150.98
2017-12-20,27153.27
2017-12-21,27128.170000000002
2017-12-22,27098.75
2017-12-25,27098.75
2017-12-26,27055.5
2017-12-27,27094.85
2017-12-28,27135.01
2017-12-29,27027.46
2018-01-01,27027.46
2018-01-02,27261.8
2018-01-03,27441.0
2018-01-04,27551.96
2018-01-05,27757.28
2018-01-08,27794.15
2018-01-09,27915.29
2018-01-10,27871.64
2018-01-11,28043.04
2018-01-12,28226.019999999997
2018-01-15,28226.019999999997
2018-01-16,28153.409999999996
2018-01-17,28397.090000000004
2018-01-18,28373.57
2018-01-19,28448.149999999998
2018-01-22,28584.760000000002
2018-01-23,28580.899999999998
2018-01-24,28531.329999999998
2018-01-25,28591.579999999998
2018-01-26,28993.67
2018-01-29,28836.61
2018-01-30,28516.71
2018-01-31,28493.345099474
2018-02-01,28499.475099474
2018-02-02,28000.845099473998
2018-02-05,26996.075099474
2018-02-06,27546.755099474
2018-02-07,27437.695099474
2018-02-08,26471.965099474
2018-02-09,26840.215099474
2018-02-12,27183.655099474
2018-02-13,27273.205099474
2018-02-14,27716.045099474002
2018-02-15,27978.055099474
2018-02-16,27915.705099474
2018-02-19,27915.705099474
2018-02-20,27885.535099474
2018-02-21,27824.335099474
2018-02-22,27778.365099474
2018-02-23,28164.145099474
2018-02-26,28481.475099474
2018-02-27,28149.545099474
2018-02-28,27949.505099473998
2018-03-01,27593.375099474
2018-03-02,27707.605099474
2018-03-05,27980.245099474
2018-03-06,28086.055099474
2018-03-07,28062.055099474
2018-03-08,28146.655099474
2018-03-09,28615.185099473998
2018-03-12,28633.025099473998
2018-03-13,28398.065099474
2018-03-14,28290.075099474
2018-03-15,28289.485099473997
2018-03-16,28278.855099474
2018-03-19,27959.225099474
2018-03-20,28023.725099474
2018-03-21,27965.935099474
2018-03-22,27306.165099474
2018-03-23,26717.135099474
2018-03-26,27465.965099474
2018-03-27,26912.595099474
2018-03-28,26783.585099473996
2018-03-29,27147.795099474
2018-03-30,27147.795099474
2018-04-02,26577.895099474
2018-04-03,26842.185099473998
2018-04-04,27166.245099474
2018-04-05,27362.195099474
2018-04-06,26823.825099473997
2018-04-09,26903.475099474
2018-04-10,27297.975099474
2018-04-11,27136.685099473998
2018-04-12,27394.925099474
2018-04-13,27213.175099474
2018-04-16,27362.235099473997
2018-04-17,27643.625099474
2018-04-18,27633.795099474
2018-04-19,27629.645099474
2018-04-20,27450.615099474
2018-04-23,27423.825099474
2018-04-24,27116.255099474
2018-04-25,27145.595099473998
2018-04-26,27410.355099474
2018-04-27,27440.975099474
2018-04-30,27293.245099474
2018-05-01,27403.295099474
2018-05-02,27258.365099474
2018-05-03,27179.145099474
2018-05-04,27522.435099474
2018-05-07,27657.335099474
2018-05-08,27689.855099474
2018-05-09,27929.595099473998
2018-05-10,28121.675099474
2018-05-11,28123.115099474
2018-05-14,28133.915099474
2018-05-15,27992.065099474
2018-05-16,28106.215099474
2018-05-17,28030.375099474
2018-05-18,27916.825099474
2018-05-21,28088.285099473997
2018-05-22,28086.275099473998
2018-05-23,28158.145099474
2018-05-24,28107.385099474
2018-05-25,28087.995099474
2018-05-28,28087.995099474
2018-05-29,27731.545099474002
2018-05-30,27999.685099473998
2018-05-31,27896.235099474
2018-06-01,28180.115099474002
2018-06-04,28362.865099474
2018-06-05,28406.375099474
2018-06-06,28667.645099474
2018-06-07,28642.315099474
2018-06-08,28660.325099474
2018-06-11,28690.765099474
2018-06-12,28748.695099473996
2018-06-13,28690.145099474
2018-06-14,28767.375099474
2018-06-15,28742.965099474
2018-06-18,28728.865099474
2018-06-19,28656.505099474
2018-06-20,28694.705099474
2018-06-21,28547.345099474
2018-06-22,28472.055099473997
2018-06-25,28038.215099474
2018-06-26,28107.725099474002
2018-06-27,27792.065099474
2018-06-28,28021.325099474
2018-06-29,28022.525099473998
2018-07-02,28151.205099474
2018-07-03,27941.685099473998
2018-07-04,27941.685099473998
2018-07-05,28118.105099474
2018-07-06,28316.185099473998
2018-07-09,28649.175099474
2018-07-10,28658.925099474
2018-07-11,28567.875099474
2018-07-12,28770.215099473997
2018-07-13,28747.155099474
2018-07-16,28875.965099474
2018-07-17,28956.385099474
2018-07-18,29061.425099474
2018-07-19,28894.665099474
2018-07-20,28875.255099474
2018-07-23,29011.065099474
2018-07-24,29058.295099474
2018-07-25,29251.025099473998
2018-07-26,29059.885099474
2018-07-27,28904.545099474
2018-07-30,28711.595099474
2018-07-31,28708.671972072
2018-08-01,28636.141972071997
2018-08-02,28752.941972072
2018-08-03,28768.251972071997
2018-08-06,28898.211972071997
2018-08-07,29021.031972071996
2018-08-08,28998.921972072
2018-08-09,28959.051972072
2018-08-10,28864.581972072
2018-08-13,28718.011972072
2018-08-14,28867.661972071997
2018-08-15,28413.001972071997
