date,equity
2017-07-31,100000.0
2017-08-01,100154.68
2017-08-02,100080.81666666667
2017-08-03,99610.04666666669
2017-08-04,99806.59666666668
2017-08-07,99904.16666666669
2017-08-08,99583.94333333334
2017-08-09,99236.84000000003
2017-08-10,97866.07666666669
2017-08-11,97915.23333333334
2017-08-14,98593.58000000002
2017-08-15,98436.09
2017-08-16,98972.23000000001
2017-08-17,97484.14666666667
2017-08-18,97790.88
2017-08-21,97692.83666666667
2017-08-22,98585.98666666666
2017-08-23,98698.85333333333
2017-08-24,98731.65333333335
2017-08-25,99016.01666666666
2017-08-28,98947.34333333335
2017-08-29,98900.57666666669
2017-08-30,99027.04000000001
2017-08-31,99704.90666666668
2017-09-01,100404.23000000001
2017-09-04,100404.23000000001
2017-09-05,99863.06
2017-09-06,100612.37000000002
2017-09-07,100783.39000000001
2017-09-08,100566.98000000001
2017-09-11,101632.66000000002
2017-09-12,102073.97
2017-09-13,102181.13333333333
2017-09-14,102448.74666666667
2017-09-15,102780.57666666668
2017-09-18,102991.75666666668
2017-09-19,103232.11
2017-09-20,103535.94
2017-09-21,103209.51333333335
2017-09-22,103442.03333333335
2017-09-25,103406.53333333334
2017-09-26,103263.38666666667
2017-09-27,103444.39333333334
2017-09-28,103634.54333333333
2017-09-29,103978.33666666667
2017-10-02,104582.07333333333
2017-10-03,105175.23333333335
2017-10-04,105136.09333333335
2017-10-05,105251.39000000001
2017-10-06,104890.29666666666
2017-10-09,104580.88666666667
2017-10-10,105118.13333333336
2017-10-11,105258.64333333334
2017-10-12,105212.12666666668
2017-10-13,105578.31
2017-10-16,105471.18666666668
2017-10-17,105313.81333333335
2017-10-18,105375.56666666668
2017-10-19,105396.57666666669
2017-10-20,105657.27666666666
2017-10-23,104925.36000000002
2017-10-24,105237.68
2017-10-25,104640.02
2017-10-26,104499.41
2017-10-27,104974.75
2017-10-30,104225.23333333334
2017-10-31,104298.78
2017-11-01,104438.49333333335
2017-11-02,104550.69
2017-11-03,104383.47333333336
