date,equity
2017-07-31,100000.0
2017-08-01,100279.86
2017-08-02,100582.85
2017-08-03,100146.38999999998
2017-08-04,100066.12
2017-08-07,100463.93
2017-08-08,100252.24
2017-08-09,99726.23999999999
2017-08-10,98457.88
2017-08-11,98836.70000000001
2017-08-14,99121.97
2017-08-15,99234.45000000001
2017-08-16,100470.45
2017-08-17,99356.59999999999
2017-08-18,100175.65999999999
2017-08-21,99985.71
2017-08-22,100675.34
2017-08-23,101298.33
2017-08-24,101465.36
2017-08-25,101572.14
2017-08-28,101371.03
2017-08-29,101247.0
2017-08-30,100870.12
2017-08-31,101567.11
2017-09-01,102476.6
2017-09-04,102476.6
2017-09-05,102352.09
2017-09-06,103466.34999999999
2017-09-07,104033.04
2017-09-08,103618.38
2017-09-11,104545.02
2017-09-12,104601.9
2017-09-13,104392.85
2017-09-14,104699.67
2017-09-15,105113.32
2017-09-18,104765.75
2017-09-19,105049.14
2017-09-20,105124.54000000001
2017-09-21,104374.64
2017-09-22,104651.72
2017-09-25,103880.72
2017-09-26,103542.34
2017-09-27,102912.13
2017-09-28,103005.4
2017-09-29,103653.54000000001
2017-10-02,103816.15
2017-10-03,104905.88
2017-10-04,104897.14000000001
2017-10-05,104501.39
2017-10-06,104083.93
2017-10-09,103647.54
2017-10-10,104636.56
2017-10-11,104966.04000000001
2017-10-12,104930.55
2017-10-13,105847.22
2017-10-16,105502.62
2017-10-17,105364.86
2017-10-18,105536.57999999999
2017-10-19,105492.17000000001
2017-10-20,105087.31
2017-10-23,104060.41
2017-10-24,104305.09
2017-10-25,103903.68
2017-10-26,102884.56
2017-10-27,103881.93000000001
2017-10-30,102888.01000000001
2017-10-31,102675.58
2017-11-01,102720.92
2017-11-02,103010.12000000001
2017-11-03,102553.43000000001
2017-11-06,103680.13
2017-11-07,102656.2
2017-11-08,103889.14
2017-11-09,103488.59
2017-11-10,102801.07
2017-11-13,102579.04000000001
2017-11-14,101162.96
2017-11-15,101159.26999999999
2017-11-16,102382.57
2017-11-17,102597.57
2017-11-20,102927.34999999999
2017-11-21,103438.37
2017-11-22,104109.82999999999
2017-11-23,104109.82999999999
2017-11-24,104018.14000000001
2017-11-27,103536.65
2017-11-28,103919.56
2017-11-29,102530.19
2017-11-30,101819.61
2017-12-01,102602.12999999999
2017-12-04,102711.72
2017-12-05,102528.54000000001
2017-12-06,102561.87
2017-12-07,101972.20999999999
2017-12-08,102123.3
2017-12-11,102263.13
2017-12-12,103192.75
2017-12-13,102690.61
2017-12-14,102201.37
2017-12-15,102397.25
2017-12-18,103122.66
2017-12-19,102982.82999999999
2017-12-20,103142.26999999999
2017-12-21,104125.46
2017-12-22,104269.18
2017-12-25,104269.18
2017-12-26,104723.4
2017-12-27,105093.69
2017-12-28,105661.16
2017-12-29,105765.95000000001
2018-01-01,105765.95000000001
2018-01-02,107160.91
2018-01-03,107861.88
2018-01-04,108399.14000000001
2018-01-05,108971.62
2018-01-08,108564.47
2018-01-09,108281.25
2018-01-10,107698.61
2018-01-11,108627.15
2018-01-12,108997.45999999999
2018-01-15,108997.45999999999
2018-01-16,108739.99
2018-01-17,109552.45999999999
2018-01-18,109551.66
2018-01-19,109937.29000000001
2018-01-22,110236.6
2018-01-23,109627.27
2018-01-24,111943.53
2018-01-25,111976.86
2018-01-26,112869.79000000001
2018-01-29,111659.93000000001
2018-01-30,111168.76000000001
2018-01-31,111331.60499752198
2018-02-01,111414.76499752198
2018-02-02,108807.76499752198
2018-02-05,105111.00499752199
2018-02-06,107855.60499752198
2018-02-07,105897.92499752199
2018-02-08,103157.48499752198
2018-02-09,103938.92499752199
2018-02-12,105076.48499752198
2018-02-13,104874.72499752197
2018-02-14,106823.88499752198
2018-02-15,107622.80499752199
2018-02-16,107684.72499752197
2018-02-19,107684.72499752197
2018-02-20,106628.244997522
2018-02-21,105941.76499752198
2018-02-22,106266.60499752198
2018-02-23,107383.88499752198
