date,equity
2017-07-31,100000.0
2017-08-01,100183.12
2017-08-02,99661.3
2017-08-03,99359.3
2017-08-04,99655.65
2017-08-07,99695.20000000001
2017-08-08,99476.2
2017-08-09,99053.98
2017-08-10,97808.01
2017-08-11,97777.9
2017-08-14,98739.23
2017-08-15,98388.01
2017-08-16,98428.14
2017-08-17,97065.8
2017-08-18,96965.32999999999
2017-08-21,96970.91999999998
2017-08-22,97718.48999999999
2017-08-23,97575.5
2017-08-24,97635.03
2017-08-25,97906.39
2017-08-28,98025.33
2017-08-29,97989.85999999999
2017-08-30,98351.26999999999
2017-08-31,98956.9
2017-09-01,99353.07999999999
2017-09-04,99353.07999999999
2017-09-05,98561.48
2017-09-06,98814.54999999999
2017-09-07,98539.23000000001
2017-09-08,98594.97
2017-09-11,99516.92
2017-09-12,100028.18999999999
2017-09-13,100210.38
2017-09-14,100215.97
2017-09-15,100453.60999999999
2017-09-18,100908.20999999999
2017-09-19,100937.04000000001
2017-09-20,101134.84
2017-09-21,101017.07
2017-09-22,101220.22999999998
2017-09-25,101428.86
2017-09-26,101548.73
2017-09-27,102481.53
2017-09-28,102656.09
2017-09-29,102815.68
2017-10-02,103648.29
2017-10-03,103856.63
2017-10-04,103771.24
2017-10-05,104073.76000000001
2017-10-06,103911.9
2017-10-09,103573.79000000001
2017-10-10,103869.03
2017-10-11,103827.20999999999
2017-10-12,103641.18
2017-10-13,103582.06
2017-10-16,103576.7
2017-10-17,103450.19
2017-10-18,103700.47
2017-10-19,103704.37
2017-10-20,104137.3
2017-10-23,103684.62
2017-10-24,103839.9
2017-10-25,103375.45999999999
2017-10-26,103530.73999999999
2017-10-27,103841.47999999998
2017-10-30,103128.68
2017-10-31,103472.26999999999
2017-11-01,103316.69
2017-11-02,103457.12
2017-11-03,103438.82999999999
2017-11-06,103581.82
2017-11-07,102957.78
2017-11-08,103004.61
2017-11-09,102736.16
2017-11-10,102648.26999999999
2017-11-13,102705.64
2017-11-14,102426.65
2017-11-15,102084.57999999999
