entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2012-07-02,2012-07-31,long,Financials,106.7532,106.3211,rebalance,5.3377,93,-40.19,1.99,-42.17,100000.0,99957.83
2012-07-02,2012-07-31,long,RealEstate,115.8347,116.9589,rebalance,5.7917,86,96.68,1.99,94.69,99957.83,100052.52
2012-07-02,2012-07-31,long,Technology,101.9603,101.6102,rebalance,5.098,98,-34.31,2.0,-36.31,100052.52,100016.21
2012-07-31,2012-08-31,long,ConsStaples,106.8634,108.1862,rebalance,5.3432,93,123.02,1.99,121.03,100016.21,100137.23
2012-07-31,2012-10-31,long,Utilities,110.4216,109.154,rebalance,5.5211,90,-114.09,1.99,-116.07,100137.23,100021.16
2012-08-31,2013-04-01,long,RealEstate,116.9769,127.7932,rebalance,5.8488,85,919.38,1.99,917.39,100021.16,100938.55
2013-04-01,2013-04-30,long,ConsStaples,126.4081,130.6904,rebalance,6.3204,79,338.3,2.0,336.31,100938.55,101274.86
2013-04-30,2013-06-03,long,RealEstate,136.1667,138.5818,rebalance,6.8083,74,178.72,2.02,176.7,101274.86,101451.56
2013-06-03,2013-07-31,long,ConsStaples,133.2589,137.3209,rebalance,6.6629,76,308.71,2.03,306.68,101451.56,101758.24
2013-07-31,2013-09-03,long,Industrials,129.6691,127.6008,rebalance,6.4835,78,-161.33,2.02,-163.35,101758.24,101594.89
2012-07-02,2013-09-30,long,Telecom,119.9224,152.4523,rebalance,5.9961,84,2732.51,2.01,2730.5,101594.89,104325.39
2012-10-31,2014-03-31,long,Financials,113.895,159.8006,rebalance,5.6947,91,4177.41,2.07,4175.34,104325.39,108500.73
2013-09-03,2014-03-31,long,ConsStaples,133.2429,147.8422,rebalance,6.6621,81,1182.54,2.16,1180.38,108500.73,109681.11
2014-03-31,2014-04-30,long,Telecom,165.5414,164.911,rebalance,8.2771,66,-41.61,2.19,-43.79,109681.11,109637.31
2014-04-30,2014-06-02,long,BasicMats,125.5339,128.204,rebalance,6.2767,87,232.3,2.18,230.12,109637.31,109867.43
2012-07-02,2014-06-30,long,ConsDisc,109.4938,171.6298,rebalance,5.4747,100,6213.6,2.19,6211.41,109867.43,116078.84
2014-06-02,2014-06-30,long,Telecom,170.5043,172.1573,rebalance,8.5252,68,112.41,2.32,110.09,116078.84,116188.92
2013-09-30,2014-10-31,long,Industrials,134.2378,157.5384,rebalance,6.7119,86,2003.85,2.31,2001.54,116188.92,118190.46
2014-06-30,2014-12-01,long,Energy,147.7044,116.8554,rebalance,7.3852,80,-2467.92,2.36,-2470.29,118190.46,115720.18
2014-10-31,2014-12-01,long,RealEstate,162.9206,166.2743,rebalance,8.146,71,238.11,2.31,235.8,115720.18,115955.97
