,equity
2006-11-30,100000.0
2006-12-01,100063.5847535964
2006-12-04,102564.92642427952
2006-12-05,104455.82079785252
2006-12-06,104861.93402992137
2006-12-07,103350.86168219063
2006-12-08,104869.87404434982
2006-12-11,105056.98718484558
2006-12-12,104446.84564353144
2006-12-13,103716.29323400244
2006-12-14,104868.04993514992
2006-12-15,104539.58109728555
2006-12-18,103915.18816264278
2006-12-19,103628.22657937554
2006-12-20,103029.54130790006
2006-12-21,102455.83833578171
2006-12-22,101133.7285848992
2006-12-26,102197.11967762046
2006-12-27,104525.443415725
2006-12-28,104432.06972493073
2006-12-29,104255.10759248826
2007-01-03,103307.962295326
2007-01-04,103278.47436671771
2007-01-05,101586.52836952877
2007-01-08,102869.79038387489
2007-01-09,102993.27316683915
2007-01-10,104427.91570704406
2007-01-11,106151.35332463036
2007-01-12,108059.04235171291
2007-01-16,108399.51504676985
2007-01-17,108327.88382891247
2007-01-18,108364.3999277005
2007-01-19,109291.22915230098
2007-01-22,109607.44996420844
2007-01-23,110813.63950695211
2007-01-24,114413.60026114059
2007-01-25,112740.16558933778
2007-01-26,112137.04331785186
2007-01-29,111276.9869690369
2007-01-30,111779.6870175396
2007-01-31,113837.92467100064
2007-02-01,114510.86211409376
2007-02-02,114793.1091394839
2007-02-05,113778.358686213
2007-02-06,114197.9725889561
2007-02-07,113880.36199977165
2007-02-08,113431.35297094536
2007-02-09,111665.71950538042
2007-02-12,110328.52803681526
2007-02-13,112517.73261643277
2007-02-14,114005.58398989655
2007-02-15,114125.41126121354
2007-02-16,114301.66740504149
2007-02-20,115380.90429259805
2007-02-21,115256.92345353749
2007-02-22,113814.48559098635
2007-02-23,112394.99219621025
2007-02-26,112148.21601439944
2007-02-27,103664.17592018202
2007-02-28,106043.74000359402
2007-03-01,105412.54211025457
2007-03-02,103623.16105900826
2007-03-05,100713.14306233634
2007-03-06,103891.7981004526
2007-03-07,102454.16061574468
2007-03-08,106669.01269202052
2007-03-09,107552.51970636396
2007-03-12,108585.37547520231
2007-03-13,105241.33582489692
2007-03-14,106288.54425575312
2007-03-15,106758.93624548221
2007-03-16,106040.18947005813
2007-03-19,108817.08443911058
2007-03-20,110746.33426294362
2007-03-21,116147.92379436019
2007-03-22,116301.50856420894
2007-03-23,116238.3087729786
2007-03-26,116422.28061054372
2007-03-27,115376.81127082309
2007-03-28,112970.66133042179
2007-03-29,114532.11813756856
2007-03-30,115198.90588201636
2007-04-02,116540.5865285926
2007-04-03,118799.5942652039
2007-04-04,117837.10439094758
2007-04-05,119223.80169598847
2007-04-09,119468.02914292872
2007-04-10,119826.31313800986
2007-04-11,118323.17040143383
2007-04-12,119035.16520216376
2007-04-13,122197.25239168819
2007-04-16,124184.98378786634
2007-04-17,124181.79573927115
2007-04-18,123424.14749088905
2007-04-19,123783.53190807645
2007-04-20,126880.23353641562
2007-04-23,127338.55712038575
2007-04-24,125038.40908567642
2007-04-25,126644.76876302889
2007-04-26,125175.65670883717
2007-04-27,123850.4909914248
2007-04-30,122243.1817447667
2007-05-01,122199.38557061092
2007-05-02,122702.8831090042
2007-05-03,123966.41732844486
2007-05-04,125485.73189820671
2007-05-07,125894.22456143469
2007-05-08,124664.74991666825
2007-05-09,125354.22372722688
2007-05-10,121891.26007717043
2007-05-11,124991.69101229365
2007-05-14,126270.03783693675
2007-05-15,126722.4162565223
2007-05-16,128994.13671573462
2007-05-17,128893.32055527017
2007-05-18,130323.37935502351
2007-05-21,129798.72913912345
2007-05-22,129777.73290651162
2007-05-23,129463.756164503
2007-05-24,127161.287493575
2007-05-25,128473.53931738267
2007-05-29,128383.30694369462
2007-05-30,130357.63608720287
2007-05-31,130932.72491742366
2007-06-01,129560.46088997803
2007-06-04,129878.57464238322
2007-06-05,127469.68007730258
2007-06-06,125790.41379454664
2007-06-07,120558.70346065529
2007-06-08,123721.11454726964
2007-06-11,124543.08565406791
2007-06-12,120744.97946611316
2007-06-13,125038.09187159955
2007-06-14,126568.71866380998
2007-06-15,127698.04656975422
2007-06-18,126666.68510337074
2007-06-19,127158.80778900841
2007-06-20,122377.22817060672
2007-06-21,123023.65436467835
2007-06-22,118768.98320903047
2007-06-25,119235.3978400455
2007-06-26,119325.29250972836
2007-06-27,123028.00905828204
2007-06-28,124524.26803826944
2007-06-29,125342.2283670376
2007-07-02,128228.00514747607
2007-07-03,127606.44408115496
2007-07-05,126248.43706324238
2007-07-06,126158.9169388333
2007-07-09,125865.43014940541
2007-07-10,121036.35352538733
2007-07-11,122969.20104574136
2007-07-12,128249.22379080155
2007-07-13,129137.80474391422
2007-07-16,128296.7316853451
2007-07-17,127396.4733763675
2007-07-18,127022.06533981171
2007-07-19,126343.3083750267
2007-07-20,122767.21783274157
2007-07-23,128468.03771401843
2007-07-24,123892.40548637867
2007-07-25,125584.67337967361
2007-07-26,119212.79721152628
2007-07-27,114610.79862091785
2007-07-30,117470.71749303976
2007-07-31,114371.5622116309
2007-08-01,118768.06499945497
2007-08-02,121261.22399397241
2007-08-03,113959.06773202842
2007-08-06,119858.15886860758
2007-08-07,121066.2605014416
2007-08-08,121471.78426222254
2007-08-09,115061.01790599221
2007-08-10,113978.92194711836
2007-08-13,114916.89161857299
2007-08-14,110697.31245353824
2007-08-15,108228.14101701997
2007-08-16,107761.93750893127
2007-08-17,112480.24101545275
2007-08-20,112053.84642757001
2007-08-21,112635.77353465422
2007-08-22,117576.47914937817
2007-08-23,118392.00261906993
2007-08-24,120655.21990049661
2007-08-27,116996.87544416737
2007-08-28,111304.52569312103
2007-08-29,117360.72713840014
2007-08-30,115688.77725785514
2007-08-31,117959.4531276532
2007-09-04,120646.4514977807
