,dlyret
2006-11-30,100000.0
2006-12-01,99626.44215266343
2006-12-04,100836.08946316583
2006-12-05,101264.20512644904
2006-12-06,101241.22152435144
2006-12-07,100801.97670868161
2006-12-08,100908.98778932233
2006-12-11,100994.92957719686
2006-12-12,100803.68888597186
2006-12-13,100856.1362056059
2006-12-14,101715.85133735322
2006-12-15,101631.52660580832
2006-12-18,101086.54295234541
2006-12-19,101198.14361933357
2006-12-20,101208.60692499625
2006-12-21,100779.75407426863
2006-12-22,100370.24644889683
2006-12-26,100746.4260677091
2006-12-27,101455.63605959527
2006-12-28,101250.78118088878
2006-12-29,100775.49741128316
2007-01-03,100685.5605430647
2007-01-04,100778.8623152633
2007-01-05,100064.97950618915
2007-01-08,100323.62528809773
2007-01-09,100434.82169100348
2007-01-10,100740.70691995487
2007-01-11,101489.58235239853
2007-01-12,101881.70662222627
2007-01-16,101977.42208879936
2007-01-17,101936.44873503405
2007-01-18,101525.49051501356
2007-01-19,102034.6849070622
2007-01-22,101510.85377720592
2007-01-23,102091.05596631973
2007-01-24,102852.08310147614
2007-01-25,101798.90382605055
2007-01-26,101847.65331834245
2007-01-29,101821.34048262487
2007-01-30,102456.89118067005
2007-01-31,103193.84082268232
2007-02-01,103996.74496072948
2007-02-02,104292.41657653976
2007-02-05,104179.00861130074
2007-02-06,104474.15706182785
2007-02-07,104838.39900008864
2007-02-08,104840.99104626417
2007-02-09,104091.06928325423
2007-02-12,103724.91303566199
2007-02-13,104587.37478514569
2007-02-14,105465.5671634836
2007-02-15,105793.67502684808
2007-02-16,105757.93332591408
2007-02-20,106224.35895606667
2007-02-21,106206.23841307817
2007-02-22,106258.09122670862
2007-02-23,106047.11293616545
2007-02-26,105898.26052299423
2007-02-27,102401.6140124591
2007-02-28,102865.69728895764
2007-03-01,102467.42582705313
2007-03-02,101118.360913656
2007-03-05,99939.514959198
2007-03-06,101506.09772917745
2007-03-07,101344.49910728996
2007-03-08,102204.78496480064
2007-03-09,102423.99121843306
2007-03-12,102731.5172839543
2007-03-13,100579.77414479136
2007-03-14,101227.95215035214
2007-03-15,101785.61067181095
2007-03-16,101416.36299300019
2007-03-19,102446.61811692853
2007-03-20,103086.71084084091
2007-03-21,104755.34651139136
2007-03-22,104621.01193482707
2007-03-23,104913.34242689732
2007-03-26,104874.4617342645
2007-03-27,104226.319399064
2007-03-28,103415.55589164977
2007-03-29,103623.98969649771
2007-03-30,103646.35501235162
2007-04-02,104071.91429981952
2007-04-03,105042.12431738836
2007-04-04,105050.6495334794
2007-04-05,105412.89393156824
2007-04-09,105513.88861145292
2007-04-10,105715.61638858069
2007-04-11,105062.58721403088
2007-04-12,105767.25518004988
2007-04-13,106024.24823526855
2007-04-16,107181.41850083673
2007-04-17,107371.9457848575
2007-04-18,107552.35457669765
2007-04-19,107366.53578022512
2007-04-20,108272.81262217117
2007-04-23,108358.46904716399
2007-04-24,108431.7121868025
2007-04-25,109490.33713722069
2007-04-26,109480.50400792182
2007-04-27,109308.62043217273
2007-04-30,108135.327163788
2007-05-01,108470.1767252328
2007-05-02,109374.5868183277
2007-05-03,109734.40563192201
2007-05-04,109894.62499988126
2007-05-07,110113.59345111226
2007-05-08,109936.03828808924
2007-05-09,110543.78988540794
2007-05-10,108975.67328993931
2007-05-11,109978.49790686343
2007-05-14,109698.29533726581
2007-05-15,109401.88653401115
2007-05-16,110122.67750284665
2007-05-17,109993.34866683237
2007-05-18,110717.29051748675
2007-05-21,110993.99739178341
2007-05-22,111030.27414812063
2007-05-23,110770.5820356458
2007-05-24,109501.59708092814
2007-05-25,110105.78164222551
2007-05-29,110448.07441883489
2007-05-30,111388.40456466483
2007-05-31,111672.55465412608
2007-06-01,112176.7314155047
2007-06-04,112478.26486051004
2007-06-05,111782.39558334374
2007-06-06,110709.3835876394
2007-06-07,108637.74418739606
2007-06-08,109950.54423457608
2007-06-11,110019.43559026855
2007-06-12,108839.62653608479
2007-06-13,110547.63039419096
2007-06-14,110972.82108793665
2007-06-15,111669.92693759035
2007-06-18,111460.00686773352
2007-06-19,111565.44845252483
2007-06-20,110174.68488803803
2007-06-21,110929.65995207822
2007-06-22,109742.8713974127
2007-06-25,109174.86847149194
2007-06-26,108727.3600223726
2007-06-27,109815.18710768563
2007-06-28,109780.91978164048
2007-06-29,109602.22316709059
2007-07-02,110883.12202211961
2007-07-03,111121.32868762579
2007-07-05,111292.22538340896
2007-07-06,111809.6001780666
2007-07-09,111796.16434238615
2007-07-10,110100.87102263609
2007-07-11,110637.17488844704
2007-07-12,112475.7084846947
2007-07-13,112819.95124099575
2007-07-16,112349.16193677705
2007-07-17,112321.74331989289
2007-07-18,112084.38085291175
2007-07-19,112708.73105784986
2007-07-20,111141.14951778445
2007-07-23,111359.99906781476
2007-07-24,109028.15627993354
2007-07-25,109140.9102885686
2007-07-26,106420.45081628066
2007-07-27,104682.22227295356
2007-07-30,105877.40525238936
2007-07-31,104604.15174456614
2007-08-01,105092.89513009235
2007-08-02,105628.99686386206
2007-08-03,102480.19581600958
2007-08-06,104674.94551946998
2007-08-07,105187.87340922098
2007-08-08,106523.85919053979
2007-08-09,103493.17459547451
2007-08-10,103863.69451713287
2007-08-13,104067.49117515303
2007-08-14,101818.43929332752
2007-08-15,100085.89422739443
2007-08-16,100370.68638333955
2007-08-17,102767.36599596897
2007-08-20,102936.41972314114
2007-08-21,103280.71003992247
2007-08-22,104685.28992393198
2007-08-23,104373.36451398443
2007-08-24,105566.19324964614
2007-08-27,104372.75811786078
2007-08-28,101784.58812148488
2007-08-29,104129.14144772221
2007-08-30,103636.64078425353
2007-08-31,104892.4990464126
2007-09-04,105941.802142695
2007-09-05,104602.72493015765
2007-09-06,105075.27397214691
2007-09-07,103127.98144760806
2007-09-10,102588.990414661
2007-09-11,103858.72444694318
2007-09-12,103725.63833298633
2007-09-13,104479.62651706062
2007-09-14,104721.34076798783
2007-09-17,104119.02295554163
2007-09-18,107397.73545529194
2007-09-19,108220.04426929526
2007-09-20,107134.64276847673
2007-09-21,107453.86871214799
2007-09-24,106742.25691600743
2007-09-25,106542.95472337416
2007-09-26,107208.26639195751
2007-09-27,107681.82609415283
2007-09-28,107398.1872798546
2007-10-01,108923.7610257085
2007-10-02,109161.81311965379
2007-10-03,108848.18742253604
2007-10-04,108950.40678478807
2007-10-05,110361.906718679
2007-10-08,109889.3814569299
2007-10-09,110687.94570115108
2007-10-10,110477.21710312938
2007-10-11,109748.4121933659
2007-10-12,110237.58362321467
2007-10-15,109188.24485657208
2007-10-16,108292.30052896785
2007-10-17,108319.30299164953
2007-10-18,108194.26648898092
2007-10-19,105418.17314487987
2007-10-22,106178.15394947003
2007-10-23,106866.0806264288
2007-10-24,106525.892401072
2007-10-25,106388.56151424976
2007-10-26,107679.37672941816
2007-10-29,108028.80357807025
2007-10-30,107496.76826536485
2007-10-31,108720.35674165073
2007-11-01,105753.03459644476
2007-11-02,105774.13955957115
2007-11-05,105136.19894739168
2007-11-06,106299.06458047398
2007-11-07,103191.89084299072
2007-11-08,103569.1286824893
2007-11-09,102367.8817418172
2007-11-12,101346.7582301035
2007-11-13,104309.31243716093
2007-11-14,103385.25986570843
2007-11-15,101993.8066742575
2007-11-16,102107.35732093736
2007-11-19,100004.39934442654
2007-11-20,100018.14432322884
2007-11-21,98576.01544003452
2007-11-23,100461.5031204433
2007-11-26,98090.01867224473
2007-11-27,99452.41241024164
2007-11-28,102597.82477387387
2007-11-29,102401.11462741613
2007-11-30,103499.39312827174
2007-12-03,102952.82808883935
2007-12-04,102279.85918293014
2007-12-05,103748.02742908034
2007-12-06,105637.17726647104
2007-12-07,105650.33962938985
2007-12-10,106647.83747252206
2007-12-11,103209.88059465835
2007-12-12,103677.32877513705
2007-12-13,103557.61904626031
2007-12-14,101883.28800819576
2007-12-17,100486.35347139201
2007-12-18,101141.49908731449
2007-12-19,100935.87135080335
2007-12-20,101327.18709246624
2007-12-21,102865.22168415475
2007-12-24,103809.57069056875
2007-12-26,103631.8490658647
2007-12-27,102117.07154903542
2007-12-28,102041.74763838445
2007-12-31,101644.77219956767
2008-01-02,99899.67116683943
2008-01-03,99289.31563322511
2008-01-04,96463.28378482511
2008-01-07,96714.91439589165
2008-01-08,94538.43980698065
2008-01-09,95377.31155824315
2008-01-10,96682.01443365467
2008-01-11,95387.3408745232
2008-01-14,96333.82415748997
2008-01-15,93788.3634724098
2008-01-16,93989.31839173296
2008-01-17,91122.37264016797
2008-01-18,90768.61184274993
2008-01-22,90650.5905109233
2008-01-23,93568.50920723351
2008-01-24,94334.3458959587
2008-01-25,93257.59445749197
2008-01-28,95197.44971192628
2008-01-29,96156.3462802474
2008-01-30,95578.72424718906
2008-01-31,97395.57026442686
2008-02-01,99560.7254590301
2008-02-04,98417.08020504286
2008-02-05,95253.9396723845
2008-02-06,94583.43202133007
2008-02-07,95524.35072810353
2008-02-08,95037.11738782638
2008-02-11,95748.37248036478
2008-02-12,96249.78478882684
2008-02-13,97571.22895329859
2008-02-14,96115.88420164515
2008-02-15,96184.19888651418
2008-02-19,96041.62445674054
2008-02-20,97143.91587312019
2008-02-21,95671.10453508218
2008-02-22,96605.84037941862
2008-02-25,98219.32372801888
2008-02-26,99132.10446564388
2008-02-27,98895.51485646736
2008-02-28,97497.36752741634
2008-02-29,94527.38199531447
2008-03-03,94524.94452069986
2008-03-04,94341.09948415915
2008-03-05,94817.0550455488
2008-03-06,92280.14930185983
2008-03-07,91681.8681851778
2008-03-10,89931.77924707967
2008-03-11,93503.90423982669
2008-03-12,92544.7044734438
2008-03-13,93208.9757565209
2008-03-14,91143.16251511245
2008-03-17,89444.23676368064
2008-03-18,93499.1660269783
2008-03-19,91388.0276478585
2008-03-20,93704.49651048766
2008-03-24,95849.73575397165
2008-03-25,96191.86801396006
2008-03-26,94963.52943470574
2008-03-27,93843.27799195854
2008-03-28,92791.04398107862
2008-03-31,93508.10739727183
2008-04-01,97238.77525104808
2008-04-02,97413.89293945652
2008-04-03,97694.08361893409
2008-04-04,97701.32470205746
2008-04-07,97749.8898974882
2008-04-08,97121.07495246336
2008-04-09,95907.12341849518
2008-04-10,96326.87438230832
2008-04-11,94624.45293557557
2008-04-14,94131.92254680667
2008-04-15,94518.14931707911
2008-04-16,96869.49784693711
2008-04-17,97121.33059004489
2008-04-18,98880.58086565789
2008-04-21,98504.38341166552
2008-04-22,97070.88675564289
2008-04-23,97360.77977309852
2008-04-24,98410.40984768287
2008-04-25,99423.8761220707
2008-04-28,99541.52291511507
2008-04-29,99317.05528335115
2008-04-30,98574.76697742693
2008-05-01,100801.33464219785
2008-05-02,101046.722940227
2008-05-05,100416.58224681424
2008-05-06,101361.22850623004
2008-05-07,99547.24206286934
2008-05-08,99718.1863191328
2008-05-09,99268.9597476632
2008-05-12,100768.17309731929
2008-05-13,100888.90537652213
2008-05-14,101582.76522339642
2008-05-15,102817.24504966752
2008-05-16,102703.04044638375
2008-05-19,102613.80509524947
2008-05-20,101620.32611270128
2008-05-21,99876.62811414142
2008-05-22,100212.59534687294
2008-05-23,98797.27273937911
2008-05-27,99695.76749773858
2008-05-28,100210.68103754145
2008-05-29,100972.77828350429
2008-05-30,101095.92425708158
2008-06-02,99974.41246160686
2008-06-03,99602.13280217795
2008-06-04,99708.72178355613
2008-06-05,101331.58643689252
2008-06-06,97936.35670550463
2008-06-09,97591.57294874033
2008-06-10,97323.85500521745
2008-06-11,95136.09074729886
2008-06-12,95797.81159962072
2008-06-13,97444.6407899606
2008-06-16,97693.25131052906
2008-06-17,96628.99638825718
2008-06-18,95399.0288625531
2008-06-19,96171.50023827802
2008-06-20,94296.40452281147
2008-06-23,93674.81877078993
2008-06-24,93473.77467556624
2008-06-25,94269.23559844881
2008-06-26,91351.53092429994
2008-06-27,90952.43309905048
2008-06-30,90656.11347169631
2008-07-01,90879.10672857145
2008-07-02,89036.23918355783
2008-07-03,88747.32710100805
2008-07-07,87846.70401115585
2008-07-08,90029.05826444204
2008-07-09,87619.32329997448
2008-07-10,87742.04122922923
2008-07-11,86579.34205782792
2008-07-14,85301.32061185614
2008-07-15,84673.44498631691
2008-07-16,87891.19684046223
2008-07-17,89835.29686776195
2008-07-18,89927.7187710753
2008-07-21,89810.41084645296
2008-07-22,91456.12236550615
2008-07-23,92237.5767269449
2008-07-24,89330.15106159756
2008-07-25,89535.66584196803
2008-07-28,87857.86883390271
2008-07-29,90443.28626748215
2008-07-30,91592.49609766268
2008-07-31,90700.7668176237
2008-08-01,90208.266154155
2008-08-04,89390.48153083878
2008-08-05,92247.15421866225
2008-08-06,92593.97713101875
2008-08-07,90812.5339462929
2008-08-08,93369.7063996432
2008-08-11,94474.86928002001
2008-08-12,93100.72810339279
2008-08-13,92742.88304973027
2008-08-14,93832.14883957192
2008-08-15,94498.37604740076
2008-08-18,92758.1677990818
2008-08-19,91533.53893728968
2008-08-20,91831.00001617066
2008-08-21,91891.81203527474
2008-08-22,93094.58091131593
2008-08-25,91231.34559062039
2008-08-26,91545.29232098005
2008-08-27,92594.3397796809
2008-08-28,94420.27579371315
2008-08-29,93398.17729215363
2008-09-02,93370.95486225064
2008-09-03,93302.59261690138
2008-09-04,90330.14582994473
2008-09-05,91059.47390499136
2008-09-08,92699.44844111022
2008-09-09,89188.59918215005
2008-09-10,89642.08241660515
2008-09-11,90756.90601953982
2008-09-12,91221.31627434034
2008-09-15,86687.36379867466
2008-09-16,88000.60972535732
2008-09-17,83588.09699103872
2008-09-18,88031.98775222518
2008-09-19,91860.45184358695
2008-09-22,87685.08160902819
2008-09-23,86397.88099036146
2008-09-24,86130.09765117818
2008-09-25,87526.83600100072
2008-09-26,87275.81178605779
2008-09-29,79244.26753531133
2008-09-30,83590.45717987284
2008-10-01,83108.44360230694
2008-10-02,78887.13588885312
2008-10-03,77695.68640711968
2008-10-06,74488.38002345689
2008-10-07,69871.95172991742
2008-10-08,69033.55558345777
2008-10-09,63365.582906002484
2008-10-10,63017.96335560121
2008-10-13,70639.94647543556
2008-10-14,70458.8837269915
2008-10-15,63503.37156244745
2008-10-16,65983.30579581532
2008-10-17,65907.59545626203
2008-10-20,68893.03814445647
2008-10-21,66567.6338565938
2008-10-22,61977.92266285429
2008-10-23,61367.905997662
2008-10-24,59076.04968358019
2008-10-27,56936.42257676981
2008-10-28,63146.81658681268
2008-10-29,63133.64233377381
2008-10-30,65334.26575654938
2008-10-31,66907.80424677048
2008-11-03,66870.10662108476
2008-11-04,69843.86726630927
2008-11-05,66039.86115193393
2008-11-06,62354.393589608306
2008-11-07,63970.361973303436
2008-11-10,62418.21975415045
2008-11-11,60367.44156957203
2008-11-12,56652.63513597074
2008-11-13,61107.64910448381
2008-11-14,58054.93806198661
2008-11-17,56220.78597498518
2008-11-18,56194.59204046834
2008-11-19,51849.85299055551
2008-11-20,47829.15241041276
2008-11-21,50936.78094498877
2008-11-24,55676.509783666486
2008-11-25,56539.21528061168
2008-11-26,59432.24795561284
2008-11-28,60140.91694703578
2008-12-01,54078.84623982093
2008-12-02,56524.739059425
2008-12-03,58195.22958870656
2008-12-04,56368.33047494856
2008-12-05,59125.56608861667
2008-12-08,61825.36053222088
2008-12-09,60653.43462764433
2008-12-10,61915.98108234344
2008-12-11,59541.91647808944
2008-12-12,60348.64328973947
2008-12-15,59164.839155211805
2008-12-16,62932.93116191212
2008-12-17,62902.21898176823
2008-12-18,61438.04581596193
2008-12-19,62051.165802492804
2008-12-22,60248.49280837984
2008-12-23,59477.567148264156
2008-12-24,59876.67091857366
2008-12-26,60382.03669195939
2008-12-29,59826.649183434165
2008-12-30,61763.621083751204
2008-12-31,63028.129408262066
2009-01-02,65596.93039904199
2009-01-05,65890.52124383977
2009-01-06,67333.68456748028
2009-01-07,65068.39672669755
2009-01-08,65608.36869455047
2009-01-09,63917.005059483934
2009-01-12,61912.02761741973
2009-01-13,62023.06944876456
2009-01-14,59523.74837462062
2009-01-15,59952.9935993106
2009-01-16,60707.130409885765
2009-01-20,56757.41681909804
2009-01-21,59588.763551169875
2009-01-22,58189.29641879098
2009-01-23,58898.70854271837
2009-01-26,59127.71225528946
2009-01-27,59976.32795995028
2009-01-28,62735.44221258967
2009-01-29,60062.56700082662
2009-01-30,58177.1922765585
2009-02-02,57886.193477936235
2009-02-03,58772.16199480071
2009-02-04,58453.43543617243
2009-02-05,59675.49603202915
2009-02-06,61817.08500865127
2009-02-09,61926.49789354634
2009-02-10,58345.615827366884
2009-02-11,59044.49330491119
2009-02-12,59166.587002862194
2009-02-13,58489.432774687935
2009-02-17,55304.89597096148
2009-02-18,55041.202833082694
2009-02-19,53904.733266558425
2009-02-20,53441.55363918528
2009-02-23,51365.78836727725
2009-02-24,54149.2000802821
2009-02-25,53454.11555104049
2009-02-26,52667.417646650385
2009-02-27,51436.96262602341
2009-03-02,48349.87130134036
2009-03-03,47855.1858283086
2009-03-04,49439.29463527297
2009-03-05,46729.70570526013
2009-03-06,46526.59272914405
2009-03-09,46212.85704841564
2009-03-10,50004.690652368125
2009-03-11,50319.951240995666
2009-03-12,52740.203016666186
2009-03-13,53298.53332990903
2009-03-16,53050.42219438354
2009-03-17,54988.52365610733
2009-03-18,57057.77314221635
2009-03-19,56429.291120553506
2009-03-20,54864.56915436521
2009-03-23,59486.038858814885
2009-03-24,58276.60557047376
2009-03-25,58833.47934400788
2009-03-26,60797.43587182648
2009-03-27,59475.27235509043
2009-03-30,56654.82291806383
2009-03-31,57606.520018681826
2009-04-01,58680.102740149574
2009-04-02,61277.713491862
2009-04-03,62389.195971056666
2009-04-06,61694.35518927652
2009-04-07,59849.66251083198
2009-04-08,61004.47258756606
2009-04-09,64451.76320968568
2009-04-13,64783.4737794317
2009-04-14,63316.60155636924
2009-04-15,64444.266488980815
2009-04-16,65956.68381697596
2009-04-17,66802.37455209928
2009-04-20,63195.572024164634
2009-04-21,65125.81411652138
2009-04-22,65168.785010458654
2009-04-23,65843.29963197712
2009-04-24,67424.988799507
2009-04-27,66270.7910639566
2009-04-28,65995.35643250751
2009-04-29,67896.88388489235
2009-04-30,68166.06431318399
2009-05-01,68584.82839703122
2009-05-04,71615.53082727664
2009-05-05,71509.54824202211
2009-05-06,72749.675875327
