,0
2006-11-30,100000.0
2006-12-01,99737.50435361263
2006-12-04,101419.38658484817
2006-12-05,101935.83613601804
2006-12-06,101858.75491717842
2006-12-07,101542.10705833853
2006-12-08,102113.36971122195
2006-12-11,102031.12849178407
2006-12-12,101125.21625716492
2006-12-13,100744.56774770773
2006-12-14,101220.64277458767
2006-12-15,100905.71014842138
2006-12-18,100283.80194495727
2006-12-19,100483.65883751563
2006-12-20,100303.76687558187
2006-12-21,99678.25513506918
2006-12-22,99119.16413497427
2006-12-26,99728.30742204015
2006-12-27,100878.46098343
2006-12-28,100785.46420322279
2006-12-29,100445.70764331255
2007-01-03,100026.36429617218
2007-01-04,100112.93494201536
2007-01-05,99283.75608140095
2007-01-08,99858.20756938776
2007-01-09,100048.44178909782
2007-01-10,100923.6177084276
2007-01-11,101859.11382440421
2007-01-12,102535.70191696237
2007-01-16,103063.78306437041
2007-01-17,103027.70178023024
2007-01-18,102551.31511812397
2007-01-19,103396.29781685658
2007-01-22,102916.84019919876
2007-01-23,103855.31647287925
2007-01-24,104882.40943280036
2007-01-25,104549.13419376916
2007-01-26,104496.40960585032
2007-01-29,104286.05378766944
2007-01-30,104331.26859153452
2007-01-31,105237.95722309472
2007-02-01,105814.6520617802
2007-02-02,105810.6771206714
2007-02-05,105369.87904358955
2007-02-06,105850.47105763823
2007-02-07,105998.89643116183
2007-02-08,105785.47918599591
2007-02-09,104664.8798061306
2007-02-12,103839.8748256985
2007-02-13,105168.46991852693
2007-02-14,105808.96877463306
2007-02-15,105952.97938810299
2007-02-16,105816.08813247827
2007-02-20,106543.84058347615
2007-02-21,106823.89800502776
2007-02-22,106249.10182933307
2007-02-23,105651.8294371004
2007-02-26,105094.5803409017
2007-02-27,100956.10657278191
2007-02-28,101991.78893275688
2007-03-01,101686.61175643554
2007-03-02,100337.64159473371
2007-03-05,99170.15642544514
2007-03-06,101118.04369338679
2007-03-07,100919.67646940581
2007-03-08,102461.77740619895
2007-03-09,103085.18159742896
2007-03-12,103394.81362496068
2007-03-13,101254.70732505251
2007-03-14,101911.45856755313
2007-03-15,102670.85400580656
2007-03-16,102096.97303612626
2007-03-19,103289.29256057202
2007-03-20,104147.55474761277
2007-03-21,105964.12356690035
2007-03-22,105820.4039631658
2007-03-23,106097.94327756255
2007-03-26,105929.51048600227
2007-03-27,105026.65024791524
2007-03-28,104018.84190684368
2007-03-29,104749.0858429585
2007-03-30,104585.26737589466
2007-04-02,105538.98497180422
2007-04-03,106456.85752016577
2007-04-04,106573.28891131372
2007-04-05,106954.89079083907
2007-04-09,107109.81728074142
2007-04-10,106861.71834603211
2007-04-11,106291.81551138627
2007-04-12,106886.3333662149
2007-04-13,107200.0912091217
2007-04-16,107825.40332662356
2007-04-17,108192.26754163262
2007-04-18,108115.74268036785
2007-04-19,107599.62163392411
2007-04-20,108663.47313131425
2007-04-23,109486.53753217141
2007-04-24,108185.66611853558
2007-04-25,108741.61814162042
2007-04-26,108167.25436514645
2007-04-27,107841.46400381764
2007-04-30,106512.3507659612
2007-05-01,106327.24156254923
2007-05-02,106894.99205496418
2007-05-03,107541.81828142215
2007-05-04,107507.17579222124
2007-05-07,107823.75170736911
2007-05-08,107491.8842642376
2007-05-09,108024.22147079521
2007-05-10,106582.34233401797
2007-05-11,107535.44334336896
2007-05-14,107601.78804415381
2007-05-15,107349.78932729438
2007-05-16,107398.45611793335
2007-05-17,107340.00334012228
2007-05-18,108059.77873906396
2007-05-21,108217.89839009345
2007-05-22,108359.3815297349
2007-05-23,107895.0097554139
2007-05-24,106447.73892801646
2007-05-25,107169.9035402937
2007-05-29,107389.82083707071
2007-05-30,108280.85286704014
2007-05-31,108547.77458751573
2007-06-01,108800.59652140009
2007-06-04,108691.54521715126
2007-06-05,107519.78892722381
2007-06-06,106561.46037094475
2007-06-07,103960.33216253127
2007-06-08,105281.14366902632
2007-06-11,105636.23865260839
2007-06-12,104465.01293182593
2007-06-13,106391.1342918375
2007-06-14,106878.39644300212
2007-06-15,107787.53660986524
2007-06-18,107347.99778075612
2007-06-19,107414.75423225711
2007-06-20,105333.99499057395
2007-06-21,106004.86261925528
2007-06-22,104374.3004284721
2007-06-25,104336.31272177353
2007-06-26,103583.41733818316
2007-06-27,104961.00472826677
2007-06-28,105114.05156271068
2007-06-29,104941.58225784094
2007-07-02,106754.6990417043
2007-07-03,106711.92289616594
2007-07-05,106495.08890715678
2007-07-06,106695.81363182758
2007-07-09,106622.45329971738
2007-07-10,104702.47960016206
2007-07-11,105525.8690025028
2007-07-12,107670.75108747499
2007-07-13,108431.07980636373
2007-07-16,107729.63916297293
2007-07-17,107594.97711191716
2007-07-18,107658.1072983208
2007-07-19,107604.66207913
2007-07-20,105842.22405019493
2007-07-23,106720.732924199
2007-07-24,104313.89271266811
2007-07-25,103734.22040578886
2007-07-26,100696.77864775108
2007-07-27,98995.94438762277
2007-07-30,100420.39275055261
2007-07-31,99119.56878951154
2007-08-01,100533.5611663084
2007-08-02,101343.4245827932
2007-08-03,97814.60248707741
2007-08-06,100849.4068470573
2007-08-07,101256.80336918769
2007-08-08,101041.8043664113
2007-08-09,97751.09244482392
2007-08-10,98160.98828205053
2007-08-13,98887.23448988536
2007-08-14,96743.28187304143
2007-08-15,95273.43173456196
2007-08-16,94936.13479334638
2007-08-17,97263.69637439447
2007-08-20,97741.63747524153
2007-08-21,98014.96984159043
2007-08-22,100258.10210890656
2007-08-23,100122.2393054292
2007-08-24,101495.56383625175
2007-08-27,99198.44563181871
2007-08-28,97266.63355342449
2007-08-29,100045.09298662918
2007-08-30,99300.95758949728
2007-08-31,100614.55815037
2007-09-04,101742.81482113863
2007-09-05,100573.39615665781
2007-09-06,101238.20815697315
2007-09-07,98891.5064879893
2007-09-10,98303.89315841494
2007-09-11,99918.41492652583
2007-09-12,99988.61847648716
2007-09-13,100755.86158931788
2007-09-14,100801.98149886713
2007-09-17,100121.94064973405
2007-09-18,104247.29979365386
2007-09-19,105801.05139243943
2007-09-20,105374.29133943301
2007-09-21,105927.59341849737
2007-09-24,104893.73090238334
2007-09-25,104532.60459450792
2007-09-26,105482.73779359057
2007-09-27,106130.65865204403
2007-09-28,105657.54663285887
2007-10-01,107938.5092969167
2007-10-02,108017.60946185124
2007-10-03,106786.68304378011
2007-10-04,106670.9123479882
2007-10-05,108846.910826503
2007-10-08,108493.83983690297
2007-10-09,109740.9906942717
2007-10-10,109626.90301303595
2007-10-11,108781.63668977634
2007-10-12,109729.38488128172
2007-10-15,108354.09877076812
2007-10-16,107800.61189378772
2007-10-17,108430.91737476311
2007-10-18,109124.92238872002
2007-10-19,105294.13942794688
2007-10-22,105613.30428193312
2007-10-23,106127.2920764631
2007-10-24,106450.03903048791
2007-10-25,105595.6571602532
2007-10-26,106963.57086639994
2007-10-29,107958.29950904463
2007-10-30,106915.80250885883
2007-10-31,108108.09963031112
2007-11-01,104460.34903588907
2007-11-02,105624.57325938184
2007-11-05,105448.1434716454
2007-11-06,106692.00973932658
2007-11-07,103461.89056801223
2007-11-08,103772.15929874315
2007-11-09,101311.54543463838
2007-11-12,98693.79162364248
2007-11-13,101478.72018481052
2007-11-14,101123.00639173224
2007-11-15,99610.01717136955
2007-11-16,99621.433348746
2007-11-19,97099.18758346178
2007-11-20,97782.95161790682
2007-11-21,97252.06671362444
2007-11-23,99034.1389506081
2007-11-26,97372.40636229645
2007-11-27,98575.65835396646
2007-11-28,101924.19631347507
2007-11-29,101297.50874802149
2007-11-30,102056.78643395708
2007-12-03,102846.02706762345
2007-12-04,102783.14790319094
2007-12-05,104715.63643179109
2007-12-06,106790.62684601138
2007-12-07,106928.48425008994
2007-12-10,107833.2108012329
2007-12-11,104721.59442273012
2007-12-12,106700.8280083372
2007-12-13,107308.02066633926
2007-12-14,106461.98089548759
2007-12-17,103559.25800054538
2007-12-18,104349.88341031603
2007-12-19,104260.21057526566
2007-12-20,105317.5496211362
2007-12-21,107869.81053412774
2007-12-24,109352.11055260213
2007-12-26,110203.23604774798
2007-12-27,108470.35725924354
2007-12-28,108901.46090659656
2007-12-31,108541.32377482842
2008-01-02,107023.7508994436
2008-01-03,108164.73575776775
2008-01-04,105408.19038407263
2008-01-07,104794.6413861669
2008-01-08,103392.18836566249
2008-01-09,104466.92318749389
2008-01-10,105348.01992167228
2008-01-11,103158.6407264009
2008-01-14,105254.04837893778
2008-01-15,102596.28755634285
2008-01-16,100240.32436236512
2008-01-17,95395.99712063301
2008-01-18,95530.81654375888
2008-01-22,93760.42281067597
2008-01-23,93904.05561897553
2008-01-24,96009.470292596
2008-01-25,95671.84251983697
2008-01-28,96868.5807835958
2008-01-29,96918.09325859685
2008-01-30,96744.07892166424
2008-01-31,97820.53767054313
2008-02-01,99872.4170225325
2008-02-04,99041.13547573038
2008-02-05,95398.38532096965
2008-02-06,94280.23742889508
2008-02-07,94953.36962578277
2008-02-08,95894.79102134415
2008-02-11,97185.51405630406
2008-02-12,98356.30373479254
2008-02-13,100162.51463686596
2008-02-14,99101.1403749778
2008-02-15,98454.07025153404
2008-02-19,99824.37539455829
2008-02-20,100856.67662208104
2008-02-21,99213.7608399456
2008-02-22,100002.41965841263
2008-02-25,102031.58182817065
2008-02-26,102225.49506808851
2008-02-27,101723.47898970515
2008-02-28,102293.27643687784
2008-02-29,98979.26336184179
2008-03-03,100189.04815311883
2008-03-04,99216.82235059785
2008-03-05,101438.50699876409
2008-03-06,100040.86520429916
2008-03-07,97803.23812257836
2008-03-10,95450.65350857055
2008-03-11,99735.11796213537
2008-03-12,98548.51289903303
2008-03-13,99849.74317654935
2008-03-14,98097.98796141872
2008-03-17,95178.71554806292
2008-03-18,99399.27085457297
2008-03-19,94422.38391642766
2008-03-20,94315.46493467526
2008-03-24,96552.17670414069
2008-03-25,98777.86808220134
2008-03-26,100194.77215119728
2008-03-27,99185.2793304379
2008-03-28,99348.4606811149
2008-03-31,100175.04417728323
2008-04-01,102200.61404040328
2008-04-02,102491.74804148886
2008-04-03,103682.9517083137
2008-04-04,105359.72592207095
2008-04-07,105416.7392772039
2008-04-08,106167.9068794225
2008-04-09,106597.95613832012
2008-04-10,106676.75984072633
2008-04-11,104652.05349307795
2008-04-14,106141.71633295549
2008-04-15,106431.17402100714
2008-04-16,110374.55542753571
2008-04-17,109569.75695073017
2008-04-18,112353.00980988563
2008-04-21,112848.47681542589
2008-04-22,112321.71484943427
2008-04-23,111482.92559883972
2008-04-24,110515.54463587006
2008-04-25,112620.16421959591
2008-04-28,112287.46956311095
2008-04-29,109669.93636683437
2008-04-30,110008.81647169085
2008-05-01,108792.38679747192
2008-05-02,110265.61073448509
2008-05-05,111432.62361187168
2008-05-06,114018.57268163556
2008-05-07,112262.01742846276
2008-05-08,114591.37130806565
2008-05-09,113778.96831598842
2008-05-12,114416.29379813718
2008-05-13,116643.39700344957
2008-05-14,114964.78186247053
2008-05-15,116802.23395117384
2008-05-16,118595.32598726856
2008-05-19,118620.73632513943
2008-05-20,119704.89891702199
2008-05-21,117762.84825660309
2008-05-22,117538.72507324268
2008-05-23,116043.5047326717
2008-05-27,115804.51565868348
2008-05-28,117699.74719609806
2008-05-29,116076.68814694101
2008-05-30,117327.17221713063
2008-06-02,117594.40440152529
2008-06-03,116167.69030046159
2008-06-04,114878.38383818594
2008-06-05,119327.42260890437
2008-06-06,117451.86896649637
2008-06-09,120039.04002074877
2008-06-10,117690.66627009063
2008-06-11,117031.41219095857
2008-06-12,115122.38114798417
2008-06-13,116728.1369013069
2008-06-16,117325.9308583551
2008-06-17,118694.67471834576
2008-06-18,119300.28461003237
2008-06-19,118132.26522308342
2008-06-20,117127.68811974222
2008-06-23,120346.1227343195
2008-06-24,117600.26548474199
2008-06-25,117307.06351152802
2008-06-26,115380.24122132438
2008-06-27,117108.78146456869
2008-06-30,118256.82812081673
2008-07-01,118583.85258773985
2008-07-02,113199.17728953456
2008-07-03,112388.41647499571
2008-07-07,110689.8809796136
2008-07-08,109838.00704180624
2008-07-09,107716.53171821113
2008-07-10,110817.10718494652
2008-07-11,110746.5397844413
2008-07-14,111490.8903454715
2008-07-15,107336.53535780666
2008-07-16,105997.8251583908
2008-07-17,103973.39477953223
2008-07-18,103950.72858427932
2008-07-21,106809.46456495838
2008-07-22,104310.28332554728
2008-07-23,101363.41785650216
2008-07-24,100438.57803884709
2008-07-25,102085.00487190513
2008-07-28,101212.25039709272
2008-07-29,101747.34690029974
2008-07-30,106856.43311853912
2008-07-31,103792.13342723108
2008-08-01,102683.96211711226
2008-08-04,97605.08067753211
2008-08-05,98178.16484077161
2008-08-06,100991.43153990737
2008-08-07,99516.22024698192
2008-08-08,99006.14158827908
2008-08-11,98164.31710273818
2008-08-12,98097.14407324986
2008-08-13,101533.13548762303
2008-08-14,100627.24415540174
2008-08-15,98717.7080143998
2008-08-18,97904.40572493288
2008-08-19,99906.4733093685
2008-08-20,103297.36976475237
2008-08-21,104845.9910231635
2008-08-22,103289.95853795047
2008-08-25,101619.80294380401
2008-08-26,103364.8478363167
2008-08-27,104864.76222143788
2008-08-28,103964.33222368953
2008-08-29,102839.87999644375
2008-09-02,99140.96088804267
2008-09-03,98204.85955513813
2008-09-04,95793.21419217136
2008-09-05,95928.2067805294
2008-09-08,95051.40701397118
2008-09-09,89593.432443661
2008-09-10,92182.81700947121
2008-09-11,94497.91165340765
2008-09-12,96573.94411491936
2008-09-15,91222.27484967811
2008-09-16,93148.988103903
2008-09-17,89906.55721682846
2008-09-18,92474.69309893643
2008-09-19,97298.11525924748
2008-09-22,95186.58398274895
2008-09-23,92919.31886617435
2008-09-24,92295.06751293722
2008-09-25,92622.87267018927
2008-09-26,91555.30528588944
2008-09-29,82689.7990674078
2008-09-30,86922.91386365252
2008-10-01,84350.62579114846
2008-10-02,77396.47198085388
2008-10-03,77441.40708869984
2008-10-06,74223.54239756803
2008-10-07,69049.5584631663
2008-10-08,70002.25248662387
2008-10-09,64784.690014216205
2008-10-10,62555.18967798181
2008-10-13,71885.76276382794
2008-10-14,70420.2756323346
2008-10-15,61443.15762891845
2008-10-16,65340.51760237589
2008-10-17,65989.12297465414
2008-10-20,71231.50504396704
2008-10-21,68984.8871143216
2008-10-22,63348.75570129723
2008-10-23,63851.97710706726
2008-10-24,61786.0144652159
2008-10-27,58261.683550240305
2008-10-28,63952.075443956746
2008-10-29,65859.47807564189
2008-10-30,69248.4394116382
2008-10-31,70532.0948635041
