,dlyret
2006-11-30,100259.11331176758
2006-12-01,99884.58752632141
2006-12-04,101097.36919403076
2006-12-05,101526.5941619873
2006-12-06,101503.55100631714
2006-12-07,101063.16804885864
2006-12-08,101170.45640945435
2006-12-11,101256.62088394165
2006-12-12,101064.88466262817
2006-12-13,101117.46788024902
2006-12-14,101979.41064834595
2006-12-15,101894.86742019653
2006-12-18,101348.47164154053
2006-12-19,101460.36148071289
2006-12-20,101470.85189819336
2006-12-21,101040.8878326416
2006-12-22,100630.31911849976
2006-12-26,101007.47346878052
2006-12-27,101718.52111816406
2006-12-28,101513.13543319702
2006-12-29,101036.62014007568
2007-01-03,100946.45023345947
2007-01-04,101039.99376296997
2007-01-05,100324.26118850708
2007-01-08,100583.5771560669
2007-01-09,100695.06168365479
2007-01-10,101001.73950195312
2007-01-11,101752.55537033081
2007-01-12,102145.69568634033
2007-01-16,102241.65916442871
2007-01-17,102200.57964324951
2007-01-18,101788.55657577515
2007-01-19,102299.07035827637
2007-01-22,101773.88191223145
2007-01-23,102355.58748245239
2007-01-24,103118.58654022217
2007-01-25,102062.67833709717
2007-01-26,102111.55414581299
2007-01-29,102085.1731300354
2007-01-30,102722.37062454224
2007-01-31,103461.22980117798
2007-02-01,104266.21437072754
2007-02-02,104562.65211105347
2007-02-05,104448.95029067993
2007-02-06,104744.86351013184
2007-02-07,105110.0492477417
2007-02-08,105112.6480102539
2007-02-09,104360.78310012817
2007-02-12,103993.67809295654
2007-02-13,104858.37459564209
2007-02-14,105738.8424873352
2007-02-15,106067.80052185059
2007-02-16,106031.96620941162
2007-02-20,106499.60041046143
2007-02-21,106481.43291473389
2007-02-22,106533.42008590698
2007-02-23,106321.89512252808
2007-02-26,106172.65701293945
2007-02-27,102666.95022583008
2007-02-28,103132.23600387573
2007-03-01,102732.93256759644
2007-03-02,101380.37204742432
2007-03-05,100198.4715461731
2007-03-06,101769.11354064941
2007-03-07,101607.09619522095
2007-03-08,102469.61116790771
2007-03-09,102689.38541412354
2007-03-12,102997.70832061768
2007-03-13,100840.38972854614
2007-03-14,101490.24724960327
