entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price,permno,entry_mktcap
2006-11-30,2007-02-28,long,ASN,59.98,56.35,-0.06052,rebalance,,64451,13098432512.0
2006-11-30,2007-02-28,long,MRK,44.51,44.15,-0.008088,rebalance,,22752,96631341056.0
2006-11-30,2007-02-28,long,UST,55.98,58.04,0.036799,rebalance,,15077,9006958592.0
2006-11-30,2007-02-28,long,MS,76.16,74.92,-0.016282,rebalance,,69032,80619773952.0
2006-11-30,2006-12-29,long,BLS,44.59,47.11,0.056515,rebalance,,65883,81335189504.0
2006-11-30,2007-02-28,long,MRO,94.38,90.72,-0.038779,rebalance,,15069,33176457216.0
2006-11-30,2007-02-28,long,VNO,126.11,127.2,0.008643,rebalance,,28388,17886812160.0
2006-11-30,2007-02-09,long,EOP,48.2,55.47,0.15083,rebalance,,85238,16964664320.0
2006-11-30,2007-02-28,long,PTV,34.45,32.2,-0.065312,rebalance,,87292,4584192512.0
2006-11-30,2007-02-28,long,ATI,89.65,102.32,0.141327,rebalance,,43123,9029906432.0
2006-11-30,2007-02-28,long,NUE,59.85,60.87,0.017043,rebalance,,34817,18081642496.0
2006-11-30,2007-02-28,long,PD,123.0,125.01,0.016341,rebalance,,17806,25093599232.0
2006-11-30,2007-02-28,long,EQR,53.26,50.79,-0.046376,rebalance,,79547,15559003136.0
2006-11-30,2007-02-28,long,CSX,35.86,37.62,0.04908,rebalance,,62148,15605626880.0
2006-11-30,2007-02-28,long,PLD,65.17,66.13,0.014731,rebalance,,80406,16126120960.0
2006-11-30,2007-02-28,long,LMT,90.45,97.26,0.07529,rebalance,,21178,38341394432.0
2006-11-30,2007-02-28,long,CMCSA,40.46,25.72,-0.36431,rebalance,,89525,55360487424.0
2006-11-30,2007-02-28,long,GS,194.8,201.75,0.035678,rebalance,,86868,82952077312.0
2006-11-30,2007-02-28,long,T,33.91,36.8,0.085226,rebalance,,66093,130312806400.0
2006-11-30,2007-02-28,long,AIV,57.64,58.86,0.021166,rebalance,,80711,5561683456.0
2006-11-30,2007-02-28,long,BMC,32.56,30.86,-0.052211,rebalance,,11976,6677730304.0
2006-11-30,2007-02-28,long,TMO,43.83,45.26,0.032626,rebalance,,62092,17886322688.0
2006-11-30,2007-02-28,long,LXK,68.98,60.54,-0.122354,rebalance,,82643,6755073536.0
2007-02-28,2007-05-31,long,UST,58.04,53.39,-0.080117,rebalance,,15077,9322558464.0
2007-02-28,2007-05-31,long,CNP,17.83,18.93,0.061694,rebalance,,21792,5707008512.0
2007-02-28,2007-05-31,long,LTR,43.4,51.03,0.175806,rebalance,,26710,23586250752.0
2007-02-28,2007-05-31,long,PSA,101.27,89.5,-0.116224,rebalance,,64653,17233520640.0
2007-02-28,2007-05-31,long,FPL,59.1,63.93,0.081726,rebalance,,24205,23970369536.0
2007-02-28,2007-03-19,long,PD,125.01,129.47,0.035677,rebalance,,17806,25519917056.0
