date,equity
2016-01-04,100002.14
2016-01-05,100030.22
2016-01-06,99920.74
2016-01-07,99714.34
2016-01-08,99620.64
2016-01-11,99623.84
2016-01-12,99707.45999999999
2016-01-13,99470.48
2016-01-14,99575.1
2016-01-15,99387.06
2016-01-18,99387.06
2016-01-19,99386.16
2016-01-20,99293.16
2016-01-21,99327.44
2016-01-22,99491.22
2016-01-25,99362.98
2016-01-26,99480.48
2016-01-27,99389.84
2016-01-28,99436.22
2016-01-29,99629.8
2016-02-01,99669.0
2016-02-02,99511.429345632
2016-02-03,99498.049345632
2016-02-04,99482.809345632
2016-02-05,99364.429345632
2016-02-08,99253.249345632
2016-02-09,99260.209345632
2016-02-10,99287.809345632
2016-02-11,99222.649345632
2016-02-12,99332.509345632
2016-02-15,99332.509345632
2016-02-16,99445.66934563199
2016-02-17,99542.569345632
2016-02-18,99504.229345632
2016-02-19,99506.509345632
2016-02-22,99610.249345632
2016-02-23,99555.589345632
2016-02-24,99584.929345632
2016-02-25,99665.689345632
2016-02-26,99655.129345632
2016-02-29,99619.369345632
2016-03-01,99746.269345632
2016-03-02,99798.829345632
2016-03-03,99831.24934563201
2016-03-04,99856.569345632
2016-03-07,99856.949345632
2016-03-08,99723.329345632
2016-03-09,99784.909345632
2016-03-10,99803.649345632
2016-03-11,100042.989345632
2016-03-14,100036.309345632
2016-03-15,100026.109345632
2016-03-16,100109.829345632
2016-03-17,100201.189345632
2016-03-18,100253.569345632
2016-03-21,100282.549345632
2016-03-22,100277.289345632
2016-03-23,100185.309345632
2016-03-24,100167.829345632
2016-03-25,100167.829345632
2016-03-28,100193.189345632
2016-03-29,100333.96934563201
2016-03-30,100410.789345632
2016-03-31,100370.429345632
2016-04-01,100481.569345632
2016-04-04,100444.972499792
2016-04-05,100381.132499792
2016-04-06,100451.87249979199
2016-04-07,100378.072499792
2016-04-08,100380.71249979199
2016-04-11,100356.892499792
2016-04-12,100405.672499792
2016-04-13,100471.612499792
2016-04-14,100464.952499792
2016-04-15,100461.412499792
2016-04-18,100509.71249979199
2016-04-19,100527.052499792
2016-04-20,100553.452499792
2016-04-21,100516.972499792
2016-04-22,100514.452499792
2016-04-25,100504.552499792
2016-04-26,100517.692499792
2016-04-27,100534.37249979199
2016-04-28,100487.392499792
2016-04-29,100446.65249979199
2016-05-02,100497.232499792
2016-05-03,100439.332499792
2016-05-04,100403.452499792
2016-05-05,100390.732499792
2016-05-06,100423.79249979199
2016-05-09,100439.092499792
2016-05-10,100521.592499792
2016-05-11,100454.692499792
2016-05-12,100451.15249979199
2016-05-13,100403.692499792
2016-05-16,100460.632499792
2016-05-17,100400.632499792
2016-05-18,100402.79249979199
2016-05-19,100391.752499792
2016-05-20,100433.87249979199
2016-05-23,100420.252499792
2016-05-24,100511.092499792
2016-05-25,100544.692499792
2016-05-26,100548.29249979199
2016-05-27,100573.37249979199
2016-05-30,100573.37249979199
2016-05-31,100569.352499792
2016-06-01,100577.15249979199
2016-06-02,100598.332499792
2016-06-03,100592.992499792
2016-06-06,100612.852499792
