date,equity
2016-01-04,100001.07
2016-01-05,100015.11
2016-01-06,99960.37
2016-01-07,99857.17
2016-01-08,99810.32
2016-01-11,99811.92
2016-01-12,99853.73
2016-01-13,99735.24
2016-01-14,99787.55
2016-01-15,99693.53
2016-01-18,99693.53
2016-01-19,99693.08
2016-01-20,99646.58
2016-01-21,99663.72
2016-01-22,99745.61
2016-01-25,99681.49
2016-01-26,99740.24
2016-01-27,99694.92
2016-01-28,99718.11
2016-01-29,99814.9
2016-02-01,99834.5
2016-02-02,99755.714672816
2016-02-03,99749.02467281601
2016-02-04,99741.404672816
2016-02-05,99682.214672816
2016-02-08,99626.624672816
2016-02-09,99630.104672816
2016-02-10,99643.904672816
2016-02-11,99611.324672816
2016-02-12,99666.25467281601
2016-02-15,99666.25467281601
2016-02-16,99722.83467281601
2016-02-17,99771.28467281601
2016-02-18,99752.11467281601
2016-02-19,99753.25467281601
2016-02-22,99805.124672816
2016-02-23,99777.794672816
2016-02-24,99792.464672816
2016-02-25,99832.844672816
2016-02-26,99827.564672816
2016-02-29,99809.684672816
2016-03-01,99873.13467281601
2016-03-02,99899.414672816
2016-03-03,99915.624672816
2016-03-04,99928.28467281601
2016-03-07,99928.474672816
2016-03-08,99861.664672816
2016-03-09,99892.454672816
2016-03-10,99901.824672816
2016-03-11,100021.494672816
2016-03-14,100018.154672816
2016-03-15,100013.054672816
2016-03-16,100054.914672816
2016-03-17,100100.594672816
2016-03-18,100126.784672816
2016-03-21,100141.274672816
2016-03-22,100138.64467281601
2016-03-23,100092.654672816
2016-03-24,100083.914672816
2016-03-25,100083.914672816
2016-03-28,100096.594672816
2016-03-29,100166.984672816
2016-03-30,100205.39467281601
2016-03-31,100185.214672816
2016-04-01,100240.784672816
2016-04-04,100222.486249896
2016-04-05,100190.566249896
2016-04-06,100225.936249896
2016-04-07,100189.036249896
2016-04-08,100190.356249896
2016-04-11,100178.44624989599
2016-04-12,100202.836249896
2016-04-13,100235.80624989599
2016-04-14,100232.476249896
2016-04-15,100230.706249896
2016-04-18,100254.856249896
2016-04-19,100263.526249896
2016-04-20,100276.726249896
2016-04-21,100258.486249896
2016-04-22,100257.226249896
2016-04-25,100252.276249896
2016-04-26,100258.846249896
2016-04-27,100267.186249896
2016-04-28,100243.69624989599
2016-04-29,100223.326249896
2016-05-02,100248.616249896
2016-05-03,100219.66624989599
2016-05-04,100201.726249896
2016-05-05,100195.366249896
2016-05-06,100211.896249896
2016-05-09,100219.546249896
2016-05-10,100260.796249896
2016-05-11,100227.346249896
2016-05-12,100225.576249896
2016-05-13,100201.846249896
2016-05-16,100230.316249896
2016-05-17,100200.316249896
2016-05-18,100201.396249896
2016-05-19,100195.876249896
2016-05-20,100216.936249896
2016-05-23,100210.126249896
2016-05-24,100255.546249896
2016-05-25,100272.346249896
2016-05-26,100274.146249896
2016-05-27,100286.686249896
2016-05-30,100286.686249896
2016-05-31,100284.676249896
2016-06-01,100288.576249896
2016-06-02,100299.16624989599
2016-06-03,100296.496249896
2016-06-06,100306.426249896
2016-06-07,100313.836249896
2016-06-08,100327.30624989599
2016-06-09,100328.686249896
2016-06-10,100300.606249896
2016-06-13,100273.366249896
2016-06-14,100264.816249896
2016-06-15,100261.546249896
2016-06-16,100267.456249896
2016-06-17,100261.246249896
2016-06-20,100280.506249896
2016-06-21,100286.266249896
2016-06-22,100279.786249896
2016-06-23,100319.506249896
2016-06-24,100218.526249896
2016-06-27,100170.496249896
2016-06-28,100219.396249896
2016-06-29,100265.686249896
2016-06-30,100312.006249896
2016-07-01,100316.986249896
2016-07-04,100316.986249896
2016-07-05,100290.766249896
2016-07-06,100330.366249896
2016-07-07,100319.896249896
2016-07-08,100432.936249896
2016-07-11,100456.75624989599
2016-07-12,100498.816249896
2016-07-13,100501.066249896
2016-07-14,100537.276249896
2016-07-15,100535.83624989599
2016-07-18,100552.816249896
2016-07-19,100555.786249896
2016-07-20,100590.436249896
2016-07-21,100557.706249896
2016-07-22,100599.496249896
2016-07-25,100584.826249896
2016-07-26,100572.016249896
2016-07-27,100563.076249896
2016-07-28,100566.526249896
2016-07-29,100577.386249896
2016-08-01,100567.576249896
2016-08-02,100532.960713308
2016-08-03,100538.78071330799
2016-08-04,100542.710713308
2016-08-05,100569.110713308
2016-08-08,100564.040713308
2016-08-09,100569.680713308
2016-08-10,100564.400713308
2016-08-11,100581.320713308
2016-08-12,100579.850713308
2016-08-15,100586.270713308
2016-08-16,100564.010713308
2016-08-17,100569.200713308
2016-08-18,100576.190713308
