date,equity
2016-01-04,100038.42999999998
2016-01-05,100557.86999999998
2016-01-06,98535.80999999998
2016-01-07,94719.08999999998
2016-01-08,92986.61
2016-01-11,93048.10000000002
2016-01-12,94594.93999999999
2016-01-13,90214.96999999999
2016-01-14,92150.92999999998
2016-01-15,88676.34999999999
2016-01-18,88676.34999999999
2016-01-19,88662.59999999999
2016-01-20,86942.56999999999
2016-01-21,87576.42
2016-01-22,90606.24999999999
2016-01-25,88236.11999999998
2016-01-26,90407.90000000001
2016-01-27,88729.34999999999
2016-01-28,89588.29999999997
2016-01-29,93167.55999999998
2016-02-01,93890.11
2016-02-02,90983.83318122398
2016-02-03,90734.793181224
2016-02-04,90451.71318122398
2016-02-05,88267.263181224
2016-02-08,86217.453181224
2016-02-09,86346.86318122398
2016-02-10,86857.15318122398
2016-02-11,85657.42318122397
2016-02-12,87680.323181224
2016-02-15,87680.323181224
2016-02-16,89764.93318122398
2016-02-17,91550.46318122398
2016-02-18,90843.36318122398
2016-02-19,90886.95318122397
2016-02-22,92797.953181224
2016-02-23,91791.92318122397
2016-02-24,92332.84318122399
2016-02-25,93821.64318122398
2016-02-26,93626.50318122399
2016-02-29,92966.48318122397
2016-03-01,95305.59318122399
2016-03-02,96246.09318122396
2016-03-03,96833.453181224
2016-03-04,97284.16318122396
2016-03-07,97283.18318122398
2016-03-08,94868.92318122397
2016-03-09,95990.34318122396
2016-03-10,96330.36318122398
2016-03-11,100641.61318122398
2016-03-14,100520.65318122396
2016-03-15,100325.89318122395
2016-03-16,101836.65318122396
2016-03-17,103463.45318122394
2016-03-18,104412.55318122398
2016-03-21,104931.49318122392
2016-03-22,104837.333181224
2016-03-23,103178.43318122398
2016-03-24,102865.36318122392
2016-03-25,102865.36318122392
2016-03-28,103322.89318122395
2016-03-29,105855.76318122394
2016-03-30,107236.01318122394
2016-03-31,106509.953181224
2016-04-01,108505.083181224
2016-04-04,107831.09424831197
2016-04-05,106654.56424831196
2016-04-06,107958.53424831196
2016-04-07,106599.14424831196
2016-04-08,106647.13424831197
2016-04-11,106207.42424831196
2016-04-12,107105.72424831196
2016-04-13,108319.40424831197
2016-04-14,108196.66424831195
2016-04-15,108132.37424831197
2016-04-18,109022.33424831196
2016-04-19,109339.91424831195
2016-04-20,109825.64424831196
2016-04-21,109153.11424831196
2016-04-22,109104.82424831195
2016-04-25,108923.40424831196
2016-04-26,109164.56424831196
2016-04-27,109471.07424831195
2016-04-28,108606.43424831197
2016-04-29,107858.16424831198
