date,equity
2016-02-01,99999.99999999999
2016-02-02,98429.46
2016-02-03,98439.1
2016-02-04,98259.68999999999
2016-02-05,96133.25
2016-02-08,94733.44
2016-02-09,94760.32
2016-02-10,95117.37
2016-02-11,94166.79999999999
2016-02-12,95671.18000000001
2016-02-15,95671.18000000001
2016-02-16,97318.65
2016-02-17,98669.04
2016-02-18,98349.75
2016-02-19,98607.26
2016-02-22,99781.19
2016-02-23,99040.31000000001
2016-02-24,99656.76999999999
2016-02-25,100829.56000000001
2016-02-26,100605.3
2016-02-29,99904.04000000001
2016-03-01,101956.65
2016-03-02,102298.04
2016-03-03,102625.16
2016-03-04,102847.65
2016-03-07,102873.86
2016-03-08,101885.89
2016-03-09,102271.36
2016-03-10,102146.18999999999
2016-03-11,103763.68000000001
2016-03-14,103748.47
2016-03-15,103338.31
2016-03-16,103906.89
2016-03-17,104655.23000000001
2016-03-18,105047.31999999999
2016-03-21,105065.0
2016-03-22,104984.38
2016-03-23,104297.3
2016-03-24,104337.37999999999
2016-03-25,104337.37999999999
2016-03-28,104537.12000000001
2016-03-29,106107.17
2016-03-30,106419.66
2016-03-31,106320.62999999999
2016-04-01,107144.90999999999
2016-04-04,106644.90000000001
2016-04-05,105648.77
2016-04-06,106718.2
2016-04-07,105647.37
2016-04-08,105836.45
2016-04-11,105417.35
2016-04-12,106254.59999999999
2016-04-13,107210.79
2016-04-14,107090.18999999999
2016-04-15,107302.28
2016-04-18,108052.06999999999
2016-04-19,108102.56999999999
2016-04-20,108012.68000000001
2016-04-21,107224.53
2016-04-22,107394.40000000001
2016-04-25,107281.6
2016-04-26,107556.33
2016-04-27,107755.93
2016-04-28,106954.34000000001
2016-04-29,106401.41000000002
2016-05-02,107443.27999999998
2016-05-03,106502.91
2016-05-04,106125.34999999999
2016-05-05,106002.88999999998
2016-05-06,106470.18999999999
2016-05-09,106907.92
2016-05-10,108050.90000000001
2016-05-11,106919.13
2016-05-12,106974.58
2016-05-13,106227.35
2016-05-16,107230.45
2016-05-17,105810.86
2016-05-18,105744.78
2016-05-19,105314.22
2016-05-20,106070.81
2016-05-23,105823.58
2016-05-24,107461.68
2016-05-25,107797.45999999999
2016-05-26,107885.28
2016-05-27,108416.27
2016-05-30,108416.27
2016-05-31,108349.71999999999
2016-06-01,108708.29
2016-06-02,109120.33
2016-06-03,109064.37
2016-06-06,109512.74
2016-06-07,109623.15
2016-06-08,110222.17
2016-06-09,110186.27
2016-06-10,109310.0
2016-06-13,108448.06000000001
2016-06-14,108411.37
2016-06-15,108260.29
2016-06-16,108633.79000000001
2016-06-17,108119.72
2016-06-20,108867.36
2016-06-21,109011.99
2016-06-22,108788.45
2016-06-23,110144.11
2016-06-24,107065.15999999999
2016-06-27,105507.81999999999
2016-06-28,106982.55
2016-06-29,108689.98
2016-06-30,110459.31999999999
2016-07-01,110680.20999999999
2016-07-04,110680.20999999999
2016-07-05,110274.65000000001
2016-07-06,110825.17
2016-07-07,110606.21
2016-07-08,112253.76000000001
2016-07-11,112737.03000000001
2016-07-12,113145.53
2016-07-13,113165.02
2016-07-14,113418.12
2016-07-15,113420.98
2016-07-18,113555.84
2016-07-19,113517.76000000001
2016-07-20,113912.12999999999
2016-07-21,113483.17
2016-07-22,114201.12
2016-07-25,113968.34999999999
2016-07-26,113892.66999999998
2016-07-27,113700.25
2016-07-28,113830.29
2016-07-29,114075.37000000001
2016-08-01,114113.56962651199
2016-08-02,113530.949626512
2016-08-03,113424.41962651198
2016-08-04,113507.20962651199
2016-08-05,114288.089626512
2016-08-08,114121.429626512
2016-08-09,114205.479626512
2016-08-10,114132.369626512
2016-08-11,114650.519626512
2016-08-12,114489.219626512
2016-08-15,114643.39962651201
2016-08-16,113809.369626512
2016-08-17,113986.31962651199
2016-08-18,114167.479626512
2016-08-19,114055.719626512
2016-08-22,114112.579626512
2016-08-23,114327.359626512
2016-08-24,113709.18962651199
2016-08-25,113677.11962651198
2016-08-26,113305.709626512
2016-08-29,113934.18962651199
2016-08-30,113612.12962651199
2016-08-31,113384.70962651199
2016-09-01,113363.20962651199
2016-09-02,114005.28962651199
2016-09-05,114005.28962651199
2016-09-06,114254.159626512
2016-09-07,114225.56962651199
2016-09-08,113724.889626512
2016-09-09,110843.059626512
2016-09-12,112420.659626512
2016-09-13,110872.389626512
2016-09-14,110768.379626512
2016-09-15,111827.51962651199
2016-09-16,111430.62962651197
2016-09-19,111664.369626512
2016-09-20,111721.529626512
2016-09-21,113101.34962651199
2016-09-22,113841.989626512
2016-09-23,113234.829626512
2016-09-26,112477.059626512
2016-09-27,113108.70962651199
2016-09-28,113402.24962651198
2016-09-29,112499.249626512
2016-09-30,113276.34962651199
2016-10-03,112790.02962651198
2016-10-04,111967.949626512
2016-10-05,112186.089626512
2016-10-06,112355.23962651199
2016-10-07,112001.139626512
2016-10-10,112514.70962651199
2016-10-11,111136.619626512
2016-10-12,111561.87962651199
2016-10-13,111376.34962651199
2016-10-14,111352.01962651199
2016-10-17,111102.759626512
2016-10-18,111527.02962651198
2016-10-19,111625.56962651199
2016-10-20,111371.989626512
2016-10-21,111282.85962651198
2016-10-24,111792.479626512
2016-10-25,111306.38962651198
2016-10-26,111254.769626512
2016-10-27,110580.389626512
2016-10-28,110626.509626512
2016-10-31,111023.609626512
2016-11-01,110117.07962651199
2016-11-02,109620.969626512
2016-11-03,109217.979626512
2016-11-04,109076.62962651199
2016-11-07,111295.35962651198
2016-11-08,111923.979626512
2016-11-09,112642.609626512
2016-11-10,112488.449626512
2016-11-11,112484.379626512
2016-11-14,112560.22962651198
2016-11-15,113211.81962651199
2016-11-16,113223.419626512
2016-11-17,113804.74962651198
2016-11-18,113566.589626512
2016-11-21,114187.529626512
2016-11-22,114681.53962651199
2016-11-23,114580.209626512
2016-11-24,114580.209626512
2016-11-25,115068.869626512
2016-11-28,114785.839626512
2016-11-29,115026.23962651199
2016-11-30,113994.759626512
2016-12-01,113089.499626512
2016-12-02,113344.189626512
2016-12-05,113902.689626512
2016-12-06,114293.31962651199
2016-12-07,115845.989626512
2016-12-08,116039.15962651199
2016-12-09,116477.70962651199
2016-12-12,116426.45962651199
2016-12-13,117077.189626512
2016-12-14,116150.42962651199
2016-12-15,116622.02962651198
2016-12-16,116515.649626512
2016-12-19,116800.81962651199
2016-12-20,117188.27962651198
2016-12-21,116944.419626512
2016-12-22,116707.42962651199
2016-12-23,116869.869626512
2016-12-26,116869.869626512
2016-12-27,117144.339626512
2016-12-28,116160.07962651199
2016-12-29,116379.67962651199
2016-12-30,115777.59962651199
2017-01-02,115777.59962651199
2017-01-03,116328.67962651199
2017-01-04,117127.34962651199
2017-01-05,116965.43962651199
2017-01-06,117346.53962651199
2017-01-09,116930.68962651199
2017-01-10,116949.229626512
2017-01-11,117238.469626512
2017-01-12,117022.71962651199
2017-01-13,117234.90962651199
2017-01-16,117234.90962651199
2017-01-17,117060.73962651199
2017-01-18,117369.669626512
2017-01-19,116948.23962651199
2017-01-20,117248.729626512
2017-01-23,116804.959626512
2017-01-24,117651.549626512
2017-01-25,118498.189626512
2017-01-26,118314.74962651198
2017-01-27,118195.28962651199
2017-01-30,117607.669626512
2017-01-31,117496.765734746
2017-02-01,117246.575734746
2017-02-02,117318.44573474603
2017-02-03,118400.18573474602
2017-02-06,118050.19573474603
2017-02-07,118041.94573474603
2017-02-08,117973.08573474598
2017-02-09,118917.59573474602
2017-02-10,119562.81573474602
2017-02-13,120057.02573474601
2017-02-14,120457.31573474602
2017-02-15,121080.975734746
2017-02-16,121122.635734746
2017-02-17,121351.22573474603
2017-02-20,121351.22573474603
2017-02-21,122132.355734746
2017-02-22,121919.705734746
2017-02-23,121913.94573474603
2017-02-24,122231.39573474601
