top_pct,top_n,freq,n_regimes,median_sharpe,min_sharpe,n_positive,stability,us_factor_quality
0.5,4,6ME,3,1.2701,1.2701,1,0.8282,1.2701
0.33,3,6ME,3,1.1736,1.1736,1,0.8989,1.1736
0.1,1,6ME,3,1.1452,1.1452,1,0.7885,1.1452
0.15,1,6ME,3,1.1452,1.1452,1,0.8286,1.1452
0.15,1,6ME,2,1.1381,1.1381,1,0.9027,1.1381
0.1,1,6ME,2,1.1381,1.1381,1,0.8987,1.1381
1.0,8,6ME,2,1.1316,1.1316,1,0.8548,1.1316
1.0,8,6ME,3,1.1316,1.1316,1,0.9218,1.1316
0.5,4,12ME,3,1.1257,1.1257,1,1.0191,1.1257
0.33,3,6ME,2,1.1099,1.1099,1,0.9045,1.1099
0.33,3,12ME,3,1.0895,1.0895,1,1.0358,1.0895
0.5,4,12ME,2,1.0878,1.0878,1,0.9843,1.0878
0.33,3,12ME,2,1.0873,1.0873,1,0.9919,1.0873
0.25,2,6ME,3,1.0867,1.0867,1,0.9488,1.0867
0.25,2,12ME,3,1.0861,1.0861,1,0.935,1.0861
1.0,8,12ME,3,1.082,1.082,1,1.0431,1.082
1.0,8,12ME,2,1.082,1.082,1,1.0256,1.082
0.5,4,6ME,2,1.0429,1.0429,1,0.9887,1.0429
0.25,2,6ME,2,1.0411,1.0411,1,1.0137,1.0411
0.25,2,12ME,2,1.0378,1.0378,1,1.0104,1.0378
0.1,1,12ME,2,1.0173,1.0173,1,1.0594,1.0173
0.15,1,12ME,2,1.0173,1.0173,1,1.0463,1.0173
0.15,1,2ME,2,0.9714,0.9714,1,0.9598,0.9714
0.1,1,2ME,2,0.9714,0.9714,1,0.9526,0.9714
0.25,2,2ME,2,0.9533,0.9533,1,0.986,0.9533
0.25,2,ME,2,0.9463,0.9463,1,0.9477,0.9463
0.25,2,QE,2,0.9356,0.9356,1,1.0025,0.9356
0.15,1,QE,2,0.9129,0.9129,1,1.0839,0.9129
0.1,1,QE,2,0.9129,0.9129,1,1.1036,0.9129
0.33,3,2ME,2,0.9066,0.9066,1,0.9707,0.9066
0.15,1,ME,2,0.8917,0.8917,1,1.0502,0.8917
0.1,1,ME,2,0.8917,0.8917,1,1.0447,0.8917
0.5,4,2ME,2,0.8772,0.8772,1,0.9634,0.8772
0.1,1,12ME,3,0.8703,0.8703,1,1.1579,0.8703
0.15,1,12ME,3,0.8703,0.8703,1,1.1879,0.8703
0.15,1,ME,3,0.8682,0.8682,1,0.8976,0.8682
0.1,1,ME,3,0.8682,0.8682,1,0.9104,0.8682
0.33,3,ME,2,0.8454,0.8454,1,1.0624,0.8454
0.33,3,QE,2,0.8443,0.8443,1,1.1096,0.8443
0.5,4,ME,2,0.8415,0.8415,1,0.9939,0.8415
0.5,4,ME,3,0.8388,0.8388,1,0.967,0.8388
1.0,8,2ME,3,0.8373,0.8373,1,0.9496,0.8373
0.33,3,2ME,3,0.8373,0.8373,1,0.9422,0.8373
1.0,8,2ME,2,0.8373,0.8373,1,0.9717,0.8373
0.33,3,ME,3,0.8251,0.8251,1,0.983,0.8251
0.5,4,2ME,3,0.8219,0.8219,1,1.0008,0.8219
0.5,4,QE,2,0.7951,0.7951,1,1.1135,0.7951
1.0,8,ME,3,0.7864,0.7864,1,1.0657,0.7864
1.0,8,ME,2,0.7864,0.7864,1,1.0674,0.7864
1.0,8,QE,2,0.7771,0.7771,1,1.1856,0.7771
1.0,8,QE,3,0.7771,0.7771,1,1.1778,0.7771
0.5,4,QE,3,0.7769,0.7769,1,1.1722,0.7769
0.33,3,QE,3,0.7737,0.7737,1,1.1332,0.7737
0.25,2,ME,3,0.7572,0.7572,1,1.069,0.7572
0.25,2,2ME,3,0.735,0.735,1,1.0294,0.735
0.25,2,QE,3,0.7193,0.7193,1,1.143,0.7193
0.1,1,2ME,3,0.7126,0.7126,1,1.0638,0.7126
0.15,1,2ME,3,0.7126,0.7126,1,1.0557,0.7126
0.15,1,QE,3,0.6933,0.6933,1,1.1793,0.6933
0.1,1,QE,3,0.6933,0.6933,1,1.2265,0.6933
