date,equity
2017-01-31,100000.0
2017-02-01,99718.42000000001
2017-02-02,99815.83
2017-02-03,100618.48000000001
2017-02-06,100184.375
2017-02-07,99916.34000000001
2017-02-08,100068.50000000001
2017-02-09,100667.79000000004
2017-02-10,101416.11000000002
2017-02-13,101987.95500000002
2017-02-14,101987.785
2017-02-15,102215.61000000003
2017-02-16,102243.45000000001
2017-02-17,102217.625
2017-02-20,102217.625
2017-02-21,102941.10500000001
2017-02-22,102757.63500000001
2017-02-23,102592.01000000002
2017-02-24,102867.33
2017-02-27,103251.13
2017-02-28,102707.17000000001
2017-03-01,104040.98000000001
2017-03-02,103158.05000000002
2017-03-03,103087.63500000001
2017-03-06,102593.73500000002
2017-03-07,102153.63500000001
2017-03-08,101437.27500000002
2017-03-09,100942.155
2017-03-10,101331.89500000002
2017-03-13,101522.265
2017-03-14,100969.425
2017-03-15,102465.43000000001
2017-03-16,102152.98500000002
2017-03-17,102488.22
2017-03-20,102394.07500000001
2017-03-21,100871.64000000001
2017-03-22,101050.63500000001
2017-03-23,101365.68500000003
2017-03-24,101146.31
2017-03-27,100921.32500000001
2017-03-28,101782.55
2017-03-29,101963.34500000002
2017-03-30,102360.65000000001
2017-03-31,102391.58500000002
2017-04-03,101902.42500000002
2017-04-04,101980.07
2017-04-05,101605.50500000002
2017-04-06,102201.89500000002
2017-04-07,102152.39000000001
2017-04-10,102443.47000000002
2017-04-11,102796.595
2017-04-12,101909.16500000001
2017-04-13,101136.23000000001
2017-04-14,101136.23000000001
2017-04-17,102096.535
2017-04-18,102064.975
2017-04-19,102123.88500000001
2017-04-20,102921.65000000001
2017-04-21,102779.79500000001
2017-04-24,103597.70000000001
2017-04-25,104413.01000000001
2017-04-26,104285.36000000002
2017-04-27,104238.27000000002
2017-04-28,103387.59500000002
2017-05-01,103465.89500000002
2017-05-02,103475.77500000002
2017-05-03,102950.88000000002
2017-05-04,102898.15500000001
2017-05-05,103723.23000000001
2017-05-08,103316.17500000002
2017-05-09,103038.50000000001
2017-05-10,103421.37
2017-05-11,102975.405
2017-05-12,102584.41
2017-05-15,103215.67
2017-05-16,103006.36000000002
2017-05-17,101477.23000000001
2017-05-18,101622.925
2017-05-19,102391.10999999999
2017-05-22,102910.54000000001
2017-05-23,103123.065
2017-05-24,103432.89
2017-05-25,103726.475
2017-05-26,103674.465
2017-05-29,103674.465
2017-05-30,103376.20000000001
2017-05-31,103484.75000000001
2017-06-01,104613.51000000002
2017-06-02,105044.405
2017-06-05,104657.99000000002
2017-06-06,104294.62000000002
2017-06-07,104422.645
2017-06-08,104809.00000000001
2017-06-09,105546.03500000002
2017-06-12,105690.79500000001
2017-06-13,106253.205
2017-06-14,105970.065
2017-06-15,105885.84500000003
2017-06-16,106050.59500000002
2017-06-19,106530.58500000002
2017-06-20,105741.32500000001
2017-06-21,105142.31000000003
2017-06-22,105223.0
2017-06-23,105635.54000000001
2017-06-26,105926.37000000002
2017-06-27,105232.65500000001
2017-06-28,106072.865
2017-06-29,105216.53000000003
2017-06-30,105435.73500000002
2017-07-03,106177.18000000001
2017-07-04,106177.18000000001
2017-07-05,105746.95999999999
2017-07-06,104600.19
2017-07-07,105267.415
2017-07-10,105124.68000000001
2017-07-11,105078.39
2017-07-12,105911.55
2017-07-13,105970.20999999999
2017-07-14,106450.26000000001
2017-07-17,106611.805
2017-07-18,106344.45000000001
2017-07-19,107151.37999999999
2017-07-20,106949.905
2017-07-21,106851.53500000003
2017-07-24,106724.87500000001
2017-07-25,107271.39499999999
2017-07-26,107069.53000000003
2017-07-27,106780.935
2017-07-28,106538.07
2017-07-31,106305.724803282
2017-08-01,106381.654803282
2017-08-02,106044.389803282
2017-08-03,105659.764803282
2017-08-04,105958.83480328199
2017-08-07,106033.149803282
2017-08-08,105797.29980328199
2017-08-09,105458.189803282
2017-08-10,103844.16480328201
2017-08-11,103961.59980328199
2017-08-14,104982.159803282
2017-08-15,104635.324803282
2017-08-16,104650.659803282
2017-08-17,102811.79480328201
2017-08-18,102741.979803282
2017-08-21,102657.679803282
2017-08-22,103755.684803282
2017-08-23,103469.97480328198
2017-08-24,103385.17980328201
2017-08-25,103719.809803282
2017-08-28,103758.129803282
2017-08-29,103959.32480328198
2017-08-30,104545.95980328199
2017-08-31,105206.529803282
2017-09-01,105595.274803282
2017-09-04,105595.274803282
2017-09-05,104672.724803282
2017-09-06,105081.654803282
2017-09-07,105044.319803282
2017-09-08,104868.04980328199
2017-09-11,105990.76980328199
2017-09-12,106500.13980328199
2017-09-13,106854.18980328197
2017-09-14,106912.749803282
2017-09-15,107310.79980328199
2017-09-18,107768.76980328199
2017-09-19,107925.75980328198
2017-09-20,108293.844803282
2017-09-21,108271.119803282
2017-09-22,108646.53980328201
2017-09-25,108715.79980328199
2017-09-26,108849.654803282
2017-09-27,109881.379803282
2017-09-28,109998.074803282
2017-09-29,110293.619803282
2017-10-02,110990.04980328202
2017-10-03,111286.30480328202
2017-10-04,111141.90980328197
2017-10-05,111637.87980328199
2017-10-06,111454.17480328199
2017-10-09,111191.00980328198
2017-10-10,111404.08480328199
2017-10-11,111461.80980328201
2017-10-12,111391.20480328199
2017-10-13,111465.43980328203
2017-10-16,111590.07980328202
2017-10-17,111429.934803282
2017-10-18,111606.969803282
2017-10-19,111553.944803282
2017-10-20,112265.544803282
2017-10-23,111530.249803282
2017-10-24,111878.214803282
2017-10-25,111083.779803282
2017-10-26,111317.83480328199
2017-10-27,111978.25480328199
2017-10-30,111592.909803282
2017-10-31,111815.369803282
2017-11-01,111829.824803282
2017-11-02,112078.429803282
2017-11-03,112183.454803282
2017-11-06,112794.854803282
2017-11-07,112351.19480328201
2017-11-08,112409.32980328202
2017-11-09,111813.399803282
2017-11-10,111758.61480328199
2017-11-13,111463.45980328199
2017-11-14,110859.379803282
2017-11-15,110263.38980328199
2017-11-16,111263.464803282
2017-11-17,111272.804803282
2017-11-20,111637.23480328199
2017-11-21,112403.534803282
2017-11-22,112404.824803282
2017-11-23,112404.824803282
2017-11-24,112551.959803282
2017-11-27,112269.13980328199
2017-11-28,113614.739803282
2017-11-29,113789.63480328201
2017-11-30,114919.15480328198
2017-12-01,114493.67980328196
2017-12-04,114444.784803282
2017-12-05,113778.70980328199
2017-12-06,113550.294803282
2017-12-07,114259.66480328198
2017-12-08,114842.39480328199
2017-12-11,115109.559803282
2017-12-12,115067.434803282
2017-12-13,115235.57980328199
2017-12-14,114576.534803282
2017-12-15,115614.85980328199
2017-12-18,116768.83480328199
2017-12-19,116345.844803282
2017-12-20,116722.554803282
2017-12-21,117284.61480328199
2017-12-22,117269.974803282
2017-12-25,117269.974803282
2017-12-26,117331.634803282
2017-12-27,117287.999803282
2017-12-28,117574.92480328199
2017-12-29,116991.32980328199
2018-01-01,116991.32980328199
2018-01-02,118192.129803282
2018-01-03,118909.279803282
2018-01-04,119503.44480328198
2018-01-05,120112.75480328199
2018-01-08,120437.09980328199
2018-01-09,120606.094803282
2018-01-10,120567.64980328201
2018-01-11,122198.63980328199
2018-01-12,123119.119803282
2018-01-15,123119.119803282
2018-01-16,121976.929803282
2018-01-17,123130.29980328199
2018-01-18,122516.52980328201
2018-01-19,123146.409803282
2018-01-22,124125.35480328201
2018-01-23,124393.244803282
2018-01-24,123906.494803282
2018-01-25,123683.76480328199
2018-01-26,124804.36480328199
2018-01-29,123903.134803282
2018-01-30,122425.894803282
2018-01-31,122515.407636349
2018-02-01,122071.60763634898
2018-02-02,119716.662636349
2018-02-05,115183.887636349
2018-02-06,116960.897636349
2018-02-07,116334.32263634901
2018-02-08,112263.82763634901
2018-02-09,114384.092636349
2018-02-12,115993.587636349
2018-02-13,116375.82263634901
2018-02-14,117680.32763634901
2018-02-15,119489.312636349
2018-02-16,119728.747636349
2018-02-19,119728.747636349
2018-02-20,119166.372636349
2018-02-21,118424.357636349
2018-02-22,118622.62763634897
2018-02-23,120830.567636349
2018-02-26,122015.337636349
2018-02-27,120596.187636349
2018-02-28,119440.802636349
2018-03-01,117855.55263634899
2018-03-02,118464.80263634899
2018-03-05,119921.86263634899
2018-03-06,119857.227636349
2018-03-07,120047.162636349
2018-03-08,120696.82263634901
2018-03-09,122528.292636349
2018-03-12,122593.75763634901
2018-03-13,121985.47763634901
2018-03-14,121810.27263634902
2018-03-15,121780.547636349
2018-03-16,121984.98763634902
2018-03-19,120304.182636349
2018-03-20,120582.04763634899
2018-03-21,120057.07263634901
2018-03-22,117309.13263634898
2018-03-23,114776.657636349
2018-03-26,117885.67263634902
2018-03-27,115862.522636349
2018-03-28,115515.51263634898
2018-03-29,117051.077636349
2018-03-30,117051.077636349
2018-04-02,114375.76263634901
2018-04-03,115587.362636349
2018-04-04,116885.692636349
2018-04-05,117541.19263634899
2018-04-06,115037.587636349
2018-04-09,115615.922636349
2018-04-10,117381.227636349
2018-04-11,116729.717636349
2018-04-12,117492.82263634901
2018-04-13,117227.88763634901
2018-04-16,118254.482636349
2018-04-17,119916.602636349
2018-04-18,119913.732636349
2018-04-19,119194.32263634901
2018-04-20,118118.017636349
2018-04-23,118031.622636349
2018-04-24,116595.21763634901
2018-04-25,116766.952636349
2018-04-26,118507.88263634901
2018-04-27,118803.622636349
2018-04-30,117910.207636349
2018-05-01,118426.13763634901
2018-05-02,117726.382636349
2018-05-03,117638.08263634899
2018-05-04,118986.987636349
2018-05-07,119390.247636349
2018-05-08,118864.37263634901
2018-05-09,119740.872636349
2018-05-10,121035.62263634901
2018-05-11,121399.77763634901
2018-05-14,121457.652636349
2018-05-15,120387.042636349
2018-05-16,120702.592636349
2018-05-17,120317.73263634901
2018-05-18,120231.26763634902
2018-05-21,121046.83263634899
2018-05-22,120784.42763634902
2018-05-23,121494.157636349
2018-05-24,121554.04263634901
2018-05-25,121505.25763634901
2018-05-28,121505.25763634901
2018-05-29,120591.617636349
2018-05-30,121911.89763634901
2018-05-31,121291.32763634901
2018-06-01,122377.642636349
2018-06-04,122915.077636349
2018-06-05,123072.13263634901
2018-06-06,123500.42763634899
2018-06-07,123091.94263634898
2018-06-08,123353.57763634901
2018-06-11,123397.347636349
2018-06-12,123948.39263634902
2018-06-13,123661.272636349
2018-06-14,124476.562636349
2018-06-15,124488.11263634899
2018-06-18,124396.622636349
2018-06-19,124166.73263634901
2018-06-20,124544.68263634901
2018-06-21,123821.84763634902
2018-06-22,123745.32263634901
2018-06-25,122243.40263634903
2018-06-26,122531.112636349
2018-06-27,121417.737636349
2018-06-28,122251.63263634902
2018-06-29,122422.652636349
2018-07-02,123115.062636349
2018-07-03,122510.767636349
2018-07-04,122510.767636349
2018-07-05,123633.637636349
2018-07-06,124940.41763634901
2018-07-09,125187.28263634902
2018-07-10,125677.10763634898
2018-07-11,125324.697636349
2018-07-12,126723.94763634901
2018-07-13,126768.14263634902
2018-07-16,126477.57763634901
2018-07-17,127106.157636349
2018-07-18,127091.55763634901
2018-07-19,126780.212636349
2018-07-20,126595.002636349
2018-07-23,126673.002636349
2018-07-24,127131.26763634899
2018-07-25,128563.377636349
2018-07-26,127973.992636349
2018-07-27,126544.757636349
2018-07-30,125118.122636349
2018-07-31,125866.089538318
2018-08-01,126121.08453831798
2018-08-02,127184.564538318
2018-08-03,127544.66953831799
2018-08-06,128260.66953831798
2018-08-07,128793.13453831797
2018-08-08,128992.784538318
2018-08-09,128966.914538318
2018-08-10,127996.29953831798
2018-08-13,127452.18453831799
2018-08-14,128417.02953831799
2018-08-15,127083.359538318
2018-08-16,127983.754538318
2018-08-17,128142.48453831799
2018-08-20,128564.10953831799
2018-08-21,129035.22453831798
2018-08-22,129265.61453831798
2018-08-23,129191.86953831797
2018-08-24,130237.84953831798
2018-08-27,131410.284538318
2018-08-28,131551.324538318
2018-08-29,132540.994538318
2018-08-30,131922.964538318
2018-08-31,132127.634538318
2018-09-03,132127.634538318
2018-09-04,132289.884538318
2018-09-05,130924.21953831801
2018-09-06,130487.08953831799
2018-09-07,130237.18453831799
2018-09-10,130538.589538318
2018-09-11,131307.844538318
2018-09-12,131104.82453831797
2018-09-13,131785.87953831797
2018-09-14,131881.80953831802
2018-09-17,130472.314538318
2018-09-18,131560.629538318
2018-09-19,131704.234538318
2018-09-20,132783.219538318
2018-09-21,132391.08453831798
2018-09-24,132173.234538318
2018-09-25,132324.999538318
2018-09-26,131941.92453831798
2018-09-27,132346.82453831797
2018-09-28,132244.699538318
2018-10-01,132584.569538318
2018-10-02,132046.624538318
2018-10-03,132384.534538318
2018-10-04,130745.96453831799
2018-10-05,129607.39453831801
2018-10-08,129068.96453831799
2018-10-09,129006.979538318
2018-10-10,123896.57453831797
2018-10-11,121519.464538318
2018-10-12,123984.88453831797
2018-10-15,122875.49953831799
2018-10-16,125957.324538318
2018-10-17,125819.149538318
2018-10-18,123425.384538318
2018-10-19,122843.33953831799
2018-10-22,122779.88453831799
2018-10-23,122063.939538318
2018-10-24,117700.56953831797
2018-10-25,120834.21453831799
2018-10-26,118241.009538318
2018-10-29,117080.14953831799
2018-10-30,118806.52453831799
2018-10-31,120982.719538318
2018-11-01,122637.20953831798
2018-11-02,121830.159538318
2018-11-05,122314.659538318
2018-11-06,122923.069538318
2018-11-07,126090.14953831799
2018-11-08,125973.199538318
2018-11-09,124300.52453831802
2018-11-12,121123.86453831798
2018-11-13,121194.389538318
2018-11-14,119974.479538318
2018-11-15,121559.92953831799
2018-11-16,121279.23953831798
2018-11-19,118136.91453831797
2018-11-20,115805.04953831801
2018-11-21,116453.71453831799
2018-11-22,116453.71453831799
2018-11-23,115662.90453831799
2018-11-26,118103.38453831797
2018-11-27,118368.289538318
2018-11-28,121942.224538318
2018-11-29,121269.48453831798
2018-11-30,122255.119538318
2018-12-03,124122.34953831798
2018-12-04,119653.694538318
2018-12-05,119653.694538318
2018-12-06,119684.08953831799
2018-12-07,116255.32453831799
2018-12-10,116680.929538318
2018-12-11,116617.45453831798
2018-12-12,117495.879538318
2018-12-13,117280.17453831801
2018-12-14,114994.239538318
2018-12-17,112535.43453831799
2018-12-18,112939.51453831798
2018-12-19,111068.74953831799
2018-12-20,109117.71453831799
2018-12-21,106525.144538318
2018-12-24,103989.914538318
2018-12-25,103989.914538318
2018-12-26,109747.73953831798
2018-12-27,110734.67953831799
2018-12-28,110617.10953831799
2018-12-31,111776.084538318
2019-01-01,111776.084538318
2019-01-02,111918.07453831799
2019-01-03,108534.55453831799
2019-01-04,112496.82953831798
2019-01-07,113694.67453831801
2019-01-08,114777.21453831799
2019-01-09,115550.30953831799
2019-01-10,115763.774538318
2019-01-11,115747.07953831801
2019-01-14,115056.204538318
2019-01-15,116632.034538318
2019-01-16,116996.41453831797
2019-01-17,117811.679538318
2019-01-18,119464.71453831799
2019-01-21,119464.71453831799
2019-01-22,117777.08453831798
2019-01-23,118003.169538318
2019-01-24,118316.494538318
2019-01-25,119520.34953831797
2019-01-28,118476.22953831799
2019-01-29,117807.969538318
2019-01-30,120147.129538318
2019-01-31,120862.71776848499
2019-02-01,121303.082768485
2019-02-04,122376.992768485
2019-02-05,122876.672768485
2019-02-06,122678.29776848499
2019-02-07,121644.957768485
2019-02-08,121860.46276848501
2019-02-11,122180.68276848501
2019-02-12,123543.31276848499
2019-02-13,123951.63276848498
2019-02-14,124063.58776848498
2019-02-15,125336.287768485
2019-02-18,125336.287768485
2019-02-19,125633.05276848498
2019-02-20,126014.232768485
2019-02-21,125604.067768485
2019-02-22,126624.142768485
2019-02-25,126684.267768485
2019-02-26,126407.17776848498
2019-02-27,126539.232768485
2019-02-28,126201.57276848497
