date,equity
2017-01-31,100000.0
2017-02-01,99732.68
2017-02-02,99753.18
2017-02-03,100669.16
2017-02-06,100151.64000000001
2017-02-07,99924.69999999998
2017-02-08,99908.4
2017-02-09,100606.69999999998
2017-02-10,101196.0
2017-02-13,101510.51999999999
2017-02-14,101653.44
2017-02-15,101992.4
2017-02-16,101924.18
2017-02-17,101826.72
2017-02-20,101826.72
2017-02-21,102421.85999999999
2017-02-22,102220.6
2017-02-23,102095.84
2017-02-24,102234.18
2017-02-27,102706.69999999998
2017-02-28,102013.12
2017-03-01,103300.78
2017-03-02,102529.48000000001
2017-03-03,102483.98000000001
2017-03-06,102027.14000000001
2017-03-07,101615.23999999999
2017-03-08,100943.03999999998
2017-03-09,100694.5
2017-03-10,101076.1
2017-03-13,101294.32
2017-03-14,100901.06
2017-03-15,102135.69999999998
2017-03-16,101994.41999999998
2017-03-17,102231.88
2017-03-20,101931.98000000001
2017-03-21,100322.35999999999
2017-03-22,100384.22
2017-03-23,100617.56
2017-03-24,100605.85999999999
2017-03-27,100501.94
2017-03-28,101158.94
2017-03-29,101347.38
2017-03-30,101788.44
2017-03-31,101837.41999999998
2017-04-03,101146.64000000001
2017-04-04,101171.18
2017-04-05,100616.98000000001
2017-04-06,101220.84
2017-04-07,101094.78
2017-04-10,101307.18
2017-04-11,101808.34
2017-04-12,101108.28
2017-04-13,100341.01999999999
2017-04-14,100341.01999999999
2017-04-17,101107.07999999999
2017-04-18,101105.32
2017-04-19,101202.12
2017-04-20,101908.03999999998
2017-04-21,101771.51999999999
2017-04-24,102724.32
2017-04-25,103432.64000000001
2017-04-26,103474.53999999998
2017-04-27,103455.28
2017-04-28,102524.1
2017-05-01,102574.18
2017-05-02,102377.01999999999
2017-05-03,102121.51999999999
2017-05-04,101931.88
2017-05-05,102538.72
2017-05-08,102321.69999999998
2017-05-09,102138.44
2017-05-10,102606.38
2017-05-11,102046.23999999999
2017-05-12,101728.85999999999
2017-05-15,102274.98000000001
2017-05-16,102091.12
2017-05-17,100517.66
2017-05-18,100660.57999999999
2017-05-19,101160.66
2017-05-22,101722.53999999998
2017-05-23,101946.0
2017-05-24,102077.29999999999
2017-05-25,102301.4
2017-05-26,102302.57999999999
2017-05-29,102302.57999999999
2017-05-30,101908.79999999999
2017-05-31,101985.85999999999
2017-06-01,103283.44
2017-06-02,103550.01999999999
2017-06-05,103166.12
2017-06-06,102873.16
2017-06-07,102950.76000000001
2017-06-08,103535.26000000001
2017-06-09,104177.14000000001
2017-06-12,104233.19999999998
2017-06-13,104622.95999999999
2017-06-14,104380.88
2017-06-15,104169.14000000001
2017-06-16,104253.82
2017-06-19,104606.76000000001
2017-06-20,103831.34
2017-06-21,103404.76000000001
2017-06-22,103534.23999999999
2017-06-23,103882.51999999999
2017-06-26,104135.19999999998
2017-06-27,103492.82
2017-06-28,104338.16
2017-06-29,103786.76000000001
2017-06-30,103792.03999999998
2017-07-03,104331.72
2017-07-04,104331.72
2017-07-05,103965.85999999999
2017-07-06,102944.79999999999
2017-07-07,103535.79999999999
2017-07-10,103239.41999999998
2017-07-11,103279.62
2017-07-12,103798.29999999999
2017-07-13,103892.23999999999
2017-07-14,104109.9
2017-07-17,104302.43999999997
2017-07-18,104086.56
2017-07-19,104901.66
2017-07-20,105046.98000000001
2017-07-21,104876.08000000002
2017-07-24,104772.73999999999
2017-07-25,105419.77999999997
2017-07-26,104958.84
2017-07-27,104790.9
2017-07-28,104427.94
2017-07-31,104406.692156384
2017-08-01,104489.73215638398
