date,equity
2017-01-31,50000.00000000001
2017-02-01,49894.50000000001
2017-02-02,49966.920000000006
2017-02-03,50190.90000000001
2017-02-06,50080.91000000001
2017-02-07,49966.65000000001
2017-02-08,50104.060000000005
2017-02-09,50264.14000000001
2017-02-10,50605.380000000005
2017-02-13,50934.130000000005
2017-02-14,50862.520000000004
2017-02-15,50886.65000000001
2017-02-16,50944.41
2017-02-17,50971.23
2017-02-20,50971.23
2017-02-21,51288.36000000001
2017-02-22,51233.100000000006
2017-02-23,51154.60000000001
2017-02-24,51319.39000000001
2017-02-27,51409.22000000001
2017-02-28,51293.82
2017-03-01,51783.46000000001
2017-03-02,51418.8
2017-03-03,51381.740000000005
2017-03-06,51190.51000000001
2017-03-07,51022.51
2017-03-08,50750.030000000006
2017-03-09,50453.57
2017-03-10,50593.97000000001
2017-03-13,50646.58000000001
2017-03-14,50373.36000000001
2017-03-15,51027.170000000006
2017-03-16,50832.280000000006
2017-03-17,50998.46000000001
2017-03-20,51068.47000000001
2017-03-21,50579.600000000006
2017-03-22,50700.810000000005
2017-03-23,50851.80000000001
2017-03-24,50671.18
2017-03-27,50531.98
2017-03-28,50935.340000000004
2017-03-29,50994.710000000014
2017-03-30,51111.780000000006
2017-03-31,51113.51000000001
2017-04-03,51043.32000000001
2017-04-04,51097.07000000001
2017-04-05,51055.920000000006
2017-04-06,51260.700000000004
2017-04-07,51281.71000000001
2017-04-10,51422.82000000001
2017-04-11,51472.21000000001
2017-04-12,51068.020000000004
2017-04-13,50794.880000000005
2017-04-14,50794.880000000005
2017-04-17,51227.87
2017-04-18,51201.88000000001
2017-04-19,51203.560000000005
2017-04-20,51528.590000000004
2017-04-21,51476.350000000006
2017-04-24,51695.030000000006
2017-04-25,52033.66
2017-04-26,51904.29000000001
2017-04-27,51873.89000000001
2017-04-28,51616.73000000001
2017-05-01,51658.19
2017-05-02,51765.27000000001
2017-05-03,51447.02000000001
2017-05-04,51497.100000000006
2017-05-05,51894.76
2017-05-08,51657.350000000006
2017-05-09,51513.08000000001
2017-05-10,51604.32000000001
2017-05-11,51505.560000000005
2017-05-12,51331.98
2017-05-15,51595.310000000005
2017-05-16,51509.44
2017-05-17,50996.69000000001
2017-05-18,51049.030000000006
2017-05-19,51451.840000000004
2017-05-22,51612.27000000001
2017-05-23,51681.12
2017-05-24,51878.740000000005
2017-05-25,52016.18
2017-05-26,51971.43000000001
2017-05-29,51971.43000000001
2017-05-30,51914.93000000001
2017-05-31,51968.66000000001
2017-06-01,52278.9
2017-06-02,52511.780000000006
2017-06-05,52375.39000000001
2017-06-06,52213.100000000006
2017-06-07,52283.04
2017-06-08,52319.090000000004
2017-06-09,52624.380000000005
2017-06-12,52719.350000000006
2017-06-13,53002.4
2017-06-14,52882.810000000005
2017-06-15,52917.18000000001
2017-06-16,53014.86000000001
2017-06-19,53246.33000000001
2017-06-20,52963.350000000006
2017-06-21,52667.600000000006
2017-06-22,52671.39000000001
2017-06-23,52847.810000000005
2017-06-26,52968.54
2017-06-27,52700.25000000001
2017-06-28,52991.57000000001
2017-06-29,52539.58000000001
2017-06-30,52723.340000000004
2017-07-03,53083.54000000001
2017-07-04,53083.54000000001
2017-07-05,52901.04
2017-07-06,52437.22000000001
2017-07-07,52708.70000000001
2017-07-10,52735.75000000001
2017-07-11,52676.310000000005
2017-07-12,53124.950000000004
2017-07-13,53127.780000000006
2017-07-14,53426.89000000001
2017-07-17,53467.840000000004
2017-07-18,53348.59000000001
2017-07-19,53626.590000000004
2017-07-20,53382.57000000001
2017-07-21,53384.420000000006
2017-07-24,53328.47000000001
2017-07-25,53469.25000000001
2017-07-26,53528.26000000001
2017-07-27,53366.9
2017-07-28,53342.12000000001
2017-07-31,53155.232422946
2017-08-01,53177.652422946
2017-08-02,53223.492422946
2017-08-03,53048.172422946
2017-08-04,53174.642422946
2017-08-07,53156.342422946
2017-08-08,53045.022422946
2017-08-09,53059.732422946
2017-08-10,52409.862422946004
2017-08-11,52432.712422946
2017-08-14,52784.892422946
2017-08-15,52720.642422946
2017-08-16,52665.992422946
2017-08-17,51898.492422946
2017-08-18,51898.472422946004
2017-08-21,51844.902422946
2017-08-22,52333.112422946004
2017-08-23,52222.832422946005
2017-08-24,52158.262422946
2017-08-25,52294.332422946005
2017-08-28,52251.142422946
2017-08-29,52409.66242294601
2017-08-30,52588.012422946005
2017-08-31,52795.342422946
2017-09-01,52934.252422946
2017-09-04,52934.252422946
2017-09-05,52725.422422946
2017-09-06,52989.232422946
2017-09-07,53091.692422946006
2017-09-08,52869.962422946
2017-09-11,53351.172422946
2017-09-12,53551.952422946
2017-09-13,53694.66242294601
2017-09-14,53787.852422946
2017-09-15,53954.392422946
2017-09-18,54107.782422946
2017-09-19,54258.332422946005
2017-09-20,54406.92242294601
2017-09-21,54375.262422946005
2017-09-22,54495.972422946004
2017-09-25,54537.282422946
2017-09-26,54585.202422946
2017-09-27,54824.762422946
2017-09-28,54850.032422946
2017-09-29,54995.652422946
2017-10-02,55133.062422946
2017-10-03,55216.082422946005
2017-10-04,55195.012422946
2017-10-05,55455.162422946
2017-10-06,55335.63242294601
2017-10-09,55367.972422946
2017-10-10,55420.742422946
2017-10-11,55499.942422946
2017-10-12,55485.612422946
2017-10-13,55525.372422946
2017-10-16,55633.062422946
2017-10-17,55602.212422945995
2017-10-18,55540.702422946
2017-10-19,55489.802422946
2017-10-20,55794.352422946
2017-10-23,55540.742422946
