strategy,delta_cagr,cagr,sharpe,maxdd,calmar,p_value,pct_active
annual_contrarian_5yr_bot5,0.006867262554404174,0.13475037678021895,0.7974418470383009,-0.3379479880967782,0.3987311110774552,0.007,44.74116680361544
annual_contrarian_3yr_bot5,-0.037116064930014625,0.09076704929580015,0.5456722776170755,-0.4471518705405694,0.20298930917155808,0.041,66.14626129827444
xsec_mom_6-1_top5,-0.0565841472047397,0.07129896702107508,0.4609216966561697,-0.47526350532642614,0.15001986523687458,0.072,92.8923582580115
xsec_mom_12-1_top5,-0.05795395792863989,0.06992915629717489,0.46531280770268446,-0.4429210655095711,0.15788175759200548,0.081,87.5924404272802
ts_sma10mo_faber,-0.05839634324114029,0.06948677098467448,0.48847695929772944,-0.3899408238527913,0.17819824633418435,0.069,99.17830731306492
ts_sma200_daily,-0.05973556805188274,0.06814754617393204,0.487045867631291,-0.3936690780707516,0.17310870975160594,0.067,99.17830731306492
em_dm_rotation,-0.06454665141347782,0.06333646281233696,0.43048966582369513,-0.40968649711621086,0.15459738912110413,0.093,88.41413311421529
dual_mom_top1,-0.06522784064276,0.06265527358305478,0.37169264399176893,-0.4166776040426645,0.15036870946545852,0.123,88.41413311421529
xsec_mom_12-1_top3,-0.0665716043151372,0.061311509910677575,0.4123571262945119,-0.4039911400149976,0.1517644914400882,0.099,87.5924404272802
annual_xsec_mom_12_top5,-0.07858445774960399,0.04929865647621079,0.3560506085765714,-0.4481908453131165,0.10999478680063089,0.132,87.5924404272802
em_dm_rotation_bilfilter,-0.08388567726268215,0.04399743696313263,0.39261718878914675,-0.26208409736413807,0.16787526372499761,0.11,88.41413311421529
annual_xsec_mom_12_top3,-0.0842853373978596,0.04359777682795518,0.32495027084518174,-0.4382977694822163,0.09947067921303701,0.155,87.5924404272802
annual_ts_mom_12mo,-0.09501759409808908,0.0328655201277257,0.2764189153263901,-0.4282286565994362,0.07674759645632032,0.186,99.17830731306492
dual_mom_top3,-0.096541384233652,0.03134172999216278,0.26239446033155733,-0.4704626269712787,0.06661895801146424,0.202,88.41413311421529
xsec_mom_3-1_top5,-0.09801634112393054,0.029866773101884236,0.2519367188816558,-0.49658750467185897,0.06014402863724886,0.215,95.60394412489728
annual_dual_mom_top1,-0.09832320929900451,0.029559904926810265,0.24434489568072337,-0.48544780026395207,0.060892035993854926,0.215,88.41413311421529
dual_mom_top5,-0.09924125612707502,0.02864185809873976,0.25158306968264144,-0.4880740487344315,0.058683427592611526,0.218,88.41413311421529
ts_mom_12mo_positive,-0.10277736396923509,0.025105750256579684,0.23300409527124727,-0.5091105583634907,0.04931296325356285,0.236,99.17830731306492
xsec_mom_12-1_LS5x5,-0.12887534555471258,-0.000992231328897808,0.024765047523248037,-0.21736273406055007,-0.004564864042524442,0.47,87.5924404272802
SPY_BH,0.0,0.12788311422581478,0.7665702854018251,-0.3379479880967782,0.37841063929989394,,100.0
