,equity
2016-01-04,1.0
2016-01-05,0.9959567260408698
2016-01-06,1.0093978800131134
2016-01-07,1.011255600480822
2016-01-08,1.0157359851382364
2016-01-11,1.0045896623319857
2016-01-12,1.01912359304994
2016-01-13,1.0291771391104798
2016-01-14,1.0195607037482242
2016-01-15,1.0354059665610316
2016-01-18,1.0354059665610316
2016-01-19,1.03223691399847
2016-01-20,1.0430554037810076
2016-01-21,1.0360616326084582
2016-01-22,1.0320183586493281
2016-01-25,1.0377007977270245
2016-01-26,1.038137908425309
2016-01-27,1.037919353076167
2016-01-28,1.039339962845591
2016-01-29,1.0481914544858488
2016-02-01,1.0450224019232874
2016-02-02,1.0643645503223695
2016-02-03,1.0555130586821118
2016-02-04,1.0606491093869528
2016-02-05,1.0618511638072348
2016-02-08,1.0847994754671626
2016-02-09,1.0858922522128736
2016-02-10,1.095508687575129
2016-02-11,1.1031581247951048
2016-02-12,1.0847994754671624
2016-02-15,1.0847994754671624
2016-02-16,1.0733253196371986
2016-02-17,1.0667686591629335
2016-02-18,1.0798819801114636
2016-02-19,1.0807562015080325
2016-02-22,1.080209813135177
2016-02-23,1.0845809201180203
2016-02-24,1.0823953666265986
2016-02-25,1.0863293629111577
2016-02-26,1.0758387061523336
2016-02-29,1.0805376461588903
2016-03-01,1.0615233307835215
2016-03-02,1.0658944377663648
2016-03-03,1.0698284340509239
2016-03-04,1.0629439405529453
2016-03-07,1.062616107529232
2016-03-08,1.074308818708338
2016-03-09,1.067752158234073
2016-03-10,1.0633810512512296
2016-03-11,1.0526718391432632
2016-03-14,1.0559501693803957
2016-03-15,1.0569336684515356
2016-03-16,1.0601027210140972
2016-03-17,1.0644738279969406
2016-03-18,1.0667686591629335
2016-03-21,1.0585728335701021
2016-03-22,1.0582450005463888
2016-03-23,1.0702655447492082
2016-03-24,1.0707026554474925
2016-03-25,1.0707026554474925
2016-03-28,1.0721232652169166
2016-03-29,1.0833788656977383
2016-03-30,1.0719047098677745
2016-03-31,1.0795541470877505
2016-04-01,1.0823953666265986
2016-04-04,1.0830510326740252
2016-04-05,1.0948530215277026
2016-04-06,1.0868757512840133
2016-04-07,1.1003169052562567
2016-04-08,1.0933231340837073
2016-04-11,1.0920118019888543
2016-04-12,1.0844716424434493
2016-04-13,1.0881870833788663
2016-04-14,1.0830510326740252
2016-04-15,1.0923396350125676
2016-04-18,1.0875314173314399
2016-04-19,1.0841438094197362
2016-04-20,1.072232542891488
2016-04-21,1.065894437766365
2016-04-22,1.063162495902088
2016-04-25,1.0587913889192446
2016-04-26,1.053983171238117
2016-04-27,1.064473827996941
2016-04-28,1.0688449349797844
2016-04-29,1.0715768768440617
2016-05-02,1.060758387061524
2016-05-03,1.0741995410337675
2016-05-04,1.0801005354606061
2016-05-05,1.0873128619822978
2016-05-06,1.0826139219757411
2016-05-09,1.0860015298874448
2016-05-10,1.0861108075620158
2016-05-11,1.0922303573379966
2016-05-12,1.0873128619822978
2016-05-13,1.097803518741122
2016-05-16,1.0884056387280086
2016-05-17,1.0901540815211461
2016-05-18,1.074636651732052
2016-05-19,1.0793355917386085
2016-05-20,1.0801005354606061
2016-05-23,1.08250464430117
2016-05-24,1.0776964266200424
2016-05-25,1.073653152660912
2016-05-26,1.0792263140640375
2016-05-27,1.0776964266200422
2016-05-30,1.0776964266200422
2016-05-31,1.080209813135177
2016-06-01,1.0845809201180203
2016-06-02,1.0924489126871384
2016-06-03,1.1079663424762325
2016-06-06,1.099770516883401
2016-06-07,1.1023931810731071
2016-06-08,1.1082941754999458
2016-06-09,1.1155065020216373
2016-06-10,1.1208611080756206
2016-06-13,1.1258878811058906
2016-06-14,1.1250136597093219
2016-06-15,1.129384766692165
2016-06-16,1.1348486504207194
2016-06-17,1.127745601573599
2016-06-20,1.1157250573707793
2016-06-21,1.1105890066659383
2016-06-22,1.1123374494590756
2016-06-23,1.0996612392088296
2016-06-24,1.1291662113430225
2016-06-27,1.1573598513823624
2016-06-28,1.1597639602229264
2016-06-29,1.1509124685826684
2016-06-30,1.1551742978909407
2016-07-01,1.1711288383783192
2016-07-04,1.1711288383783192
2016-07-05,1.1858813244454156
2016-07-06,1.1877390449131242
2016-07-07,1.1876297672385532
2016-07-08,1.19637198120424
2016-07-11,1.1858813244454156
2016-07-12,1.1664298983717625
2016-07-13,1.1801988853677192
2016-07-14,1.1630422904600588
2016-07-15,1.1529887443995188
2016-07-18,1.1518959676538079
2016-07-19,1.1584526281280731
2016-07-20,1.1521145230029501
2016-07-21,1.1544093541689429
2016-07-22,1.1563763523112225
2016-07-25,1.1556114085892248
2016-07-26,1.1574691290569332
2016-07-27,1.1717845044257456
2016-07-28,1.169708228608895
2016-07-29,1.1794339416457216
2016-08-01,1.1644629002294828
2016-08-02,1.1525516337012345
2016-08-03,1.1532072997486609
2016-08-04,1.1618402360397764
2016-08-05,1.149710414162386
2016-08-08,1.1518959676538076
2016-08-09,1.1632608458092006
2016-08-10,1.167741230466615
2016-08-11,1.157359851382362
2016-08-12,1.1670855644191884
2016-08-15,1.156048519287509
2016-08-16,1.1529887443995186
2016-08-17,1.159873237897497
2016-08-18,1.1617309583652053
2016-08-19,1.1557206862637956
2016-08-22,1.165446399300622
2016-08-23,1.166648453720904
2016-08-24,1.163916511856627
2016-08-25,1.1595454048737837
2016-08-26,1.1527701890503763
2016-08-29,1.1681783411648996
2016-08-30,1.163697956507485
2016-08-31,1.1653371216260515
2016-09-01,1.1666484537209048
2016-09-02,1.1571412960332204
2016-09-05,1.1571412960332204
2016-09-06,1.1655556769751938
2016-09-07,1.1646814555786251
2016-09-08,1.150147524860671
2016-09-09,1.1311332094853022
2016-09-12,1.1317888755327286
2016-09-13,1.1188941099333407
2016-09-14,1.120533275051907
2016-09-15,1.115725057370779
2016-09-16,1.1246858266856081
2016-09-19,1.1210796634247624
2016-09-20,1.1250136597093214
2016-09-21,1.1340837066987215
2016-09-22,1.1430444760135503
2016-09-23,1.1419516992678396
2016-09-26,1.149273303464102
2016-09-27,1.1576876844060755
2016-09-28,1.1551742978909405
2016-09-29,1.15812479510436
2016-09-30,1.147743416020107
2016-10-03,1.143918697410119
2016-10-04,1.137954061940099
2016-10-05,1.143303786536921
2016-10-06,1.1441646617593983
2016-10-07,1.1399217767343326
2016-10-10,1.1455174656804339
2016-10-11,1.1314974977715209
2016-10-12,1.1327273195179168
2016-10-13,1.1295297829772877
2016-10-14,1.1295297829772877
2016-10-17,1.126147773174699
2016-10-18,1.1327273195179168
2016-10-19,1.1356788917092668
2016-10-20,1.1339571412643126
2016-10-21,1.1338956501769928
2016-10-24,1.1390609015118554
2016-10-25,1.1354944184473073
2016-10-26,1.1331577571291551
2016-10-27,1.1300832027631653
2016-10-28,1.1265167196986172
2016-10-31,1.1268241751352164
2016-11-01,1.1187073516090038
2016-11-02,1.1117588587418672
2016-11-03,1.1071470271928827
2016-11-04,1.1056712410972076
2016-11-07,1.129960220588526
2016-11-08,1.1348795075741094
2016-11-09,1.1471162339507484
2016-11-10,1.1500678061420984
2016-11-11,1.147485180474667
2016-11-14,1.148100091347865
2016-11-15,1.157016299009235
2016-11-16,1.1553560396516005
2016-11-17,1.1606442731611029
2016-11-18,1.158246120755631
2016-11-21,1.1669163640677218
2016-11-22,1.1693145164731937
2016-11-23,1.1700524095210314
2016-11-24,1.1700524095210314
2016-11-25,1.174356785633417
2016-11-28,1.1691300432112346
2016-11-29,1.1709747758308284
2016-11-30,1.1683306590760774
2016-12-01,1.163964791876372
2016-12-02,1.1642107562256514
2016-12-05,1.1712822312674276
2016-12-06,1.1750946786812548
2016-12-07,1.1904059594238834
2016-12-08,1.1934805137898732
2016-12-09,1.2009209353555683
2016-12-12,1.1992606759979338
2016-12-13,1.2070700440875477
2016-12-14,1.19747743446566
2016-12-15,1.202212248189284
2016-12-16,1.200121551220411
2016-12-19,1.202519703625883
2016-12-20,1.2071930262621873
2016-12-21,1.204056980808878
2016-12-22,1.2021507571019643
2016-12-23,1.2035650521103196
2016-12-26,1.2035650521103196
2016-12-27,1.2065166243016698
2016-12-28,1.1968010325051424
2016-12-29,1.1962476127192643
2016-12-30,1.191943236606879
2017-01-02,1.191943236606879
2017-01-03,1.1971397193822768
2017-01-04,1.2020763780189048
2017-01-05,1.220653803940952
2017-01-06,1.2093514539044619
2017-01-09,1.2192247711777175
2017-01-10,1.218445298761408
2017-01-11,1.2223426608429564
