,equity
2016-01-04,1.0
2016-01-05,0.9985444598036807
2016-01-06,0.9822775337838373
2016-01-07,0.9570717180072371
2016-01-08,0.9478995060903868
2016-01-11,0.9471047346466206
2016-01-12,0.9548354334134332
2016-01-13,0.9282662672845019
2016-01-14,0.940301685882158
2016-01-15,0.9186230722266892
2016-01-18,0.9186230722266892
2016-01-19,0.9163925429227997
2016-01-20,0.9091473369180815
2016-01-21,0.9173268858606592
2016-01-22,0.9366464454182929
2016-01-25,0.9196117327811365
2016-01-26,0.9321672358656635
2016-01-27,0.9186104041825447
2016-01-28,0.9266428542858534
2016-01-29,0.9488879685051848
2016-02-01,0.9532742577241217
2016-02-02,0.9354230992853771
2016-02-03,0.9337723380478843
2016-02-04,0.9313250287948367
2016-02-05,0.9033014309048955
2016-02-08,0.8881989266408233
2016-02-09,0.8854468917529758
2016-02-10,0.8850969758064993
2016-02-11,0.8840470577764601
2016-02-12,0.8983268095381113
2016-02-15,0.8983268095381113
2016-02-16,0.9171051887994769
2016-02-17,0.9364114201818285
2016-02-18,0.9316263943178857
2016-02-19,0.9331664660787676
2016-02-22,0.9485460081615223
2016-02-23,0.9382877440818534
2016-02-24,0.9445869910423077
2016-02-25,0.9551870079298402
2016-02-26,0.9534745364810533
2016-02-29,0.9475758508276823
2016-03-01,0.9743520781517395
2016-03-02,0.9842399253671348
2016-03-03,0.994789176494345
2016-03-04,1.005395318827051
2016-03-07,1.0229633912714997
2016-03-08,0.9916028551126087
2016-03-09,1.002661022614616
2016-03-10,1.0056997989134864
2016-03-11,1.0279129266975848
2016-03-14,1.0213014190644394
2016-03-15,1.0214445283617104
2016-03-16,1.0343548250630166
2016-03-17,1.050872389417313
2016-03-18,1.049213215388687
2016-03-21,1.0497365506200214
2016-03-22,1.0408432246999364
2016-03-23,1.022939563895201
2016-03-24,1.0254333219739313
2016-03-25,1.0254333219739313
2016-03-28,1.0249480686830712
2016-03-29,1.0302483465805659
2016-03-30,1.0334882580124043
2016-03-31,1.029043545788306
2016-04-01,1.026832103552385
2016-04-04,1.0175580164957494
2016-04-05,1.009912935542969
2016-04-06,1.0186982543614131
2016-04-07,1.00609507951802
2016-04-08,1.0083397880051128
