entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-01-04,2016-09-30,long,TLT,91.51,105.03,0.147743416020107,calendar,
2016-10-03,2016-12-30,long,SPY,186.03,193.84,0.04198247594474003,calendar,
2017-01-02,2017-09-29,long,TLT,91.75,97.71,0.06495912806539494,calendar,
2017-10-02,2017-12-29,long,SPY,221.9,235.99,0.06349707075259126,calendar,
2018-01-01,2018-09-28,long,TLT,100.18,94.24,-0.059293272110201745,calendar,
2018-10-01,2018-12-31,long,SPY,260.09,224.28,-0.1376831096927985,calendar,
2019-01-01,2019-09-30,long,TLT,98.56,117.98,0.19703733766233777,calendar,
2019-10-01,2019-12-31,long,SPY,266.73,294.11,0.10265062047763651,calendar,
2020-01-01,2020-09-30,long,TLT,112.48,136.98,0.21781650071123737,calendar,
2020-10-01,2020-12-31,long,SPY,312.35,348.38,0.11535136865695517,calendar,
2021-01-01,2021-09-30,long,TLT,132.9,122.87,-0.07547027840481568,calendar,
2021-10-01,2021-12-31,long,SPY,408.18,448.03,0.09762849723161349,calendar,
2022-01-03,2022-09-30,long,TLT,123.45,88.85,-0.28027541514783316,calendar,
2022-10-03,2022-12-30,long,SPY,349.83,366.6,0.047937569676700154,calendar,
2023-01-02,2023-09-29,long,TLT,87.18,79.33,-0.09004358797889433,calendar,
2023-10-02,2023-12-29,long,SPY,414.17,462.56,0.11683608180215854,calendar,
2024-01-01,2024-09-30,long,TLT,89.6,91.26,0.0185267857142859,calendar,
2024-10-01,2024-12-31,long,SPY,558.58,577.67,0.03417594614916375,calendar,
2025-01-01,2025-05-01,long,TLT,82.38,85.27,0.03508133042000483,calendar,
