entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-01-04,2016-08-31,long,SPY,171.54,186.47,0.08703509385566055,calendar,
2016-10-03,2017-08-31,long,SPY,186.03,216.44,0.16346825780788032,calendar,
2017-10-02,2018-08-31,long,SPY,221.9,257.65,0.161108607480847,calendar,
2018-10-01,2019-08-30,long,SPY,260.09,264.72,0.01780153023953268,calendar,
2019-10-01,2020-08-31,long,SPY,266.73,322.97,0.21084992314325346,calendar,
2020-10-01,2021-08-31,long,SPY,312.35,423.11,0.3546022090603489,calendar,
2021-10-01,2022-08-31,long,SPY,408.18,375.55,-0.0799402224508795,calendar,
2022-10-03,2023-08-31,long,SPY,349.83,434.96,0.2433467684303805,calendar,
2023-10-02,2024-08-30,long,SPY,414.17,552.04,0.33288263273535,calendar,
2024-10-01,2025-05-01,long,SPY,558.58,548.23,-0.018529127430269687,calendar,
