entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-01-04,2016-08-31,long,SPY,171.54,186.47,0.08703509385566055,calendar,
2016-09-01,2016-09-30,long,BIL,73.91,73.93,0.00027059937762152764,calendar,
2016-10-03,2017-08-31,long,SPY,186.03,216.44,0.16346825780788032,calendar,
2017-09-01,2017-09-29,long,BIL,74.24,74.29,0.000673491379310498,calendar,
2017-10-02,2018-08-31,long,SPY,221.9,257.65,0.161108607480847,calendar,
2018-09-03,2018-09-28,long,BIL,75.22,75.32,0.0013294336612601487,calendar,
2018-10-01,2019-08-30,long,SPY,260.09,264.72,0.01780153023953268,calendar,
2019-09-02,2019-09-30,long,BIL,76.85,76.98,0.001691607026675479,calendar,
2019-10-01,2020-08-31,long,SPY,266.73,322.97,0.21084992314325346,calendar,
2020-09-01,2020-09-30,long,BIL,77.59,77.58,-0.00012888258796239782,calendar,
2020-10-01,2021-08-31,long,SPY,312.35,423.11,0.3546022090603489,calendar,
2021-09-01,2021-09-30,long,BIL,77.52,77.53,0.00012899896800822042,calendar,
2021-10-01,2022-08-31,long,SPY,408.18,375.55,-0.0799402224508795,calendar,
2022-09-01,2022-09-30,long,BIL,77.77,77.92,0.0019287643050021064,calendar,
2022-10-03,2023-08-31,long,SPY,349.83,434.96,0.2433467684303805,calendar,
2023-09-01,2023-09-29,long,BIL,81.06,81.37,0.0038243276585245845,calendar,
2023-10-02,2024-08-30,long,SPY,414.17,552.04,0.33288263273535,calendar,
2024-09-02,2024-09-30,long,BIL,85.37,85.73,0.0042169380344383445,calendar,
2024-10-01,2025-05-01,long,SPY,558.58,548.23,-0.018529127430269687,calendar,
