date,equity
2016-05-02,100001.98999999999
2016-05-03,99982.79
2016-05-04,99965.71999999999
2016-05-05,99961.14
2016-05-06,99972.25
2016-05-09,99959.87
2016-05-10,99985.37999999999
2016-05-11,99976.26999999999
2016-05-12,99977.79
2016-05-13,99961.12999999999
2016-05-16,99983.37
2016-05-17,99975.59
2016-05-18,99961.14
2016-05-19,99957.12999999999
2016-05-20,99966.14
2016-05-23,99973.87999999999
2016-05-24,99986.73
2016-05-25,100001.68999999999
2016-05-26,99991.0
2016-05-27,99993.46999999999
2016-05-30,99993.46999999999
2016-05-31,99989.20999999999
2016-06-01,100001.936580736
2016-06-02,100003.87658073599
2016-06-03,100004.366580736
2016-06-06,100047.436580736
2016-06-07,100084.976580736
2016-06-08,100085.886580736
2016-06-09,100067.90658073599
2016-06-10,100025.756580736
2016-06-13,100011.696580736
2016-06-14,100005.23658073599
2016-06-15,100005.326580736
2016-06-16,99999.866580736
2016-06-17,100020.116580736
2016-06-20,100038.306580736
2016-06-21,100055.28658073599
2016-06-22,100046.746580736
2016-06-23,100086.40658073599
2016-06-24,99997.146580736
2016-06-27,99919.06658073599
2016-06-28,99968.826580736
2016-06-29,100012.496580736
2016-06-30,100037.756580736
2016-07-01,100037.34807294399
2016-07-04,100037.34807294399
2016-07-05,100015.70807294399
2016-07-06,100025.46807294399
2016-07-07,99979.38807294398
2016-07-08,100017.38807294398
2016-07-11,100019.44807294398
2016-07-12,100038.34807294399
2016-07-13,100035.52807294398
2016-07-14,100034.32807294399
2016-07-15,100037.70807294399
2016-07-18,100044.06807294398
2016-07-19,100030.70807294399
2016-07-20,100019.52807294398
2016-07-21,100012.80807294398
2016-07-22,100038.34807294399
2016-07-25,100004.20807294399
2016-07-26,99998.90807294399
2016-07-27,99965.02807294398
2016-07-28,99970.76807294399
2016-07-29,99997.16807294398
2016-08-01,99985.13132513598
2016-08-02,99962.31132513599
2016-08-03,99959.37132513599
2016-08-04,99966.91132513598
2016-08-05,99959.97132513598
2016-08-08,99959.15132513599
2016-08-09,99961.37132513599
2016-08-10,99957.63132513598
2016-08-11,99966.23132513599
2016-08-12,99967.17132513599
2016-08-15,99950.99132513598
2016-08-16,99922.37132513599
2016-08-17,99943.75132513599
2016-08-18,99962.55132513598
2016-08-19,99945.27132513598
2016-08-22,99948.55132513598
2016-08-23,99948.07132513598
2016-08-24,99938.95132513599
2016-08-25,99942.81132513599
2016-08-26,99912.41132513598
2016-08-29,99929.97132513598
2016-08-30,99909.07132513598
2016-08-31,99913.35132513598
2016-09-01,99910.83663474399
2016-09-02,99926.43663474398
2016-09-05,99926.43663474398
2016-09-06,99929.99663474398
2016-09-07,99934.95663474398
2016-09-08,99920.75663474399
2016-09-09,99836.43663474398
2016-09-12,99881.79663474398
2016-09-13,99848.43663474398
2016-09-14,99853.67663474398
2016-09-15,99892.43663474398
2016-09-16,99873.55663474399
2016-09-19,99877.23663474398
2016-09-20,99878.07663474398
2016-09-21,99916.15663474398
2016-09-22,99937.23663474398
2016-09-23,99913.83663474399
2016-09-26,99895.95663474398
2016-09-27,99926.03663474398
2016-09-28,99940.47663474399
2016-09-29,99918.55663474399
2016-09-30,99941.31663474398
2016-10-03,99938.03663474398
2016-10-04,99918.83663474399
2016-10-05,99934.83663474399
2016-10-06,99939.59663474398
2016-10-07,99913.91663474398
2016-10-10,99925.51663474398
2016-10-11,99891.59663474398
2016-10-12,99897.51663474398
2016-10-13,99886.23663474398
2016-10-14,99895.83663474399
2016-10-17,99888.95663474398
2016-10-18,99900.95663474398
2016-10-19,99908.79663474398
2016-10-20,99892.87663474398
2016-10-21,99895.19663474399
2016-10-24,99914.35663474398
2016-10-25,99904.11663474399
2016-10-26,99900.43663474398
2016-10-27,99887.59663474398
2016-10-28,99895.35663474398
2016-10-31,99896.51663474398
2016-11-01,99869.59663474398
2016-11-02,99854.27663474398
2016-11-03,99836.51663474398
2016-11-04,99834.75663474399
2016-11-07,99906.71663474398
2016-11-08,99923.91663474398
2016-11-09,99962.07663474398
2016-11-10,99969.71663474398
2016-11-11,99978.23663474398
2016-11-14,99960.19663474399
2016-11-15,99989.07663474398
2016-11-16,99994.23663474398
2016-11-17,100008.39663474399
2016-11-18,100006.23663474398
2016-11-21,100031.91663474398
2016-11-22,100044.91663474398
2016-11-23,100050.87663474398
2016-11-24,100050.87663474398
2016-11-25,100066.03663474398
2016-11-28,100056.35663474398
2016-11-29,100058.71663474398
2016-11-30,100041.31663474398
2016-12-01,100044.35865692799
2016-12-02,100044.03865692798
2016-12-05,100055.84865692798
2016-12-06,100060.58865692798
2016-12-07,100115.04865692797
2016-12-08,100116.54865692797
2016-12-09,100124.22865692798
2016-12-12,100111.21865692799
2016-12-13,100105.57865692799
2016-12-14,100069.04865692797
2016-12-15,100081.74865692799
2016-12-16,100072.83865692798
2016-12-19,100080.25865692798
2016-12-20,100090.81865692798
2016-12-21,100084.86865692798
2016-12-22,100074.73865692798
2016-12-23,100079.41865692798
2016-12-26,100079.41865692798
2016-12-27,100091.40865692799
2016-12-28,100057.31865692798
2016-12-29,100056.67865692798
2016-12-30,100040.58865692798
2017-01-02,100040.58865692798
2017-01-03,100060.06865692798
2017-01-04,100093.40865692799
2017-01-05,100084.11865692798
2017-01-06,100095.12865692798
2017-01-09,100080.91865692798
2017-01-10,100089.49865692799
2017-01-11,100111.86865692798
2017-01-12,100100.65865692798
2017-01-13,100105.06865692798
2017-01-16,100105.06865692798
2017-01-17,100084.69865692798
2017-01-18,100101.10865692799
2017-01-19,100103.89865692798
2017-01-20,100118.07865692799
2017-01-23,100111.55865692798
2017-01-24,100171.18865692799
2017-01-25,100200.97865692798
2017-01-26,100209.75865692798
2017-01-27,100201.99865692799
2017-01-30,100169.24865692799
2017-01-31,100143.87865692798
2017-02-01,100149.46865692799
2017-02-02,100139.33865692798
2017-02-03,100154.44865692798
2017-02-06,100153.15865692799
2017-02-07,100142.94865692798
2017-02-08,100144.23865692798
2017-02-09,100156.90865692798
2017-02-10,100185.61865692798
2017-02-13,100217.07865692799
2017-02-14,100218.03865692798
2017-02-15,100225.32865692799
2017-02-16,100225.64865692798
2017-02-17,100224.22865692798
2017-02-20,100224.22865692798
2017-02-21,100238.57865692799
2017-02-22,100238.39865692798
2017-02-23,100216.54865692797
2017-02-24,100228.07865692799
2017-02-27,100230.62865692798
2017-02-28,100221.72865692798
2017-03-01,100260.98317035397
2017-03-02,100261.58317035397
2017-03-03,100261.04317035398
2017-03-06,100258.04317035398
2017-03-07,100257.62317035398
2017-03-08,100246.85317035398
2017-03-09,100244.84317035397
2017-03-10,100255.85317035398
2017-03-13,100258.61317035397
2017-03-14,100256.54317035398
2017-03-15,100274.42317035397
2017-03-16,100265.93317035398
2017-03-17,100272.53317035397
2017-03-20,100268.15317035398
2017-03-21,100267.61317035397
2017-03-22,100276.34317035397
2017-03-23,100271.84317035397
2017-03-24,100275.44317035397
2017-03-27,100272.50317035397
2017-03-28,100277.27317035398
2017-03-29,100276.49317035398
2017-03-30,100271.84317035397
2017-03-31,100273.13317035398
2017-04-03,100271.10365199797
2017-04-04,100270.76365199797
2017-04-05,100262.71365199797
2017-04-06,100265.46365199797
2017-04-07,100267.88365199798
2017-04-10,100263.23365199797
2017-04-11,100258.01365199797
2017-04-12,100255.37365199797
2017-04-13,100248.07365199797
2017-04-14,100248.07365199797
2017-04-17,100261.08365199798
2017-04-18,100243.83365199798
2017-04-19,100247.67365199797
2017-04-20,100264.93365199797
2017-04-21,100253.78365199798
2017-04-24,100279.10365199797
2017-04-25,100289.81365199797
2017-04-26,100298.15365199797
2017-04-27,100304.70365199797
2017-04-28,100311.18365199797
2017-05-01,100320.95365199797
2017-05-02,100326.10365199797
2017-05-03,100318.03365199798
2017-05-04,100327.87365199797
2017-05-05,100330.09365199797
2017-05-08,100323.72365199798
2017-05-09,100326.46365199797
2017-05-10,100325.01365199797
2017-05-11,100325.02365199797
2017-05-12,100324.25365199798
2017-05-15,100339.37365199797
2017-05-16,100337.08365199798
2017-05-17,100292.73365199797
2017-05-18,100304.68365199797
2017-05-19,100313.80365199798
2017-05-22,100323.90365199797
2017-05-23,100331.80365199798
2017-05-24,100338.68365199797
2017-05-25,100353.12365199797
2017-05-26,100349.46365199797
2017-05-29,100349.46365199797
2017-05-30,100350.59365199797
2017-05-31,100356.02365199797
2017-06-01,100368.13396559798
2017-06-02,100381.80396559798
2017-06-05,100378.23396559797
2017-06-06,100362.52396559798
2017-06-07,100368.20396559798
2017-06-08,100359.92396559798
2017-06-09,100331.63396559798
2017-06-12,100325.92396559798
2017-06-13,100340.37396559797
2017-06-14,100336.64396559798
2017-06-15,100326.22396559798
2017-06-16,100324.14396559798
2017-06-19,100348.84396559797
2017-06-20,100322.15396559797
2017-06-21,100329.05396559798
2017-06-22,100325.96396559798
2017-06-23,100329.34396559797
2017-06-26,100330.04396559797
2017-06-27,100304.02396559798
2017-06-28,100330.16396559798
2017-06-29,100299.78396559798
2017-06-30,100308.14396559798
2017-07-03,100313.53553326798
2017-07-04,100313.53553326798
2017-07-05,100319.92553326797
2017-07-06,100304.33553326796
2017-07-07,100313.75553326798
2017-07-10,100314.22553326796
2017-07-11,100312.67553326797
2017-07-12,100322.15553326797
2017-07-13,100322.36553326798
2017-07-14,100330.86553326798
