date,equity
2016-05-02,100001.0
2016-05-03,99991.56
2016-05-04,99983.12
2016-05-05,99980.88
2016-05-06,99986.36
2016-05-09,99980.28
2016-05-10,99992.88
2016-05-11,99988.36
2016-05-12,99989.08
2016-05-13,99980.84
2016-05-16,99991.8
2016-05-17,99987.96
2016-05-18,99980.88
2016-05-19,99978.84
2016-05-20,99983.28
2016-05-23,99987.04000000001
2016-05-24,99993.40000000001
2016-05-25,100000.76000000001
2016-05-26,99995.52
2016-05-27,99996.76000000001
2016-05-30,99996.76000000001
2016-05-31,99994.68000000001
2016-06-01,100001.02829036799
2016-06-02,100001.94829036799
2016-06-03,100002.10829036799
2016-06-06,100023.548290368
2016-06-07,100042.30829036799
2016-06-08,100042.708290368
2016-06-09,100033.788290368
2016-06-10,100012.788290368
2016-06-13,100005.868290368
2016-06-14,100002.708290368
2016-06-15,100002.708290368
2016-06-16,99999.94829036799
2016-06-17,100010.02829036799
2016-06-20,100019.068290368
2016-06-21,100027.58829036799
2016-06-22,100023.30829036799
2016-06-23,100042.988290368
2016-06-24,99998.788290368
2016-06-27,99960.068290368
2016-06-28,99984.868290368
2016-06-29,100006.548290368
2016-06-30,100019.02829036799
2016-07-01,100018.834384128
2016-07-04,100018.834384128
2016-07-05,100008.014384128
2016-07-06,100012.894384128
2016-07-07,99989.854384128
2016-07-08,100008.854384128
2016-07-11,100009.884384128
2016-07-12,100019.334384128
2016-07-13,100017.924384128
2016-07-14,100017.32438412799
2016-07-15,100019.014384128
2016-07-18,100022.194384128
2016-07-19,100015.514384128
2016-07-20,100009.924384128
2016-07-21,100006.564384128
2016-07-22,100019.334384128
2016-07-25,100002.264384128
2016-07-26,99999.614384128
2016-07-27,99982.674384128
2016-07-28,99985.54438412799
2016-07-29,99998.744384128
2016-08-01,99992.72601022401
2016-08-02,99981.316010224
2016-08-03,99979.846010224
2016-08-04,99983.61601022401
2016-08-05,99980.14601022401
2016-08-08,99979.736010224
2016-08-09,99980.846010224
2016-08-10,99978.97601022401
2016-08-11,99983.276010224
2016-08-12,99983.746010224
2016-08-15,99975.656010224
2016-08-16,99961.346010224
2016-08-17,99972.03601022401
2016-08-18,99981.436010224
2016-08-19,99972.796010224
2016-08-22,99974.436010224
2016-08-23,99974.19601022401
2016-08-24,99969.636010224
2016-08-25,99971.566010224
2016-08-26,99956.36601022401
2016-08-29,99965.14601022401
2016-08-30,99954.69601022401
2016-08-31,99956.83601022401
2016-09-01,99955.578665028
2016-09-02,99963.37866502801
2016-09-05,99963.37866502801
2016-09-06,99965.15866502801
2016-09-07,99967.638665028
2016-09-08,99960.538665028
2016-09-09,99918.37866502801
2016-09-12,99941.058665028
2016-09-13,99924.37866502801
2016-09-14,99926.998665028
2016-09-15,99946.37866502801
2016-09-16,99936.938665028
2016-09-19,99938.778665028
2016-09-20,99939.198665028
2016-09-21,99958.23866502801
2016-09-22,99968.778665028
2016-09-23,99957.078665028
2016-09-26,99948.138665028
2016-09-27,99963.178665028
2016-09-28,99970.398665028
2016-09-29,99959.438665028
2016-09-30,99970.818665028
2016-10-03,99969.178665028
2016-10-04,99959.578665028
2016-10-05,99967.578665028
2016-10-06,99969.958665028
2016-10-07,99957.118665028
2016-10-10,99962.918665028
2016-10-11,99945.958665028
2016-10-12,99948.918665028
2016-10-13,99943.278665028
2016-10-14,99948.078665028
2016-10-17,99944.638665028
2016-10-18,99950.638665028
2016-10-19,99954.558665028
2016-10-20,99946.59866502801
2016-10-21,99947.758665028
2016-10-24,99957.338665028
2016-10-25,99952.218665028
2016-10-26,99950.37866502801
2016-10-27,99943.958665028
2016-10-28,99947.838665028
2016-10-31,99948.418665028
2016-11-01,99934.958665028
2016-11-02,99927.298665028
2016-11-03,99918.418665028
2016-11-04,99917.538665028
2016-11-07,99953.51866502801
2016-11-08,99962.118665028
2016-11-09,99981.198665028
2016-11-10,99985.01866502801
2016-11-11,99989.278665028
2016-11-14,99980.258665028
2016-11-15,99994.698665028
2016-11-16,99997.278665028
2016-11-17,100004.358665028
2016-11-18,100003.278665028
2016-11-21,100016.118665028
2016-11-22,100022.618665028
2016-11-23,100025.59866502801
2016-11-24,100025.59866502801
2016-11-25,100033.178665028
2016-11-28,100028.338665028
2016-11-29,100029.51866502801
2016-11-30,100020.818665028
2016-12-01,100022.36967612
2016-12-02,100022.20967612001
2016-12-05,100028.02967612
2016-12-06,100030.38967612
2016-12-07,100057.46967612
2016-12-08,100058.14967612
2016-12-09,100061.98967612
2016-12-12,100055.52967612
2016-12-13,100052.72967612
2016-12-14,100034.58967612
2016-12-15,100040.86967612
2016-12-16,100036.44967612
2016-12-19,100040.16967612
2016-12-20,100045.44967612
2016-12-21,100042.46967612
2016-12-22,100037.44967612
2016-12-23,100039.76967612
2016-12-26,100039.76967612
2016-12-27,100045.70967612001
2016-12-28,100028.76967612
2016-12-29,100028.44967612
2016-12-30,100020.46967612
2017-01-02,100020.46967612
2017-01-03,100030.14967612
2017-01-04,100046.66967612
2017-01-05,100042.04967612
2017-01-06,100047.54967612
2017-01-09,100040.44967612
2017-01-10,100044.72967612
2017-01-11,100055.82967612
2017-01-12,100050.24967612
2017-01-13,100052.46967612
2017-01-16,100052.46967612
2017-01-17,100042.32967612
2017-01-18,100050.46967612
2017-01-19,100051.92967612
2017-01-20,100058.92967612
2017-01-23,100055.64967612
2017-01-24,100085.18967612
2017-01-25,100100.00967612
2017-01-26,100104.36967612
2017-01-27,100100.52967612
2017-01-30,100084.26967612
2017-01-31,100071.64967612
2017-02-01,100074.38967612
2017-02-02,100069.36967612
2017-02-03,100076.90967612
2017-02-06,100076.28967612
2017-02-07,100071.26967612
2017-02-08,100071.88967612
2017-02-09,100078.22967612
