entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-05-02,2016-06-01,long,XLI,47.22,46.68,-0.011436,rotation_out,
2016-05-02,2016-07-01,long,XLB,19.34,19.04,-0.015512,rotation_out,
2016-06-01,2016-08-01,long,XLE,22.05,22.38,0.014966,rotation_out,
2016-07-01,2016-09-01,long,XLU,19.36,18.02,-0.069215,rotation_out,
2016-08-01,2016-12-01,long,XLK,20.93,21.47,0.0258,rotation_out,
2016-09-01,2017-03-01,long,XLI,49.52,56.71,0.145194,rotation_out,
2016-12-01,2017-03-01,long,XLB,20.7,21.93,0.05942,rotation_out,
2017-03-01,2017-04-03,long,XLU,19.07,19.31,0.012585,rotation_out,
2017-04-03,2017-06-01,long,XLV,64.0,65.52,0.02375,rotation_out,
2017-03-01,2017-07-03,long,XLK,23.94,25.17,0.051378,rotation_out,
2017-06-01,2017-07-03,long,XLY,41.83,41.23,-0.014344,rotation_out,
2017-07-03,2017-08-01,long,XLI,58.95,58.9,-0.000848,rotation_out,
2017-08-01,2017-09-01,long,XLF,21.41,20.96,-0.021018,rotation_out,
2017-07-03,2017-10-02,long,XLV,68.62,71.01,0.034829,rotation_out,
2017-09-01,2017-12-01,long,XLB,23.16,25.14,0.085492,rotation_out,
2017-10-02,2017-12-01,long,XLK,27.24,29.17,0.070852,rotation_out,
2017-12-01,2018-01-02,long,XLI,64.37,66.06,0.026254,rotation_out,
2017-12-01,2018-01-02,long,XLF,23.46,24.02,0.02387,rotation_out,
2018-01-02,2018-02-01,long,XLB,25.76,26.46,0.027174,rotation_out,
2018-02-01,2018-04-02,long,XLI,68.93,64.71,-0.061222,rotation_out,
2018-04-02,2018-05-01,long,XLK,30.16,30.26,0.003316,rotation_out,
2018-01-02,2018-06-01,long,XLY,45.78,49.21,0.074924,rotation_out,
2018-05-01,2018-07-02,long,XLU,20.05,20.4,0.017456,rotation_out,
2018-06-01,2018-08-01,long,XLE,26.89,27.14,0.009297,rotation_out,
2018-07-02,2018-08-01,long,XLY,50.4,51.74,0.026587,rotation_out,
2018-08-01,2018-09-04,long,XLK,33.18,34.96,0.053647,rotation_out,
2018-09-04,2018-10-01,long,XLY,54.27,54.93,0.012161,rotation_out,
2018-08-01,2018-11-01,long,XLV,77.86,78.27,0.005266,rotation_out,
2018-10-01,2018-11-01,long,XLI,69.95,61.85,-0.115797,rotation_out,
2018-11-01,2019-02-01,long,XLP,45.1,44.21,-0.019734,rotation_out,
2018-11-01,2019-02-01,long,XLU,21.28,21.77,0.023026,rotation_out,
2019-02-01,2019-03-01,long,XLY,50.45,51.97,0.030129,rotation_out,
2019-03-01,2019-04-01,long,XLU,22.77,23.39,0.027229,rotation_out,
2019-04-01,2019-05-01,long,XLK,35.1,37.34,0.063818,rotation_out,
2019-02-01,2019-06-03,long,XLI,63.84,64.16,0.005013,rotation_out,
2019-05-01,2019-06-03,long,XLY,56.45,51.94,-0.079894,rotation_out,
2019-06-03,2019-07-01,long,XLP,46.23,48.85,0.056673,rotation_out,
2019-06-03,2019-07-01,long,XLU,23.5,24.19,0.029362,rotation_out,
2019-07-01,2019-08-01,long,XLF,24.57,24.85,0.011396,rotation_out,
2019-08-01,2019-09-03,long,XLP,49.85,50.57,0.014443,rotation_out,
2019-09-03,2019-10-01,long,XLK,37.18,38.25,0.028779,rotation_out,
2019-07-01,2019-10-01,long,XLB,25.71,25.59,-0.004667,rotation_out,
2019-10-01,2019-11-01,long,XLP,51.71,51.56,-0.002901,rotation_out,
2019-10-01,2019-12-02,long,XLU,26.36,25.63,-0.027693,rotation_out,
2019-11-01,2019-12-02,long,XLV,85.15,89.14,0.046858,rotation_out,
2019-12-02,2020-01-02,long,XLF,26.73,27.46,0.02731,rotation_out,
2019-12-02,2020-01-02,long,XLI,73.9,74.27,0.005007,rotation_out,
2020-01-02,2020-02-03,long,XLV,92.37,90.22,-0.023276,rotation_out,
2020-01-02,2020-02-03,long,XLB,27.25,25.51,-0.063853,rotation_out,
2020-02-03,2020-05-01,long,XLU,28.44,23.55,-0.171941,rotation_out,
2020-02-03,2020-05-01,long,XLK,45.27,42.63,-0.058317,rotation_out,
2020-05-01,2020-06-01,long,XLV,89.55,92.98,0.038303,rotation_out,
2020-05-01,2020-06-01,long,XLY,53.84,59.24,0.100297,rotation_out,
2020-06-01,2020-07-01,long,XLB,24.63,25.18,0.02233,rotation_out,
2020-06-01,2020-07-01,long,XLK,46.5,50.0,0.075269,rotation_out,
2020-07-01,2020-08-03,long,XLE,15.18,14.39,-0.052042,rotation_out,
2020-08-03,2020-09-01,long,XLB,27.08,28.14,0.039143,rotation_out,
2020-09-01,2020-10-01,long,XLI,71.09,71.34,0.003517,rotation_out,
2020-07-01,2020-11-02,long,XLY,61.07,69.31,0.134927,rotation_out,
2020-10-01,2021-01-04,long,XLB,28.68,32.93,0.148187,rotation_out,
2020-11-02,2021-02-01,long,XLI,70.86,79.17,0.117273,rotation_out,
2021-02-01,2021-03-01,long,XLF,26.72,29.99,0.12238,rotation_out,
2021-01-04,2021-04-01,long,XLE,15.79,20.51,0.298923,rotation_out,
2021-03-01,2021-07-01,long,XLB,33.6,37.72,0.122619,rotation_out,
2021-04-01,2021-07-01,long,XLI,91.41,95.77,0.047697,rotation_out,
2021-07-01,2021-08-02,long,XLE,23.15,20.77,-0.102808,rotation_out,
2021-08-02,2021-09-01,long,XLB,38.38,38.88,0.013028,rotation_out,
2021-09-01,2021-10-01,long,XLY,88.62,86.87,-0.019747,rotation_out,
2021-07-01,2021-10-01,long,XLK,71.1,72.39,0.018143,rotation_out,
2021-10-01,2021-11-01,long,XLU,28.05,29.2,0.040998,rotation_out,
2021-10-01,2021-11-01,long,XLF,34.79,37.48,0.077321,rotation_out,
2021-11-01,2021-12-01,long,XLE,24.69,23.77,-0.037262,rotation_out,
2021-11-01,2022-01-03,long,XLY,97.59,100.47,0.029511,rotation_out,
2021-12-01,2022-02-01,long,XLB,39.27,38.96,-0.007894,rotation_out,
2022-01-03,2022-02-01,long,XLK,84.26,78.5,-0.06836,rotation_out,
2022-02-01,2022-04-01,long,XLP,67.95,68.31,0.005298,rotation_out,
2022-04-01,2022-06-01,long,XLE,33.21,38.41,0.156579,rotation_out,
2022-06-01,2022-07-01,long,XLB,39.7,33.86,-0.147103,rotation_out,
2022-07-01,2022-08-01,long,XLP,65.34,67.32,0.030303,rotation_out,
2022-08-01,2022-09-01,long,XLE,33.89,34.87,0.028917,rotation_out,
2022-02-01,2022-10-03,long,XLU,30.38,29.91,-0.015471,rotation_out,
2022-09-01,2022-11-01,long,XLY,74.8,71.07,-0.049866,rotation_out,
2022-10-03,2022-12-01,long,XLI,79.41,96.79,0.218864,rotation_out,
2022-11-01,2023-01-03,long,XLE,40.67,39.03,-0.040325,rotation_out,
2023-01-03,2023-03-01,long,XLI,94.1,96.1,0.021254,rotation_out,
