,sp500,yield_curve,oil,gold,credit_spread,monetary_policy,volatility,stock_bond_corr
1986-01-31,211.78,2.119999999999999,18.95,12.7,2.29,7.07,15.26788727441773,-0.0023139398078433817
1986-02-28,226.92,1.6399999999999997,13.23,12.7,2.49,7.06,11.03679852699445,-0.013946359972976727
1986-03-31,238.9,1.2200000000000006,10.25,13.4,2.92,6.56,12.506962085897285,-0.01338440650647616
1986-04-30,235.52,1.2400000000000002,13.38,13.4,2.78,6.06,16.690457204648922,0.0068517946351056265
1986-05-31,247.35,1.5599999999999996,14.3,13.4,2.36,6.15,12.561733375785924,0.0028529757456485093
1986-06-30,250.84,1.5899999999999999,12.8,13.5,2.81,6.21,14.136660799173264,-0.005188613851213791
1986-07-31,236.12,1.4699999999999998,11.23,13.5,2.91,5.83,16.64051126211245,0.025631421329857105
1986-08-31,252.93,1.6399999999999997,15.93,13.5,3.07,5.53,11.39901269859749,0.030171208513167264
1986-09-30,231.32,2.24,14.7,15.9,2.75,5.21,22.012413445138883,0.016835542565749956
1986-10-31,243.98,2.25,15.25,15.9,2.82,5.18,10.073431782466379,0.03301072252438651
1986-11-30,249.22,1.9000000000000004,15.0,15.9,2.85,5.35,15.088472761653204,0.03325754378310629
1986-12-31,242.17,1.58,17.93,15.5,2.76,5.53,12.429683786927711,0.03356122627784973
1987-01-31,274.08,1.6500000000000004,18.73,15.5,2.5,5.43,14.78160615842821,0.03374226140430769
1987-02-28,284.2,1.6600000000000001,16.45,15.5,2.43,5.59,13.191436692015984,0.03694205001122863
1987-03-31,291.7,1.6600000000000001,18.82,16.1,2.19,5.59,15.499983359283632,0.02972186560223688
1987-04-30,288.36,2.38,18.76,16.1,2.16,5.64,22.976081627879218,0.012777225057919065
1987-05-31,290.1,2.9499999999999993,19.36,16.1,2.08,5.66,18.260666031003538,0.00692169078514994
1987-06-30,304.0,2.7300000000000004,20.22,17.8,2.12,5.67,10.990286409217473,0.007255187115945801
1987-07-31,318.66,2.759999999999999,21.43,17.8,2.11,5.69,9.271201337780798,0.006234148360707501
1987-08-31,329.8,2.7199999999999998,19.76,17.8,1.92,6.04,14.708434609934127,0.006169090819185271
1987-09-30,321.83,3.0199999999999996,19.62,18.0,1.91,6.4,17.780872445832653,-0.02872572730641973
1987-10-31,251.79,3.3899999999999997,19.96,18.0,2.45,6.13,92.74703484965931,-0.008699672087051547
1987-11-30,230.3,3.169999999999999,18.52,18.0,2.24,5.69,30.64375814572717,-0.007918817907066453
1987-12-31,247.08,3.2200000000000006,16.74,19.2,2.39,5.77,28.811093894049343,-0.006271037566783204
1988-01-31,257.07,2.8600000000000003,16.97,19.2,2.51,5.81,33.83683463062069,-0.006269306277227692
1988-02-29,267.82,2.5500000000000007,15.98,19.2,2.37,5.66,16.016997164929112,0.0003418818761830453
1988-03-31,258.89,2.669999999999999,17.09,16.9,2.19,5.7,14.163396407008387,-0.014980213282967492
1988-04-30,261.33,2.8100000000000005,18.1,16.9,2.07,5.91,20.87937841722768,-0.013890297002331286
1988-05-31,262.16,2.83,17.54,16.9,1.93,6.26,17.941828960534604,-0.013677204357463625
1988-06-30,273.5,2.46,15.2,18.1,2.16,6.46,15.992854613929362,-0.015112019161225242
1988-07-31,272.02,2.33,16.37,18.1,2.07,6.73,15.858592408685393,-0.018871953828826355
1988-08-31,261.52,2.2,15.19,18.1,1.97,7.06,12.885694964563362,-0.01778852991730554
1988-09-30,271.91,1.7400000000000002,13.33,16.8,1.62,7.24,11.870092505612682,-0.011991391455319638
1988-10-31,278.97,1.450000000000001,13.54,16.8,1.58,7.35,14.190789539338983,-0.011804752816750835
1988-11-30,273.7,1.200000000000001,15.42,16.8,1.55,7.76,12.954450078709097,-0.011815322284475488
1988-12-31,277.72,1.0399999999999991,17.12,16.7,1.55,8.07,8.821056059642414,-0.013253050761745985
1989-01-31,297.47,0.8200000000000003,17.0,16.7,1.56,8.27,9.634383770010787,-0.013112236724013016
1989-02-28,288.86,0.6400000000000006,18.21,16.7,1.35,8.53,12.549004964933912,-0.012837003127901708
1989-03-31,294.87,0.5399999999999991,20.27,15.2,1.31,8.82,12.369225784845302,-0.023557857249747186
1989-04-30,309.64,0.5299999999999994,20.38,15.2,1.55,8.65,10.42966272330854,-0.026375980779688266
1989-05-31,320.52,0.4299999999999997,19.93,15.2,1.7,8.43,11.258233998265748,-0.025065728251780973
1989-06-30,317.98,0.129999999999999,20.29,14.4,1.83,8.15,13.293295498073244,-0.027124963771896923
1989-07-31,346.08,0.13999999999999968,18.33,14.4,1.99,7.88,9.677800886313227,-0.027133720071287015
1989-08-31,351.45,0.20999999999999908,18.83,14.4,1.7,7.9,12.852344296005406,0.003087788868063712
1989-09-30,349.15,0.4399999999999995,20.15,14.1,1.62,7.75,8.35963931110285,2.468063045075344e-05
1989-10-31,340.36,0.3700000000000001,19.88,14.1,1.84,7.64,26.505056596697624,0.0007299567758315803
1989-11-30,345.99,0.17999999999999972,19.87,14.1,1.99,7.69,10.23458045386671,-0.003692596971638497
1989-12-31,353.4,0.20999999999999996,21.84,15.3,1.91,7.63,10.841435548425093,-0.006687395060619541
1990-01-31,329.08,0.5700000000000012,22.69,15.3,1.68,7.64,25.36,-0.03161212834597527
1990-02-28,331.89,0.7300000000000004,21.55,15.3,1.68,7.74,21.99,-0.03052828957520878
1990-03-31,339.94,0.6899999999999995,20.34,16.1,1.58,7.9,19.73,-0.02904536075336116
1990-04-30,330.8,1.0199999999999996,18.5,16.1,1.5,7.77,19.52,-0.0299738720203017
1990-05-31,361.23,1.0199999999999996,17.47,16.1,1.71,7.74,17.37,-0.015107527860364374
1990-06-30,358.02,0.75,17.05,14.3,1.79,7.73,15.5,-0.016981515329978263
1990-07-31,356.15,0.8500000000000005,20.57,14.3,1.77,7.62,21.11,-0.017709105601666233
1990-08-31,322.56,1.2999999999999998,27.45,14.3,1.69,7.45,29.9,-0.03997843733218913
1990-09-30,306.05,1.5300000000000002,39.53,15.2,1.94,7.36,29.11,-0.03910355440184751
1990-10-31,304.0,1.5500000000000007,35.31,15.2,2.13,7.17,30.04,-0.06415081839039964
1990-11-30,322.22,1.330000000000001,29.08,15.2,2.27,7.06,22.16,-0.07261730143883442
1990-12-31,330.22,1.3399999999999999,28.48,14.8,2.35,6.74,26.38,-0.07243659802961959
1991-01-31,343.93,1.87,21.9,14.8,2.3,6.22,20.91,-0.0704007046520838
1991-02-28,367.07,1.9099999999999993,19.28,14.8,2.09,5.94,21.23,-0.05796104836071999
