Config,Quantile,Fwd,Momentum,Top N,Sharpe,Ann Ret,Max DD
Equal Weight baseline,-,-,No,-,0.7,10.7,-49.5
q=0.1 fwd=1 mom=False top3,0.1,1,False,3,0.64,10.8,-45.1
q=0.1 fwd=1 mom=False top5,0.1,1,False,5,0.72,11.4,-45.2
q=0.1 fwd=1 mom=True top3,0.1,1,True,3,0.74,11.8,-45.9
q=0.1 fwd=1 mom=True top5,0.1,1,True,5,0.78,11.7,-44.9
q=0.1 fwd=3 mom=False top3,0.1,3,False,3,0.69,11.4,-48.7
q=0.1 fwd=3 mom=False top5,0.1,3,False,5,0.75,11.6,-49.1
q=0.1 fwd=3 mom=True top3,0.1,3,True,3,0.81,12.6,-42.3
q=0.1 fwd=3 mom=True top5,0.1,3,True,5,0.78,11.9,-45.9
q=0.15 fwd=1 mom=False top3,0.15,1,False,3,0.74,11.8,-48.1
q=0.15 fwd=1 mom=False top5,0.15,1,False,5,0.76,11.9,-52.2
q=0.15 fwd=1 mom=True top3,0.15,1,True,3,0.89,13.7,-42.8
q=0.15 fwd=1 mom=True top5,0.15,1,True,5,0.82,12.4,-44.9
q=0.15 fwd=3 mom=False top3,0.15,3,False,3,0.69,11.5,-52.4
q=0.15 fwd=3 mom=False top5,0.15,3,False,5,0.73,11.5,-51.0
q=0.15 fwd=3 mom=True top3,0.15,3,True,3,0.82,12.7,-41.5
q=0.15 fwd=3 mom=True top5,0.15,3,True,5,0.8,12.2,-42.1
q=0.2 fwd=1 mom=False top3,0.2,1,False,3,0.73,12.3,-45.8
q=0.2 fwd=1 mom=False top5,0.2,1,False,5,0.78,12.4,-44.7
q=0.2 fwd=1 mom=True top3,0.2,1,True,3,0.88,13.4,-42.6
q=0.2 fwd=1 mom=True top5,0.2,1,True,5,0.8,11.9,-44.8
q=0.2 fwd=3 mom=False top3,0.2,3,False,3,0.68,11.0,-51.2
q=0.2 fwd=3 mom=False top5,0.2,3,False,5,0.73,11.5,-51.0
q=0.2 fwd=3 mom=True top3,0.2,3,True,3,0.81,12.5,-44.5
q=0.2 fwd=3 mom=True top5,0.2,3,True,5,0.76,11.6,-45.6
