Config,Quantile,Fwd,Momentum,Top N,Sharpe,Ann Ret,Max DD
Equal Weight baseline,-,-,No,-,0.7,11.3,-49.5
q=0.1 fwd=1 mom=False top3,0.1,1,False,3,0.64,11.3,-45.1
q=0.1 fwd=1 mom=False top5,0.1,1,False,5,0.72,12.0,-45.2
q=0.1 fwd=1 mom=True top3,0.1,1,True,3,0.74,12.5,-45.9
q=0.1 fwd=1 mom=True top5,0.1,1,True,5,0.78,12.4,-44.9
q=0.1 fwd=3 mom=False top3,0.1,3,False,3,0.69,12.0,-48.7
q=0.1 fwd=3 mom=False top5,0.1,3,False,5,0.76,12.3,-49.1
q=0.1 fwd=3 mom=True top3,0.1,3,True,3,0.82,13.6,-42.3
q=0.1 fwd=3 mom=True top5,0.1,3,True,5,0.79,12.7,-45.9
q=0.15 fwd=1 mom=False top3,0.15,1,False,3,0.74,12.5,-48.1
q=0.15 fwd=1 mom=False top5,0.15,1,False,5,0.76,12.6,-52.2
q=0.15 fwd=1 mom=True top3,0.15,1,True,3,0.89,14.7,-42.8
q=0.15 fwd=1 mom=True top5,0.15,1,True,5,0.82,13.2,-44.9
q=0.15 fwd=3 mom=False top3,0.15,3,False,3,0.69,12.1,-52.4
q=0.15 fwd=3 mom=False top5,0.15,3,False,5,0.72,12.0,-51.0
q=0.15 fwd=3 mom=True top3,0.15,3,True,3,0.82,13.5,-41.5
q=0.15 fwd=3 mom=True top5,0.15,3,True,5,0.8,12.8,-42.1
q=0.2 fwd=1 mom=False top3,0.2,1,False,3,0.73,13.0,-45.8
q=0.2 fwd=1 mom=False top5,0.2,1,False,5,0.78,13.2,-44.7
q=0.2 fwd=1 mom=True top3,0.2,1,True,3,0.88,14.3,-42.6
q=0.2 fwd=1 mom=True top5,0.2,1,True,5,0.8,12.6,-44.8
q=0.2 fwd=3 mom=False top3,0.2,3,False,3,0.68,11.6,-51.2
q=0.2 fwd=3 mom=False top5,0.2,3,False,5,0.72,12.0,-51.0
q=0.2 fwd=3 mom=True top3,0.2,3,True,3,0.82,13.3,-44.5
q=0.2 fwd=3 mom=True top5,0.2,3,True,5,0.76,12.2,-45.6
