entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,beta_L,beta_H,scale
1990-01-01,1990-02-28,long_short,LowBeta(100)/HighBeta(104),100.0,98.6024,-0.013976,monthly_rebalance,0.715,1.488,2.083
1990-02-01,1990-03-31,long_short,LowBeta(96)/HighBeta(98),100.0,97.4219,-0.025781,monthly_rebalance,0.709,1.481,2.087
1990-03-01,1990-04-30,long_short,LowBeta(99)/HighBeta(101),100.0,94.0312,-0.059688,monthly_rebalance,0.715,1.464,2.048
1990-04-01,1990-05-31,long_short,LowBeta(101)/HighBeta(99),100.0,102.1507,0.021507,monthly_rebalance,0.729,1.452,1.993
1990-05-01,1990-06-30,long_short,LowBeta(98)/HighBeta(101),100.0,99.3656,-0.006344,monthly_rebalance,0.732,1.45,1.979
1990-06-01,1990-07-31,long_short,LowBeta(99)/HighBeta(99),100.0,104.836,0.04836,monthly_rebalance,0.734,1.436,1.956
1990-07-01,1990-08-31,long_short,LowBeta(102)/HighBeta(104),100.0,92.812,-0.07188,monthly_rebalance,0.74,1.425,1.926
1990-08-01,1990-09-30,long_short,LowBeta(97)/HighBeta(101),100.0,100.5321,0.005321,monthly_rebalance,0.62,1.505,2.428
1990-09-01,1990-10-31,long_short,LowBeta(98)/HighBeta(103),100.0,100.2236,0.002236,monthly_rebalance,0.61,1.518,2.486
1990-10-01,1990-11-30,long_short,LowBeta(99)/HighBeta(102),100.0,94.9208,-0.050792,monthly_rebalance,0.598,1.568,2.623
1990-11-01,1990-12-31,long_short,LowBeta(100)/HighBeta(102),100.0,98.6009,-0.013991,monthly_rebalance,0.617,1.57,2.545
1990-12-01,1991-01-31,long_short,LowBeta(99)/HighBeta(102),100.0,93.1057,-0.068943,monthly_rebalance,0.612,1.583,2.589
1991-01-01,1991-02-28,long_short,LowBeta(101)/HighBeta(99),100.0,103.4729,0.034729,monthly_rebalance,0.6,1.572,2.621
1991-02-01,1991-03-31,long_short,LowBeta(98)/HighBeta(101),100.0,97.5573,-0.024427,monthly_rebalance,0.617,1.551,2.516
1991-03-01,1991-04-30,long_short,LowBeta(97)/HighBeta(103),100.0,96.5783,-0.034217,monthly_rebalance,0.604,1.55,2.569
1991-04-01,1991-05-31,long_short,LowBeta(99)/HighBeta(99),100.0,99.7761,-0.002239,monthly_rebalance,0.62,1.549,2.5
1991-05-01,1991-06-30,long_short,LowBeta(98)/HighBeta(102),100.0,96.5514,-0.034486,monthly_rebalance,0.633,1.528,2.413
1991-06-01,1991-07-31,long_short,LowBeta(100)/HighBeta(98),100.0,100.8977,0.008977,monthly_rebalance,0.656,1.53,2.334
1991-07-01,1991-08-31,long_short,LowBeta(102)/HighBeta(102),100.0,97.6398,-0.023602,monthly_rebalance,0.669,1.509,2.257
1991-08-01,1991-09-30,long_short,LowBeta(98)/HighBeta(100),100.0,102.9286,0.029286,monthly_rebalance,0.631,1.521,2.409
1991-09-01,1991-10-31,long_short,LowBeta(98)/HighBeta(99),100.0,103.1832,0.031832,monthly_rebalance,0.631,1.511,2.393
1991-10-01,1991-11-30,long_short,LowBeta(98)/HighBeta(98),100.0,98.1823,-0.018177,monthly_rebalance,0.632,1.519,2.402
1991-11-01,1991-12-31,long_short,LowBeta(99)/HighBeta(99),100.0,101.5332,0.015332,monthly_rebalance,0.626,1.517,2.423
1991-12-01,1992-01-31,long_short,LowBeta(101)/HighBeta(99),100.0,90.4587,-0.095413,monthly_rebalance,0.645,1.536,2.383
