date,equity
2016-05-02,100264.64
2016-05-03,99953.68000000001
2016-05-04,99740.74
2016-05-05,99730.6
2016-05-06,99906.36
2016-05-09,100001.0
2016-05-10,100457.3
2016-05-11,100153.1
2016-05-12,100004.38
2016-05-13,99882.7
2016-05-16,100295.06000000001
2016-05-17,99875.94
2016-05-18,99994.24
2016-05-19,99821.86
2016-05-20,100186.90000000001
2016-05-23,100142.96
2016-05-24,100812.2
2016-05-25,101055.56000000001
2016-05-26,101156.96
2016-05-27,101336.1
2016-05-30,101336.1
2016-05-31,101400.31999999999
2016-06-01,101403.7
2016-06-02,101474.68000000001
2016-06-03,101312.44
2016-06-06,101437.5
2016-06-07,101349.62000000001
2016-06-08,101410.46
2016-06-09,101353.0
2016-06-10,100960.92
2016-06-13,100677.0
2016-06-14,100677.0
2016-06-15,100578.98
2016-06-16,100680.38
2016-06-17,100281.54
2016-06-20,100494.48
2016-06-21,100599.26
2016-06-22,100518.14
2016-06-23,101001.48
2016-06-24,99588.64
2016-06-27,98939.68000000001
2016-06-28,99642.72
2016-06-29,100797.7
2016-06-30,101645.74
2016-07-01,101887.7
2016-07-04,101887.7
2016-07-05,101433.84000000001
2016-07-06,101916.44
2016-07-07,101994.8
2016-07-08,103036.64
2016-07-11,103360.86
2016-07-12,103790.06000000001
2016-07-13,103701.72000000002
2016-07-14,104139.46
2016-07-15,104034.00000000001
2016-07-18,104361.3
2016-07-19,104194.92
2016-07-20,104753.2
2016-07-21,104537.68000000001
2016-07-22,104847.68000000001
2016-07-25,104753.14
2016-07-26,104810.98
2016-07-27,105022.70000000001
2016-07-28,105188.08
2016-07-29,105323.42
2016-08-01,105487.28000000001
2016-08-02,104981.64
2016-08-03,105203.62000000001
2016-08-04,105346.8
2016-08-05,105984.86
2016-08-08,105923.18000000001
2016-08-09,106032.18000000001
2016-08-10,105849.22
2016-08-11,106171.74
2016-08-12,106166.14
2016-08-15,106425.3
2016-08-16,106036.26
2016-08-17,106169.59999999999
2016-08-18,106260.38
2016-08-19,106196.48
2016-08-22,106224.98
2016-08-23,106362.16
2016-08-24,105937.86
2016-08-25,105855.44000000002
2016-08-26,105838.94000000002
2016-08-29,106066.28
2016-08-30,105888.46
2016-08-31,105749.52
2016-09-01,105846.08
2016-09-02,106125.66
2016-09-05,106125.66
2016-09-06,106463.02
2016-09-07,106482.84000000001
2016-09-08,106182.5
2016-09-09,104394.3
2016-09-12,105544.84000000001
2016-09-13,104704.34000000001
2016-09-14,104859.44
2016-09-15,105780.56000000001
2016-09-16,105623.96
2016-09-19,105470.86
2016-09-20,105548.06
2016-09-21,106297.09999999999
2016-09-22,106823.48000000001
2016-09-23,106631.48000000001
2016-09-26,106330.04000000001
2016-09-27,106554.68000000001
2016-09-28,106731.32
2016-09-29,106422.20000000001
2016-09-30,106685.24
2016-10-03,106591.16
2016-10-04,106404.92
2016-10-05,106571.96
2016-10-06,106600.76000000001
2016-10-07,106468.28000000001
2016-10-10,106641.08
2016-10-11,106205.24
2016-10-12,106243.64
2016-10-13,106143.8
2016-10-14,106141.88
2016-10-17,106038.20000000001
2016-10-18,106243.64
2016-10-19,106333.88
2016-10-20,106280.12000000001
2016-10-21,106278.20000000001
2016-10-24,106439.48000000001
2016-10-25,106328.12000000001
2016-10-26,106255.16
2016-10-27,106161.08
2016-10-28,106049.72000000002
2016-10-31,106529.59
2016-11-01,104660.06
2016-11-02,101650.64
2016-11-03,99335.25
2016-11-04,99653.40999999999
2016-11-07,107054.56
2016-11-08,108572.55
2016-11-09,113778.7
2016-11-10,113663.18000000001
2016-11-11,116853.72999999998
2016-11-14,117367.1
2016-11-15,120069.81
2016-11-16,121074.52000000002
2016-11-17,123073.69
2016-11-18,123178.46999999999
2016-11-21,125782.53999999998
2016-11-22,127603.24
2016-11-23,127866.70999999999
2016-11-24,127866.70999999999
2016-11-25,128861.26
2016-11-28,126672.23999999999
2016-11-29,127072.96000000002
2016-11-30,124498.76
2016-12-01,121008.09000000003
2016-12-02,121300.96000000002
2016-12-05,125047.85
2016-12-06,126985.03
2016-12-07,130325.37
2016-12-08,133070.09
2016-12-09,134596.27
2016-12-12,132182.38
2016-12-13,134128.16
2016-12-14,131910.18
2016-12-15,133400.15000000002
2016-12-16,132485.13
2016-12-19,134101.56
2016-12-20,135955.94
2016-12-21,134852.26
2016-12-22,133101.01
2016-12-23,134039.46
2016-12-26,134039.46
2016-12-27,135516.35
2016-12-28,132667.14999999997
2016-12-29,132662.16000000003
2016-12-30,130495.22000000002
2017-01-02,130495.22000000002
2017-01-03,132603.97000000003
2017-01-04,136007.15000000002
2017-01-05,135010.31
2017-01-06,135823.82
2017-01-09,135391.58000000002
2017-01-10,137200.48
2017-01-11,137923.4
2017-01-12,136465.93
2017-01-13,138141.19
2017-01-16,138141.19
2017-01-17,135493.16
2017-01-18,136359.16
2017-01-19,135056.84
2017-01-20,136128.56
2017-01-23,135668.90999999997
2017-01-24,139003.18000000002
2017-01-25,142203.17
2017-01-26,141529.54
2017-01-27,140983.01
2017-01-30,138860.44
2017-01-31,139839.11000000002
2017-02-01,139940.79
2017-02-02,139432.39
2017-02-03,141720.19
2017-02-06,140563.58000000002
2017-02-07,139915.37
2017-02-08,139623.04
2017-02-09,141796.45
2017-02-10,142991.19
2017-02-13,142991.19
2017-02-14,142991.19
2017-02-15,142991.19
2017-02-16,142991.19
2017-02-17,142991.19
2017-02-20,142991.19
2017-02-21,142991.19
2017-02-22,142991.19
2017-02-23,142991.19
2017-02-24,142991.19
2017-02-27,142991.19
2017-02-28,142991.19
2017-03-01,142991.19
2017-03-02,142991.19
2017-03-03,142991.19
2017-03-06,142991.19
2017-03-07,142991.19
2017-03-08,142991.19
2017-03-09,142991.19
2017-03-10,142991.19
2017-03-13,142991.19
2017-03-14,142991.19
2017-03-15,142991.19
2017-03-16,142991.19
2017-03-17,142991.19
2017-03-20,142991.19
2017-03-21,142991.19
2017-03-22,143462.44
2017-03-23,144649.99
2017-03-24,144932.74000000002
2017-03-27,145272.04
2017-03-28,147062.79
2017-03-29,147835.64
2017-03-30,149569.84000000003
2017-03-31,150041.09000000003
2017-04-03,147515.19000000003
2017-04-04,147232.44
2017-04-05,144612.29
2017-04-06,146704.64
2017-04-07,146648.09000000003
2017-04-10,147100.49
2017-04-11,148985.49
2017-04-12,145875.24000000002
2017-04-13,143575.54000000004
2017-04-14,143575.54000000004
2017-04-17,147130.21000000002
2017-04-18,146777.44
2017-04-19,147394.97
2017-04-20,151418.2
2017-04-21,150443.38
2017-04-24,154923.62000000002
2017-04-25,155774.40000000002
2017-04-26,155723.93000000002
2017-04-27,155824.87000000002
2017-04-28,155522.05000000002
2017-05-01,155846.50000000003
2017-05-02,155925.81000000003
2017-05-03,155774.40000000002
2017-05-04,155911.39
2017-05-05,156502.61000000002
2017-05-08,156495.40000000002
2017-05-09,156351.2
2017-05-10,156617.97
2017-05-11,156365.62000000002
2017-05-12,156106.06000000003
2017-05-15,156848.69000000003
2017-05-16,156762.17
2017-05-17,154144.94000000003
2017-05-18,154671.27000000002
2017-05-19,155615.78000000003
2017-05-22,156401.67
2017-05-23,156718.91000000003
2017-05-24,157057.78000000003
2017-05-25,157793.2
2017-05-26,157785.99000000002
2017-05-29,157785.99000000002
2017-05-30,157663.42
2017-05-31,157591.32
2017-06-01,158773.76
2017-06-02,158773.76
2017-06-05,158773.76
2017-06-06,158773.76
2017-06-07,158773.76
2017-06-08,158773.76
2017-06-09,158773.76
2017-06-12,158773.76
2017-06-13,158773.76
2017-06-14,158773.76
2017-06-15,158773.76
2017-06-16,158773.76
2017-06-19,158773.76
2017-06-20,158773.76
2017-06-21,158773.76
2017-06-22,158773.76
2017-06-23,158773.76
2017-06-26,158773.76
2017-06-27,158773.76
2017-06-28,158773.76
2017-06-29,158773.76
2017-06-30,158773.76
2017-07-03,158773.76
2017-07-04,158773.76
2017-07-05,160180.46
2017-07-06,158351.75
2017-07-07,160524.32000000004
2017-07-10,161837.24
2017-07-11,162415.55
2017-07-12,164838.2
2017-07-13,165291.47
2017-07-14,166932.62000000002
2017-07-17,167026.40000000002
2017-07-18,168433.09999999998
2017-07-19,169667.87000000002
2017-07-20,169949.21
2017-07-21,169855.43000000002
2017-07-24,170824.49
2017-07-25,170277.44
2017-07-26,170980.79000000004
2017-07-27,169636.61000000002
2017-07-28,169464.68000000002
2017-07-31,168558.14
2017-08-01,169042.67
2017-08-02,169620.98
2017-08-03,168792.59000000003
2017-08-04,169183.34000000003
2017-08-07,170511.89
2017-08-08,170152.40000000002
2017-08-09,169871.06000000003
2017-08-10,165322.73
2017-08-11,167329.95999999996
2017-08-14,174004.30000000002
2017-08-15,172060.46
2017-08-16,172505.66999999998
2017-08-17,163375.84
2017-08-18,163133.82
2017-08-21,162653.81
2017-08-22,168661.26
2017-08-23,167455.19
2017-08-24,167708.62
2017-08-25,167999.59999999998
2017-08-28,169776.21999999997
2017-08-29,170626.03999999998
2017-08-30,174767.12000000002
2017-08-31,179706.42000000004
2017-09-01,181185.09000000003
2017-09-04,181185.09000000003
2017-09-05,178656.35000000003
2017-09-06,179149.24
2017-09-07,178506.34000000003
2017-09-08,178699.21000000002
2017-09-11,181485.11000000002
2017-09-12,183156.65000000002
2017-09-13,183970.99
2017-09-14,183756.69
2017-09-15,184956.77000000002
2017-09-18,186756.89
2017-09-19,186756.89
2017-09-20,186756.89
2017-09-21,186756.89
2017-09-22,186756.89
2017-09-25,186756.89
2017-09-26,186756.89
2017-09-27,186756.89
2017-09-28,186756.89
2017-09-29,186756.89
2017-10-02,186756.89
2017-10-03,186756.89
2017-10-04,186756.89
2017-10-05,186756.89
2017-10-06,186756.89
2017-10-09,186756.89
2017-10-10,186756.89
2017-10-11,186756.89
2017-10-12,186756.89
2017-10-13,186756.89
2017-10-16,186756.89
2017-10-17,186756.89
2017-10-18,186756.89
2017-10-19,186756.89
2017-10-20,186756.89
2017-10-23,186756.89
2017-10-24,186756.89
2017-10-25,186756.89
2017-10-26,186756.89
2017-10-27,186756.89
2017-10-30,186756.89
2017-10-31,186756.89
2017-11-01,186756.89
2017-11-02,186756.89
2017-11-03,186756.89
2017-11-06,186756.89
2017-11-07,186756.89
2017-11-08,187982.93
2017-11-09,186780.93
2017-11-10,186612.65
2017-11-13,186684.77
2017-11-14,185819.32999999996
2017-11-15,184521.16999999998
2017-11-16,189088.77000000002
2017-11-17,190579.24999999994
2017-11-20,192935.16999999998
2017-11-21,196348.84999999995
2017-11-22,195892.08999999997
2017-11-23,195892.08999999997
2017-11-24,196036.32999999996
2017-11-27,195002.60999999993
2017-11-28,200147.16999999998
2017-11-29,201277.05
2017-11-30,201854.01
2017-12-01,200435.65
2017-12-04,199233.65
2017-12-05,195964.20999999996
2017-12-06,194425.65
2017-12-07,196709.44999999995
2017-12-08,197046.01
2017-12-11,196877.72999999995
2017-12-12,195868.05
2017-12-13,197767.20999999996
2017-12-14,194209.28999999998
2017-12-15,198776.89
2017-12-18,203248.32999999996
2017-12-19,200724.13
2017-12-20,201325.13
2017-12-21,202695.40999999997
2017-12-22,202094.40999999997
2017-12-25,202094.40999999997
2017-12-26,202238.65
2017-12-27,201998.24999999994
2017-12-28,203320.44999999995
2017-12-29,200627.96999999997
2018-01-01,200627.96999999997
2018-01-02,203584.89
2018-01-03,204065.68999999997
2018-01-04,204810.93
2018-01-05,205604.24999999994
2018-01-08,206157.16999999998
2018-01-09,205652.32999999996
2018-01-10,205676.36999999994
