date,equity
2016-05-02,100148.81
2016-05-03,100047.60999999999
2016-05-04,99978.31
2016-05-05,99975.00999999998
2016-05-06,100032.20999999999
2016-05-09,100063.00999999998
2016-05-10,100211.50999999998
2016-05-11,100112.50999999998
2016-05-12,100064.10999999999
2016-05-13,100024.50999999998
2016-05-16,100158.70999999999
2016-05-17,100022.31
2016-05-18,100060.81
2016-05-19,100004.70999999999
2016-05-20,100123.50999999998
2016-05-23,100109.20999999999
2016-05-24,100327.00999999998
2016-05-25,100406.20999999999
2016-05-26,100439.20999999999
2016-05-27,100497.50999999998
2016-05-30,100497.50999999998
2016-05-31,100518.40999999997
2016-06-01,100519.50999999998
2016-06-02,100542.60999999999
2016-06-03,100489.81
2016-06-06,100530.50999999998
2016-06-07,100501.90999999997
2016-06-08,100521.70999999999
2016-06-09,100503.00999999998
2016-06-10,100375.40999999997
2016-06-13,100283.00999999998
2016-06-14,100283.00999999998
2016-06-15,100251.10999999999
2016-06-16,100284.10999999999
2016-06-17,100154.31
2016-06-20,100223.60999999999
2016-06-21,100257.70999999999
2016-06-22,100231.31
2016-06-23,100388.60999999999
2016-06-24,99928.81
2016-06-27,99717.60999999999
2016-06-28,99946.40999999997
2016-06-29,100323.81999999998
2016-06-30,100601.04999999999
2016-07-01,100679.98999999999
2016-07-04,100679.98999999999
2016-07-05,100531.62
2016-07-06,100689.22999999998
2016-07-07,100714.66999999998
2016-07-08,101055.10999999999
2016-07-11,101160.95999999999
2016-07-12,101301.31999999998
2016-07-13,101272.56
2016-07-14,101415.54999999999
2016-07-15,101381.09999999998
2016-07-18,101487.87
2016-07-19,101433.62999999998
2016-07-20,101615.70999999999
2016-07-21,101545.20999999999
2016-07-22,101646.52999999997
2016-07-25,101615.5
2016-07-26,101634.37
2016-07-27,101703.16999999998
2016-07-28,101757.09999999998
2016-07-29,101801.29999999999
2016-08-01,101854.54999999999
2016-08-02,101689.37999999998
2016-08-03,101761.9
2016-08-04,101808.59999999998
2016-08-05,102017.03
2016-08-08,101996.9
2016-08-09,102032.43
2016-08-10,101972.65
2016-08-11,102078.06
2016-08-12,102076.15
2016-08-15,102160.76999999999
2016-08-16,102033.65999999997
2016-08-17,102077.23999999999
2016-08-18,102106.99999999997
2016-08-19,102086.06
2016-08-22,102095.32999999999
2016-08-23,102140.16999999998
2016-08-24,102001.59
2016-08-25,101974.69999999998
2016-08-26,101969.15
2016-08-29,102043.60999999999
2016-08-30,101985.57999999999
2016-08-31,101940.09
2016-09-01,101971.51999999999
2016-09-02,102062.93999999997
2016-09-05,102062.93999999997
2016-09-06,102173.01999999999
2016-09-07,102179.45999999999
2016-09-08,102081.5
2016-09-09,101497.22999999998
2016-09-12,101873.01999999999
2016-09-13,101598.10999999999
2016-09-14,101648.53999999998
2016-09-15,101949.25999999998
2016-09-16,101897.93
2016-09-19,101848.12
2016-09-20,101873.26999999999
2016-09-21,102118.06999999998
2016-09-22,102289.99999999997
2016-09-23,102226.99999999997
2016-09-26,102128.09
2016-09-27,102201.79999999999
2016-09-28,102259.75999999998
2016-09-29,102158.32999999999
2016-09-30,102244.63999999998
2016-10-03,102213.76999999999
2016-10-04,102152.65999999997
2016-10-05,102207.46999999997
