date,equity
2016-05-02,101196.84999999999
2016-05-03,100380.80999999998
2016-05-04,99822.0
2016-05-05,99795.39
2016-05-06,100256.62999999999
2016-05-09,100504.98999999999
2016-05-10,101702.44
2016-05-11,100904.14
2016-05-12,100513.86
2016-05-13,100194.54
2016-05-16,101276.68
2016-05-17,100176.79999999999
2016-05-18,100487.24999999999
2016-05-19,100034.87999999999
2016-05-20,100992.83999999998
2016-05-23,100877.52999999998
2016-05-24,102633.79
2016-05-25,103272.43
2016-05-26,103538.52999999998
2016-05-27,104008.64
2016-05-30,104008.64
2016-05-31,104177.17
2016-06-01,104186.04
2016-06-02,104372.30999999998
2016-06-03,103946.54999999999
2016-06-06,104274.73999999999
2016-06-07,104044.11999999998
2016-06-08,104203.77999999998
2016-06-09,104052.98999999999
2016-06-10,103024.06999999999
2016-06-13,102278.98999999999
2016-06-14,102278.98999999999
2016-06-15,102021.76
2016-06-16,102287.86
2016-06-17,101241.2
2016-06-20,101800.01
2016-06-21,102074.98
2016-06-22,101862.09999999999
2016-06-23,103130.51
2016-06-24,99422.84999999999
2016-06-27,97719.81
2016-06-28,99564.76999999999
2016-06-29,102599.12999999999
2016-06-30,104827.36
2016-07-01,105462.76
2016-07-04,105462.76
2016-07-05,104270.23999999999
2016-07-06,105537.92999999998
2016-07-07,105743.43000000001
2016-07-08,108480.54999999999
2016-07-11,109332.12999999999
2016-07-12,110459.96999999999
2016-07-13,110228.12
2016-07-14,111378.04
2016-07-15,111101.0
2016-07-18,111960.48
2016-07-19,111523.65
2016-07-20,112989.59
2016-07-21,112423.20999999998
2016-07-22,113237.68999999999
2016-07-25,112989.01
2016-07-26,113140.9
2016-07-27,113696.28
2016-07-28,114130.51999999999
2016-07-29,114486.02999999998
2016-08-01,114915.87
2016-08-02,113587.58
2016-08-03,114170.73
2016-08-04,114546.7
2016-08-05,116222.86
2016-08-08,116060.86999999998
2016-08-09,116347.04
2016-08-10,115866.37999999999
2016-08-11,116713.74999999999
2016-08-12,116698.86
2016-08-15,117379.58
2016-08-16,116357.53
2016-08-17,116707.85999999999
2016-08-18,116946.56999999999
2016-08-19,116778.56
2016-08-22,116853.34
2016-08-23,117213.77
2016-08-24,116099.2
2016-08-25,115882.76
2016-08-26,115839.06
2016-08-29,116436.70999999999
2016-08-30,115969.71
2016-08-31,115604.48999999999
2016-09-01,115857.9
2016-09-02,116592.54999999999
2016-09-05,116592.54999999999
2016-09-06,117478.51
2016-09-07,117530.5
2016-09-08,116741.84999999999
2016-09-09,112044.02
2016-09-12,115066.34
2016-09-13,112857.59999999999
2016-09-14,113264.51999999999
2016-09-15,115683.87999999999
2016-09-16,115272.11
2016-09-19,114870.37
2016-09-20,115073.01999999999
2016-09-21,117040.98
2016-09-22,118423.71999999999
2016-09-23,117918.71999999999
2016-09-26,117125.87000000001
2016-09-27,117716.71999999999
2016-09-28,118181.31999999999
2016-09-29,117368.27
2016-09-30,118060.12
2016-10-03,117812.67
2016-10-04,117322.81999999999
2016-10-05,117762.17
2016-10-06,117837.92
2016-10-07,117489.47
2016-10-10,117943.96999999999
2016-10-11,116797.62
2016-10-12,116898.61999999998
2016-10-13,116636.02
2016-10-14,116630.96999999999
2016-10-17,116358.27
2016-10-18,116898.61999999998
2016-10-19,117135.96999999999
2016-10-20,116994.56999999999
2016-10-21,116989.52
2016-10-24,117413.71999999999
2016-10-25,117120.81999999999
2016-10-26,116928.92
2016-10-27,116681.46999999999
2016-10-28,116388.56999999999
2016-10-31,116721.65999999999
2016-11-01,114993.37
2016-11-02,112454.7
2016-11-03,110475.66999999998
2016-11-04,110532.15
2016-11-07,117306.01000000001
2016-11-08,118717.48
2016-11-09,122962.97
2016-11-10,122772.41
2016-11-11,124708.38999999998
2016-11-14,124898.43
2016-11-15,127467.4
2016-11-16,128134.05000000002
2016-11-17,129902.65999999997
2016-11-18,129752.01999999999
2016-11-21,132183.87
2016-11-22,133434.77000000002
2016-11-23,133529.61
2016-11-24,133529.61
2016-11-25,134239.71
2016-11-28,132766.27000000002
