date,equity
2016-05-02,101554.02
2016-05-03,100495.1
2016-05-04,99769.97
2016-05-05,99735.44
2016-05-06,100333.95999999999
2016-05-09,100656.24
2016-05-10,102210.09000000001
2016-05-11,101174.19
2016-05-12,100667.75
2016-05-13,100253.39000000001
2016-05-16,101657.61000000002
2016-05-17,100230.37
2016-05-18,100633.22
2016-05-19,100046.20999999999
2016-05-20,101289.29000000001
2016-05-23,101139.66
2016-05-24,103418.64000000001
2016-05-25,104247.36000000002
2016-05-26,104592.66
2016-05-27,105202.69
2016-05-30,105202.69
2016-05-31,105421.38
2016-06-01,105432.89000000001
2016-06-02,105674.6
2016-06-03,105122.12
2016-06-06,105547.98999999999
2016-06-07,105248.73
2016-06-08,105455.91
2016-06-09,105260.23999999999
2016-06-10,103925.08000000002
2016-06-13,102958.23999999999
2016-06-14,102958.23999999999
2016-06-15,102624.45000000001
2016-06-16,102969.75
2016-06-17,101611.57
2016-06-20,102336.70000000001
2016-06-21,102693.51
2016-06-22,102417.27
2016-06-23,104063.20000000001
2016-06-24,99252.02
2016-06-27,97042.1
2016-06-28,99436.18
2016-06-29,103375.73000000001
2016-06-30,106268.83
2016-07-01,107093.60999999999
2016-07-04,107093.60999999999
2016-07-05,105545.26000000001
2016-07-06,107191.0
2016-07-07,107457.58000000002
2016-07-08,111011.22
2016-07-11,112116.70999999999
2016-07-12,113581.15
2016-07-13,113280.28
2016-07-14,114773.17000000001
2016-07-15,114413.50000000001
2016-07-18,115529.12999999999
2016-07-19,114962.16
2016-07-20,116864.94
2016-07-21,116129.5
2016-07-22,117186.98
2016-07-25,116863.93000000001
2016-07-26,117061.09
2016-07-27,117781.63000000002
2016-07-28,118345.26
2016-07-29,118806.79000000001
2016-08-01,119364.46
2016-08-02,117640.0
2016-08-03,118397.09000000001
2016-08-04,118885.1
2016-08-05,121061.19
2016-08-08,120850.91
2016-08-09,121222.33
2016-08-10,120598.29
2016-08-11,121698.47
2016-08-12,121679.03
2016-08-15,122562.73
2016-08-16,121235.81
2016-08-17,121690.65999999999
2016-08-18,122000.71
2016-08-19,121782.5
2016-08-22,121879.53000000001
2016-08-23,122347.5
2016-08-24,120900.53
2016-08-25,120619.58000000002
2016-08-26,120562.63
2016-08-29,121338.8
2016-08-30,120732.59000000001
2016-08-31,120258.30000000002
2016-09-01,120587.14000000001
2016-09-02,121541.03
2016-09-05,121541.03
2016-09-06,122691.06999999999
2016-09-07,122758.52000000002
2016-09-08,121734.85
2016-09-09,115635.67000000001
2016-09-12,119559.36
2016-09-13,116691.37
2016-09-14,117219.34
2016-09-15,120360.06
2016-09-16,119825.24000000002
2016-09-19,119303.95000000001
2016-09-20,119566.95000000001
2016-09-21,122122.03
2016-09-22,123917.16
2016-09-23,123261.16
2016-09-26,122231.24000000002
2016-09-27,122998.76000000001
2016-09-28,123602.28
2016-09-29,122546.12000000001
2016-09-30,123444.84000000001
2016-10-03,123123.40000000001
2016-10-04,122487.08000000002
2016-10-05,123057.80000000002
2016-10-06,123156.20000000001
2016-10-07,122703.56000000001
2016-10-10,123293.96
2016-10-11,121804.84000000001
2016-10-12,121936.04000000001
2016-10-13,121594.92000000001
2016-10-14,121588.36000000002
2016-10-17,121234.12000000001
2016-10-18,121936.04000000001
2016-10-19,122244.36000000002
2016-10-20,122060.68000000001
2016-10-21,122054.12000000001
2016-10-24,122605.16
2016-10-25,122224.68000000001
2016-10-26,121975.40000000001
2016-10-27,121653.95999999999
2016-10-28,121273.48000000001
2016-10-31,121705.87999999998
2016-11-01,119461.80000000002
2016-11-02,116077.34000000001
2016-11-03,113394.98000000001
2016-11-04,113429.78000000001
2016-11-07,122494.52
2016-11-08,124401.76000000001
2016-11-09,129965.94000000003
2016-11-10,129531.06
2016-11-11,132048.18
2016-11-14,132178.64
2016-11-15,135671.92
2016-11-16,136607.56000000003
2016-11-17,138985.9
2016-11-18,138747.5
2016-11-21,142026.5
2016-11-22,143687.6
2016-11-23,143761.64
2016-11-24,143761.64
2016-11-25,144720.74000000002
2016-11-28,142782.5
2016-11-29,143246.78000000003
2016-11-30,140619.68
2016-12-01,137034.68000000005
2016-12-02,137355.2
2016-12-05,140812.64
2016-12-06,142543.40000000002
2016-12-07,145831.28000000003
2016-12-08,148231.94
2016-12-09,149812.15999999997
2016-12-12,147588.38000000003
2016-12-13,149701.04000000004
2016-12-14,147728.42
2016-12-15,149072.66000000003
2016-12-16,148155.08000000002
2016-12-19,149675.18000000002
2016-12-20,151387.7
2016-12-21,150420.56
2016-12-22,148834.76
2016-12-23,149661.5
2016-12-26,149661.5
2016-12-27,151098.86000000002
2016-12-28,148391.18
2016-12-29,148338.08000000002
2016-12-30,146128.7
2017-01-02,146128.7
2017-01-03,148233.26
2017-01-04,151326.98000000004
2017-01-05,150675.38
2017-01-06,151682.60000000003
2017-01-09,151455.38
2017-01-10,153073.88
2017-01-11,153789.14
2017-01-12,152492.06
2017-01-13,154049.12
2017-01-16,154049.12
2017-01-17,151681.76
2017-01-18,152492.54000000004
2017-01-19,151369.64
2017-01-20,152361.74000000002
2017-01-23,152000.47999999998
2017-01-24,155091.02000000002
2017-01-25,158187.98
2017-01-26,157615.58000000002
2017-01-27,157151.18
2017-01-30,155347.58000000002
2017-01-31,156179.18000000002
2017-02-01,156265.58000000002
2017-02-02,155833.58000000002
2017-02-03,157777.58000000002
2017-02-06,156794.78
2017-02-07,156243.98
2017-02-08,155995.58000000002
2017-02-09,157842.38
2017-02-10,158857.58000000002
2017-02-13,158857.58000000002
2017-02-14,158857.58000000002
2017-02-15,158857.58000000002
2017-02-16,158857.58000000002
2017-02-17,158857.58000000002
2017-02-20,158857.58000000002
2017-02-21,158857.58000000002
2017-02-22,158857.58000000002
2017-02-23,158857.58000000002
2017-02-24,158857.58000000002
2017-02-27,158857.58000000002
2017-02-28,158857.58000000002
2017-03-01,158857.58000000002
2017-03-02,158857.58000000002
2017-03-03,158857.58000000002
2017-03-06,158857.58000000002
2017-03-07,158857.58000000002
2017-03-08,158857.58000000002
2017-03-09,158857.58000000002
2017-03-10,158857.58000000002
2017-03-13,158857.58000000002
2017-03-14,158857.58000000002
2017-03-15,158857.58000000002
2017-03-16,158857.58000000002
2017-03-17,158857.58000000002
2017-03-20,158857.58000000002
2017-03-21,158857.58000000002
2017-03-22,159233.58000000002
2017-03-23,160181.1
2017-03-24,160406.7
2017-03-27,160677.42
2017-03-28,162106.22
2017-03-29,162722.86000000002
2017-03-30,164106.54
2017-03-31,164482.54
2017-04-03,162467.18000000002
2017-04-04,162241.58000000002
2017-04-05,160151.02000000002
2017-04-06,161820.46000000002
2017-04-07,161775.34000000003
2017-04-10,162136.3
2017-04-11,163640.3
2017-04-12,161158.7
2017-04-13,159323.82
2017-04-14,159323.82
2017-04-17,162374.30000000002
2017-04-18,161988.22000000003
2017-04-19,162426.94
2017-04-20,165903.58000000002
2017-04-21,165021.18
2017-04-24,168973.82
2017-04-25,169851.74000000002
2017-04-26,169799.66000000003
2017-04-27,169903.82
2017-04-28,169591.34000000003
2017-05-01,169926.14
2017-05-02,170007.98000000004
2017-05-03,169851.74000000002
2017-05-04,169993.10000000003
2017-05-05,170603.18000000002
2017-05-08,170595.74000000002
2017-05-09,170446.94
2017-05-10,170722.22
2017-05-11,170461.82
2017-05-12,170193.98000000004
2017-05-15,170960.30000000002
2017-05-16,170871.02000000002
2017-05-17,168170.30000000002
2017-05-18,168713.42
2017-05-19,169688.06000000003
2017-05-22,170499.02000000002
2017-05-23,170826.38000000003
2017-05-24,171176.06000000003
2017-05-25,171934.94
2017-05-26,171927.50000000003
2017-05-29,171927.50000000003
2017-05-30,171801.02000000002
2017-05-31,171726.62000000002
2017-06-01,172946.78000000003
2017-06-02,172946.78000000003
2017-06-05,172946.78000000003
2017-06-06,172946.78000000003
2017-06-07,172946.78000000003
2017-06-08,172946.78000000003
2017-06-09,172946.78000000003
2017-06-12,172946.78000000003
2017-06-13,172946.78000000003
2017-06-14,172946.78000000003
2017-06-15,172946.78000000003
2017-06-16,172946.78000000003
2017-06-19,172946.78000000003
2017-06-20,172946.78000000003
2017-06-21,172946.78000000003
2017-06-22,172946.78000000003
2017-06-23,172946.78000000003
2017-06-26,172946.78000000003
2017-06-27,172946.78000000003
2017-06-28,172946.78000000003
2017-06-29,172946.78000000003
2017-06-30,172946.78000000003
2017-07-03,172946.78000000003
2017-07-04,172946.78000000003
2017-07-05,174414.68
2017-07-06,172506.41
2017-07-07,174773.50000000003
2017-07-10,176143.53999999998
2017-07-11,176747.01
2017-07-12,179275.06000000003
2017-07-13,179748.05
2017-07-14,181460.6
2017-07-17,181558.46000000002
2017-07-18,183026.36
2017-07-19,184314.85
2017-07-20,184608.43
2017-07-21,184510.57000000004
2017-07-24,185521.78999999998
2017-07-25,184950.94
2017-07-26,185684.89
2017-07-27,184282.23
2017-07-28,184102.82000000004
2017-07-31,183156.84
2017-08-01,183662.45
2017-08-02,184265.92
2017-08-03,183401.49000000002
2017-08-04,183809.24000000002
2017-08-07,185195.59
2017-08-08,184820.46000000002
2017-08-09,184526.88
2017-08-10,179780.67
2017-08-11,181762.78
2017-08-14,187681.74
2017-08-15,186204.32
2017-08-16,186646.41000000003
2017-08-17,178378.78
2017-08-18,178148.72000000003
2017-08-21,177704.05
2017-08-22,183225.09
2017-08-23,182090.24
2017-08-24,182124.18
2017-08-25,182236.65999999997
2017-08-28,183792.59
2017-08-29,184673.76
2017-08-30,188556.46000000002
2017-08-31,193013.48
2017-09-01,194168.54
2017-09-04,194168.54
2017-09-05,192193.22000000003
2017-09-06,192578.24
2017-09-07,192076.04
2017-09-08,192226.7
2017-09-11,194402.90000000002
2017-09-12,195708.62
2017-09-13,196344.74
2017-09-14,196177.34000000003
2017-09-15,197114.78000000003
2017-09-18,198520.94
2017-09-19,198520.94
2017-09-20,198520.94
2017-09-21,198520.94
2017-09-22,198520.94
2017-09-25,198520.94
2017-09-26,198520.94
2017-09-27,198520.94
2017-09-28,198520.94
2017-09-29,198520.94
2017-10-02,198520.94
2017-10-03,198520.94
2017-10-04,198520.94
2017-10-05,198520.94
2017-10-06,198520.94
2017-10-09,198520.94
2017-10-10,198520.94
2017-10-11,198520.94
2017-10-12,198520.94
2017-10-13,198520.94
2017-10-16,198520.94
2017-10-17,198520.94
2017-10-18,198520.94
2017-10-19,198520.94
2017-10-20,198520.94
2017-10-23,198520.94
2017-10-24,198520.94
2017-10-25,198520.94
2017-10-26,198520.94
2017-10-27,198520.94
2017-10-30,198520.94
2017-10-31,198520.94
2017-11-01,198520.94
2017-11-02,198520.94
2017-11-03,198520.94
2017-11-06,198520.94
2017-11-07,198520.94
2017-11-08,199453.21999999997
2017-11-09,198539.21999999997
2017-11-10,198411.26
2017-11-13,198466.1
2017-11-14,197808.01999999996
2017-11-15,196820.9
2017-11-16,200294.1
2017-11-17,201427.45999999996
2017-11-20,203218.9
2017-11-21,205814.65999999997
2017-11-22,205467.33999999997
2017-11-23,205467.33999999997
2017-11-24,205577.01999999996
2017-11-27,204790.97999999998
2017-11-28,208702.9
2017-11-29,209562.06
2017-11-30,210000.78
2017-12-01,208922.26
2017-12-04,208008.26
2017-12-05,205522.18
2017-12-06,204352.26
2017-12-07,206088.86
2017-12-08,206344.78
2017-12-11,206216.81999999995
2017-12-12,205449.06
2017-12-13,206893.18
2017-12-14,204187.74
2017-12-15,207660.94
2017-12-18,211061.01999999996
2017-12-19,209141.62
2017-12-20,209598.62
2017-12-21,210640.58
2017-12-22,210183.58
2017-12-25,210183.58
2017-12-26,210293.26
2017-12-27,210110.45999999996
2017-12-28,211115.86
2017-12-29,209068.49999999997
2018-01-01,209068.49999999997
2018-01-02,211316.94
2018-01-03,211682.53999999998
2018-01-04,212249.21999999997
2018-01-05,212852.45999999996
2018-01-08,213272.9
2018-01-09,212889.01999999996
2018-01-10,212907.29999999996
2018-01-11,217294.49999999997
2018-01-12,217294.49999999997
2018-01-15,217294.49999999997
2018-01-16,217294.49999999997
2018-01-17,217294.49999999997
2018-01-18,217294.49999999997
2018-01-19,217294.49999999997
2018-01-22,217294.49999999997
2018-01-23,217294.49999999997
2018-01-24,217294.49999999997
2018-01-25,217294.49999999997
2018-01-26,217294.49999999997
2018-01-29,217294.49999999997
2018-01-30,217294.49999999997
2018-01-31,217294.49999999997
2018-02-01,217294.49999999997
2018-02-02,217294.49999999997
2018-02-05,217294.49999999997
2018-02-06,225882.19999999995
2018-02-07,226323.18999999994
2018-02-08,217364.12999999998
2018-02-09,221305.9
2018-02-12,231168.87
2018-02-13,233589.45
2018-02-14,246746.88
2018-02-15,257331.55
2018-02-16,257383.74000000005
2018-02-19,257383.74000000005
2018-02-20,254007.23999999996
2018-02-21,252666.22999999998
2018-02-22,252408.66999999998
2018-02-23,265024.08999999997
2018-02-26,273026.11000000004
2018-02-27,262525.52
2018-02-28,253880.87999999998
2018-03-01,245715.15999999997
2018-03-02,254206.84999999998
2018-03-05,262101.71999999997
2018-03-06,267309.16
2018-03-07,270886.67
2018-03-08,272517.48
2018-03-09,286343.47000000003
2018-03-12,288455.65
2018-03-13,281829.10000000003
2018-03-14,279150.64
2018-03-15,277089.54
2018-03-16,278217.51
2018-03-19,266611.72
2018-03-20,267647.24
2018-03-21,267955.95999999996
2018-03-22,249557.25999999995
2018-03-23,231576.81999999998
2018-03-26,252978.69
2018-03-27,234968.26
2018-03-28,231189.63999999996
2018-03-29,241625.64
2018-03-30,241625.64
2018-04-02,222382.44
2018-04-03,231561.75000000003
2018-04-04,241855.59000000003
2018-04-05,247222.62999999998
2018-04-06,230161.02000000002
2018-04-09,233143.19
2018-04-10,247618.30999999994
2018-04-11,245983.22999999998
2018-04-12,252877.01
2018-04-13,249244.28000000003
2018-04-16,255784.20999999996
2018-04-17,266996.67999999993
2018-04-18,268485.33
2018-04-19,262767.38999999996
2018-04-20,255169.96
2018-04-23,253934.03999999998
2018-04-24,244051.3
2018-04-25,244226.21000000002
2018-04-26,253033.69
2018-04-27,252930.73000000004
2018-04-30,246760.2
2018-05-01,251643.36000000004
2018-05-02,250172.02000000002
2018-05-03,247981.72
2018-05-04,259271.83999999997
2018-05-07,265059.72
2018-05-08,266410.19
2018-05-09,273030.43
2018-05-10,279321.49
2018-05-11,279901.74
2018-05-14,278741.24
2018-05-15,278787.66000000003
2018-05-16,282199.53
2018-05-17,282199.53
2018-05-18,282199.53
2018-05-21,282199.53
2018-05-22,282199.53
2018-05-23,282199.53
2018-05-24,282199.53
2018-05-25,282199.53
2018-05-28,282199.53
2018-05-29,282199.53
2018-05-30,282199.53
2018-05-31,282199.53
2018-06-01,282199.53
2018-06-04,282199.53
2018-06-05,282199.53
2018-06-06,282199.53
2018-06-07,282199.53
2018-06-08,282199.53
2018-06-11,282199.53
2018-06-12,282199.53
2018-06-13,282199.53
2018-06-14,282199.53
2018-06-15,282199.53
2018-06-18,282199.53
2018-06-19,282199.53
2018-06-20,282199.53
2018-06-21,282199.53
2018-06-22,282199.53
2018-06-25,282199.53
2018-06-26,282199.53
2018-06-27,282199.53
2018-06-28,282199.53
2018-06-29,282199.53
2018-07-02,282199.53
2018-07-03,282199.53
2018-07-04,282199.53
2018-07-05,282199.53
2018-07-06,282199.53
2018-07-09,282199.53
2018-07-10,282199.53
2018-07-11,282199.53
2018-07-12,282199.53
2018-07-13,282199.53
2018-07-16,282199.53
2018-07-17,282199.53
2018-07-18,282199.53
2018-07-19,282199.53
2018-07-20,282199.53
2018-07-23,282199.53
2018-07-24,282199.53
2018-07-25,282199.53
2018-07-26,282199.53
2018-07-27,282199.53
2018-07-30,282199.53
2018-07-31,282199.53
2018-08-01,282199.53
2018-08-02,282199.53
2018-08-03,282199.53
2018-08-06,282199.53
2018-08-07,282199.53
2018-08-08,282199.53
2018-08-09,282199.53
2018-08-10,282199.53
2018-08-13,282199.53
2018-08-14,282199.53
2018-08-15,282199.53
2018-08-16,282199.53
2018-08-17,282199.53
2018-08-20,282199.53
2018-08-21,282199.53
2018-08-22,282199.53
2018-08-23,282199.53
2018-08-24,282199.53
2018-08-27,282199.53
2018-08-28,282199.53
2018-08-29,282199.53
2018-08-30,282199.53
2018-08-31,282199.53
2018-09-03,282199.53
2018-09-04,282199.53
2018-09-05,282199.53
2018-09-06,282199.53
2018-09-07,282199.53
2018-09-10,282199.53
2018-09-11,282199.53
2018-09-12,282199.53
2018-09-13,282199.53
2018-09-14,282199.53
2018-09-17,282199.53
2018-09-18,282199.53
2018-09-19,282199.53
2018-09-20,282199.53
2018-09-21,282199.53
2018-09-24,282199.53
2018-09-25,282199.53
2018-09-26,282199.53
2018-09-27,282199.53
2018-09-28,282199.53
2018-10-01,282199.53
2018-10-02,278204.77999999997
2018-10-03,281676.08
2018-10-04,275973.23
2018-10-05,272116.23000000004
2018-10-08,271317.27999999997
2018-10-09,270593.6599999999
2018-10-10,243879.92999999996
2018-10-11,229053.66999999998
2018-10-12,240622.6
2018-10-15,236995.4200000001
2018-10-16,261555.83000000002
2018-10-17,260475.97999999998
2018-10-18,242247.93999999997
2018-10-19,237669.21999999997
2018-10-22,237702.60000000006
2018-10-23,231921.75999999995
2018-10-24,196554.20000000007
2018-10-25,218566.14000000007
2018-10-26,202909.27000000002
2018-10-29,193387.80000000002
2018-10-30,209067.62000000002
2018-10-31,219672.3
2018-11-01,233918.10000000006
2018-11-02,229033.55000000005
2018-11-05,229337.01
2018-11-06,234836.41000000003
2018-11-07,256182.37
2018-11-08,252670.7
2018-11-09,237984.12000000002
2018-11-12,216572.89
2018-11-13,215130.10000000003
2018-11-14,208664.51000000007
2018-11-15,221551.86
2018-11-16,221863.09000000003
2018-11-19,200479.92
2018-11-20,184308.72999999998
2018-11-21,192145.25
2018-11-22,192145.25
2018-11-23,188544.87000000008
2018-11-26,203200.61000000004
2018-11-27,201753.2
2018-11-28,225340.50000000003
2018-11-29,222996.71999999997
2018-11-30,228642.34999999998
2018-12-03,240481.84999999998
2018-12-04,205111.56000000003
2018-12-05,205111.56000000003
2018-12-06,205839.01
2018-12-07,183097.15000000008
2018-12-10,185540.66000000003
2018-12-11,186115.71000000002
2018-12-12,193413.15000000002
2018-12-13,188329.89000000004
2018-12-14,171541.66000000003
2018-12-17,153086.11000000004
2018-12-18,154474.59000000003
2018-12-19,137054.96
2018-12-20,124266.78
2018-12-21,102773.50000000001
2018-12-24,85311.83000000006
2018-12-25,85311.83000000006
2018-12-26,125999.11000000002
2018-12-27,130062.13000000002
2018-12-28,130646.70000000004
2018-12-31,137439.03000000003
2019-01-01,137439.03000000003
2019-01-02,140734.82000000004
2019-01-03,120642.28
2019-01-04,151207.92000000004
2019-01-07,162216.72999999998
2019-01-08,171917.30000000005
2019-01-09,178322.59999999998
2019-01-10,181800.89000000004
2019-01-11,180634.42000000004
2019-01-14,173297.42000000004
2019-01-15,184369.67000000004
2019-01-16,187511.18
2019-01-17,194716.81000000003
2019-01-18,204224.78999999998
2019-01-21,204224.78999999998
2019-01-22,189365.53
2019-01-23,189093.91999999998
2019-01-24,193428.03999999998
2019-01-25,203222.27
2019-01-28,196098.34000000008
2019-01-29,192202.66000000006
2019-01-30,206666.31
2019-01-31,216110.22000000003
2019-02-01,215671.38000000006
2019-02-04,225463.62000000005
2019-02-05,229544.87999999995
2019-02-06,227825.76000000007
2019-02-07,218419.64999999997
2019-02-08,219831.10000000006
2019-02-11,222667.72000000003
2019-02-12,234544.76
2019-02-13,236592.82000000007
2019-02-14,237515.86000000002
2019-02-15,247068.18000000002
2019-02-18,247068.18000000002
2019-02-19,248093.82
2019-02-20,248432.74
2019-02-21,246525.75999999998
2019-02-22,250188.76
2019-02-25,251696.88
2019-02-26,251857.46000000002
2019-02-27,251535.56
2019-02-28,250373.76
2019-03-01,253957.58000000002
2019-03-04,253260.5
2019-03-05,253272.34000000003
2019-03-06,250132.52
2019-03-07,244464.86000000004
2019-03-08,243501.38000000003
2019-03-11,253188.72000000003
2019-03-12,255726.91999999998
2019-03-13,259600.07999999996
2019-03-14,258942.96
2019-03-15,263061.06
2019-03-18,263858.77999999997
2019-03-19,263923.9
2019-03-20,263183.16000000003
2019-03-21,265437.93999999994
2019-03-22,261595.86
2019-03-25,263142.35000000003
2019-03-26,268164.29000000004
2019-03-27,265699.85
2019-03-28,269596.26999999996
2019-03-29,272019.01999999996
2019-04-01,278042.50999999995
2019-04-02,277233.02
2019-04-03,279048.24
2019-04-04,280740.81000000006
2019-04-05,284003.3
2019-04-08,283439.11
2019-04-09,279170.89
2019-04-10,283905.18
2019-04-11,283365.52
2019-04-12,284616.55
2019-04-15,283561.75999999995
2019-04-16,284224.07
2019-04-17,281035.17000000004
2019-04-18,280053.97000000003
2019-04-19,280053.97000000003
2019-04-22,279195.42000000004
2019-04-23,284493.9
2019-04-24,285450.57
2019-04-25,282629.62
2019-04-26,286088.35
2019-04-29,287805.45
2019-04-30,285843.05
2019-05-01,282629.62
2019-05-02,284224.07
2019-05-03,291043.41
2019-05-06,291509.48
2019-05-07,284371.25
2019-05-08,282752.27
2019-05-09,281329.52999999997
2019-05-10,282188.08
2019-05-13,271174.11
2019-05-14,278455.82999999996
2019-05-15,285969.75000000006
2019-05-16,293602.13
2019-05-17,283736.29000000004
2019-05-20,273872.25999999995
2019-05-21,284090.39
2019-05-22,278858.68
2019-05-23,263897.53
2019-05-24,267469.80000000005
2019-05-27,267469.80000000005
2019-05-28,261490.07
2019-05-29,254088.25999999995
2019-05-30,255168.36999999994
2019-05-31,242583.88
2019-06-03,235659.25000000003
2019-06-04,257936.02
2019-06-05,262242.26999999996
2019-06-06,265757.6
2019-06-07,276637.94999999995
2019-06-10,283838.66
2019-06-11,283312.66
2019-06-12,281044.50999999995
2019-06-13,287745.71
2019-06-14,283185.24000000005
2019-06-17,287849.62
2019-06-18,299032.99
2019-06-19,302067.62
2019-06-20,309424.12999999995
2019-06-21,305771.56999999995
2019-06-24,301650.52999999997
2019-06-25,293422.94000000006
2019-06-26,294377.67
2019-06-27,302096.43
2019-06-28,306695.55999999994
2019-07-01,312797.23
2019-07-02,312082.95999999996
2019-07-03,317286.66000000003
2019-07-04,317286.66000000003
2019-07-05,317464.62999999995
2019-07-08,311584.67
2019-07-09,313820.73
2019-07-10,318047.54999999993
2019-07-11,316049.55999999994
2019-07-12,320911.76999999996
2019-07-15,320235.49999999994
2019-07-16,318313.04000000004
2019-07-17,313967.39999999997
2019-07-18,315706.14
2019-07-19,311155.13
2019-07-22,313450.33999999997
2019-07-23,318215.87
2019-07-24,326519.49
2019-07-25,318711.76999999996
2019-07-26,326604.13999999996
2019-07-29,322987.18
2019-07-30,325211.73
2019-07-31,317322.74000000005
2019-08-01,310470.23
2019-08-02,301064.23000000004
2019-08-05,278479.92
2019-08-06,287954.22000000003
2019-08-07,290427.9
2019-08-08,310127.25
2019-08-09,300494.65
2019-08-12,288739.50000000006
2019-08-13,304114.43000000005
2019-08-14,276290.35000000003
2019-08-15,275112.79000000004
2019-08-16,291526.35
2019-08-19,303781.18
2019-08-20,296584.20999999996
2019-08-21,304753.87
2019-08-22,302777.16
2019-08-23,274251.5200000001
2019-08-26,285943.5900000001
2019-08-27,278896.78
2019-08-28,286137.01
2019-08-29,300782.25
2019-08-30,299049.54
2019-09-02,299049.54
2019-09-03,289239.47
2019-09-04,300000.85
2019-09-05,316159.54
2019-09-06,314622.86000000004
2019-09-09,318546.23
2019-09-10,321641.16
2019-09-11,334327.18000000005
2019-09-12,336810.1
2019-09-13,335508.57999999996
2019-09-16,333891.5399999999
2019-09-17,335626.9
2019-09-18,335469.14
2019-09-19,336080.45999999996
2019-09-20,332235.05999999994
2019-09-23,332392.81999999995
2019-09-24,327600.86
2019-09-25,331604.0199999999
2019-09-26,330263.05999999994
2019-09-27,325826.05999999994
2019-09-30,329198.17999999993
2019-10-01,326279.62
2019-10-02,320186.14
2019-10-03,324011.81999999995
2019-10-04,329198.17999999993
2019-10-07,328113.57999999996
2019-10-08,322789.17999999993
2019-10-09,326200.74
2019-10-10,328941.81999999995
2019-10-11,333536.57999999996
2019-10-14,333497.14
2019-10-15,338091.9
2019-10-16,337184.77999999997
2019-10-17,338151.05999999994
2019-10-18,334640.9
2019-10-21,337855.26
2019-10-22,334936.69999999995
2019-10-23,335646.62
2019-10-24,339176.5
2019-10-25,342114.78
2019-10-28,345762.98
2019-10-29,345762.98
2019-10-30,345762.98
