date,equity
2016-06-28,100533.12000000001
2016-06-29,101989.68000000001
2016-06-30,102941.68000000001
2016-07-01,103227.28
2016-07-04,103227.28
2016-07-05,102875.04
2016-07-06,103417.68000000001
2016-07-07,103531.92
2016-07-08,104845.68000000001
2016-07-11,105236.0
2016-07-12,105712.0
2016-07-13,105597.76
2016-07-14,106016.64
2016-07-15,105854.8
2016-07-18,106207.04
2016-07-19,106083.28
2016-07-20,106692.56
2016-07-21,106387.92
2016-07-22,106740.16
2016-07-25,106654.48
2016-07-26,106568.8
2016-07-27,106730.64
2016-07-28,106997.2
2016-07-29,107130.48
2016-08-01,107368.48
2016-08-02,106721.12000000001
2016-08-03,106882.96
2016-08-04,107054.32
2016-08-05,107511.28
2016-08-08,107330.40000000001
2016-08-09,107501.76
2016-08-10,107358.96
2016-08-11,107768.32
2016-08-12,107663.6
2016-08-15,107968.24
2016-08-16,107330.40000000001
2016-08-17,107378.0
2016-08-18,107463.68000000001
2016-08-19,107425.6
2016-08-22,107577.92
2016-08-23,107777.84000000001
2016-08-24,107178.08
2016-08-25,106997.2
2016-08-26,106882.96
2016-08-29,107178.08
2016-08-30,106825.84000000001
2016-08-31,106654.48
2016-09-01,106797.28
2016-09-02,107206.64
2016-09-05,107206.64
2016-09-06,107482.72
2016-09-07,107463.68000000001
2016-09-08,107016.24
2016-09-09,104769.52
2016-09-12,105997.6
2016-09-13,104931.36
2016-09-14,105093.2
2016-09-15,106111.84000000001
2016-09-16,105864.32
2016-09-19,105750.08
2016-09-20,105892.88
2016-09-21,106825.84000000001
2016-09-22,107492.24
2016-09-23,107044.8
2016-09-26,106378.40000000001
2016-09-27,107044.8
2016-09-28,107149.52
2016-09-29,106359.36
2016-09-30,106921.04
2016-10-03,106702.08
2016-10-04,106359.36
2016-10-05,106502.16
2016-10-06,106568.8
2016-10-07,106168.96
2016-10-10,106568.8
2016-10-11,105388.32
2016-10-12,105569.2
2016-10-13,105312.16
2016-10-14,105350.24
2016-10-17,105064.64
2016-10-18,105664.40000000001
2016-10-19,105835.76
2016-10-20,105712.0
2016-10-21,105978.56
2016-10-24,106616.40000000001
2016-10-25,106073.76
2016-10-26,105569.2
2016-10-27,105207.44
2016-10-28,104817.12000000001
2016-10-31,104779.04
2016-11-01,104160.24
2016-11-02,103598.56
2016-11-03,103027.36
2016-11-04,102998.8
2016-11-07,104988.48
2016-11-08,105388.32
2016-11-09,106026.16
2016-11-10,105626.32
2016-11-11,105616.8
2016-11-14,105197.92
2016-11-15,105883.36
2016-11-16,106197.52
2016-11-17,106806.8
2016-11-18,106464.08
2016-11-21,107197.12000000001
2016-11-22,107473.2
2016-11-23,107368.48
2016-11-24,107368.48
2016-11-25,107749.28
2016-11-28,107330.40000000001
2016-11-29,107644.56
2016-11-30,106749.68000000001
2016-12-01,105892.88
2016-12-02,106026.16
2016-12-05,106597.36
2016-12-06,106892.48
2016-12-07,108015.84000000001
2016-12-08,108168.16
2016-12-09,108739.36
2016-12-12,108415.68000000001
2016-12-13,109167.76
2016-12-14,108663.2
2016-12-15,108920.24
2016-12-16,108729.84000000001
2016-12-19,108996.40000000001
2016-12-20,109310.56
2016-12-21,109072.56
2016-12-22,108748.88
2016-12-23,108891.68000000001
2016-12-26,108891.68000000001
2016-12-27,109177.28
2016-12-28,108510.88
2016-12-29,108529.92
2016-12-30,107930.16
2017-01-02,107930.16
2017-01-03,108644.16
2017-01-04,109367.68000000001
2017-01-05,109520.0
2017-01-06,110129.28
2017-01-09,110119.76
2017-01-10,110157.84000000001
2017-01-11,110224.48
2017-01-12,110129.28
2017-01-13,110414.88
2017-01-16,110414.88
2017-01-17,110272.08
2017-01-18,110443.44
2017-01-19,110176.88
2017-01-20,110310.16
2017-01-23,110386.32
2017-01-24,110976.56
2017-01-25,111678.193857008
2017-01-26,111678.193857008
2017-01-27,111678.193857008
2017-01-30,111678.193857008
2017-01-31,111678.193857008
2017-02-01,111678.193857008
2017-02-02,111678.193857008
2017-02-03,111678.193857008
2017-02-06,111678.193857008
2017-02-07,111678.193857008
2017-02-08,111678.193857008
2017-02-09,111678.193857008
2017-02-10,111678.193857008
2017-02-13,111678.193857008
2017-02-14,111678.193857008
2017-02-15,111678.193857008
2017-02-16,111678.193857008
2017-02-17,111678.193857008
2017-02-20,111678.193857008
2017-02-21,111678.193857008
2017-02-22,111678.193857008
2017-02-23,111678.193857008
2017-02-24,111678.193857008
2017-02-27,111678.193857008
2017-02-28,111678.193857008
2017-03-01,111678.193857008
2017-03-02,111678.193857008
2017-03-03,111678.193857008
2017-03-06,111678.193857008
2017-03-07,111678.193857008
2017-03-08,111678.193857008
2017-03-09,111678.193857008
2017-03-10,111678.193857008
2017-03-13,111678.193857008
2017-03-14,111678.193857008
2017-03-15,111678.193857008
2017-03-16,111678.193857008
2017-03-17,111678.193857008
2017-03-20,111678.193857008
2017-03-21,111678.193857008
2017-03-22,111678.193857008
2017-03-23,111678.193857008
2017-03-24,111678.193857008
2017-03-27,111678.193857008
2017-03-28,111678.193857008
2017-03-29,111678.193857008
2017-03-30,111678.193857008
2017-03-31,111678.193857008
2017-04-03,111678.193857008
2017-04-04,111678.193857008
2017-04-05,111678.193857008
2017-04-06,111678.193857008
2017-04-07,111678.193857008
2017-04-10,111678.193857008
2017-04-11,111678.193857008
2017-04-12,111678.193857008
2017-04-13,111678.193857008
2017-04-14,111678.193857008
2017-04-17,111678.193857008
2017-04-18,111678.193857008
2017-04-19,111678.193857008
2017-04-20,111678.193857008
2017-04-21,111678.193857008
2017-04-24,111678.193857008
2017-04-25,111678.193857008
