date,equity
2016-10-28,99831.16
2016-10-31,100136.68000000001
2016-11-01,99107.56
2016-11-02,98062.36
2016-11-03,97612.12000000001
2016-11-04,98166.88
2016-11-07,100160.8
2016-11-08,100418.08
2016-11-09,103047.16
2016-11-10,104478.28000000001
2016-11-11,106536.52
2016-11-14,107814.88
2016-11-15,108040.0
2016-11-16,108136.48000000001
2016-11-17,108626.92000000001
2016-11-18,109093.24
2016-11-21,109567.6
2016-11-22,110419.84000000001
2016-11-23,110998.72000000002
2016-11-24,110998.72000000002
2016-11-25,111320.32
2016-11-28,110138.44
2016-11-29,110058.04000000001
2016-11-30,109607.8
2016-12-01,109069.12000000001
2016-12-02,109053.04000000001
2016-12-05,110701.24
2016-12-06,111706.24
2016-12-07,112622.8
2016-12-08,114182.56
2016-12-09,114383.56
2016-12-12,113314.24
2016-12-13,113306.2
2016-12-14,112132.36
2016-12-15,112872.04000000001
2016-12-16,112663.0
2016-12-19,113298.16
2016-12-20,114110.2
2016-12-21,113483.08
2016-12-22,112638.88
2016-12-23,113153.44
2016-12-26,113153.44
2016-12-27,113595.64
2016-12-28,112566.52
2016-12-29,112695.16
2016-12-30,112309.24
2017-01-02,112309.24
2017-01-03,112799.68000000001
2017-01-04,114423.76
2017-01-05,113257.96
2017-01-06,112920.28000000001
2017-01-09,112261.0
2017-01-10,113193.64
2017-01-11,113378.56
2017-01-12,112606.72000000002
2017-01-13,113314.24
2017-01-16,113314.24
2017-01-17,111947.44
2017-01-18,112293.16
2017-01-19,111505.24
2017-01-20,111963.52
2017-01-23,111593.68000000001
2017-01-24,113024.8
2017-01-25,114037.84000000001
2017-01-26,113603.68000000001
2017-01-27,113257.96
2017-01-30,111907.24
2017-01-31,112526.32
2017-02-01,112590.64
2017-02-02,112269.04000000001
2017-02-03,113724.28000000001
2017-02-06,112992.64
2017-02-07,112574.56
2017-02-08,112389.64
2017-02-09,113772.52
2017-02-10,114517.340127976
2017-02-13,114517.340127976
2017-02-14,114517.340127976
2017-02-15,114517.340127976
2017-02-16,114517.340127976
2017-02-17,114517.340127976
2017-02-20,114517.340127976
2017-02-21,114517.340127976
2017-02-22,114517.340127976
2017-02-23,114517.340127976
2017-02-24,114517.340127976
2017-02-27,114517.340127976
2017-02-28,114517.340127976
2017-03-01,114517.340127976
2017-03-02,114517.340127976
2017-03-03,114517.340127976
2017-03-06,114517.340127976
2017-03-07,114517.340127976
2017-03-08,114517.340127976
2017-03-09,114517.340127976
2017-03-10,114517.340127976
2017-03-13,114517.340127976
2017-03-14,114517.340127976
2017-03-15,114517.340127976
2017-03-16,114517.340127976
2017-03-17,114517.340127976
2017-03-20,114517.340127976
2017-03-21,114517.340127976
2017-03-22,114728.200127976
2017-03-23,115239.13012797601
2017-03-24,115360.780127976
2017-03-27,115506.760127976
2017-03-28,116285.320127976
2017-03-29,116617.83012797599
2017-03-30,117372.060127976
2017-03-31,117574.810127976
2017-04-03,116479.96012797601
2017-04-04,116358.310127976
2017-04-05,115222.91012797599
2017-04-06,116131.230127976
2017-04-07,116106.900127976
2017-04-10,116301.54012797601
2017-04-11,117120.650127976
2017-04-12,115766.280127976
2017-04-13,114776.860127976
2017-04-14,114776.860127976
2017-04-17,115912.260127976
2017-04-18,115952.810127976
2017-04-19,116325.870127976
2017-04-20,117574.810127976
2017-04-21,117347.730127976
2017-04-24,118588.560127976
2017-04-25,119545.54012797601
2017-04-26,120088.91012797599
2017-04-27,120088.91012797599
2017-04-28,118734.54012797601
2017-05-01,119237.360127976
2017-05-02,118750.760127976
2017-05-03,118158.730127976
2017-05-04,117972.200127976
2017-05-05,118604.780127976
2017-05-08,118191.170127976
2017-05-09,118183.060127976
2017-05-10,118791.310127976
2017-05-11,118118.180127976
2017-05-12,117591.030127976
2017-05-15,118320.930127976
2017-05-16,118385.810127976
2017-05-17,115677.070127976
2017-05-18,115993.360127976
2017-05-19,116423.190127976
2017-05-22,117144.980127976
2017-05-23,117469.38012797601
2017-05-24,117550.480127976
2017-05-25,117623.470127976
2017-05-26,117566.700127976
2017-05-29,117566.700127976
2017-05-30,116788.140127976
2017-05-31,116698.930127976
2017-06-01,118604.780127976
2017-06-02,119237.360127976
2017-06-05,118645.33012797599
2017-06-06,118531.79012797601
2017-06-07,118637.220127976
2017-06-08,119991.590127976
2017-06-09,120507.623392514
2017-06-12,120507.623392514
2017-06-13,120507.623392514
2017-06-14,120507.623392514
2017-06-15,120507.623392514
2017-06-16,120507.623392514
2017-06-19,120507.623392514
2017-06-20,120507.623392514
2017-06-21,120507.623392514
2017-06-22,120507.623392514
2017-06-23,120507.623392514
2017-06-26,120507.623392514
2017-06-27,120507.623392514
2017-06-28,120507.623392514
2017-06-29,120507.623392514
2017-06-30,120507.623392514
2017-07-03,120507.623392514
2017-07-04,120507.623392514
2017-07-05,120507.623392514
2017-07-06,120507.623392514
2017-07-07,120507.623392514
2017-07-10,120507.623392514
2017-07-11,120507.623392514
2017-07-12,120507.623392514
2017-07-13,120507.623392514
2017-07-14,120507.623392514
2017-07-17,120507.623392514
2017-07-18,120507.623392514
2017-07-19,120507.623392514
2017-07-20,120507.623392514
2017-07-21,120507.623392514
2017-07-24,120507.623392514
2017-07-25,120507.623392514
2017-07-26,120507.623392514
2017-07-27,120507.623392514
2017-07-28,120507.623392514
