date,equity
2016-06-28,100855.10999999999
2016-06-29,102499.26999999999
2016-06-30,104059.01999999999
2016-07-01,104238.84999999999
2016-07-04,104238.84999999999
2016-07-05,103218.59
2016-07-06,103673.67
2016-07-07,103827.80999999998
2016-07-08,105512.34
2016-07-11,106018.8
2016-07-12,106936.3
2016-07-13,106675.73
2016-07-14,106884.92
2016-07-15,106881.25
2016-07-18,107002.35999999999
2016-07-19,106833.54
2016-07-20,107218.88999999998
2016-07-21,106679.4
2016-07-22,107417.06999999999
2016-07-25,107079.43
2016-07-26,107571.20999999999
2016-07-27,107211.55
2016-07-28,107516.15999999999
2016-07-29,107831.78
2016-08-01,107585.88999999998
2016-08-02,106532.59999999999
2016-08-03,107119.8
2016-08-04,107134.48
2016-08-05,108022.62
2016-08-08,108040.97
2016-08-09,108007.93999999999
2016-08-10,107732.68999999999
2016-08-11,107945.55
2016-08-12,107784.06999999999
2016-08-15,108481.37
2016-08-16,107585.88999999998
2016-08-17,107417.06999999999
2016-08-18,108051.98
2016-08-19,108077.67
2016-08-22,108165.75
2016-08-23,108618.170271728
2016-08-24,108618.170271728
2016-08-25,108618.170271728
2016-08-26,108618.170271728
2016-08-29,108618.170271728
2016-08-30,108618.170271728
2016-08-31,108618.170271728
2016-09-01,108618.170271728
2016-09-02,108618.170271728
2016-09-05,108618.170271728
2016-09-06,108618.170271728
2016-09-07,108618.170271728
2016-09-08,108618.170271728
2016-09-09,108618.170271728
2016-09-12,110140.35027172799
2016-09-13,108434.91027172799
2016-09-14,108176.85027172799
2016-09-15,109126.810271728
2016-09-16,108651.830271728
2016-09-19,109354.950271728
2016-09-20,108898.670271728
2016-09-21,110132.870271728
2016-09-22,111258.610271728
2016-09-23,110488.170271728
2016-09-26,109998.230271728
2016-09-27,110091.730271728
2016-09-28,110903.310271728
2016-09-29,109829.930271728
2016-09-30,110641.510271728
2016-10-03,109953.35027172799
2016-10-04,109560.650271728
2016-10-05,109960.830271728
2016-10-06,110185.230271728
2016-10-07,109482.110271728
2016-10-10,110260.030271728
2016-10-11,108715.41027172799
2016-10-12,109055.75027172799
2016-10-13,108711.670271728
2016-10-14,108621.91027172799
2016-10-17,108591.990271728
2016-10-18,109123.070271728
2016-10-19,109549.430271728
2016-10-20,109182.91027172799
2016-10-21,109134.290271728
2016-10-24,109560.650271728
2016-10-25,108898.670271728
2016-10-26,108401.25027172799
2016-10-27,107660.730271728
2016-10-28,107522.35027172799
2016-10-31,108135.710271728
2016-11-01,107125.91027172799
2016-11-02,106243.270271728
2016-11-03,106082.450271728
2016-11-04,106232.050271728
2016-11-07,108128.230271728
2016-11-08,108356.370271728
2016-11-09,110031.890271728
2016-11-10,110447.030271728
2016-11-11,111368.10532346
2016-11-14,111368.10532346
2016-11-15,111368.10532346
2016-11-16,111368.10532346
2016-11-17,111368.10532346
2016-11-18,111368.10532346
2016-11-21,111368.10532346
2016-11-22,111368.10532346
2016-11-23,111368.10532346
2016-11-24,111368.10532346
2016-11-25,111368.10532346
2016-11-28,111368.10532346
2016-11-29,111368.10532346
2016-11-30,111368.10532346
2016-12-01,111368.10532346
2016-12-02,111368.10532346
2016-12-05,111368.10532346
2016-12-06,111368.10532346
2016-12-07,111368.10532346
2016-12-08,111368.10532346
2016-12-09,111368.10532346
2016-12-12,111368.10532346
2016-12-13,111368.10532346
2016-12-14,111368.10532346
2016-12-15,111368.10532346
2016-12-16,111368.10532346
2016-12-19,111368.10532346
2016-12-20,111368.10532346
2016-12-21,111368.10532346
2016-12-22,111368.10532346
2016-12-23,111368.10532346
2016-12-26,111368.10532346
2016-12-27,111368.10532346
2016-12-28,111368.10532346
2016-12-29,111368.10532346
2016-12-30,111368.10532346
2017-01-02,111368.10532346
2017-01-03,111368.10532346
2017-01-04,111368.10532346
2017-01-05,111368.10532346
2017-01-06,111368.10532346
2017-01-09,111368.10532346
2017-01-10,111368.10532346
2017-01-11,111368.10532346
2017-01-12,111368.10532346
2017-01-13,111368.10532346
2017-01-16,111368.10532346
2017-01-17,111368.10532346
2017-01-18,111368.10532346
2017-01-19,111368.10532346
2017-01-20,111368.10532346
2017-01-23,111368.10532346
2017-01-24,111368.10532346
2017-01-25,111368.10532346
2017-01-26,111368.10532346
2017-01-27,111368.10532346
2017-01-30,111368.10532346
2017-01-31,111368.10532346
2017-02-01,111368.10532346
2017-02-02,111368.10532346
2017-02-03,111368.10532346
2017-02-06,111368.10532346
2017-02-07,111368.10532346
2017-02-08,111368.10532346
2017-02-09,111368.10532346
2017-02-10,111368.10532346
2017-02-13,111368.10532346
2017-02-14,111368.10532346
2017-02-15,111368.10532346
2017-02-16,111368.10532346
2017-02-17,111368.10532346
2017-02-20,111368.10532346
2017-02-21,111368.10532346
2017-02-22,111368.10532346
2017-02-23,111368.10532346
2017-02-24,111368.10532346
2017-02-27,111368.10532346
2017-02-28,111368.10532346
2017-03-01,111368.10532346
2017-03-02,111368.10532346
2017-03-03,111368.10532346
2017-03-06,111368.10532346
2017-03-07,111368.10532346
2017-03-08,111368.10532346
2017-03-09,111368.10532346
2017-03-10,111368.10532346
2017-03-13,111368.10532346
2017-03-14,111368.10532346
2017-03-15,111368.10532346
2017-03-16,111368.10532346
2017-03-17,111368.10532346
2017-03-20,111368.10532346
2017-03-21,111368.10532346
2017-03-22,111711.10532346
2017-03-23,111937.48532345999
2017-03-24,111851.73532345999
2017-03-27,111700.81532345999
2017-03-28,112414.25532345999
2017-03-29,112736.67532345999
2017-03-30,113244.31532345999
2017-03-31,113275.18532346
2017-04-03,112753.82532345998
2017-04-04,112613.19532346
2017-04-05,111875.74532345998
2017-04-06,112692.08532345999
2017-04-07,112551.45532346
2017-04-10,112805.27532346
2017-04-11,113374.65532345999
2017-04-12,112187.87532346
2017-04-13,111124.57532345998
2017-04-14,111124.57532345998
2017-04-17,112294.20532346
2017-04-18,112273.62532346
2017-04-19,112458.84532345999
2017-04-20,113405.52532346
2017-04-21,113161.99532345998
2017-04-24,114328.19532346
2017-04-25,114918.15532345999
2017-04-26,114925.01532345999
2017-04-27,115017.62532346
2017-04-28,114022.92532345999
2017-05-01,114328.19532346
2017-05-02,114173.84532345999
2017-05-03,113769.10532346
2017-05-04,113635.33532345999
2017-05-05,114461.96532346
2017-05-08,114046.93532346
2017-05-09,113823.98532345999
2017-05-10,114441.38532346
2017-05-11,113837.70532346
2017-05-12,113439.82532345998
2017-05-15,114053.79532346
2017-05-16,113930.31532345999
2017-05-17,111961.49532345998
2017-05-18,112030.09532345999
