date,equity
2016-06-27,98407.13999999998
2016-06-28,100021.81999999999
2016-06-29,101680.13999999998
2016-06-30,103316.63999999998
2016-07-01,103491.19999999998
2016-07-04,103491.19999999998
2016-07-05,102160.18
2016-07-06,102596.57999999999
2016-07-07,102945.69999999998
2016-07-08,104713.12
2016-07-11,105258.62
2016-07-12,106087.78
2016-07-13,106022.31999999999
2016-07-14,106655.09999999999
2016-07-15,106567.81999999999
2016-07-18,106851.48
2016-07-19,106676.91999999998
2016-07-20,107004.21999999999
2016-07-21,107091.5
2016-07-22,107658.81999999999
2016-07-25,107484.26
2016-07-26,107898.84
2016-07-27,107440.62
2016-07-28,107462.43999999999
2016-07-29,107178.78
2016-08-01,106916.93999999999
2016-08-02,106175.06
2016-08-03,106764.19999999998
2016-08-04,106589.63999999998
2016-08-05,107746.09999999999
2016-08-08,107724.28
2016-08-09,107615.18
2016-08-10,107375.15999999999
2016-08-11,108095.21999999999
2016-08-12,107855.19999999998
2016-08-15,108487.98
2016-08-16,108095.21999999999
2016-08-17,107855.19999999998
2016-08-18,108073.4
2016-08-19,108313.41999999998
2016-08-22,108313.41999999998
2016-08-23,108749.81999999999
2016-08-24,108117.04
2016-08-25,108029.76
2016-08-26,107811.56
2016-08-29,108313.41999999998
2016-08-30,108487.98
2016-08-31,108117.04
2016-09-01,107920.65999999999
2016-09-02,108553.43999999999
2016-09-05,108553.43999999999
2016-09-06,108400.69999999998
2016-09-07,108597.07999999999
2016-09-08,108313.41999999998
2016-09-09,105956.85999999999
2016-09-12,107266.06
2016-09-13,105847.76
2016-09-14,105520.45999999998
2016-09-15,106436.9
2016-09-16,105913.21999999999
2016-09-19,106218.69999999998
2016-09-20,106109.59999999999
2016-09-21,107135.13999999998
2016-09-22,107767.91999999998
2016-09-23,107200.59999999999
2016-09-26,106415.07999999999
2016-09-27,107069.68
2016-09-28,107549.71999999999
2016-09-29,107026.04
2016-09-30,108007.93999999999
2016-10-03,107658.81999999999
2016-10-04,107353.34
2016-10-05,107964.29999999999
2016-10-06,108095.21999999999
2016-10-07,107680.63999999998
2016-10-10,108051.57999999999
2016-10-11,106829.65999999999
2016-10-12,107026.04
2016-10-13,106676.91999999998
2016-10-14,106655.09999999999
2016-10-17,106349.62
2016-10-18,106807.84
2016-10-19,107113.31999999999
2016-10-20,106982.4
2016-10-21,107004.21999999999
2016-10-24,107375.15999999999
2016-10-25,106873.29999999999
2016-10-26,107484.26
2016-10-27,106829.65999999999
2016-10-28,106589.63999999998
2016-10-31,106829.65999999999
2016-11-01,106305.98
2016-11-02,105913.21999999999
2016-11-03,105498.63999999998
2016-11-04,105367.71999999999
2016-11-07,107549.71999999999
2016-11-08,107920.65999999999
2016-11-09,109728.72334157198
2016-11-10,109728.72334157198
2016-11-11,109728.72334157198
2016-11-14,109728.72334157198
2016-11-15,109728.72334157198
2016-11-16,109728.72334157198
2016-11-17,109728.72334157198
2016-11-18,109728.72334157198
2016-11-21,109728.72334157198
2016-11-22,109728.72334157198
2016-11-23,109728.72334157198
2016-11-24,109728.72334157198
2016-11-25,109728.72334157198
2016-11-28,109728.72334157198
2016-11-29,109728.72334157198
2016-11-30,109728.72334157198
2016-12-01,109728.72334157198
2016-12-02,109728.72334157198
2016-12-05,109728.72334157198
2016-12-06,109728.72334157198
2016-12-07,109728.72334157198
2016-12-08,109728.72334157198
2016-12-09,109728.72334157198
2016-12-12,109728.72334157198
2016-12-13,109728.72334157198
2016-12-14,109728.72334157198
2016-12-15,109728.72334157198
2016-12-16,109728.72334157198
2016-12-19,109728.72334157198
2016-12-20,109728.72334157198
2016-12-21,109728.72334157198
2016-12-22,109728.72334157198
2016-12-23,109728.72334157198
2016-12-26,109728.72334157198
2016-12-27,109728.72334157198
2016-12-28,109728.72334157198
2016-12-29,109728.72334157198
2016-12-30,109728.72334157198
2017-01-02,109728.72334157198
2017-01-03,109728.72334157198
2017-01-04,109728.72334157198
2017-01-05,109728.72334157198
2017-01-06,109728.72334157198
2017-01-09,109728.72334157198
2017-01-10,109728.72334157198
2017-01-11,109728.72334157198
2017-01-12,109728.72334157198
2017-01-13,109728.72334157198
2017-01-16,109728.72334157198
2017-01-17,109728.72334157198
2017-01-18,109728.72334157198
2017-01-19,109728.72334157198
2017-01-20,109728.72334157198
2017-01-23,109728.72334157198
2017-01-24,110585.52334157198
2017-01-25,111401.52334157197
2017-01-26,111319.92334157198
2017-01-27,110911.92334157196
