date,equity
2016-05-02,100602.0
2016-05-03,99802.2
2016-05-04,99260.4
2016-05-05,99234.59999999999
2016-05-06,99681.79999999999
2016-05-09,99922.59999999999
2016-05-10,101083.6
2016-05-11,100309.59999999999
2016-05-12,99931.2
2016-05-13,99621.6
2016-05-16,100679.4
2016-05-17,99604.4
2016-05-18,99905.4
2016-05-19,99466.79999999999
2016-05-20,100395.59999999999
2016-05-23,100283.8
2016-05-24,101995.2
2016-05-25,102614.4
2016-05-26,102872.4
2016-05-27,103328.2
2016-05-30,103328.2
2016-05-31,103500.2
2016-06-01,103508.8
2016-06-02,103689.4
2016-06-03,103276.6
2016-06-06,103594.79999999999
2016-06-07,103371.2
2016-06-08,103526.0
2016-06-09,103379.79999999999
2016-06-10,102373.6
2016-06-13,101651.2
2016-06-14,101651.2
2016-06-15,101401.79999999999
2016-06-16,101659.79999999999
2016-06-17,100645.0
2016-06-20,101178.2
2016-06-21,101453.4
2016-06-22,101247.0
2016-06-23,102476.79999999999
2016-06-24,98873.4
2016-06-27,97213.6
2016-06-28,99011.0
2016-06-29,100498.8
2016-06-30,101487.8
2016-07-01,101917.8
2016-07-04,101917.8
2016-07-05,101393.2
2016-07-06,102098.4
2016-07-07,102356.4
2016-07-08,103706.6
2016-07-11,104214.0
2016-07-12,104661.2
2016-07-13,104446.2
2016-07-14,105056.79999999999
2016-07-15,104910.59999999999
2016-07-18,105504.0
2016-07-19,105177.2
2016-07-20,106226.4
2016-07-21,106020.0
2016-07-22,106398.4
2016-07-25,106407.0
2016-07-26,106510.2
2016-07-27,107146.6
2016-07-28,107464.79999999999
2016-07-29,107671.2
2016-08-01,108161.4
2016-08-02,107447.59999999999
2016-08-03,107757.2
2016-08-04,108023.8
2016-08-05,108918.2
2016-08-08,108806.4
2016-08-09,109030.0
2016-08-10,108789.2
2016-08-11,109184.79999999999
2016-08-12,109253.6
2016-08-15,109657.8
2016-08-16,109133.2
2016-08-17,109296.6
2016-08-18,109322.4
2016-08-19,109296.6
2016-08-22,109374.0
2016-08-23,109537.4
2016-08-24,108926.79999999999
2016-08-25,108780.59999999999
2016-08-26,108918.2
2016-08-29,109047.2
2016-08-30,108737.59999999999
2016-08-31,108643.0
2016-09-01,108883.8
2016-09-02,109184.79999999999
2016-09-05,109184.79999999999
2016-09-06,109778.2
2016-09-07,109829.79999999999
2016-09-08,109279.4
2016-09-09,106905.8
