date,equity
2016-06-28,100053.5
2016-06-29,101738.75000000001
2016-06-30,103370.5
2016-07-01,103424.0
2016-07-04,103424.0
2016-07-05,101551.50000000001
2016-07-06,101979.5
2016-07-07,102220.25000000001
2016-07-08,104761.5
2016-07-11,105269.75000000001
2016-07-12,107168.99999999999
2016-07-13,107463.24999999999
2016-07-14,108426.25000000001
2016-07-15,108800.74999999999
2016-07-18,109523.0
2016-07-19,108881.0
2016-07-20,108934.5
2016-07-21,108265.75
2016-07-22,108533.25
2016-07-25,108372.75
2016-07-26,109202.0
2016-07-27,109335.75
2016-07-28,109175.24999999999
2016-07-29,108613.50000000001
2016-08-01,108025.0
2016-08-02,107704.0
2016-08-03,107998.25
2016-08-04,108426.25000000001
2016-08-05,108800.74999999999
2016-08-08,109014.75
2016-08-09,108667.0
2016-08-10,108693.75
2016-08-11,109175.24999999999
2016-08-12,107998.25
2016-08-15,109095.00000000001
2016-08-16,108533.25
2016-08-17,108426.25000000001
2016-08-18,109121.75
2016-08-19,109282.25000000001
2016-08-22,109121.75
2016-08-23,110000.99731755
2016-08-24,110000.99731755
2016-08-25,110000.99731755
2016-08-26,110000.99731755
2016-08-29,110000.99731755
2016-08-30,110000.99731755
2016-08-31,110000.99731755
2016-09-01,110000.99731755
2016-09-02,110000.99731755
2016-09-05,110000.99731755
2016-09-06,110000.99731755
2016-09-07,110000.99731755
2016-09-08,110000.99731755
2016-09-09,110000.99731755
2016-09-12,111707.77731755
2016-09-13,109637.25731755
2016-09-14,109385.43731755001
2016-09-15,110084.93731755001
2016-09-16,109637.25731755
2016-09-19,109805.13731755
2016-09-20,109469.37731755
2016-09-21,111148.17731755
2016-09-22,111483.93731755001
2016-09-23,110924.33731755
2016-09-26,110420.69731755
2016-09-27,110756.45731755
2016-09-28,112015.55731755
2016-09-29,111148.17731755
2016-09-30,111959.59731755
2016-10-03,111875.65731755
2016-10-04,110308.77731755
2016-10-05,111064.23731755
2016-10-06,111959.59731755
2016-10-07,109889.07731755
2016-10-10,110532.61731755
2016-10-11,109021.69731755
2016-10-12,108825.83731755
2016-10-13,108266.23731755
2016-10-14,108601.99731755
2016-10-17,108713.91731755
2016-10-18,109693.21731755
2016-10-19,110476.65731755
2016-10-20,110420.69731755
2016-10-21,110336.75731755
2016-10-24,110616.55731755
2016-10-25,109581.29731755
2016-10-26,109441.39731755
2016-10-27,109301.49731755
2016-10-28,109581.29731755
2016-10-31,109581.29731755
2016-11-01,108993.71731755
2016-11-02,108406.13731755
2016-11-03,108434.11731755
2016-11-04,108797.85731755
2016-11-07,110448.67731755
2016-11-08,110812.41731755
2016-11-09,113103.167248414
2016-11-10,113103.167248414
2016-11-11,113103.167248414
2016-11-14,113103.167248414
2016-11-15,113103.167248414
2016-11-16,113103.167248414
2016-11-17,113103.167248414
2016-11-18,113103.167248414
2016-11-21,113103.167248414
2016-11-22,113103.167248414
