date,equity
2016-06-27,98841.5
2016-06-28,100973.14
2016-06-29,102965.76000000001
2016-06-30,104355.96
2016-07-01,103892.56
2016-07-04,103892.56
2016-07-05,102548.70000000001
2016-07-06,102780.40000000001
2016-07-07,102919.42
2016-07-08,104587.65999999999
2016-07-11,105097.40000000001
2016-07-12,106209.56
2016-07-13,106209.56
2016-07-14,107090.02
2016-07-15,106951.0
2016-07-18,107229.04
2016-07-19,107275.38
2016-07-20,107460.74
2016-07-21,106997.34000000001
2016-07-22,107553.42
2016-07-25,107368.06
2016-07-26,107460.74
2016-07-27,107414.40000000001
2016-07-28,107599.76000000001
2016-07-29,107460.74
2016-08-01,107090.02
2016-08-02,106441.26000000001
2016-08-03,107368.06
2016-08-04,107136.36
2016-08-05,108897.28000000001
2016-08-08,108989.96
2016-08-09,109082.64
2016-08-10,108341.20000000001
2016-08-11,108526.56
2016-08-12,108248.52
2016-08-15,108897.28000000001
2016-08-16,108665.58
2016-08-17,108989.96
2016-08-18,108897.28000000001
2016-08-19,108850.94
2016-08-22,108850.94
2016-08-23,108989.96
2016-08-24,108943.62
2016-08-25,109128.98
2016-08-26,109221.65999999999
2016-08-29,109959.688551148
2016-08-30,109959.688551148
2016-08-31,109959.688551148
2016-09-01,109959.688551148
2016-09-02,109959.688551148
2016-09-05,109959.688551148
2016-09-06,109959.688551148
2016-09-07,109959.688551148
2016-09-08,109959.688551148
2016-09-09,109959.688551148
2016-09-12,109959.688551148
2016-09-13,109959.688551148
2016-09-14,109959.688551148
2016-09-15,109959.688551148
2016-09-16,109959.688551148
2016-09-19,109959.688551148
2016-09-20,109335.87855114801
2016-09-21,109959.688551148
2016-09-22,110129.81855114801
2016-09-23,109619.42855114801
2016-09-26,108088.258551148
2016-09-27,108882.198551148
2016-09-28,109392.588551148
2016-09-29,108031.54855114801
2016-09-30,109279.168551148
2016-10-03,108825.48855114801
2016-10-04,109222.45855114801
2016-10-05,110696.918551148
2016-10-06,110753.62855114801
2016-10-07,110753.62855114801
2016-10-10,111264.01855114801
2016-10-11,110299.948551148
2016-10-12,110299.948551148
2016-10-13,109392.588551148
2016-10-14,109902.978551148
2016-10-17,109449.29855114801
2016-10-18,110186.528551148
2016-10-19,110980.468551148
2016-10-20,110867.04855114801
2016-10-21,110923.758551148
2016-10-24,111207.308551148
2016-10-25,111150.59855114801
2016-10-26,111717.698551148
2016-10-27,111944.538551148
2016-10-28,111547.56855114801
2016-10-31,111377.438551148
2016-11-01,110980.468551148
2016-11-02,110356.65855114801
2016-11-03,110470.078551148
2016-11-04,110186.528551148
2016-11-07,112394.60808631401
2016-11-08,112394.60808631401
2016-11-09,112394.60808631401
2016-11-10,112394.60808631401
2016-11-11,112394.60808631401
2016-11-14,112394.60808631401
2016-11-15,112394.60808631401
2016-11-16,112394.60808631401
2016-11-17,112394.60808631401
2016-11-18,112394.60808631401
2016-11-21,112394.60808631401
2016-11-22,112394.60808631401
2016-11-23,112394.60808631401
2016-11-24,112394.60808631401
2016-11-25,112394.60808631401
2016-11-28,112394.60808631401
2016-11-29,112394.60808631401
2016-11-30,112394.60808631401
2016-12-01,112394.60808631401
2016-12-02,112394.60808631401
2016-12-05,112394.60808631401
2016-12-06,112394.60808631401
2016-12-07,112394.60808631401
2016-12-08,112394.60808631401
2016-12-09,112394.60808631401
2016-12-12,112394.60808631401
2016-12-13,112394.60808631401
2016-12-14,112394.60808631401
2016-12-15,112394.60808631401
2016-12-16,112394.60808631401
2016-12-19,112394.60808631401
2016-12-20,112394.60808631401
2016-12-21,112394.60808631401
2016-12-22,112394.60808631401
2016-12-23,112394.60808631401
2016-12-26,112394.60808631401
2016-12-27,112394.60808631401
2016-12-28,112394.60808631401
2016-12-29,112394.60808631401
2016-12-30,112394.60808631401
2017-01-02,112394.60808631401
2017-01-03,112394.60808631401
2017-01-04,112394.60808631401
2017-01-05,112394.60808631401
2017-01-06,112394.60808631401
2017-01-09,112394.60808631401
2017-01-10,112394.60808631401
2017-01-11,112394.60808631401
2017-01-12,112394.60808631401
2017-01-13,112394.60808631401
2017-01-16,112394.60808631401
2017-01-17,112394.60808631401
2017-01-18,112394.60808631401
2017-01-19,112394.60808631401
2017-01-20,112394.60808631401
2017-01-23,112394.60808631401
2017-01-24,113171.568086314
2017-01-25,114774.04808631401
2017-01-26,115016.84808631401
