date,equity
2016-04-28,98796.05000000002
2016-04-29,98073.68
2016-05-02,98686.6
2016-05-03,97898.56
2016-05-04,97657.77
2016-05-05,97701.55000000002
2016-05-06,98292.58
2016-05-09,98292.58
2016-05-10,99387.08
2016-05-11,98774.16
2016-05-12,98533.37
2016-05-13,98226.91
2016-05-16,99387.08
2016-05-17,98467.7
2016-05-18,98686.6
2016-05-19,98248.80000000002
2016-05-20,99255.73999999999
2016-05-23,99080.62
2016-05-24,100656.7
2016-05-25,101247.73000000001
2016-05-26,101532.30000000002
2016-05-27,101948.21
2016-05-30,101948.21
2016-05-31,102123.33
2016-06-01,101904.43
2016-06-02,101838.76
2016-06-03,101641.75
2016-06-06,101794.98000000001
2016-06-07,102145.22
2016-06-08,102320.34000000001
2016-06-09,102342.23000000001
2016-06-10,101663.64
2016-06-13,100700.48000000001
2016-06-14,100897.48999999999
2016-06-15,100678.59000000001
2016-06-16,100853.71
2016-06-17,100284.57
2016-06-20,100656.7
2016-06-21,101247.73000000001
2016-06-22,100941.27
2016-06-23,102123.33
2016-06-24,98774.16
2016-06-27,97066.73999999999
2016-06-28,98708.48999999999
2016-06-29,100000.0
2016-06-30,100919.38
2016-07-01,101116.39
2016-07-04,101116.39
2016-07-05,100503.47
2016-07-06,101116.39
2016-07-07,101094.5
2016-07-08,102429.79000000001
2016-07-11,102955.15000000001
2016-07-12,103655.63
2016-07-13,103677.52
2016-07-14,104246.66
2016-07-15,104180.98999999999
2016-07-18,104772.02
2016-07-19,104575.01
2016-07-20,105688.51482795199
2016-07-21,105688.51482795199
2016-07-22,105688.51482795199
2016-07-25,105688.51482795199
2016-07-26,105688.51482795199
2016-07-27,105688.51482795199
2016-07-28,105688.51482795199
2016-07-29,105688.51482795199
2016-08-01,105688.51482795199
2016-08-02,105688.51482795199
2016-08-03,105688.51482795199
2016-08-04,105688.51482795199
2016-08-05,105688.51482795199
2016-08-08,105688.51482795199
2016-08-09,105688.51482795199
2016-08-10,105688.51482795199
2016-08-11,105688.51482795199
2016-08-12,105688.51482795199
2016-08-15,105688.51482795199
2016-08-16,105688.51482795199
2016-08-17,105688.51482795199
2016-08-18,105688.51482795199
2016-08-19,105688.51482795199
2016-08-22,105688.51482795199
2016-08-23,105688.51482795199
2016-08-24,105688.51482795199
2016-08-25,105688.51482795199
2016-08-26,105688.51482795199
2016-08-29,105688.51482795199
2016-08-30,105688.51482795199
2016-08-31,105688.51482795199
2016-09-01,105688.51482795199
2016-09-02,105688.51482795199
2016-09-05,105688.51482795199
2016-09-06,105688.51482795199
2016-09-07,105688.51482795199
2016-09-08,105688.51482795199
2016-09-09,105688.51482795199
2016-09-12,107655.934827952
2016-09-13,107007.334827952
2016-09-14,107439.734827952
2016-09-15,108931.51482795199
2016-09-16,108607.214827952
2016-09-19,108412.634827952
2016-09-20,108369.394827952
2016-09-21,109407.154827952
2016-09-22,109969.274827952
2016-09-23,109147.714827952
2016-09-26,108607.214827952
2016-09-27,109623.35482795199
2016-09-28,109774.694827952
2016-09-29,109234.194827952
2016-09-30,109709.834827952
2016-10-03,109450.394827952
2016-10-04,109104.47482795201
2016-10-05,109450.394827952
2016-10-06,109666.59482795201
2016-10-07,109407.154827952
2016-10-10,110012.51482795199
2016-10-11,108996.374827952
2016-10-12,109147.714827952
2016-10-13,108563.97482795201
2016-10-14,108909.894827952
2016-10-17,108715.31482795201
2016-10-18,109234.194827952
2016-10-19,109407.154827952
2016-10-20,108974.754827952
2016-10-21,109234.194827952
2016-10-24,110120.614827952
2016-10-25,109796.31482795201
2016-10-26,109277.434827952
2016-10-27,109147.714827952
2016-10-28,109061.234827952
2016-10-31,109017.994827952
2016-11-01,108196.434827952
2016-11-02,107612.694827952
2016-11-03,106769.51482795199
2016-11-04,106574.934827952
2016-11-07,108542.35482795199
2016-11-08,108996.374827952
2016-11-09,108866.654827952
2016-11-10,107374.874827952
2016-11-11,107655.934827952
2016-11-14,106250.634827952
2016-11-15,107547.834827952
2016-11-16,108391.01482795199
2016-11-17,108974.754827952
2016-11-18,108888.274827952
2016-11-21,109839.554827952
2016-11-22,110120.614827952
2016-11-23,109753.074827952
2016-11-24,109753.074827952
2016-11-25,110142.234827952
2016-11-28,110228.714827952
2016-11-29,110293.574827952
2016-11-30,109169.334827952
2016-12-01,107245.154827952
2016-12-02,107569.45482795201
2016-12-05,108455.874827952
2016-12-06,108715.31482795201
2016-12-07,110509.774827952
2016-12-08,110769.214827952
2016-12-09,111371.559356832
2016-12-12,111371.559356832
2016-12-13,111371.559356832
2016-12-14,111371.559356832
2016-12-15,111371.559356832
2016-12-16,111371.559356832
2016-12-19,111371.559356832
2016-12-20,111371.559356832
2016-12-21,111371.559356832
2016-12-22,111371.559356832
2016-12-23,111371.559356832
2016-12-26,111371.559356832
2016-12-27,111371.559356832
2016-12-28,111371.559356832
2016-12-29,111371.559356832
2016-12-30,111371.559356832
2017-01-02,111371.559356832
2017-01-03,111371.559356832
2017-01-04,111371.559356832
2017-01-05,111371.559356832
2017-01-06,111371.559356832
2017-01-09,111371.559356832
2017-01-10,111371.559356832
2017-01-11,111371.559356832
2017-01-12,111371.559356832
2017-01-13,111371.559356832
2017-01-16,111371.559356832
2017-01-17,111371.559356832
2017-01-18,111371.559356832
2017-01-19,111371.559356832
2017-01-20,111371.559356832
2017-01-23,111371.559356832
2017-01-24,111371.559356832
2017-01-25,111371.559356832
2017-01-26,111371.559356832
2017-01-27,111371.559356832
2017-01-30,111371.559356832
2017-01-31,111371.559356832
2017-02-01,111371.559356832
2017-02-02,111371.559356832
2017-02-03,111371.559356832
2017-02-06,111371.559356832
2017-02-07,111371.559356832
2017-02-08,111371.559356832
2017-02-09,111371.559356832
2017-02-10,111371.559356832
2017-02-13,111371.559356832
2017-02-14,111371.559356832
2017-02-15,111371.559356832
2017-02-16,111371.559356832
2017-02-17,111371.559356832
2017-02-20,111371.559356832
2017-02-21,111371.559356832
2017-02-22,111371.559356832
2017-02-23,111371.559356832
2017-02-24,111371.559356832
2017-02-27,111371.559356832
2017-02-28,111371.559356832
2017-03-01,111371.559356832
2017-03-02,111371.559356832
2017-03-03,111371.559356832
2017-03-06,111371.559356832
2017-03-07,111371.559356832
2017-03-08,111371.559356832
2017-03-09,111371.559356832
2017-03-10,111371.559356832
2017-03-13,111371.559356832
2017-03-14,111371.559356832
2017-03-15,111371.559356832
2017-03-16,111371.559356832
2017-03-17,111371.559356832
2017-03-20,111371.559356832
2017-03-21,111371.559356832
2017-03-22,111371.559356832
2017-03-23,111371.559356832
2017-03-24,111371.559356832
2017-03-27,111371.559356832
2017-03-28,111371.559356832
2017-03-29,111371.559356832
2017-03-30,111371.559356832
2017-03-31,111371.559356832
2017-04-03,111371.559356832
2017-04-04,111371.559356832
2017-04-05,111371.559356832
2017-04-06,111371.559356832
2017-04-07,111371.559356832
2017-04-10,111371.559356832
2017-04-11,111371.559356832
2017-04-12,111371.559356832
2017-04-13,111371.559356832
2017-04-14,111371.559356832
2017-04-17,111371.559356832
2017-04-18,111371.559356832
2017-04-19,111371.559356832
2017-04-20,111371.559356832
2017-04-21,111371.559356832
2017-04-24,111371.559356832
2017-04-25,111371.559356832
2017-04-26,111371.559356832
2017-04-27,111371.559356832
2017-04-28,111371.559356832
2017-05-01,111371.559356832
2017-05-02,111371.559356832
2017-05-03,111371.559356832
2017-05-04,111371.559356832
2017-05-05,111371.559356832
2017-05-08,111371.559356832
2017-05-09,111371.559356832
2017-05-10,111371.559356832
2017-05-11,111371.559356832
2017-05-12,111371.559356832
2017-05-15,111371.559356832
2017-05-16,111371.559356832
2017-05-17,111371.559356832
2017-05-18,111371.559356832
2017-05-19,111371.559356832
2017-05-22,111371.559356832
2017-05-23,111371.559356832
2017-05-24,111371.559356832
2017-05-25,111371.559356832
2017-05-26,111371.559356832
2017-05-29,111371.559356832
2017-05-30,111371.559356832
2017-05-31,111371.559356832
2017-06-01,111371.559356832
2017-06-02,111371.559356832
2017-06-05,111371.559356832
2017-06-06,111371.559356832
2017-06-07,111371.559356832
2017-06-08,111371.559356832
2017-06-09,111371.559356832
2017-06-12,111371.559356832
2017-06-13,111371.559356832
2017-06-14,111371.559356832
2017-06-15,111371.559356832
2017-06-16,111371.559356832
2017-06-19,111371.559356832
2017-06-20,111371.559356832
2017-06-21,111371.559356832
2017-06-22,111371.559356832
2017-06-23,111371.559356832
2017-06-26,111371.559356832
2017-06-27,111371.559356832
2017-06-28,111371.559356832
2017-06-29,111371.559356832
2017-06-30,111371.559356832
2017-07-03,111371.559356832
2017-07-04,111371.559356832
2017-07-05,111918.49935683199
2017-07-06,111088.659356832
2017-07-07,112182.539356832
2017-07-10,112880.35935683199
2017-07-11,113106.679356832
2017-07-12,114351.439356832
2017-07-13,114558.89935683199
2017-07-14,115388.73935683198
2017-07-17,115407.599356832
2017-07-18,115860.23935683198
2017-07-19,116369.459356832
2017-07-20,116595.77935683199
2017-07-21,116463.75935683199
2017-07-24,116690.079356832
2017-07-25,116501.479356832
2017-07-26,116897.539356832
2017-07-27,116501.479356832
2017-07-28,116407.179356832
2017-07-31,115954.539356832
2017-08-01,116407.179356832
2017-08-02,116690.079356832
2017-08-03,116426.039356832
2017-08-04,116708.939356832
2017-08-07,117312.459356832
2017-08-08,117161.579356832
2017-08-09,117123.85935683199
2017-08-10,115143.559356832
2017-08-11,115841.379356832
2017-08-14,117387.89935683199
2017-08-15,117557.639356832
2017-08-16,117840.539356832
2017-08-17,115860.23935683198
2017-08-18,115765.939356832
2017-08-21,115728.21935683199
2017-08-22,117199.299356832
2017-08-23,116954.119356832
2017-08-24,116878.679356832
2017-08-25,116859.81935683198
2017-08-28,117048.41935683199
2017-08-29,117482.19935683199
2017-08-30,118158.0260281
2017-08-31,118158.0260281
2017-09-01,118158.0260281
2017-09-04,118158.0260281
2017-09-05,118158.0260281
2017-09-06,118158.0260281
2017-09-07,118158.0260281
2017-09-08,118158.0260281
2017-09-11,118158.0260281
2017-09-12,118158.0260281
2017-09-13,118158.0260281
2017-09-14,118158.0260281
2017-09-15,118158.0260281
2017-09-18,118158.0260281
2017-09-19,118158.0260281
2017-09-20,118158.0260281
2017-09-21,118158.0260281
2017-09-22,118158.0260281
2017-09-25,118158.0260281
2017-09-26,118158.0260281
2017-09-27,118158.0260281
2017-09-28,118158.0260281
2017-09-29,118158.0260281
2017-10-02,118158.0260281
2017-10-03,118158.0260281
2017-10-04,118158.0260281
2017-10-05,118158.0260281
2017-10-06,118158.0260281
2017-10-09,118158.0260281
2017-10-10,118158.0260281
2017-10-11,118158.0260281
2017-10-12,118158.0260281
2017-10-13,118158.0260281
2017-10-16,118158.0260281
2017-10-17,118158.0260281
2017-10-18,118158.0260281
