date,equity
2016-04-22,100694.4
2016-04-25,101388.8
2016-04-26,100991.99999999999
2016-04-27,101463.19999999998
2016-04-28,101562.4
2016-04-29,101363.99999999999
2016-05-02,102529.6
2016-05-03,102331.19999999998
2016-05-04,102628.8
2016-05-05,102653.59999999999
2016-05-06,103174.4
2016-05-09,103744.79999999999
2016-05-10,104761.6
2016-05-11,103943.19999999998
2016-05-12,104488.8
2016-05-13,103174.4
2016-05-16,103843.99999999999
2016-05-17,101810.4
2016-05-18,100620.0
2016-05-19,101611.99999999999
2016-05-20,101091.19999999998
2016-05-23,101190.4
2016-05-24,102033.59999999999
2016-05-25,102182.4
2016-05-26,102603.99999999999
2016-05-27,102703.19999999998
2016-05-30,102703.19999999998
2016-05-31,102058.4
2016-06-01,103100.0
2016-06-02,103149.6
2016-06-03,103794.4
2016-06-06,103918.4
2016-06-07,103794.4
2016-06-08,104414.4
2016-06-09,104811.19999999998
2016-06-10,104910.4
2016-06-13,104017.59999999999
2016-06-14,104439.2
2016-06-15,104116.79999999999
2016-06-16,104662.4
2016-06-17,104240.8
2016-06-20,104588.0
2016-06-21,104860.8
2016-06-22,104910.4
2016-06-23,105555.2
2016-06-24,103521.6
2016-06-27,103298.4
2016-06-28,103968.0
2016-06-29,105158.4
2016-06-30,107461.3995976
2016-07-01,107461.3995976
2016-07-04,107461.3995976
2016-07-05,107461.3995976
2016-07-06,107461.3995976
2016-07-07,107461.3995976
2016-07-08,107461.3995976
2016-07-11,107461.3995976
2016-07-12,107461.3995976
2016-07-13,107461.3995976
2016-07-14,107461.3995976
2016-07-15,107461.3995976
2016-07-18,107461.3995976
2016-07-19,107461.3995976
2016-07-20,107461.3995976
2016-07-21,107461.3995976
2016-07-22,107461.3995976
2016-07-25,107461.3995976
2016-07-26,107461.3995976
2016-07-27,107461.3995976
2016-07-28,107461.3995976
2016-07-29,107461.3995976
2016-08-01,107461.3995976
2016-08-02,107461.3995976
2016-08-03,107461.3995976
2016-08-04,107461.3995976
2016-08-05,107461.3995976
2016-08-08,107461.3995976
2016-08-09,107461.3995976
2016-08-10,107461.3995976
2016-08-11,107461.3995976
2016-08-12,107461.3995976
2016-08-15,107461.3995976
2016-08-16,107461.3995976
2016-08-17,107461.3995976
2016-08-18,107461.3995976
2016-08-19,107461.3995976
2016-08-22,107461.3995976
2016-08-23,107461.3995976
2016-08-24,107461.3995976
2016-08-25,107461.3995976
2016-08-26,107461.3995976
2016-08-29,107461.3995976
2016-08-30,107461.3995976
2016-08-31,107461.3995976
2016-09-01,107461.3995976
2016-09-02,107461.3995976
2016-09-05,107461.3995976
2016-09-06,107461.3995976
2016-09-07,107461.3995976
2016-09-08,107461.3995976
2016-09-09,105450.84959760001
2016-09-12,107435.9495976
2016-09-13,106112.54959760001
2016-09-14,105781.6995976
2016-09-15,106646.9995976
2016-09-16,106316.1495976
2016-09-19,106087.09959760001
2016-09-20,106367.04959760001
2016-09-21,106952.3995976
2016-09-22,107894.04959760001
2016-09-23,107410.49959759999
2016-09-26,106519.7495976
2016-09-27,106952.3995976
2016-09-28,107130.5495976
2016-09-29,106087.09959760001
2016-09-30,107155.9995976
2016-10-03,106494.2995976
2016-10-04,105552.6495976
2016-10-05,105450.84959760001
2016-10-06,105654.4495976
2016-10-07,105374.4995976
2016-10-10,105374.4995976
2016-10-11,104840.04959760001
2016-10-12,105425.3995976
2016-10-13,105450.84959760001
2016-10-14,105450.84959760001
2016-10-17,104967.2995976
2016-10-18,105272.6995976
2016-10-19,104687.3495976
2016-10-20,104610.9995976
2016-10-21,105170.89959760002
2016-10-24,105858.0495976
2016-10-25,106188.8995976
2016-10-26,106112.54959760001
2016-10-27,105603.5495976
2016-10-28,106214.3495976
2016-10-31,106316.1495976
2016-11-01,105858.0495976
2016-11-02,105603.5495976
2016-11-03,104865.49959759999
2016-11-04,103923.8495976
2016-11-07,105679.8995976
2016-11-08,106137.99959759999
2016-11-09,104687.3495976
2016-11-10,101887.84959760001
2016-11-11,101786.0495976
2016-11-14,101607.8995976
2016-11-15,102218.6995976
2016-11-16,102244.1495976
2016-11-17,102065.9995976
2016-11-18,101709.6995976
2016-11-21,102371.3995976
2016-11-22,102905.84959760001
2016-11-23,102345.9495976
2016-11-24,102345.9495976
2016-11-25,103109.4495976
2016-11-28,103338.4995976
2016-11-29,103516.6495976
2016-11-30,101836.9495976
2016-12-01,101200.6995976
2016-12-02,101836.9495976
2016-12-05,101964.1995976
2016-12-06,102269.59959760001
2016-12-07,103643.8995976
2016-12-08,103338.4995976
2016-12-09,104789.1495976
2016-12-12,105221.7995976
2016-12-13,105705.34959760001
2016-12-14,104560.0995976
2016-12-15,104992.7495976
2016-12-16,105603.5495976
2016-12-19,105807.14959760002
2016-12-20,105603.5495976
2016-12-21,105578.0995976
2016-12-22,105399.9495976
2016-12-23,105603.5495976
2016-12-26,105603.5495976
2016-12-27,105603.5495976
2016-12-28,104941.8495976
2016-12-29,105425.3995976
2016-12-30,104916.3995976
2017-01-02,104916.3995976
2017-01-03,105247.2495976
2017-01-04,105298.1495976
2017-01-05,105552.6495976
2017-01-06,105730.79959760001
2017-01-09,104890.9495976
2017-01-10,104356.4995976
2017-01-11,104560.0995976
2017-01-12,104458.29959760001
2017-01-13,104509.1995976
2017-01-16,104509.1995976
2017-01-17,106010.7495976
2017-01-18,106367.04959760001
2017-01-19,105985.29959760001
2017-01-20,106672.4495976
2017-01-23,106596.0995976
2017-01-24,107279.84426544
2017-01-25,107279.84426544
2017-01-26,107279.84426544
2017-01-27,107279.84426544
2017-01-30,107279.84426544
2017-01-31,107279.84426544
2017-02-01,107279.84426544
2017-02-02,107279.84426544
2017-02-03,107279.84426544
2017-02-06,107279.84426544
2017-02-07,107279.84426544
2017-02-08,107279.84426544
2017-02-09,107279.84426544
2017-02-10,107279.84426544
2017-02-13,107279.84426544
2017-02-14,107279.84426544
2017-02-15,107279.84426544
2017-02-16,107279.84426544
2017-02-17,107279.84426544
2017-02-20,107279.84426544
2017-02-21,107279.84426544
2017-02-22,107279.84426544
2017-02-23,107279.84426544
2017-02-24,107279.84426544
2017-02-27,107279.84426544
2017-02-28,107279.84426544
2017-03-01,107279.84426544
2017-03-02,107279.84426544
2017-03-03,107279.84426544
2017-03-06,107279.84426544
2017-03-07,107279.84426544
2017-03-08,107279.84426544
2017-03-09,107279.84426544
2017-03-10,107279.84426544
2017-03-13,107279.84426544
2017-03-14,107279.84426544
2017-03-15,107279.84426544
2017-03-16,107279.84426544
2017-03-17,107279.84426544
2017-03-20,107279.84426544
2017-03-21,107279.84426544
2017-03-22,107279.84426544
2017-03-23,107279.84426544
2017-03-24,107279.84426544
2017-03-27,107279.84426544
2017-03-28,107279.84426544
2017-03-29,107279.84426544
2017-03-30,107279.84426544
2017-03-31,107279.84426544
2017-04-03,107279.84426544
2017-04-04,107279.84426544
2017-04-05,107279.84426544
2017-04-06,107279.84426544
2017-04-07,107279.84426544
2017-04-10,107279.84426544
2017-04-11,107279.84426544
2017-04-12,107279.84426544
2017-04-13,107279.84426544
2017-04-14,107279.84426544
2017-04-17,107279.84426544
2017-04-18,107279.84426544
2017-04-19,107279.84426544
2017-04-20,107279.84426544
2017-04-21,107279.84426544
2017-04-24,107279.84426544
2017-04-25,107279.84426544
2017-04-26,107279.84426544
2017-04-27,107279.84426544
2017-04-28,107279.84426544
2017-05-01,107279.84426544
2017-05-02,107279.84426544
2017-05-03,107279.84426544
2017-05-04,107279.84426544
2017-05-05,107279.84426544
2017-05-08,107279.84426544
2017-05-09,107279.84426544
2017-05-10,107279.84426544
2017-05-11,107279.84426544
2017-05-12,107279.84426544
2017-05-15,107279.84426544
2017-05-16,107279.84426544
2017-05-17,107279.84426544
2017-05-18,107279.84426544
2017-05-19,107279.84426544
2017-05-22,107279.84426544
2017-05-23,107279.84426544
2017-05-24,107279.84426544
2017-05-25,107279.84426544
2017-05-26,107279.84426544
2017-05-29,107279.84426544
2017-05-30,107279.84426544
2017-05-31,107279.84426544
2017-06-01,107279.84426544
2017-06-02,107279.84426544
2017-06-05,107279.84426544
2017-06-06,107279.84426544
2017-06-07,107279.84426544
2017-06-08,107279.84426544
2017-06-09,107279.84426544
2017-06-12,107279.84426544
2017-06-13,107279.84426544
2017-06-14,107279.84426544
2017-06-15,107279.84426544
2017-06-16,107279.84426544
2017-06-19,107279.84426544
2017-06-20,107279.84426544
2017-06-21,107279.84426544
2017-06-22,107279.84426544
2017-06-23,107279.84426544
2017-06-26,107279.84426544
2017-06-27,107279.84426544
2017-06-28,107279.84426544
2017-06-29,107279.84426544
2017-06-30,107279.84426544
2017-07-03,107279.84426544
2017-07-04,107279.84426544
2017-07-05,107279.84426544
2017-07-06,107279.84426544
2017-07-07,107133.80426543999
2017-07-10,106427.94426543999
2017-07-11,106111.52426544
2017-07-12,106720.02426544
2017-07-13,106744.36426544
2017-07-14,107523.24426544
2017-07-17,107644.94426543999
2017-07-18,107669.28426543999
2017-07-19,108058.72426543999
2017-07-20,108058.72426543999
2017-07-21,108253.44426543999
2017-07-24,107937.02426544
2017-07-25,108642.88426544
2017-07-26,108618.54426543998
2017-07-27,109689.50426544
2017-07-28,108764.58426543999
2017-07-31,108667.22426543999
2017-08-01,108594.20426544
2017-08-02,108521.18426544
2017-08-03,108375.14426544
2017-08-04,108131.74426544
2017-08-07,108934.96426544
2017-08-08,108521.18426544
2017-08-09,108764.58426543999
2017-08-10,108229.10426544
2017-08-11,108326.46426544
2017-08-14,108861.94426543999
2017-08-15,109373.08426543999
2017-08-16,109762.52426544
2017-08-17,108764.58426543999
2017-08-18,108472.50426544
2017-08-21,108861.94426543999
2017-08-22,108886.28426543999
2017-08-23,108594.20426544
2017-08-24,107085.12426544
2017-08-25,107425.88426544
2017-08-28,107133.80426543999
2017-08-29,107498.90426543998
2017-08-30,107523.24426544
2017-08-31,107523.24426544
2017-09-01,108034.38426544
2017-09-04,108034.38426544
2017-09-05,108204.76426544
2017-09-06,108569.86426544
2017-09-07,108788.92426543999
2017-09-08,108253.44426543999
2017-09-11,108934.96426544
2017-09-12,109178.36426544
2017-09-13,109227.04426543998
2017-09-14,109056.66426543999
2017-09-15,109202.70426544
2017-09-18,109348.74426544
2017-09-19,109032.32426544
2017-09-20,107961.36426544
2017-09-21,106939.08426543999
2017-09-22,106622.66426543999
2017-09-25,107401.54426543998
2017-09-26,107644.94426543999
2017-09-27,106817.38426544
2017-09-28,106817.38426544
2017-09-29,106744.36426544
2017-10-02,106549.64426544
2017-10-03,106671.34426544
2017-10-04,107012.10426544
2017-10-05,107474.56426543999
2017-10-06,106403.60426544
2017-10-09,106111.52426544
2017-10-10,107036.44426543999
2017-10-11,107255.50426544
2017-10-12,107717.96426544
2017-10-13,107912.68426544
2017-10-16,107912.68426544
2017-10-17,107547.58426543999
2017-10-18,107377.20426544
2017-10-19,106866.06426543999
2017-10-20,106598.32426544
2017-10-23,106500.96426544
2017-10-24,106135.86426544
2017-10-25,105819.44426543999
2017-10-26,105916.80426543999
2017-10-27,105016.22426543999
2017-10-30,104115.64426544
2017-10-31,104991.88426544
2017-11-01,105332.64426544
2017-11-02,105064.90426543998
2017-11-03,105089.24426544
2017-11-06,103969.60426544
2017-11-07,105113.58426543999
2017-11-08,106281.90426543998
2017-11-09,106257.56426543999
2017-11-10,107328.52426544
2017-11-13,107961.36426544
2017-11-14,108326.46426544
2017-11-15,107182.48426544
2017-11-16,108667.22426543999
2017-11-17,108277.78426543999
2017-11-20,108180.42426543999
2017-11-21,108521.18426544
2017-11-22,108399.48426544
2017-11-23,108399.48426544
2017-11-24,108302.12426544
2017-11-27,108375.14426544
2017-11-28,109251.38426544
2017-11-29,109786.86426544
2017-11-30,110781.319424884
2017-12-01,110781.319424884
2017-12-04,110781.319424884
2017-12-05,110781.319424884
2017-12-06,110781.319424884
2017-12-07,110781.319424884
2017-12-08,110781.319424884
2017-12-11,110781.319424884
2017-12-12,110781.319424884
2017-12-13,110781.319424884
2017-12-14,110781.319424884
2017-12-15,110781.319424884
2017-12-18,110781.319424884
2017-12-19,110781.319424884
2017-12-20,110781.319424884
2017-12-21,110781.319424884
2017-12-22,110781.319424884
2017-12-25,110781.319424884
2017-12-26,110781.319424884
2017-12-27,110781.319424884
2017-12-28,110781.319424884
2017-12-29,110781.319424884
2018-01-01,110781.319424884
2018-01-02,110781.319424884
2018-01-03,110781.319424884
2018-01-04,110781.319424884
2018-01-05,110781.319424884
2018-01-08,110781.319424884
2018-01-09,110781.319424884
2018-01-10,110781.319424884
2018-01-11,110781.319424884
2018-01-12,110781.319424884
2018-01-15,110781.319424884
2018-01-16,110781.319424884
2018-01-17,110781.319424884
2018-01-18,110781.319424884
2018-01-19,110781.319424884
2018-01-22,110781.319424884
2018-01-23,110781.319424884
2018-01-24,110781.319424884
2018-01-25,110781.319424884
2018-01-26,110781.319424884
2018-01-29,110781.319424884
2018-01-30,110781.319424884
2018-01-31,110781.319424884
2018-02-01,110781.319424884
2018-02-02,110781.319424884
2018-02-05,110781.319424884
2018-02-06,113866.699424884
2018-02-07,113386.189424884
2018-02-08,110933.059424884
2018-02-09,111160.669424884
2018-02-12,112298.719424884
2018-02-13,112829.809424884
2018-02-14,112804.51942488401
2018-02-15,114549.52942488401
2018-02-16,115080.619424884
2018-02-19,115080.619424884
2018-02-20,112501.039424884
2018-02-21,111135.379424884
2018-02-22,111413.569424884
2018-02-23,112501.039424884
2018-02-26,113183.869424884
2018-02-27,111691.75942488399
2018-02-28,110553.709424884
2018-03-01,110149.069424884
2018-03-02,111236.539424884
2018-03-05,112222.849424884
2018-03-06,112248.13942488401
2018-03-07,111287.119424884
2018-03-08,112273.429424884
2018-03-09,113006.839424884
2018-03-12,112804.51942488401
2018-03-13,112728.649424884
2018-03-14,111590.599424884
2018-03-15,110730.73942488401
2018-03-16,110831.899424884
2018-03-19,109744.429424884
2018-03-20,109440.949424884
2018-03-21,108075.289424884
2018-03-22,107190.13942488401
2018-03-23,105849.76942488401
2018-03-26,107367.169424884
2018-03-27,107316.589424884
2018-03-28,108783.409424884
2018-03-29,109567.399424884
2018-03-30,109567.399424884
2018-04-02,106861.369424884
2018-04-03,108252.319424884
2018-04-04,109946.749424884
2018-04-05,110224.939424884
2018-04-06,109112.179424884
2018-04-09,109036.309424884
2018-04-10,109289.209424884
2018-04-11,109137.469424884
2018-04-12,108909.85942488401
2018-04-13,109415.659424884
2018-04-16,110604.289424884
2018-04-17,110882.47942488402
2018-04-18,110073.199424884
2018-04-19,106886.659424884
2018-04-20,105091.069424884
2018-04-23,104939.32942488401
2018-04-24,104307.07942488401
2018-04-25,104484.10942488401
2018-04-26,105116.35942488401
2018-04-27,105647.449424884
2018-04-30,105015.199424884
2018-05-01,104079.469424884
2018-05-02,102056.26942488401
2018-05-03,101955.10942488401
2018-05-04,103421.929424884
2018-05-07,102789.679424884
2018-05-08,102359.749424884
2018-05-09,102511.48942488401
2018-05-10,103118.449424884
2018-05-11,103118.449424884
2018-05-14,103067.869424884
2018-05-15,102663.22942488402
2018-05-16,103396.63942488401
2018-05-17,103801.27942488401
2018-05-18,103118.449424884
2018-05-21,103573.669424884
2018-05-22,103371.349424884
2018-05-23,103725.409424884
2018-05-24,103649.539424884
2018-05-25,103826.569424884
2018-05-28,103826.569424884
2018-05-29,103598.959424884
2018-05-30,105040.48942488401
2018-05-31,103371.349424884
2018-06-01,103371.349424884
2018-06-04,104205.919424884
2018-06-05,103725.409424884
2018-06-06,103851.85942488401
2018-06-07,104433.52942488401
2018-06-08,105745.248702538
2018-06-11,105745.248702538
2018-06-12,105745.248702538
2018-06-13,105745.248702538
2018-06-14,105745.248702538
2018-06-15,105745.248702538
2018-06-18,105745.248702538
2018-06-19,105745.248702538
2018-06-20,105745.248702538
2018-06-21,105745.248702538
2018-06-22,105745.248702538
2018-06-25,105745.248702538
2018-06-26,105745.248702538
2018-06-27,105745.248702538
2018-06-28,105745.248702538
