date,equity
2016-06-28,101231.51000000001
2016-06-29,103154.69
2016-06-30,104133.15000000001
2016-07-01,104791.08
2016-07-04,104791.08
2016-07-05,104689.86
2016-07-06,105853.89
2016-07-07,105702.06000000001
2016-07-08,107001.05
2016-07-11,106714.26000000001
2016-07-12,107220.36
2016-07-13,107203.49
2016-07-14,107658.98
2016-07-15,107574.63
2016-07-18,107625.24
2016-07-19,107389.06000000001
2016-07-20,108350.65
2016-07-21,108671.18000000001
2016-07-22,108890.49
2016-07-25,108772.4
2016-07-26,108586.83
2016-07-27,109092.93000000001
2016-07-28,108974.84
2016-07-29,109194.15
2016-08-01,109902.69
2016-08-02,109480.94
2016-08-03,109177.28000000001
2016-08-04,109008.58
2016-08-05,109278.50000000001
2016-08-08,108350.65
2016-08-09,108603.7
2016-08-10,108232.56000000001
2016-08-11,108873.62
2016-08-12,108586.83
2016-08-15,108772.4
2016-08-16,107810.81000000001
2016-08-17,108030.12
2016-08-18,108063.86000000002
2016-08-19,107979.51000000001
2016-08-22,108198.82
2016-08-23,108300.04000000002
2016-08-24,106596.17000000001
2016-08-25,105702.06000000001
2016-08-26,106106.94
2016-08-29,106343.12000000001
2016-08-30,105971.98
2016-08-31,105651.45
2016-09-01,105381.53000000001
2016-09-02,105499.62000000001
2016-09-05,105499.62000000001
2016-09-06,105870.76000000001
2016-09-07,105870.76000000001
2016-09-08,105955.11
2016-09-09,103846.36
2016-09-12,105381.53000000001
2016-09-13,103981.32
2016-09-14,103981.32
2016-09-15,105010.39
2016-09-16,105111.61
2016-09-19,104740.47
2016-09-20,105111.61
2016-09-21,106106.94
2016-09-22,106916.7
2016-09-23,106579.3
2016-09-26,105330.92000000001
2016-09-27,106073.2
2016-09-28,105921.37000000001
2016-09-29,104048.8
2016-09-30,105111.61
2016-10-03,105027.26000000001
2016-10-04,104824.82
2016-10-05,105229.7
2016-10-06,104774.21
2016-10-07,104774.21
2016-10-10,105246.57
2016-10-11,102614.85
2016-10-12,102125.62000000001
2016-10-13,102176.23
2016-10-14,101484.56000000001
2016-10-17,101147.16
2016-10-18,102361.8
2016-10-19,101990.66
2016-10-20,102463.02
2016-10-21,101619.52
2016-10-24,101433.95
2016-10-25,101147.16
2016-10-26,100522.97
2016-10-27,100995.33
2016-10-28,98802.23
2016-10-31,98194.91
2016-11-01,97773.16
2016-11-02,97165.84
2016-11-03,96271.73
