ticker,n_trades,sharpe,t_stat,t_p,boot_p5,perm_p,gates_pass,verdict,basket
SPY,16,2.36,4.6966,0.0001,1.6302,0.0,3,PASS,us_equity_broad
QQQ,15,2.4889,5.0185,0.0001,1.7472,0.001,3,PASS,us_equity_broad
IWM,18,1.0287,2.191,0.0213,0.1898,0.018,3,PASS,us_equity_broad
MDY,18,1.2405,2.6713,0.0081,0.3553,0.008,3,PASS,us_equity_broad
XLK,16,2.6875,5.3208,0.0,1.9799,0.0,3,PASS,us_sectors
XLF,19,1.0709,2.327,0.0159,0.2822,0.016,3,PASS,us_sectors
XLE,18,0.6087,1.3056,0.1045,-0.1011,0.093,0,FAIL,us_sectors
XLV,20,2.0883,4.4082,0.0002,1.1249,0.001,3,PASS,us_sectors
XLI,14,0.9968,2.0827,0.0288,0.13,0.027,3,PASS,us_sectors
XLP,21,1.8277,3.9992,0.0004,1.0643,0.0,3,PASS,us_sectors
XLY,17,1.0735,2.1709,0.0227,0.2218,0.022,3,PASS,us_sectors
XLU,24,2.6468,5.7667,0.0,1.7202,0.0,3,PASS,us_sectors
XLB,16,1.3176,2.7354,0.0077,0.5261,0.013,3,PASS,us_sectors
XLRE,17,0.8678,1.7807,0.047,0.1821,0.044,3,PASS,us_sectors
XLC,10,0.8883,1.5813,0.0741,-0.0723,0.089,0,FAIL,us_sectors
IWF,13,2.6256,5.2385,0.0001,1.6867,0.0,3,PASS,us_factor
IWD,16,1.2968,2.7783,0.007,0.3735,0.008,3,PASS,us_factor
USMV,17,2.2395,4.397,0.0002,1.1896,0.0,3,PASS,us_factor
MTUM,13,0.9514,2.0479,0.0316,0.1523,0.027,3,PASS,us_factor
PKW,14,0.9319,1.9886,0.0341,0.1658,0.039,3,PASS,us_factor
DVY,17,1.0149,2.1748,0.0225,0.1555,0.015,3,PASS,us_factor
