date,equity
2016-06-27,33475.03333333333
2016-06-28,33644.13333333333
2016-06-29,33902.653333333335
2016-06-30,34119.06333333333
2016-07-01,34149.56333333333
2016-07-04,34149.56333333333
2016-07-05,34006.63333333333
2016-07-06,34088.31333333334
2016-07-07,34101.153333333335
2016-07-08,34348.06333333333
2016-07-11,34397.45333333334
2016-07-12,34490.41333333333
2016-07-13,34486.78333333333
2016-07-14,34521.87333333334
2016-07-15,34517.03333333333
2016-07-18,34532.763333333336
2016-07-19,34523.083333333336
2016-07-20,34541.23333333334
2016-07-21,34546.073333333334
2016-07-22,34577.53333333333
2016-07-25,34567.85333333333
2016-07-26,34590.84333333334
2016-07-27,34565.433333333334
2016-07-28,34566.64333333333
2016-07-29,34550.91333333333
2016-08-01,34536.39333333333
2016-08-02,34495.253333333334
2016-08-03,34527.92333333333
2016-08-04,34518.24333333333
2016-08-05,34582.37333333334
2016-08-08,34581.16333333333
2016-08-09,34575.113333333335
2016-08-10,34561.80333333333
2016-08-11,34601.73333333334
2016-08-12,34588.42333333333
2016-08-15,34623.513333333336
2016-08-16,34601.73333333334
2016-08-17,34588.42333333333
2016-08-18,34600.52333333333
2016-08-19,34613.833333333336
2016-08-22,34613.833333333336
2016-08-23,34638.03333333333
2016-08-24,34602.943333333336
2016-08-25,34598.10333333333
2016-08-26,34586.003333333334
2016-08-29,34613.833333333336
2016-08-30,34623.513333333336
2016-08-31,34602.943333333336
2016-09-01,34592.05333333333
2016-09-02,34627.14333333333
2016-09-05,34627.14333333333
2016-09-06,34618.67333333333
2016-09-07,34629.56333333334
2016-09-08,34613.833333333336
2016-09-09,34483.153333333335
2016-09-12,34555.753333333334
2016-09-13,34267.20333333333
2016-09-14,34240.81333333334
2016-09-15,34416.45333333333
2016-09-16,34368.80333333333
2016-09-19,34431.52333333333
2016-09-20,34422.17333333333
2016-09-21,34689.763333333336
2016-09-22,34830.153333333335
2016-09-23,34731.66333333333
2016-09-26,34603.13333333333
2016-09-27,34677.66333333333
2016-09-28,34748.78333333333
2016-09-29,34585.80333333333
2016-09-30,34697.99333333333
2016-10-03,34602.41333333334
2016-10-04,34429.06333333333
2016-10-05,34462.583333333336
2016-10-06,34491.433333333334
2016-10-07,34425.60333333333
2016-10-10,34518.153333333335
2016-10-11,34274.473333333335
2016-10-12,34366.62333333334
2016-10-13,34337.98333333334
2016-10-14,34326.46333333333
2016-10-17,34284.39333333333
2016-10-18,34378.05333333333
2016-10-19,34402.67333333334
2016-10-20,34342.973333333335
2016-10-21,34325.14333333333
2016-10-24,34399.34333333334
2016-10-25,34340.46333333334
2016-10-26,34324.15333333333
2016-10-27,34198.30333333333
2016-10-28,34212.49333333333
2016-10-31,34315.113333333335
2016-11-01,34129.25333333334
2016-11-02,34000.60333333333
2016-11-03,33886.72333333333
2016-11-04,33849.98333333333
2016-11-07,34436.65333333333
2016-11-08,34595.183333333334
2016-11-09,34818.05333333334
2016-11-10,34755.543333333335
2016-11-11,34745.223333333335
2016-11-14,34725.083333333336
2016-11-15,34875.23333333334
2016-11-16,34896.223333333335
2016-11-17,34979.45333333334
2016-11-18,34930.903333333335
2016-11-21,35068.723333333335
2016-11-22,35115.24333333333
2016-11-23,35092.293333333335
2016-11-24,35092.293333333335
2016-11-25,35161.903333333335
2016-11-28,35144.39333333333
2016-11-29,35200.02333333333
2016-11-30,35017.24333333333
2016-12-01,34843.683333333334
2016-12-02,34893.44333333333
2016-12-05,34969.61333333333
2016-12-06,35011.10333333333
2016-12-07,35191.46333333333
2016-12-08,35200.88333333333
2016-12-09,35276.19333333333
2016-12-12,35270.67333333334
2016-12-13,35310.003333333334
2016-12-14,35281.71333333333
2016-12-15,35305.863333333335
2016-12-16,35292.753333333334
2016-12-19,35308.62333333334
2016-12-20,35324.49333333333
2016-12-21,35318.973333333335
2016-12-22,35316.903333333335
2016-12-23,35325.87333333334
2016-12-26,35325.87333333334
2016-12-27,35346.573333333334
2016-12-28,35297.583333333336
2016-12-29,35307.24333333333
2016-12-30,35266.53333333334
2017-01-02,35266.53333333334
2017-01-03,35283.78333333334
2017-01-04,35312.073333333334
2017-01-05,35327.253333333334
2017-01-06,35354.85333333333
2017-01-09,35352.78333333334
2017-01-10,35350.71333333333
2017-01-11,35365.89333333333
2017-01-12,35360.37333333334
2017-01-13,35372.10333333333
2017-01-16,35372.10333333333
2017-01-17,35361.06333333334
2017-01-18,35375.55333333333
2017-01-19,35370.03333333334
2017-01-20,35379.69333333333
2017-01-23,35369.34333333334
2017-01-24,35408.67333333334
2017-01-25,35448.69333333333
2017-01-26,35448.69333333333
2017-01-27,35448.69333333333
2017-01-30,35448.69333333333
2017-01-31,35448.69333333333
2017-02-01,35448.69333333333
2017-02-02,35448.69333333333
2017-02-03,35448.69333333333
2017-02-06,35448.69333333333
2017-02-07,35448.69333333333
2017-02-08,35448.69333333333
2017-02-09,35448.69333333333
2017-02-10,35448.69333333333
2017-02-13,35448.69333333333
2017-02-14,35448.69333333333
2017-02-15,35448.69333333333
2017-02-16,35448.69333333333
2017-02-17,35448.69333333333
2017-02-20,35448.69333333333
2017-02-21,35448.69333333333
2017-02-22,35448.69333333333
2017-02-23,35448.69333333333
2017-02-24,35448.69333333333
2017-02-27,35448.69333333333
2017-02-28,35448.69333333333
2017-03-01,35448.69333333333
2017-03-02,35448.69333333333
2017-03-03,35448.69333333333
2017-03-06,35448.69333333333
2017-03-07,35448.69333333333
2017-03-08,35448.69333333333
2017-03-09,35448.69333333333
2017-03-10,35448.69333333333
2017-03-13,35448.69333333333
2017-03-14,35448.69333333333
2017-03-15,35448.69333333333
2017-03-16,35448.69333333333
2017-03-17,35448.69333333333
2017-03-20,35448.69333333333
2017-03-21,35448.69333333333
2017-03-22,35448.69333333333
2017-03-23,35448.69333333333
2017-03-24,35448.69333333333
2017-03-27,35448.69333333333
2017-03-28,35448.69333333333
2017-03-29,35448.69333333333
2017-03-30,35448.69333333333
2017-03-31,35448.69333333333
2017-04-03,35448.69333333333
2017-04-04,35448.69333333333
2017-04-05,35448.69333333333
2017-04-06,35448.69333333333
2017-04-07,35448.69333333333
2017-04-10,35448.69333333333
2017-04-11,35448.69333333333
2017-04-12,35448.69333333333
2017-04-13,35448.69333333333
2017-04-14,35448.69333333333
2017-04-17,35448.69333333333
2017-04-18,35448.69333333333
2017-04-19,35448.69333333333
2017-04-20,35448.69333333333
2017-04-21,35448.69333333333
2017-04-24,35448.69333333333
2017-04-25,35448.69333333333
2017-04-26,35448.69333333333
2017-04-27,35448.69333333333
2017-04-28,35448.69333333333
2017-05-01,35448.69333333333
2017-05-02,35448.69333333333
2017-05-03,35448.69333333333
2017-05-04,35448.69333333333
2017-05-05,35448.69333333333
2017-05-08,35448.69333333333
2017-05-09,35448.69333333333
2017-05-10,35448.69333333333
2017-05-11,35448.69333333333
2017-05-12,35448.69333333333
2017-05-15,35448.69333333333
2017-05-16,35448.69333333333
2017-05-17,35448.69333333333
2017-05-18,35470.48333333333
2017-05-19,35545.363333333335
2017-05-22,35594.89333333333
2017-05-23,35623.503333333334
2017-05-24,35636.50333333333
2017-05-25,35666.35333333333
2017-05-26,35667.583333333336
2017-05-29,35667.583333333336
2017-05-30,35646.25333333333
2017-05-31,35653.16333333334
2017-06-01,35754.293333333335
2017-06-02,35752.64333333333
2017-06-05,35745.49333333333
2017-06-06,35736.14333333333
2017-06-07,35735.043333333335
2017-06-08,35747.14333333333
2017-06-09,35790.59333333334
2017-06-12,35790.59333333334
2017-06-13,35790.59333333334
2017-06-14,35790.59333333334
2017-06-15,35790.59333333334
2017-06-16,35790.59333333334
2017-06-19,35790.59333333334
2017-06-20,35790.59333333334
2017-06-21,35790.59333333334
2017-06-22,35790.59333333334
2017-06-23,35790.59333333334
2017-06-26,35790.59333333334
2017-06-27,35790.59333333334
2017-06-28,35790.59333333334
2017-06-29,35790.59333333334
2017-06-30,35790.59333333334
2017-07-03,35790.59333333334
2017-07-04,35790.59333333334
2017-07-05,35790.59333333334
2017-07-06,35790.59333333334
2017-07-07,35790.59333333334
2017-07-10,35790.59333333334
2017-07-11,35790.59333333334
2017-07-12,35790.59333333334
2017-07-13,35790.59333333334
2017-07-14,35790.59333333334
2017-07-17,35790.59333333334
2017-07-18,35790.59333333334
2017-07-19,35790.59333333334
2017-07-20,35790.59333333334
2017-07-21,35790.59333333334
2017-07-24,35790.59333333334
2017-07-25,35790.59333333334
2017-07-26,35790.59333333334
2017-07-27,35790.59333333334
2017-07-28,35790.59333333334
2017-07-31,35790.59333333334
2017-08-01,35790.59333333334
2017-08-02,35790.59333333334
2017-08-03,35790.59333333334
2017-08-04,35790.59333333334
2017-08-07,35790.59333333334
2017-08-08,35790.59333333334
2017-08-09,35790.59333333334
2017-08-10,35790.59333333334
2017-08-11,35790.59333333334
2017-08-14,35790.59333333334
2017-08-15,35790.59333333334
2017-08-16,35790.59333333334
2017-08-17,35790.59333333334
2017-08-18,35809.81333333333
2017-08-21,35818.46333333333
2017-08-22,35895.253333333334
2017-08-23,35883.683333333334
2017-08-24,35865.45333333334
2017-08-25,35911.89333333333
2017-08-28,35912.333333333336
2017-08-29,35898.503333333334
2017-08-30,35917.073333333334
2017-08-31,35944.043333333335
2017-09-01,35986.403333333335
2017-09-04,35986.403333333335
2017-09-05,35914.34333333334
2017-09-06,35947.253333333334
2017-09-07,35922.293333333335
2017-09-08,35943.35333333333
2017-09-11,36051.38333333334
2017-09-12,36084.21333333333
2017-09-13,36088.403333333335
2017-09-14,36108.89333333333
2017-09-15,36126.59333333333
2017-09-18,36148.59333333333
2017-09-19,36153.543333333335
2017-09-20,36160.14333333333
2017-09-21,36151.89333333333
2017-09-22,36154.09333333333
2017-09-25,36172.24333333333
2017-09-26,36170.59333333333
2017-09-27,36181.59333333333
2017-09-28,36188.193333333336
2017-09-29,36197.543333333335
2017-10-02,36232.193333333336
2017-10-03,36232.193333333336
2017-10-04,36232.193333333336
2017-10-05,36232.193333333336
2017-10-06,36232.193333333336
2017-10-09,36232.193333333336
2017-10-10,36232.193333333336
2017-10-11,36232.193333333336
2017-10-12,36232.193333333336
2017-10-13,36232.193333333336
2017-10-16,36232.193333333336
2017-10-17,36232.193333333336
2017-10-18,36232.193333333336
2017-10-19,36232.193333333336
2017-10-20,36232.193333333336
2017-10-23,36232.193333333336
2017-10-24,36232.193333333336
2017-10-25,36232.193333333336
2017-10-26,36232.193333333336
2017-10-27,36232.193333333336
2017-10-30,36232.193333333336
2017-10-31,36232.193333333336
2017-11-01,36232.193333333336
2017-11-02,36232.193333333336
2017-11-03,36232.193333333336
2017-11-06,36232.193333333336
2017-11-07,36232.193333333336
2017-11-08,36232.193333333336
2017-11-09,36232.193333333336
2017-11-10,36232.193333333336
2017-11-13,36232.193333333336
2017-11-14,36232.193333333336
2017-11-15,36232.193333333336
2017-11-16,36232.193333333336
2017-11-17,36232.193333333336
2017-11-20,36232.193333333336
2017-11-21,36232.193333333336
2017-11-22,36232.193333333336
2017-11-23,36232.193333333336
2017-11-24,36232.193333333336
2017-11-27,36232.193333333336
2017-11-28,36232.193333333336
2017-11-29,36232.193333333336
2017-11-30,36232.193333333336
2017-12-01,36232.193333333336
2017-12-04,36232.193333333336
2017-12-05,36232.193333333336
2017-12-06,36232.193333333336
2017-12-07,36232.193333333336
2017-12-08,36232.193333333336
2017-12-11,36232.193333333336
2017-12-12,36232.193333333336
2017-12-13,36232.193333333336
2017-12-14,36232.193333333336
2017-12-15,36232.193333333336
2017-12-18,36232.193333333336
2017-12-19,36232.193333333336
2017-12-20,36232.193333333336
2017-12-21,36232.193333333336
2017-12-22,36232.193333333336
2017-12-25,36232.193333333336
2017-12-26,36232.193333333336
2017-12-27,36232.193333333336
2017-12-28,36232.193333333336
2017-12-29,36232.193333333336
2018-01-01,36232.193333333336
2018-01-02,36232.193333333336
2018-01-03,36232.193333333336
2018-01-04,36232.193333333336
2018-01-05,36232.193333333336
2018-01-08,36232.193333333336
2018-01-09,36232.193333333336
2018-01-10,36232.193333333336
2018-01-11,36232.193333333336
2018-01-12,36232.193333333336
2018-01-15,36232.193333333336
2018-01-16,36232.193333333336
2018-01-17,36232.193333333336
2018-01-18,36232.193333333336
2018-01-19,36232.193333333336
2018-01-22,36232.193333333336
2018-01-23,36232.193333333336
2018-01-24,36232.193333333336
2018-01-25,36232.193333333336
2018-01-26,36232.193333333336
2018-01-29,36232.193333333336
2018-01-30,36232.193333333336
2018-01-31,36232.193333333336
2018-02-01,36232.193333333336
2018-02-02,36232.193333333336
2018-02-05,36232.193333333336
2018-02-06,36494.63333333334
2018-02-07,36474.833333333336
2018-02-08,36184.67333333333
2018-02-09,36331.91333333334
2018-02-12,36507.05333333333
2018-02-13,36556.73333333334
2018-02-14,36718.73333333334
2018-02-15,36905.03333333333
2018-02-16,36938.87333333333
2018-02-19,36938.87333333333
2018-02-20,36779.39333333333
2018-02-21,36665.45333333333
2018-02-22,36682.91333333334
2018-02-23,36936.71333333333
2018-02-26,37072.073333333334
2018-02-27,36874.61333333333
2018-02-28,36705.05333333334
2018-03-01,36534.41333333334
2018-03-02,36617.573333333334
2018-03-05,36808.55333333333
2018-03-06,36818.27333333333
2018-03-07,36793.25333333333
2018-03-08,36835.013333333336
2018-03-09,37048.31333333333
2018-03-12,37020.05333333334
2018-03-13,36965.333333333336
2018-03-14,36877.13333333333
2018-03-15,36866.15333333333
2018-03-16,36930.41333333334
2018-03-19,36767.69333333333
2018-03-20,36767.15333333333
2018-03-21,36752.933333333334
2018-03-22,36441.17333333333
2018-03-23,36166.67333333333
2018-03-26,36677.19333333333
2018-03-27,36249.77333333334
2018-03-28,36229.13333333333
2018-03-29,36601.513333333336
2018-03-30,36601.513333333336
2018-04-02,35902.05333333334
2018-04-03,36262.31333333333
2018-04-04,36627.85333333333
2018-04-05,36842.21333333333
2018-04-06,36211.19333333333
2018-04-09,36285.91333333333
2018-04-10,36713.61333333333
2018-04-11,36564.45333333333
2018-04-12,36765.41333333333
2018-04-13,36670.89333333333
2018-04-16,36968.573333333334
2018-04-17,37249.91333333333
2018-04-18,37290.35333333333
2018-04-19,37142.41333333333
2018-04-20,36924.293333333335
2018-04-23,36926.23333333333
