date,equity
2016-02-09,33442.67333333333
2016-02-10,33514.95333333334
2016-02-11,33406.20333333334
2016-02-12,33512.85333333333
2016-02-15,33512.85333333333
2016-02-16,33667.02333333333
2016-02-17,33873.39333333333
2016-02-18,33855.70333333334
2016-02-19,33856.42333333333
2016-02-22,34030.02333333333
2016-02-23,33931.92333333334
2016-02-24,33953.323333333334
2016-02-25,34068.56333333333
2016-02-26,34099.95333333334
2016-02-29,34007.71333333333
2016-03-01,34294.92333333333
2016-03-02,34357.87333333334
2016-03-03,34390.293333333335
2016-03-04,34401.323333333334
2016-03-07,34406.56333333334
2016-03-08,34301.20333333334
2016-03-09,34307.24333333334
2016-03-10,34299.78333333333
2016-03-11,34534.59333333334
2016-03-14,34533.34333333334
2016-03-15,34507.84333333334
2016-03-16,34496.793333333335
2016-03-17,34600.12333333334
2016-03-18,34577.77333333333
2016-03-21,34574.35333333333
2016-03-22,34583.97333333333
2016-03-23,34509.823333333334
2016-03-24,34500.973333333335
2016-03-25,34500.973333333335
2016-03-28,34531.683333333334
2016-03-29,34662.30333333334
2016-03-30,34691.543333333335
2016-03-31,34687.80333333334
2016-04-01,34761.84333333334
2016-04-04,34754.263333333336
2016-04-05,34625.14333333333
2016-04-06,34749.753333333334
2016-04-07,34639.433333333334
2016-04-08,34673.72333333334
2016-04-11,34672.01333333333
2016-04-12,34743.433333333334
2016-04-13,34837.86333333334
2016-04-14,34832.42333333334
2016-04-15,34850.46333333333
2016-04-18,34911.14333333333
2016-04-19,34922.50333333334
2016-04-20,34918.27333333334
2016-04-21,34812.823333333334
2016-04-22,34871.80333333334
2016-04-25,34911.99333333333
2016-04-26,34939.97333333334
2016-04-27,34979.34333333333
2016-04-28,34918.153333333335
2016-04-29,34897.77333333334
2016-05-02,35068.083333333336
2016-05-03,34985.34333333334
2016-05-04,35023.38333333333
2016-05-05,34997.31333333334
2016-05-06,35059.95333333334
2016-05-09,35121.09333333334
2016-05-10,35275.55333333333
2016-05-11,35098.263333333336
2016-05-12,35138.31333333334
2016-05-13,34965.86333333333
2016-05-16,35095.91333333333
2016-05-17,34872.52333333333
2016-05-18,34759.73333333334
2016-05-19,34761.59333333334
2016-05-20,34842.84333333334
2016-05-23,34814.00333333334
2016-05-24,35009.183333333334
2016-05-25,35073.323333333334
2016-05-26,35097.443333333336
2016-05-27,35151.02333333333
2016-05-30,35151.02333333333
2016-05-31,35142.97333333334
2016-06-01,35170.763333333336
2016-06-02,35206.293333333335
2016-06-03,35213.64333333333
2016-06-06,35240.043333333335
2016-06-07,35234.87333333334
2016-06-08,35285.56333333334
2016-06-09,35297.56333333334
2016-06-10,35212.20333333334
2016-06-13,35148.55333333334
2016-06-14,35108.613333333335
2016-06-15,35125.59333333334
2016-06-16,35189.74333333334
2016-06-17,35177.86333333334
2016-06-20,35221.25333333334
2016-06-21,35266.63333333334
