date,equity
2016-02-23,100061.19999999998
2016-02-24,100061.19999999998
2016-02-25,100061.19999999998
2016-02-26,100061.19999999998
2016-02-29,100061.19999999998
2016-03-01,100061.19999999998
2016-03-02,101850.50999999998
2016-03-03,102280.93999999999
2016-03-04,102596.44999999998
2016-03-07,102792.54999999997
2016-03-08,101298.27999999997
2016-03-09,101850.87999999999
2016-03-10,101548.33999999997
2016-03-11,103405.99999999997
2016-03-14,103327.57999999999
2016-03-15,102716.73999999999
2016-03-16,103459.81999999998
2016-03-17,104193.83999999997
2016-03-18,104517.09999999998
2016-03-21,104622.66999999998
2016-03-22,104658.45999999998
2016-03-23,103495.41999999998
2016-03-24,103594.59
2016-03-25,103594.59
2016-03-28,103611.25
2016-03-29,105437.32999999997
2016-03-30,105762.37999999998
2016-03-31,105727.98999999998
2016-04-01,106494.62999999998
2016-04-04,105945.69999999998
2016-04-05,104842.9
2016-04-06,106190.31999999998
2016-04-07,104793.97999999998
2016-04-08,104998.79999999999
2016-04-11,104682.19999999998
2016-04-12,105672.45999999999
2016-04-13,107235.66999999998
2016-04-14,107196.91999999998
2016-04-15,107160.31999999998
2016-04-18,107870.88999999997
2016-04-19,107798.68999999999
2016-04-20,107915.25999999998
2016-04-21,107541.69999999998
2016-04-22,107379.01999999999
2016-04-25,107051.74999999999
2016-04-26,107309.09
2016-04-27,107225.81999999999
2016-04-28,106476.99999999999
2016-04-29,105954.84999999998
2016-05-02,106558.07999999999
2016-05-03,105648.69999999998
2016-05-04,105153.63999999998
2016-05-05,105004.08999999998
2016-05-06,105342.48999999998
2016-05-09,105473.66999999998
2016-05-10,106276.16999999997
2016-05-11,105493.54999999999
2016-05-12,105312.23999999999
2016-05-13,104769.18999999999
2016-05-16,105563.87
2016-05-17,104661.81999999998
2016-05-18,104671.86999999998
2016-05-19,104551.26999999997
2016-05-20,104772.36999999998
2016-05-23,104724.12999999999
2016-05-24,105180.39999999998
2016-05-25,105421.59999999999
2016-05-26,105498.64999999998
2016-05-27,105830.96999999999
2016-05-30,105830.96999999999
2016-05-31,105882.27999999998
2016-06-01,106197.99999999999
2016-06-02,106653.38999999998
2016-06-03,106167.04999999997
2016-06-06,106860.91999999998
2016-06-07,106935.09999999999
2016-06-08,107379.98999999998
2016-06-09,107041.79
2016-06-10,105813.96999999999
2016-06-13,104849.18999999999
2016-06-14,104694.83999999998
2016-06-15,104573.94999999998
2016-06-16,104777.47999999998
2016-06-17,104099.01999999997
2016-06-20,104920.70999999998
2016-06-21,105058.55999999998
2016-06-22,104779.86999999998
2016-06-23,106400.73999999998
2016-06-24,102329.45999999998
2016-06-27,100552.25999999998
2016-06-28,101070.25999999998
2016-06-29,101840.25999999998
2016-06-30,102487.75999999998
2016-07-01,102613.75999999998
2016-07-04,102613.75999999998
2016-07-05,102092.25999999998
2016-07-06,102344.25999999998
2016-07-07,102445.75999999998
2016-07-08,103240.25999999998
2016-07-11,103767.39999999998
2016-07-12,104671.51999999997
2016-07-13,104446.92999999998
2016-07-14,104899.07999999999
2016-07-15,104900.04999999999
2016-07-18,105270.33999999998
2016-07-19,104929.76999999997
2016-07-20,105694.16999999997
2016-07-21,105310.60999999997
2016-07-22,105880.84999999998
2016-07-25,105740.51999999997
2016-07-26,105966.37999999998
2016-07-27,106261.63999999998
2016-07-28,106318.28999999996
2016-07-29,106520.45999999998
2016-08-01,106699.28999999998
2016-08-02,105695.92999999998
2016-08-03,106219.25999999997
2016-08-04,106374.44999999998
2016-08-05,107521.63999999997
2016-08-08,107445.93999999999
2016-08-09,107585.89999999998
2016-08-10,107138.05999999998
2016-08-11,107629.23999999998
2016-08-12,107656.31999999999
2016-08-15,108276.63999999997
2016-08-16,107596.99999999999
2016-08-17,107605.82999999997
2016-08-18,107982.73999999998
2016-08-19,107919.70999999998
2016-08-22,108029.59999999999
2016-08-23,108427.26999999997
2016-08-24,107712.05999999998
2016-08-25,107708.06999999998
2016-08-26,107610.21999999999
2016-08-29,108032.70999999998
2016-08-30,107942.03999999998
2016-08-31,107582.28999999998
2016-09-01,107702.22999999998
2016-09-02,108335.65999999999
2016-09-05,108335.65999999999
2016-09-06,108691.79999999997
2016-09-07,108951.08999999998
2016-09-08,108592.59999999998
2016-09-09,105672.85999999997
2016-09-12,105672.85999999997
2016-09-13,105672.85999999997
2016-09-14,105672.85999999997
2016-09-15,105672.85999999997
2016-09-16,105672.85999999997
2016-09-19,105672.85999999997
2016-09-20,105672.85999999997
2016-09-21,105672.85999999997
2016-09-22,105737.97999999998
2016-09-23,105311.49999999997
2016-09-26,104663.99999999999
2016-09-27,105132.39999999998
2016-09-28,105469.17999999996
2016-09-29,104698.33999999998
2016-09-30,105343.27999999997
2016-10-03,105160.71999999997
2016-10-04,104938.01999999997
2016-10-05,105290.05999999997
2016-10-06,105227.93999999997
2016-10-07,104849.73999999996
2016-10-10,105489.15999999997
2016-10-11,104339.13999999998
2016-10-12,104296.01999999999
2016-10-13,103889.89999999998
2016-10-14,103766.13999999998
2016-10-17,103653.67999999998
2016-10-18,104116.13999999998
2016-10-19,104275.41999999997
2016-10-20,104142.29999999997
2016-10-21,104239.99999999997
2016-10-24,104858.01999999996
2016-10-25,104477.67999999996
2016-10-26,103913.03999999998
2016-10-27,103765.03999999998
2016-10-28,103563.75999999998
2016-10-31,103525.27999999997
2016-11-01,103282.55999999997
2016-11-02,103025.03999999998
2016-11-03,102711.27999999997
2016-11-04,102711.27999999997
2016-11-07,102711.27999999997
2016-11-08,102711.27999999997
2016-11-09,102711.27999999997
2016-11-10,102653.30999999997
2016-11-11,103255.16999999998
2016-11-14,103785.78999999998
2016-11-15,104150.89999999997
2016-11-16,104136.04999999996
2016-11-17,104493.13999999997
2016-11-18,104606.25999999998
2016-11-21,105061.08999999998
2016-11-22,105474.21999999997
2016-11-23,105726.69999999998
2016-11-24,105726.69999999998
2016-11-25,105987.19999999998
2016-11-28,105355.20999999996
2016-11-29,105378.90999999997
2016-11-30,105122.16999999997
2016-12-01,104770.44999999998
2016-12-02,104774.68999999997
2016-12-05,105647.45999999999
2016-12-06,106165.15999999997
2016-12-07,106993.66999999998
2016-12-08,107712.48999999998
2016-12-09,108019.75999999998
2016-12-12,107538.74999999997
2016-12-13,108171.56999999998
2016-12-14,107335.23999999998
2016-12-15,107840.35999999999
2016-12-16,107575.52999999997
2016-12-19,108028.97999999998
2016-12-20,108614.37999999998
2016-12-21,108243.96999999997
2016-12-22,107760.59999999998
2016-12-23,108036.52999999997
2016-12-26,108036.52999999997
2016-12-27,108463.52999999998
2016-12-28,107503.42999999996
2016-12-29,107495.83999999997
2016-12-30,106891.73999999999
2017-01-02,106891.73999999999
2017-01-03,107623.81999999998
2017-01-04,108674.16999999998
2017-01-05,108346.21999999997
2017-01-06,108633.34999999998
2017-01-09,108375.21999999997
2017-01-10,108811.33999999998
2017-01-11,109063.65999999997
2017-01-12,108628.06999999998
2017-01-13,109104.92999999996
2017-01-16,109104.92999999996
2017-01-17,108331.70999999999
2017-01-18,108613.01999999997
2017-01-19,108164.85999999997
2017-01-20,108538.34999999998
2017-01-23,108323.23999999998
2017-01-24,109349.71999999997
2017-01-25,110400.18999999997
2017-01-26,110225.14999999997
2017-01-27,110096.91999999998
2017-01-30,109075.83999999997
2017-01-31,109236.51999999999
2017-02-01,109517.75999999998
2017-02-02,109378.45999999998
2017-02-03,110308.72999999998
2017-02-06,109991.93999999997
2017-02-07,109946.94999999998
2017-02-08,109975.97999999998
2017-02-09,110872.86999999997
2017-02-10,111434.94999999998
2017-02-13,111921.51999999996
2017-02-14,112327.90999999997
2017-02-15,112956.80999999997
2017-02-16,112807.34
2017-02-17,112987.43999999997
2017-02-20,112987.43999999997
2017-02-21,113690.13999999998
2017-02-22,113505.86999999997
2017-02-23,113162.61999999998
2017-02-24,113244.65999999997
2017-02-27,113738.13999999996
2017-02-28,112893.32999999999
2017-03-01,114557.11999999998
2017-03-02,113674.24999999997
2017-03-03,113709.09999999998
2017-03-06,113270.37
2017-03-07,112825.33999999997
2017-03-08,112548.16999999998
2017-03-09,112464.12999999998
2017-03-10,112915.32999999997
2017-03-13,113106.19999999998
2017-03-14,112680.26999999997
2017-03-15,113803.18999999997
2017-03-16,113788.16999999998
2017-03-17,113841.11999999997
2017-03-20,113672.66999999998
2017-03-21,111539.85999999999
2017-03-22,111772.73999999996
2017-03-23,111687.53999999998
2017-03-24,111755.69999999998
2017-03-27,111815.33999999997
2017-03-28,112031.17999999996
2017-03-29,112187.37999999998
2017-03-30,112249.85999999999
2017-03-31,112221.45999999996
2017-04-03,112204.41999999998
2017-04-04,112261.21999999997
2017-04-05,112113.53999999998
2017-04-06,112136.25999999998
2017-04-07,112116.37999999998
2017-04-10,112130.57999999999
2017-04-11,111977.21999999997
2017-04-12,111838.05999999997
2017-04-13,111698.89999999997
2017-04-14,111698.89999999997
2017-04-17,111985.73999999996
2017-04-18,111931.77999999997
2017-04-19,111988.57999999999
2017-04-20,112281.09999999998
2017-04-21,112272.57999999999
2017-04-24,112701.41999999998
2017-04-25,112959.85999999999
2017-04-26,113101.03999999998
2017-04-27,113342.49999999997
2017-04-28,112819.91999999997
2017-05-01,113416.98999999996
2017-05-02,113311.95999999998
2017-05-03,112932.24999999999
2017-05-04,112910.37999999998
2017-05-05,113434.15999999997
2017-05-08,113354.76999999997
2017-05-09,113442.88999999998
2017-05-10,113758.39999999997
2017-05-11,113413.38999999998
2017-05-12,113232.74999999997
2017-05-15,113811.79999999996
2017-05-16,113970.68
2017-05-17,111341.18999999997
2017-05-18,111907.05999999997
2017-05-19,112466.22999999998
2017-05-22,113246.29999999996
2017-05-23,113486.93999999999
2017-05-24,113774.14999999997
2017-05-25,114300.68999999997
2017-05-26,114348.53999999998
2017-05-29,114348.53999999998
2017-05-30,114056.06999999998
2017-05-31,113989.68999999997
2017-06-01,115155.12999999998
2017-06-02,115960.63999999997
2017-06-05,115696.74999999997
2017-06-06,115392.72999999997
2017-06-07,115646.32999999996
2017-06-08,116205.26999999996
2017-06-09,115419.53999999998
2017-06-12,115138.08999999997
2017-06-13,115805.09999999998
2017-06-14,115389.76999999997
2017-06-15,114946.15999999997
2017-06-16,114701.02999999997
2017-06-19,115911.43999999997
2017-06-20,114970.54999999999
2017-06-21,115222.88999999997
2017-06-22,115341.06999999998
2017-06-23,115791.53999999998
2017-06-26,115690.44999999998
2017-06-27,114365.01999999996
2017-06-28,115819.26999999997
2017-06-29,114607.68999999997
2017-06-30,114636.9
2017-07-03,114644.66999999998
2017-07-04,114644.66999999998
2017-07-05,114578.10999999997
2017-07-06,113720.95999999996
2017-07-07,114340.10999999997
2017-07-10,114201.72999999998
2017-07-11,114291.31999999998
2017-07-12,114865.73999999998
2017-07-13,114985.71999999996
2017-07-14,115222.99999999997
2017-07-17,115323.38999999997
2017-07-18,115236.29999999999
2017-07-19,115957.71999999997
2017-07-20,116031.26999999999
2017-07-21,115800.46999999997
2017-07-24,116026.43999999999
2017-07-25,116381.06999999998
2017-07-26,116286.42999999996
2017-07-27,115777.57999999996
2017-07-28,115588.36999999997
2017-07-31,115297.58999999998
2017-08-01,115532.33999999997
2017-08-02,115230.03999999998
2017-08-03,114815.89999999997
2017-08-04,115136.90999999997
2017-08-07,115501.60999999999
2017-08-08,115226.86999999997
2017-08-09,114848.88999999997
2017-08-10,113504.28999999996
2017-08-11,113775.97999999997
2017-08-14,114238.65999999996
2017-08-15,114265.55999999997
2017-08-16,114327.42999999998
2017-08-17,113582.29999999997
2017-08-18,113555.39999999998
2017-08-21,113509.66999999997
2017-08-22,114053.04999999997
2017-08-23,113926.61999999998
2017-08-24,113819.01999999997
2017-08-25,113743.69999999997
2017-08-28,113853.98999999998
2017-08-29,113996.55999999997
2017-08-30,114421.57999999997
2017-08-31,114814.31999999996
2017-09-01,114763.20999999998
2017-09-04,114763.20999999998
2017-09-05,114432.33999999997
2017-09-06,114542.62999999996
2017-09-07,114628.70999999998
2017-09-08,114311.28999999996
2017-09-11,114730.92999999998
2017-09-12,114891.29999999997
2017-09-13,115100.71999999997
2017-09-14,114840.89999999997
2017-09-15,115197.86999999997
2017-09-18,115479.14999999997
2017-09-19,115571.30999999998
2017-09-20,115606.51999999996
2017-09-21,115229.49999999996
2017-09-22,115371.36999999997
2017-09-25,114966.39999999997
2017-09-26,115197.85999999996
2017-09-27,116444.77999999997
2017-09-28,116589.97999999998
2017-09-29,117060.01999999997
2017-10-02,117776.75999999998
2017-10-03,118034.82999999999
2017-10-04,117999.95999999996
2017-10-05,118699.37999999996
2017-10-06,118669.23999999996
2017-10-09,118378.85999999999
2017-10-10,118607.91999999997
2017-10-11,118752.34999999996
2017-10-12,118606.60999999997
2017-10-13,118722.10999999997
2017-10-16,118884.12999999998
2017-10-17,118824.97999999998
2017-10-18,119014.33999999998
2017-10-19,118842.63999999997
2017-10-20,119320.52999999998
2017-10-23,118629.87999999996
2017-10-24,118834.07999999999
2017-10-25,118310.32999999996
2017-10-26,118295.80999999997
2017-10-27,120004.65999999997
2017-10-30,119522.09999999996
2017-10-31,120010.14999999997
2017-11-01,119783.06999999995
2017-11-02,119851.32999999997
2017-11-03,120318.09999999996
2017-11-06,120567.78999999996
2017-11-07,120083.57999999999
2017-11-08,120308.51999999996
2017-11-09,119956.39999999997
2017-11-10,119939.38999999998
2017-11-13,120025.39999999997
2017-11-14,119789.74999999997
2017-11-15,119397.39999999997
2017-11-16,120225.29999999996
2017-11-17,119973.52999999997
2017-11-20,120005.68999999997
2017-11-21,120690.25999999998
2017-11-22,120612.50999999997
2017-11-23,120612.50999999997
2017-11-24,120864.00999999998
2017-11-27,120699.96999999996
2017-11-28,121841.25999999997
2017-11-29,121269.30999999997
2017-11-30,122004.56999999998
2017-12-01,121599.88999999998
2017-12-04,120945.47999999998
2017-12-05,120426.64999999998
2017-12-06,120418.70999999996
2017-12-07,120956.90999999997
2017-12-08,121395.76999999999
2017-12-11,121817.88999999996
2017-12-12,121712.20999999996
2017-12-13,122010.83999999998
2017-12-14,121384.13999999996
2017-12-15,122737.43999999997
2017-12-18,123886.33999999997
2017-12-19,123182.49999999997
2017-12-20,123189.68999999997
2017-12-21,123432.45999999998
2017-12-22,123304.27999999997
2017-12-25,123304.27999999997
2017-12-26,123053.01999999999
2017-12-27,123061.21999999997
2017-12-28,123349.19999999998
2017-12-29,122630.13999999996
2018-01-01,122630.13999999996
2018-01-02,123973.96999999997
2018-01-03,124693.10999999997
2018-01-04,125030.50999999998
2018-01-05,125824.59999999998
2018-01-08,126133.26999999997
2018-01-09,126170.87999999998
2018-01-10,126012.54999999997
2018-01-11,127312.04999999996
2018-01-12,128082.78999999998
2018-01-15,128082.78999999998
2018-01-16,127304.67999999996
2018-01-17,128541.79999999996
2018-01-18,128181.96999999997
2018-01-19,129060.96999999997
2018-01-22,130098.80999999997
2018-01-23,130677.72999999997
2018-01-24,130124.43999999997
2018-01-25,130140.87999999998
2018-01-26,131446.55999999997
2018-01-29,130701.96999999997
2018-01-30,129478.47999999995
2018-01-31,129501.74999999997
2018-02-01,129217.70999999998
2018-02-02,126586.80999999998
2018-02-05,121568.28999999998
2018-02-06,121568.28999999998
2018-02-07,121568.28999999998
2018-02-08,121568.28999999998
2018-02-09,121568.28999999998
2018-02-12,121568.28999999998
2018-02-13,121568.28999999998
2018-02-14,121568.28999999998
2018-02-15,121568.28999999998
2018-02-16,121568.28999999998
2018-02-19,121568.28999999998
2018-02-20,121568.28999999998
2018-02-21,121568.28999999998
2018-02-22,121568.28999999998
2018-02-23,121568.28999999998
2018-02-26,121568.28999999998
2018-02-27,121568.28999999998
2018-02-28,121568.28999999998
2018-03-01,121568.28999999998
2018-03-02,121568.28999999998
2018-03-05,121568.28999999998
2018-03-06,121568.28999999998
2018-03-07,121568.28999999998
2018-03-08,121440.87
2018-03-09,122058.57999999999
2018-03-12,122244.89999999997
2018-03-13,121521.58999999997
2018-03-14,121317.56999999998
2018-03-15,121083.82999999999
2018-03-16,121179.51999999999
2018-03-19,119963.08999999997
2018-03-20,120079.40999999997
2018-03-21,120134.72999999998
2018-03-22,118337.14999999998
2018-03-23,116734.83799999999
2018-03-26,117546.44799999997
2018-03-27,116806.85799999998
2018-03-28,116793.00799999997
2018-03-29,117178.03799999999
2018-03-30,117178.03799999999
2018-04-02,116272.24799999999
2018-04-03,116765.30799999999
2018-04-04,117255.598
2018-04-05,117571.37799999998
2018-04-06,116804.08799999999
2018-04-09,116851.17799999999
2018-04-10,117546.44799999997
2018-04-11,117646.16799999998
2018-04-12,117909.31799999998
2018-04-13,117707.10799999998
2018-04-16,118061.66799999998
2018-04-17,118482.70799999998
2018-04-18,118574.11799999999
2018-04-19,118316.50799999997
2018-04-20,118105.98799999998
2018-04-23,118047.81799999998
2018-04-24,117831.75799999997
2018-04-25,117768.04799999998
2018-04-26,117945.32799999998
2018-04-27,117887.158
2018-04-30,117543.67799999999
2018-05-01,117723.72799999999
2018-05-02,117881.61799999999
2018-05-03,117671.098
2018-05-04,118141.99799999999
2018-05-07,118479.938
2018-05-08,118676.60799999998
2018-05-09,118900.97799999999
2018-05-10,119365.34799999997
2018-05-11,119474.188
2018-05-14,119445.038
2018-05-15,118748.15799999998
2018-05-16,119565.57799999998
2018-05-17,119591.658
2018-05-18,119347.92799999999
2018-05-21,120134.49799999999
2018-05-22,119670.60799999998
2018-05-23,120163.52799999996
2018-05-24,120084.46799999996
2018-05-25,119948.878
2018-05-28,119948.878
2018-05-29,119261.318
2018-05-30,120692.51799999998
2018-05-31,120047.408
2018-06-01,121361.52799999996
2018-06-04,122108.12799999997
2018-06-05,122525.22799999997
2018-06-06,123388.60799999998
2018-06-07,122846.19799999997
2018-06-08,123101.87799999997
2018-06-11,123333.65799999997
2018-06-12,123771.59799999997
2018-06-13,123478.18799999998
2018-06-14,124180.53799999997
2018-06-15,123774.45799999997
2018-06-18,123910.47799999997
2018-06-19,123643.42799999999
2018-06-20,124335.98799999998
2018-06-21,123274.14799999999
2018-06-22,123165.39799999996
2018-06-25,121052.07799999998
2018-06-26,121522.99799999996
2018-06-27,120099.83799999999
2018-06-28,120675.40799999998
2018-06-29,120821.06799999997
2018-07-02,121437.10799999998
2018-07-03,121018.22799999997
2018-07-04,121018.22799999997
2018-07-05,122285.18799999997
2018-07-06,123588.41799999998
2018-07-09,124597.12799999997
2018-07-10,124557.34799999997
2018-07-11,123727.06799999997
2018-07-12,124942.038
2018-07-13,124907.55799999996
2018-07-16,124621.32799999998
2018-07-17,125201.22799999997
2018-07-18,125348.51799999998
2018-07-19,125267.08799999997
2018-07-20,125060.81799999997
2018-07-23,125318.30799999999
2018-07-24,125235.41799999998
2018-07-25,126331.83799999996
2018-07-26,125821.83799999996
2018-07-27,124216.79799999997
2018-07-30,123157.20799999998
2018-07-31,124092.26799999995
2018-08-01,124141.85799999998
2018-08-02,125217.51799999998
2018-08-03,125372.05799999996
2018-08-06,126000.98799999998
2018-08-07,126379.13799999998
2018-08-08,126376.62799999997
2018-08-09,126407.82799999998
2018-08-10,125683.87799999998
2018-08-13,125238.26799999998
2018-08-14,126165.65799999997
2018-08-15,124818.94799999997
2018-08-16,125690.27799999999
2018-08-17,126033.688
2018-08-20,126207.25799999997
2018-08-21,126927.08799999996
2018-08-22,127188.93799999998
2018-08-23,126945.04799999998
2018-08-24,127795.95799999998
2018-08-27,128623.68799999997
2018-08-28,128727.27799999999
2018-08-29,129579.03799999999
2018-08-30,129309.18799999997
2018-08-31,129522.27799999998
2018-09-03,129522.27799999998
2018-09-04,129067.96799999996
2018-09-05,128318.42799999999
2018-09-06,127519.98799999998
2018-09-07,127242.28799999997
2018-09-10,127532.59799999997
2018-09-11,128047.85799999996
2018-09-12,127832.92799999999
2018-09-13,128527.86799999997
2018-09-14,128615.20799999997
2018-09-17,127325.66799999998
2018-09-18,128071.47799999997
2018-09-19,127939.13799999998
2018-09-20,129129.55799999996
2018-09-21,128670.36799999999
2018-09-24,128480.14799999999
2018-09-25,128543.48799999997
2018-09-26,128033.00799999997
2018-09-27,128511.30799999996
2018-09-28,128484.72799999997
2018-10-01,128742.97799999997
2018-10-02,128638.65799999997
2018-10-03,128705.22799999997
2018-10-04,127572.15799999997
2018-10-05,126815.62799999997
2018-10-08,126572.61799999999
2018-10-09,126651.77799999999
2018-10-10,123489.12799999997
2018-10-11,123489.12799999997
2018-10-12,123489.12799999997
2018-10-15,123489.12799999997
2018-10-16,123489.12799999997
2018-10-17,123489.12799999997
2018-10-18,123489.12799999997
2018-10-19,123489.12799999997
2018-10-22,123489.12799999997
2018-10-23,123489.12799999997
2018-10-24,123489.12799999997
2018-10-25,123489.12799999997
2018-10-26,123489.12799999997
2018-10-29,123489.12799999997
2018-10-30,123489.12799999997
2018-10-31,123489.12799999997
2018-11-01,123489.12799999997
2018-11-02,123489.12799999997
2018-11-05,123489.12799999997
2018-11-06,123489.12799999997
2018-11-07,123489.12799999997
2018-11-08,123489.12799999997
2018-11-09,123489.12799999997
2018-11-12,123489.12799999997
2018-11-13,123489.12799999997
2018-11-14,123489.12799999997
2018-11-15,123489.12799999997
2018-11-16,123489.12799999997
2018-11-19,123489.12799999997
2018-11-20,123489.12799999997
2018-11-21,123489.12799999997
2018-11-22,123489.12799999997
2018-11-23,123489.12799999997
2018-11-26,123489.12799999997
2018-11-27,123489.12799999997
2018-11-28,123489.12799999997
2018-11-29,123489.12799999997
2018-11-30,123489.12799999997
2018-12-03,123489.12799999997
2018-12-04,123489.12799999997
2018-12-05,123489.12799999997
2018-12-06,123489.12799999997
2018-12-07,123489.12799999997
2018-12-10,123489.12799999997
2018-12-11,123489.12799999997
2018-12-12,123489.12799999997
2018-12-13,123489.12799999997
2018-12-14,123489.12799999997
2018-12-17,123489.12799999997
2018-12-18,123489.12799999997
2018-12-19,123489.12799999997
2018-12-20,123489.12799999997
2018-12-21,123489.12799999997
2018-12-24,123489.12799999997
2018-12-25,123489.12799999997
2018-12-26,123489.12799999997
2018-12-27,123489.12799999997
2018-12-28,123489.12799999997
2018-12-31,123489.12799999997
2019-01-01,123489.12799999997
2019-01-02,123489.12799999997
2019-01-03,123489.12799999997
2019-01-04,123489.12799999997
2019-01-07,123489.12799999997
2019-01-08,123489.12799999997
2019-01-09,123489.12799999997
