date,equity
2016-02-23,100016.73999999998
2016-02-24,100016.73999999998
2016-02-25,100016.73999999998
2016-02-26,100016.73999999998
2016-02-29,100016.73999999998
2016-03-01,100016.73999999998
2016-03-02,100507.11999999998
2016-03-03,100625.19999999998
2016-03-04,100711.68999999997
2016-03-07,100765.68
2016-03-08,100356.12999999998
2016-03-09,100507.45999999999
2016-03-10,100424.44999999998
2016-03-11,100933.30999999998
2016-03-14,100911.76999999999
2016-03-15,100744.17999999998
2016-03-16,100947.68
2016-03-17,101148.96999999997
2016-03-18,101237.68
2016-03-21,101266.48999999998
2016-03-22,101276.22999999998
2016-03-23,100957.47999999998
2016-03-24,100984.69999999998
2016-03-25,100984.69999999998
2016-03-28,100989.29999999997
2016-03-29,101489.70999999999
2016-03-30,101578.63999999998
2016-03-31,101569.32
2016-04-01,101779.18999999999
2016-04-04,101628.74999999997
2016-04-05,101326.68
2016-04-06,101695.64999999998
2016-04-07,101313.22999999998
2016-04-08,101369.38999999997
2016-04-11,101282.68
2016-04-12,101553.93
2016-04-13,101982.25999999998
2016-04-14,101971.61999999998
2016-04-15,101961.68999999999
2016-04-18,102156.32999999999
2016-04-19,102136.62
2016-04-20,102168.55999999998
2016-04-21,102066.18999999999
2016-04-22,102022.03
2016-04-25,101932.25999999998
2016-04-26,102002.99999999999
2016-04-27,101980.34
2016-04-28,101775.09
2016-04-29,101631.94
2016-05-02,101797.26999999999
2016-05-03,101547.94
2016-05-04,101412.22999999998
2016-05-05,101371.18999999997
2016-05-06,101463.95999999999
2016-05-09,101499.93999999999
2016-05-10,101719.82999999999
2016-05-11,101505.30999999997
2016-05-12,101455.53999999998
2016-05-13,101306.74999999999
2016-05-16,101524.56999999999
2016-05-17,101277.26999999999
2016-05-18,101280.01999999999
2016-05-19,101247.01999999999
2016-05-20,101307.51999999999
2016-05-23,101294.31999999998
2016-05-24,101419.16999999998
2016-05-25,101485.16999999998
2016-05-26,101505.91999999998
2016-05-27,101595.96999999997
2016-05-30,101595.96999999997
2016-05-31,101609.09
2016-06-01,101692.89999999998
2016-06-02,101814.18
2016-06-03,101684.23999999998
2016-06-06,101869.34
2016-06-07,101888.93999999999
2016-06-08,102007.51
2016-06-09,101917.73999999998
2016-06-10,101589.01999999999
2016-06-13,101330.79999999999
2016-06-14,101289.46999999997
2016-06-15,101256.60999999999
2016-06-16,101311.83999999998
2016-06-17,101129.77999999998
2016-06-20,101349.45999999998
2016-06-21,101387.37999999999
2016-06-22,101313.02999999998
2016-06-23,101746.88999999998
2016-06-24,100654.57
2016-06-27,100183.68999999997
2016-06-28,100319.84999999998
2016-06-29,100522.24999999997
2016-06-30,100692.44999999998
2016-07-01,100725.56999999998
2016-07-04,100725.56999999998
2016-07-05,100588.48999999998
2016-07-06,100654.72999999998
2016-07-07,100681.40999999997
2016-07-08,100890.24999999997
2016-07-11,101030.10999999999
2016-07-12,101270.15
2016-07-13,101209.68
2016-07-14,101332.15
2016-07-15,101331.53999999998
2016-07-18,101432.62999999998
2016-07-19,101340.93999999999
2016-07-20,101548.55999999997
2016-07-21,101446.68
2016-07-22,101598.71999999999
2016-07-25,101562.13
2016-07-26,101622.14999999998
2016-07-27,101704.12999999998
2016-07-28,101721.06
2016-07-29,101775.38999999998
2016-08-01,101825.75999999998
2016-08-02,101557.83999999998
2016-08-03,101697.16999999998
2016-08-04,101739.65999999997
2016-08-05,102046.44999999998
2016-08-08,102025.90999999997
2016-08-09,102064.14999999997
2016-08-10,101945.03
2016-08-11,102076.38999999998
2016-08-12,102084.04999999999
2016-08-15,102249.50999999998
2016-08-16,102067.84999999998
2016-08-17,102071.09999999998
2016-08-18,102170.15
2016-08-19,102153.53999999998
2016-08-22,102182.94999999998
2016-08-23,102288.4
2016-08-24,102096.74999999999
2016-08-25,102094.78
2016-08-26,102070.08999999998
2016-08-29,102181.57999999999
2016-08-30,102155.87
2016-08-31,102060.91999999998
2016-09-01,102094.05999999998
2016-09-02,102262.18999999997
2016-09-05,102262.18999999997
2016-09-06,102359.46999999997
2016-09-07,102428.03999999998
2016-09-08,102330.25
2016-09-09,101549.04999999999
2016-09-12,101549.04999999999
2016-09-13,101549.04999999999
2016-09-14,101549.04999999999
2016-09-15,101549.04999999999
2016-09-16,101549.04999999999
2016-09-19,101549.04999999999
2016-09-20,101549.04999999999
2016-09-21,101549.04999999999
2016-09-22,101567.09
2016-09-23,101454.47
2016-09-26,101284.68
2016-09-27,101410.63999999998
2016-09-28,101496.76999999997
2016-09-29,101296.87
2016-09-30,101465.26
2016-10-03,101418.13999999998
2016-10-04,101360.84999999999
2016-10-05,101452.32999999999
2016-10-06,101436.33
2016-10-07,101339.33
2016-10-10,101505.49999999999
2016-10-11,101204.26999999999
2016-10-12,101192.66999999998
2016-10-13,101087.59
2016-10-14,101057.44999999998
2016-10-17,101026.9
2016-10-18,101150.60999999999
2016-10-19,101190.58999999998
2016-10-20,101156.12999999999
2016-10-21,101183.79999999999
2016-10-24,101349.04999999999
2016-10-25,101250.68
2016-10-26,101103.23999999998
2016-10-27,101062.23999999998
2016-10-28,101006.48
2016-10-31,100995.81999999999
2016-11-01,100928.57999999999
2016-11-02,100857.23999999998
2016-11-03,100770.31999999999
2016-11-04,100770.31999999999
2016-11-07,100770.31999999999
2016-11-08,100770.31999999999
2016-11-09,100770.31999999999
2016-11-10,100755.12999999999
2016-11-11,100910.94999999998
2016-11-14,101048.56999999998
2016-11-15,101143.97999999998
2016-11-16,101139.98999999998
2016-11-17,101233.01999999999
2016-11-18,101262.13999999998
2016-11-21,101380.78999999998
2016-11-22,101488.09999999998
2016-11-23,101553.62
2016-11-24,101553.62
2016-11-25,101621.51999999997
2016-11-28,101457.22999999998
2016-11-29,101463.53
2016-11-30,101396.74999999997
2016-12-01,101305.18999999997
2016-12-02,101306.31
2016-12-05,101533.17999999998
2016-12-06,101667.71999999997
2016-12-07,101883.81
2016-12-08,102070.43
2016-12-09,102150.71999999999
2016-12-12,102025.79999999999
2016-12-13,102200.90999999999
2016-12-14,101981.28999999998
2016-12-15,102114.40999999999
2016-12-16,102042.40999999999
2016-12-19,102163.48999999999
2016-12-20,102318.74999999999
2016-12-21,102221.78999999998
2016-12-22,102094.09999999998
2016-12-23,102166.41999999998
2016-12-26,102166.41999999998
2016-12-27,102281.49999999997
2016-12-28,102025.27999999998
2016-12-29,102022.15999999999
2016-12-30,101856.84999999998
2017-01-02,101856.84999999998
2017-01-03,102054.44999999998
2017-01-04,102331.95999999998
2017-01-05,102251.26999999999
2017-01-06,102333.26999999999
2017-01-09,102269.18999999999
2017-01-10,102384.07999999999
2017-01-11,102452.02999999998
2017-01-12,102337.56
2017-01-13,102464.43
2017-01-16,102464.43
2017-01-17,102260.96999999997
2017-01-18,102335.80999999998
2017-01-19,102218.91999999998
2017-01-20,102317.91999999998
2017-01-23,102262.56
2017-01-24,102535.15
2017-01-25,102816.91999999998
2017-01-26,102772.31999999999
2017-01-27,102740.62
2017-01-30,102468.63999999998
2017-01-31,102508.33999999998
2017-02-01,102587.35999999999
2017-02-02,102550.56
2017-02-03,102794.80999999997
2017-02-06,102713.53999999998
2017-02-07,102705.03999999998
2017-02-08,102714.16999999998
2017-02-09,102950.60999999999
2017-02-10,103099.54999999999
2017-02-13,103231.16999999998
2017-02-14,103339.93999999997
2017-02-15,103508.74999999999
2017-02-16,103469.70999999999
2017-02-17,103520.36999999998
2017-02-20,103520.36999999998
2017-02-21,103707.68
2017-02-22,103660.05999999998
2017-02-23,103567.82
2017-02-24,103590.92999999996
2017-02-27,103720.11999999998
2017-02-28,103498.02999999997
2017-03-01,103940.78999999998
2017-03-02,103706.68
2017-03-03,103717.31999999998
2017-03-06,103601.29999999997
2017-03-07,103484.09
2017-03-08,103413.44999999998
2017-03-09,103392.65
2017-03-10,103513.75999999998
2017-03-13,103564.85999999999
2017-03-14,103451.75999999998
2017-03-15,103749.35999999999
2017-03-16,103744.69999999998
2017-03-17,103757.52999999997
2017-03-20,103714.94999999998
2017-03-21,103146.79999999999
2017-03-22,103213.21999999999
2017-03-23,103188.91999999998
2017-03-24,103208.35999999999
2017-03-27,103225.37
2017-03-28,103286.93
2017-03-29,103331.47999999998
2017-03-30,103349.29999999999
2017-03-31,103341.19999999998
2017-04-03,103336.34
2017-04-04,103352.53999999998
2017-04-05,103310.41999999998
2017-04-06,103316.9
2017-04-07,103311.22999999998
2017-04-10,103315.27999999998
2017-04-11,103271.53999999998
2017-04-12,103231.84999999998
2017-04-13,103192.15999999999
2017-04-14,103192.15999999999
2017-04-17,103273.96999999999
2017-04-18,103258.57999999999
2017-04-19,103274.77999999998
2017-04-20,103358.20999999999
2017-04-21,103355.77999999998
2017-04-24,103478.09
2017-04-25,103551.79999999999
2017-04-26,103584.68
2017-04-27,103652.53999999998
2017-04-28,103526.06
2017-05-01,103685.76999999999
2017-05-02,103662.12999999999
2017-05-03,103563.98999999998
2017-05-04,103559.10999999999
2017-05-05,103693.35999999999
2017-05-08,103676.82999999999
2017-05-09,103703.51999999997
2017-05-10,103782.07999999999
2017-05-11,103695.90999999997
2017-05-12,103654.55999999998
2017-05-15,103801.75999999998
2017-05-16,103846.98999999998
2017-05-17,103162.34999999998
2017-05-18,103313.98999999999
2017-05-19,103457.76999999999
2017-05-22,103661.98999999999
2017-05-23,103722.71999999997
2017-05-24,103800.06999999998
2017-05-25,103941.95999999998
2017-05-26,103956.38999999998
2017-05-29,103956.38999999998
2017-05-30,103885.44999999998
2017-05-31,103868.53999999998
2017-06-01,104161.53999999998
2017-06-02,104376.78999999998
2017-06-05,104311.36999999998
2017-06-06,104230.66
2017-06-07,104298.85999999997
2017-06-08,104438.29999999999
2017-06-09,104207.74999999999
2017-06-12,104130.56999999998
2017-06-13,104306.57999999999
2017-06-14,104197.89999999998
2017-06-15,104082.16999999998
2017-06-16,104015.44999999998
2017-06-19,104337.65999999997
2017-06-20,104094.34999999999
2017-06-21,104170.82999999999
2017-06-22,104199.56999999998
2017-06-23,104316.24999999999
2017-06-26,104284.51999999999
2017-06-27,103931.51
2017-06-28,104310.48999999999
2017-06-29,103986.90999999999
2017-06-30,103994.49999999997
2017-07-03,103981.48999999999
2017-07-04,103981.48999999999
2017-07-05,103965.00999999998
2017-07-06,103753.79999999999
2017-07-07,103906.37
2017-07-10,103872.18999999999
2017-07-11,103894.31999999999
2017-07-12,104035.81999999998
2017-07-13,104065.35999999999
2017-07-14,104123.75999999998
2017-07-17,104148.53
2017-07-18,104127.01999999999
2017-07-19,104305.95999999999
2017-07-20,104324.56999999998
2017-07-21,104267.48999999999
2017-07-24,104324.87999999999
2017-07-25,104411.38999999998
2017-07-26,104389.20999999998
2017-07-27,104261.41999999998
2017-07-28,104214.48999999999
2017-07-31,104141.22999999998
2017-08-01,104199.9
2017-08-02,104126.25999999998
2017-08-03,104022.73999999999
2017-08-04,104102.54999999999
2017-08-07,104194.70999999998
2017-08-08,104126.39
2017-08-09,104032.65
2017-08-10,103693.70999999999
2017-08-11,103763.4
2017-08-14,103882.07999999999
2017-08-15,103888.97999999998
2017-08-16,103904.85
2017-08-17,103713.72
2017-08-18,103706.82
2017-08-21,103695.09
2017-08-22,103834.47
2017-08-23,103802.03999999998
2017-08-24,103774.44
2017-08-25,103755.12
2017-08-28,103783.41
2017-08-29,103819.97999999998
2017-08-30,103929.0
2017-08-31,104029.73999999999
2017-09-01,104016.63
2017-09-04,104016.63
2017-09-05,103931.75999999998
2017-09-06,103960.04999999999
2017-09-07,103982.13
2017-09-08,103900.70999999999
2017-09-11,104008.35
2017-09-12,104048.31999999998
2017-09-13,104100.5
2017-09-14,104034.35999999999
2017-09-15,104123.41
2017-09-18,104192.04999999999
2017-09-19,104215.13
2017-09-20,104222.69999999998
2017-09-21,104128.12
2017-09-22,104162.87
2017-09-25,104059.69999999998
2017-09-26,104117.72
2017-09-27,104428.19999999998
2017-09-28,104463.68
2017-09-29,104581.44
2017-10-02,104757.85999999999
2017-10-03,104821.81
2017-10-04,104813.13999999998
2017-10-05,104987.79999999999
2017-10-06,104981.06
2017-10-09,104909.31999999998
2017-10-10,104965.57999999999
2017-10-11,105001.85
2017-10-12,104965.59
2017-10-13,104995.16999999998
2017-10-16,105035.94999999998
2017-10-17,105021.59999999998
2017-10-18,105067.75999999998
2017-10-19,105023.85999999999
2017-10-20,105141.63
2017-10-23,104969.5
2017-10-24,105020.18
2017-10-25,104890.66999999998
2017-10-26,104885.82999999999
2017-10-27,105316.0
2017-10-30,105198.35999999999
2017-10-31,105320.09
2017-11-01,105263.32999999999
2017-11-02,105279.43
2017-11-03,105397.35999999999
2017-11-06,105459.93
2017-11-07,105340.4
2017-11-08,105397.01999999999
2017-11-09,105309.06
2017-11-10,105304.93
2017-11-13,105326.38
2017-11-14,105267.44999999998
2017-11-15,105170.22
2017-11-16,105377.16
2017-11-17,105314.26999999999
2017-11-20,105321.47
2017-11-21,105492.84
2017-11-22,105475.16999999998
2017-11-23,105475.16999999998
2017-11-24,105537.87
2017-11-27,105498.46999999999
2017-11-28,105772.95999999999
2017-11-29,105623.97
2017-11-30,105805.79
2017-12-01,105706.22999999998
2017-12-04,105541.97999999998
2017-12-05,105418.58999999998
2017-12-06,105419.93
2017-12-07,105550.76999999999
2017-12-08,105658.90999999999
2017-12-11,105765.34999999998
2017-12-12,105739.34999999998
2017-12-13,105811.81999999999
2017-12-14,105661.75999999998
2017-12-15,105992.97999999998
2017-12-18,106273.23999999999
2017-12-19,106100.92
2017-12-20,106101.79
2017-12-21,106159.83999999998
2017-12-22,106128.45999999998
2017-12-25,106128.45999999998
2017-12-26,106064.56
2017-12-27,106066.68
2017-12-28,106136.25999999998
2017-12-29,105960.23999999999
2018-01-01,105960.23999999999
2018-01-02,106293.59
2018-01-03,106472.57
2018-01-04,106554.61
2018-01-05,106751.81999999998
2018-01-08,106828.40999999999
2018-01-09,106837.61999999997
2018-01-10,106798.09
2018-01-11,107113.26999999999
2018-01-12,107303.04999999999
2018-01-15,107303.04999999999
2018-01-16,107115.25999999998
2018-01-17,107418.94
2018-01-18,107333.26999999999
2018-01-19,107545.38999999998
2018-01-22,107801.62999999999
2018-01-23,107946.15
2018-01-24,107809.41999999998
2018-01-25,107812.9
2018-01-26,108136.66
2018-01-29,107954.86999999997
2018-01-30,107656.26
2018-01-31,107665.20999999999
2018-02-01,107590.76999999999
2018-02-02,106946.59
2018-02-05,105717.50999999998
2018-02-06,105717.50999999998
2018-02-07,105717.50999999998
2018-02-08,105717.50999999998
2018-02-09,105717.50999999998
2018-02-12,105717.50999999998
2018-02-13,105717.50999999998
2018-02-14,105717.50999999998
2018-02-15,105717.50999999998
2018-02-16,105717.50999999998
2018-02-19,105717.50999999998
2018-02-20,105717.50999999998
2018-02-21,105717.50999999998
2018-02-22,105717.50999999998
2018-02-23,105717.50999999998
2018-02-26,105717.50999999998
2018-02-27,105717.50999999998
2018-02-28,105717.50999999998
2018-03-01,105717.50999999998
2018-03-02,105717.50999999998
2018-03-05,105717.50999999998
2018-03-06,105717.50999999998
2018-03-07,105717.50999999998
2018-03-08,105686.68999999999
2018-03-09,105836.09999999999
2018-03-12,105881.06
2018-03-13,105706.68999999999
2018-03-14,105657.35
2018-03-15,105600.84999999999
2018-03-16,105624.12
2018-03-19,105330.79
