date,equity
2016-02-23,100052.01999999997
2016-02-24,100052.01999999997
2016-02-25,100052.01999999997
2016-02-26,100052.01999999997
2016-02-29,100052.01999999997
2016-03-01,100052.01999999997
2016-03-02,101574.07999999999
2016-03-03,101940.23999999998
2016-03-04,102208.60999999999
2016-03-07,102375.51999999999
2016-03-08,101104.64999999998
2016-03-09,101574.57999999999
2016-03-10,101317.28999999998
2016-03-11,102897.10999999999
2016-03-14,102830.36999999998
2016-03-15,102310.81999999998
2016-03-16,102942.71999999999
2016-03-17,103567.08999999997
2016-03-18,103841.99999999999
2016-03-21,103931.72999999998
2016-03-22,103962.10999999999
2016-03-23,102972.99999999997
2016-03-24,103057.33999999997
2016-03-25,103057.33999999997
2016-03-28,103071.53999999998
2016-03-29,104624.46999999997
2016-03-30,104900.87999999998
2016-03-31,104871.63999999998
2016-04-01,105523.54999999999
2016-04-04,105056.70999999999
2016-04-05,104118.84
2016-04-06,105264.64999999998
2016-04-07,104077.18999999999
2016-04-08,104251.42999999998
2016-04-11,103982.19999999998
2016-04-12,104824.36999999998
2016-04-13,106153.77999999997
2016-04-14,106120.81999999998
2016-04-15,106089.72999999998
2016-04-18,106694.04999999999
2016-04-19,106632.78
2016-04-20,106731.91999999997
2016-04-21,106414.14999999998
2016-04-22,106276.06999999998
2016-04-25,105997.69999999998
2016-04-26,106216.68
2016-04-27,106146.01999999999
2016-04-28,105509.04999999999
2016-04-29,105064.89999999998
2016-05-02,105578.02999999998
2016-05-03,104804.49999999999
2016-05-04,104383.38999999998
2016-05-05,104256.19
2016-05-06,104544.03999999998
2016-05-09,104655.62
2016-05-10,105338.26999999999
2016-05-11,104672.54999999999
2016-05-12,104518.34
2016-05-13,104056.38999999998
2016-05-16,104732.37
2016-05-17,103965.06999999998
2016-05-18,103973.62
2016-05-19,103871.01999999999
2016-05-20,104059.12
2016-05-23,104018.07999999999
2016-05-24,104406.25
2016-05-25,104611.44999999998
2016-05-26,104676.79999999999
2016-05-27,104958.98999999999
2016-05-30,104958.98999999999
2016-05-31,105002.00999999998
2016-06-01,105268.71999999997
2016-06-02,105653.74999999999
2016-06-03,105242.18999999999
2016-06-06,105829.08999999997
2016-06-07,105891.62999999998
2016-06-08,106267.84
2016-06-09,105982.10999999999
2016-06-10,104942.59999999998
2016-06-13,104125.85999999999
2016-06-14,103995.20999999999
2016-06-15,103892.45999999999
2016-06-16,104065.33999999998
2016-06-17,103490.50999999998
2016-06-20,104185.91999999998
2016-06-21,104303.40999999999
2016-06-22,104067.65999999999
2016-06-23,105439.84999999999
