date,equity
2016-02-22,100558.18000000001
2016-02-23,99215.89000000001
2016-02-24,99574.72000000002
2016-02-25,100770.81999999999
2016-02-26,100730.95000000001
2016-02-29,99853.81
2016-03-01,102166.27000000002
2016-03-02,103096.56999999999
2016-03-03,103800.94
2016-03-04,104332.54000000001
2016-03-07,104890.72000000002
2016-03-08,103269.34000000001
2016-03-09,103827.52000000002
2016-03-10,103867.39000000001
2016-03-11,105688.12000000001
2016-03-14,105395.74
2016-03-15,105023.62000000001
2016-03-16,105674.83000000002
2016-03-17,106684.87000000001
2016-03-18,107189.89000000001
2016-03-21,107243.05
2016-03-22,107070.28000000001
2016-03-23,106179.85
2016-03-24,106060.24
2016-03-25,106060.24
2016-03-28,106166.56
2016-03-29,106924.09000000001
2016-03-30,107336.08000000002
2016-03-31,107110.15000000001
2016-04-01,107601.88
2016-04-04,107096.86
2016-04-05,105860.89000000001
2016-04-06,106884.22000000002
2016-04-07,105688.12000000001
2016-04-08,106179.85
2016-04-11,106113.40000000001
2016-04-12,107229.76000000002
2016-04-13,108585.34000000001
2016-04-14,108598.63
2016-04-15,108346.12000000001
2016-04-18,109170.1
2016-04-19,110113.69
2016-04-20,110352.91
2016-04-21,109595.38
2016-04-22,110126.98000000001
2016-04-25,109768.15000000001
2016-04-26,110339.62000000001
2016-04-27,111043.99
2016-04-28,110007.37000000001
2016-04-29,109369.45000000001
2016-05-02,110113.69
2016-05-03,108891.01000000002
2016-05-04,108093.61
2016-05-05,108133.48000000001
2016-05-06,108399.28000000001
2016-05-09,108186.64000000001
2016-05-10,109568.8
2016-05-11,108970.75
2016-05-12,108984.04000000001
2016-05-13,107891.03935456001
2016-05-16,107891.03935456001
2016-05-17,107891.03935456001
2016-05-18,107891.03935456001
2016-05-19,107891.03935456001
2016-05-20,107891.03935456001
2016-05-23,107891.03935456001
2016-05-24,107891.03935456001
2016-05-25,107891.03935456001
2016-05-26,107891.03935456001
2016-05-27,108435.35935456002
2016-05-30,108435.35935456002
2016-05-31,108266.87935456002
2016-06-01,108500.15935456003
2016-06-02,108798.23935456002
2016-06-03,108383.51935456002
2016-06-06,109187.03935456001
2016-06-07,109536.95935456002
2016-06-08,109873.91935456001
2016-06-09,109562.87935456002
2016-06-10,108448.31935456002
2016-06-13,107696.63935456003
2016-06-14,107294.87935456002
2016-06-15,107191.19935456003
2016-06-16,107463.35935456002
2016-06-17,107541.11935456001
2016-06-20,108240.95935456002
2016-06-21,108590.87935456002
2016-06-22,108370.55935456001
2016-06-23,110042.39935456002
