date,equity
2016-03-01,101438.2
2016-03-02,101246.44
2016-03-03,101166.54000000001
2016-03-04,101022.72
2016-03-07,99968.04000000001
2016-03-08,99584.52
2016-03-09,100095.88
2016-03-10,100207.74
2016-03-11,101805.74
2016-03-14,102013.48
2016-03-15,101949.56
2016-03-16,102508.86
2016-03-17,102460.92
2016-03-18,102652.68000000001
2016-03-21,102844.43999999999
2016-03-22,102876.40000000001
2016-03-23,102748.56000000001
2016-03-24,102732.58
2016-03-25,102732.58
2016-03-28,103020.22000000002
2016-03-29,104202.74
2016-03-30,104714.09999999999
2016-03-31,104426.46
2016-04-01,105561.04
2016-04-04,105033.7
2016-04-05,103947.06000000001
2016-04-06,105241.43999999999
2016-04-07,104218.72000000002
2016-04-08,104058.92
2016-04-11,103403.74
2016-04-12,104010.98
2016-04-13,104602.24
2016-04-14,104490.37999999999
2016-04-15,104730.08
2016-04-18,105497.12000000001
2016-04-19,105129.58
2016-04-20,105305.36
2016-04-21,104618.22000000002
2016-04-22,103947.06000000001
2016-04-25,104138.81999999999
2016-04-26,104026.96
2016-04-27,104010.98
2016-04-28,103595.50000000001
2016-04-29,103771.28000000001
2016-05-02,105081.64
2016-05-03,104362.54
2016-05-04,104266.65999999999
2016-05-05,104090.87999999999
2016-05-06,104746.06000000001
2016-05-09,105497.12000000001
2016-05-10,106903.36
2016-05-11,105752.8
2016-05-12,106008.48
2016-05-13,105417.22000000002
2016-05-16,106104.36
2016-05-17,104634.2
2016-05-18,104602.24
2016-05-19,104250.68000000001
2016-05-20,104730.08
2016-05-23,104298.62000000001
2016-05-24,105960.54
2016-05-25,106024.46
2016-05-26,106232.2
2016-05-27,106599.74
2016-05-30,106599.74
2016-05-31,106312.09999999999
2016-06-01,106615.72000000002
2016-06-02,106887.37999999999
2016-06-03,107302.86
2016-06-06,107254.92
2016-06-07,107286.87999999999
2016-06-08,107942.06000000001
2016-06-09,108341.56000000001
2016-06-10,107702.36
2016-06-13,107015.22000000002
2016-06-14,107143.06000000001
2016-06-15,106887.37999999999
2016-06-16,107318.84000000001
2016-06-17,106647.68000000001
2016-06-20,107286.87999999999
2016-06-21,107494.62000000001
2016-06-22,107238.93999999999
2016-06-23,108213.72000000002
2016-06-24,105893.41161550001
2016-06-27,105893.41161550001
2016-06-28,105893.41161550001
2016-06-29,105893.41161550001
2016-06-30,107193.1916155
2016-07-01,107287.1516155
2016-07-04,107287.1516155
2016-07-05,107647.33161549999
2016-07-06,108305.0516155
2016-07-07,107725.63161550001
2016-07-08,109009.75161549999
2016-07-11,109244.6516155
2016-07-12,108994.09161549999
2016-07-13,109150.6916155
2016-07-14,109354.2716155
2016-07-15,109228.9916155
2016-07-18,109463.8916155
2016-07-19,109714.4516155
2016-07-20,109918.03161549999
2016-07-21,109369.9316155
2016-07-22,110121.61161549999
2016-07-25,109824.07161549998
2016-07-26,109479.5516155
2016-07-27,109119.3716155
2016-07-28,109636.1516155
2016-07-29,110074.63161550001
2016-08-01,110231.2316155
2016-08-02,109761.4316155
2016-08-03,109322.9516155
2016-08-04,109557.85161549998
2016-08-05,109918.03161549999
2016-08-08,109651.81161549999
2016-08-09,109933.6916155
2016-08-10,110090.29161549998
2016-08-11,110434.81161549999
2016-08-12,110387.83161549999
2016-08-15,110090.29161549998
2016-08-16,108975.14120207199
2016-08-17,108975.14120207199
2016-08-18,108975.14120207199
2016-08-19,108975.14120207199
2016-08-22,108975.14120207199
2016-08-23,108975.14120207199
2016-08-24,108975.14120207199
2016-08-25,108975.14120207199
2016-08-26,108975.14120207199
2016-08-29,108975.14120207199
2016-08-30,108975.14120207199
2016-08-31,108975.14120207199
2016-09-01,108975.14120207199
2016-09-02,108975.14120207199
2016-09-05,108975.14120207199
2016-09-06,108975.14120207199
2016-09-07,108975.14120207199
2016-09-08,108975.14120207199
2016-09-09,108975.14120207199
2016-09-12,108975.14120207199
2016-09-13,108975.14120207199
2016-09-14,108975.14120207199
2016-09-15,108975.14120207199
2016-09-16,108975.14120207199
2016-09-19,108975.14120207199
2016-09-20,108975.14120207199
2016-09-21,108975.14120207199
2016-09-22,108975.14120207199
2016-09-23,108975.14120207199
2016-09-26,108975.14120207199
2016-09-27,108975.14120207199
2016-09-28,108975.14120207199
2016-09-29,108975.14120207199
2016-09-30,108975.14120207199
2016-10-03,108975.14120207199
2016-10-04,108975.14120207199
2016-10-05,108975.14120207199
2016-10-06,108975.14120207199
2016-10-07,108975.14120207199
2016-10-10,108975.14120207199
2016-10-11,108975.14120207199
2016-10-12,108975.14120207199
2016-10-13,108975.14120207199
2016-10-14,108975.14120207199
2016-10-17,108975.14120207199
2016-10-18,108975.14120207199
2016-10-19,108975.14120207199
2016-10-20,108975.14120207199
2016-10-21,108975.14120207199
2016-10-24,108975.14120207199
2016-10-25,108975.14120207199
2016-10-26,108975.14120207199
2016-10-27,108975.14120207199
2016-10-28,108975.14120207199
2016-10-31,108975.14120207199
2016-11-01,108975.14120207199
2016-11-02,108975.14120207199
2016-11-03,108975.14120207199
2016-11-04,108975.14120207199
2016-11-07,108975.14120207199
2016-11-08,108975.14120207199
2016-11-09,108975.14120207199
2016-11-10,108975.14120207199
2016-11-11,108975.14120207199
2016-11-14,108975.14120207199
2016-11-15,108975.14120207199
2016-11-16,108975.14120207199
2016-11-17,108975.14120207199
2016-11-18,108975.14120207199
2016-11-21,108975.14120207199
2016-11-22,108975.14120207199
2016-11-23,108975.14120207199
2016-11-24,108975.14120207199
2016-11-25,109277.43120207201
2016-11-28,109229.70120207201
2016-11-29,109659.271202072
2016-11-30,107972.811202072
2016-12-01,105936.33120207199
2016-12-02,106572.73120207201
