date,equity
2016-02-22,100794.40000000001
2016-02-23,99841.12000000001
2016-02-24,100423.68000000001
2016-02-25,101456.40000000001
2016-02-26,101615.28
2016-02-29,100979.76000000001
2016-03-01,103310.0
2016-03-02,103468.88
2016-03-03,104157.36
2016-03-04,104475.12000000001
2016-03-07,105057.68000000001
2016-03-08,103548.32
2016-03-09,103919.04000000001
2016-03-10,103707.2
2016-03-11,105719.68000000001
2016-03-14,105481.36
2016-03-15,104951.76000000001
2016-03-16,105852.08
2016-03-17,106593.52
2016-03-18,107493.84000000001
2016-03-21,107414.40000000001
2016-03-22,107308.48000000001
2016-03-23,106116.88
2016-03-24,105693.2
2016-03-25,105693.2
2016-03-28,105878.56
2016-03-29,106831.84000000001
2016-03-30,107229.04000000001
2016-03-31,106964.24
2016-04-01,107282.0
2016-04-04,106540.56
2016-04-05,105772.64
2016-04-06,106567.04000000001
2016-04-07,105375.44
2016-04-08,105693.2
2016-04-11,105560.8
2016-04-12,106328.72
2016-04-13,107996.96
2016-04-14,107732.16
2016-04-15,107758.64
2016-04-18,108288.24
2016-04-19,108791.36
2016-04-20,108950.24
2016-04-21,108261.76000000001
2016-04-22,108870.8
2016-04-25,108500.08
2016-04-26,109135.6
2016-04-27,109982.96
2016-04-28,108658.96
2016-04-29,107785.12000000001
2016-05-02,108447.12000000001
2016-05-03,107387.92
2016-05-04,106302.24
2016-05-05,106302.24
2016-05-06,106699.44
2016-05-09,106672.96
2016-05-10,108129.36
2016-05-11,106805.36
2016-05-12,106620.0
2016-05-13,105689.82100900801
2016-05-16,105689.82100900801
2016-05-17,105689.82100900801
2016-05-18,105689.82100900801
2016-05-19,105689.82100900801
2016-05-20,105689.82100900801
2016-05-23,105689.82100900801
2016-05-24,105689.82100900801
2016-05-25,105689.82100900801
2016-05-26,105689.82100900801
2016-05-27,106256.32100900801
2016-05-30,106256.32100900801
2016-05-31,106359.321009008
2016-06-01,106462.32100900802
2016-06-02,106951.57100900801
2016-06-03,106616.82100900801
2016-06-06,107234.82100900801
2016-06-07,107003.071009008
2016-06-08,107260.57100900801
2016-06-09,107054.57100900801
2016-06-10,105638.32100900802
2016-06-13,104325.07100900801
2016-06-14,103784.321009008
2016-06-15,103784.321009008
2016-06-16,103913.07100900801
2016-06-17,104041.82100900801
2016-06-20,104917.32100900801
2016-06-21,104634.07100900801
2016-06-22,104505.32100900801
2016-06-23,106050.32100900801
2016-06-24,101338.07100900801
2016-06-27,98428.32100900801
2016-06-28,100333.82100900801
2016-06-29,102290.82100900801
