date,equity
2016-03-01,102267.19999999998
2016-03-02,102298.4
2016-03-03,102111.2
2016-03-04,102152.79999999999
2016-03-07,101518.4
2016-03-08,100676.0
2016-03-09,101331.2
2016-03-10,101175.2
2016-03-11,102943.2
2016-03-14,103120.0
2016-03-15,103078.4
2016-03-16,103993.59999999999
2016-03-17,103941.6
2016-03-18,104097.59999999999
2016-03-21,104503.2
2016-03-22,104825.59999999999
2016-03-23,103962.4
2016-03-24,103993.59999999999
2016-03-25,103993.59999999999
2016-03-28,103848.0
2016-03-29,105511.99999999999
2016-03-30,106031.99999999999
2016-03-31,105876.0
2016-04-01,106999.2
2016-04-04,106593.59999999999
2016-04-05,105563.99999999999
2016-04-06,107300.79999999999
2016-04-07,105761.6
2016-04-08,105678.4
2016-04-11,105293.59999999999
2016-04-12,106177.59999999999
2016-04-13,107529.59999999999
2016-04-14,107540.0
2016-04-15,107269.59999999999
2016-04-18,107841.6
2016-04-19,107186.4
2016-04-20,107269.59999999999
2016-04-21,107280.0
2016-04-22,105657.59999999999
2016-04-25,105657.59999999999
2016-04-26,105124.10464592
2016-04-27,105124.10464592
2016-04-28,105124.10464592
2016-04-29,105124.10464592
2016-05-02,105124.10464592
2016-05-03,105124.10464592
2016-05-04,105124.10464592
2016-05-05,105124.10464592
2016-05-06,105124.10464592
2016-05-09,105124.10464592
2016-05-10,105124.10464592
2016-05-11,105124.10464592
2016-05-12,105124.10464592
2016-05-13,105124.10464592
2016-05-16,105124.10464592
2016-05-17,105124.10464592
2016-05-18,105124.10464592
2016-05-19,105124.10464592
2016-05-20,105124.10464592
2016-05-23,105124.10464592
2016-05-24,106641.86464592
2016-05-25,107400.74464592
2016-05-26,107716.94464592001
2016-05-27,108275.56464592
2016-05-30,108275.56464592
2016-05-31,108486.36464592
2016-06-01,108496.90464592
2016-06-02,108718.24464592
2016-06-03,108212.32464592
2016-06-06,108602.30464592
2016-06-07,108328.26464592
2016-06-08,108517.98464591999
2016-06-09,108338.80464592
2016-06-10,107105.62464592
2016-06-13,106220.26464592
2016-06-14,106220.26464592
2016-06-15,105914.60464592
2016-06-16,106230.80464592
2016-06-17,104987.08464592
