date,equity
2016-02-22,100538.5
2016-02-23,97609.06000000001
2016-02-24,98449.12000000001
2016-02-25,98513.74
2016-02-26,99030.7
2016-02-29,98061.40000000001
2016-03-01,100236.94
2016-03-02,102326.32
2016-03-03,103640.26
2016-03-04,104501.86
2016-03-07,106591.24
2016-03-08,102757.12000000001
2016-03-09,104178.76
2016-03-10,104243.38
2016-03-11,106548.16
2016-03-14,105945.04000000001
2016-03-15,105772.72
2016-03-16,107345.14
2016-03-17,108616.0
2016-03-18,108206.74
2016-03-21,107883.64
2016-03-22,107366.68000000001
2016-03-23,105341.92
2016-03-24,105794.26
2016-03-25,105794.26
2016-03-28,105298.84000000001
2016-03-29,105729.64
2016-03-30,105901.96
2016-03-31,105858.88
2016-04-01,104652.64
2016-04-04,103984.90000000001
2016-04-05,103381.78
2016-04-06,105298.84000000001
2016-04-07,104760.34000000001
2016-04-08,106569.7
2016-04-11,106181.98
2016-04-12,108896.02
2016-04-13,109348.36
2016-04-14,109563.76
2016-04-15,108292.90000000001
2016-04-18,109822.24
2016-04-19,111717.76
2016-04-20,112600.90000000001
2016-04-21,112019.32
2016-04-22,113419.42
2016-04-25,112320.88
2016-04-26,113871.76
2016-04-27,115767.28
2016-04-28,114259.48
2016-04-29,114108.7
2016-05-02,114001.0
2016-05-03,111653.14
2016-05-04,110274.58
2016-05-05,111050.02
2016-05-06,110834.62000000001
2016-05-09,109434.52
2016-05-10,111050.02
2016-05-11,111394.66
2016-05-12,111653.14
2016-05-13,110468.44
2016-05-16,112040.86
2016-05-17,112493.2
2016-05-18,111545.44
2016-05-19,111566.98
2016-05-20,112127.02
2016-05-23,111890.08
2016-05-24,112363.96
2016-05-25,113914.84000000001
2016-05-26,113505.58
2016-05-27,113548.66
2016-05-30,113548.66
2016-05-31,113182.48
2016-06-01,113204.02
2016-06-02,113074.78
2016-06-03,112687.06000000001
2016-06-06,114841.06000000001
2016-06-07,117102.76
2016-06-08,116865.82
2016-06-09,116090.38
2016-06-10,113914.84000000001
2016-06-13,113613.28
2016-06-14,113548.66
2016-06-15,113333.26
2016-06-16,112859.38
2016-06-17,113850.22
2016-06-20,114711.82
2016-06-21,115874.98
2016-06-22,115314.94
2016-06-23,116973.52
2016-06-24,113677.90000000001
2016-06-27,110465.427303592
2016-06-28,110465.427303592
2016-06-29,110465.427303592
2016-06-30,110465.427303592
2016-07-01,110465.427303592
2016-07-04,110465.427303592
2016-07-05,110465.427303592
2016-07-06,110465.427303592
2016-07-07,110465.427303592
2016-07-08,110465.427303592
2016-07-11,110465.427303592
2016-07-12,111379.90730359202
2016-07-13,110544.94730359202
2016-07-14,111041.94730359202
2016-07-15,110982.30730359202
2016-07-18,111061.82730359201
2016-07-19,110525.067303592
2016-07-20,110385.90730359202
2016-07-21,109471.427303592
2016-07-22,109749.74730359201
2016-07-25,107940.66730359201
2016-07-26,108417.78730359202
2016-07-27,107523.18730359201
2016-07-28,107543.067303592
2016-07-29,108457.54730359201
2016-08-01,105435.78730359202
2016-08-02,106250.86730359201
2016-08-03,108020.18730359201
2016-08-04,107841.267303592
2016-08-05,108656.34730359202
2016-08-08,109888.90730359202
2016-08-09,109411.78730359202
2016-08-10,108397.90730359202
2016-08-11,109749.74730359201
2016-08-12,110266.62730359202
2016-08-15,111022.067303592
